# _root_ Xavier_Vendrell va néixer a Sant_Joan_Despí -Fpa- Baix_Llobregat -Fpt- , on resideix , el 15_d'_octubre_de_1966 .
#goldHeads=3,3,0,3,4,7,5,7,11,11,5,11,14,3,3,
#predictedHeads=3,3,0,3,4,7,5,7,11,11,5,14,14,11,3,
(0,1),-5.97003 # DEPENDENCYPART_ARC
(0,2),-2.48226 # DEPENDENCYPART_ARC
(0,3),-2.73825 # DEPENDENCYPART_ARC
(0,4),-7.66851 # DEPENDENCYPART_ARC
(0,5),-7.09143 # DEPENDENCYPART_ARC
(0,6),-7.87623 # DEPENDENCYPART_ARC
(0,7),-6.82091 # DEPENDENCYPART_ARC
(0,8),-8.05364 # DEPENDENCYPART_ARC
(0,9),-8.16943 # DEPENDENCYPART_ARC
(0,10),-7.48958 # DEPENDENCYPART_ARC
(0,11),-1.70977 # DEPENDENCYPART_ARC
(0,12),-8.24155 # DEPENDENCYPART_ARC
(0,13),-10.0313 # DEPENDENCYPART_ARC
(0,14),-8.49472 # DEPENDENCYPART_ARC
(0,15),-8.41523 # DEPENDENCYPART_ARC
(1,2),0.789821 # DEPENDENCYPART_ARC
(1,3),-0.282289 # DEPENDENCYPART_ARC
(1,4),-0.691264 # DEPENDENCYPART_ARC
(1,5),-0.831214 # DEPENDENCYPART_ARC
(1,6),-0.181569 # DEPENDENCYPART_ARC
(1,7),-0.815638 # DEPENDENCYPART_ARC
(1,8),-0.198631 # DEPENDENCYPART_ARC
(1,9),-0.798563 # DEPENDENCYPART_ARC
(1,10),-1.50423 # DEPENDENCYPART_ARC
(1,11),-1.39923 # DEPENDENCYPART_ARC
(1,12),-0.771125 # DEPENDENCYPART_ARC
(1,13),-2.39144 # DEPENDENCYPART_ARC
(1,14),-1.48127 # DEPENDENCYPART_ARC
(1,15),0.956903 # DEPENDENCYPART_ARC
(2,1),0.196056 # DEPENDENCYPART_ARC
(2,3),0.430681 # DEPENDENCYPART_ARC
(2,4),0.895386 # DEPENDENCYPART_ARC
(2,5),-1.00921 # DEPENDENCYPART_ARC
(2,6),-1.14767 # DEPENDENCYPART_ARC
(2,7),-1.3904 # DEPENDENCYPART_ARC
(2,8),-0.628265 # DEPENDENCYPART_ARC
(2,9),-0.983385 # DEPENDENCYPART_ARC
(2,10),-2.63245 # DEPENDENCYPART_ARC
(2,11),-1.80257 # DEPENDENCYPART_ARC
(2,12),-2.16895 # DEPENDENCYPART_ARC
(2,13),-5.31556 # DEPENDENCYPART_ARC
(2,14),-1.88547 # DEPENDENCYPART_ARC
(2,15),0.385601 # DEPENDENCYPART_ARC
(3,1),2.7348 # DEPENDENCYPART_ARC
