# _root_ " Per això és bo que tinguin totes les facilitats , com el sistema informàtic i els models que han de fer_servir en català " , ha dit .
#goldHeads=4,4,2,28,4,7,4,9,10,7,12,10,14,12,14,14,18,14,22,22,22,18,14,23,12,12,28,0,28,
#predictedHeads=4,4,2,28,4,7,4,9,10,7,12,7,14,12,14,14,18,22,22,22,22,7,22,23,4,22,28,0,4,
(0,2),-6.11629 # DEPENDENCYPART_ARC
(0,3),-6.35498 # DEPENDENCYPART_ARC
(0,4),-2.67252 # DEPENDENCYPART_ARC
(0,5),-8.27059 # DEPENDENCYPART_ARC
(0,6),-6.56274 # DEPENDENCYPART_ARC
(0,7),-5.8345 # DEPENDENCYPART_ARC
(0,10),-6.87769 # DEPENDENCYPART_ARC
(0,12),-7.10735 # DEPENDENCYPART_ARC
(0,14),-7.55936 # DEPENDENCYPART_ARC
(0,15),-8.46453 # DEPENDENCYPART_ARC
(0,18),-7.67592 # DEPENDENCYPART_ARC
(0,20),-7.6532 # DEPENDENCYPART_ARC
(0,21),-8.08684 # DEPENDENCYPART_ARC
(0,22),-8.58823 # DEPENDENCYPART_ARC
(0,23),-8.01611 # DEPENDENCYPART_ARC
(0,24),-7.4684 # DEPENDENCYPART_ARC
(0,27),-4.30857 # DEPENDENCYPART_ARC
(0,28),-1.85529 # DEPENDENCYPART_ARC
(2,1),0.947975 # DEPENDENCYPART_ARC
(2,3),5.15715 # DEPENDENCYPART_ARC
(2,4),2.15364 # DEPENDENCYPART_ARC
(2,5),-0.945225 # DEPENDENCYPART_ARC
(2,6),-0.835591 # DEPENDENCYPART_ARC
(2,7),0.746181 # DEPENDENCYPART_ARC
(2,8),-2.93945 # DEPENDENCYPART_ARC
(2,9),-2.74287 # DEPENDENCYPART_ARC
(2,10),-2.80241 # DEPENDENCYPART_ARC
(2,11),0.194844 # DEPENDENCYPART_ARC
(2,12),-1.3364 # DEPENDENCYPART_ARC
(2,13),-3.11413 # DEPENDENCYPART_ARC
(2,14),-6.61365 # DEPENDENCYPART_ARC
(2,15),-3.13743 # DEPENDENCYPART_ARC
(2,16),-1.87902 # DEPENDENCYPART_ARC
(2,17),-2.98392 # DEPENDENCYPART_ARC
(2,18),-8.81602 # DEPENDENCYPART_ARC
(2,19),-4.82297 # DEPENDENCYPART_ARC
(2,20),-4.3288 # DEPENDENCYPART_ARC
(2,21),-4.92948 # DEPENDENCYPART_ARC
(2,22),-4.21334 # DEPENDENCYPART_ARC
(2,23),-5.14003 # DEPENDENCYPART_ARC
(2,24),-11.2012 # DEPENDENCYPART_ARC
(2,25),-0.769545 # DEPENDENCYPART_ARC
(2,26),-2.17033 # DEPENDENCYPART_ARC
(2,27),-6.9097 # DEPENDENCYPART_ARC
(2,28),-5.4837 # DEPENDENCYPART_ARC
(2,29),0.91775 # DEPENDENCYPART_ARC
(3,1),-1.49731 # DEPENDENCYPART_ARC
(3,2),-1.10126 # DEPENDENCYPART_ARC
(3,4),0.370259 # DEPENDENCYPART_ARC
(3,5),-1.18858 # DEPENDENCYPART_ARC
(3,6),-1.41982 # DEPENDENCYPART_ARC
(3,7),-1.10906 # DEPENDENCYPART_ARC
(3,8),-3.12687 # DEPENDENCYPART_ARC
(3,10),-2.22533 # DEPENDENCYPART_ARC
(3,11),-2.01489 # DEPENDENCYPART_ARC
(3,12),-1.57252 # DEPENDENCYPART_ARC
(3,14),-3.2912 # DEPENDENCYPART_ARC
(3,15),-2.60233 # DEPENDENCYPART_ARC
(3,16),-2.1212 # DEPENDENCYPART_ARC
(3,18),-3.37143 # DEPENDENCYPART_ARC
(3,20),-4.08719 # DEPENDENCYPART_ARC
(3,21),-3.36226 # DEPENDENCYPART_ARC
(3,22),-4.79314 # DEPENDENCYPART_ARC
(3,23),-4.75692 # DEPENDENCYPART_ARC
(3,24),-3.44281 # DEPENDENCYPART_ARC
(3,25),-1.83528 # DEPENDENCYPART_ARC
(3,26),-3.206 # DEPENDENCYPART_ARC
(3,27),-6.0426 # DEPENDENCYPART_ARC
(3,28),-6.89425 # DEPENDENCYPART_ARC
(3,29),0.172561 # DEPENDENCYPART_ARC
(4,1),3.25878 # DEPENDENCYPART_ARC
(4,2),2.73571 # DEPENDENCYPART_ARC
(4,3),2.53371 # DEPENDENCYPART_ARC
(4,5),3.47922 # DEPENDENCYPART_ARC
(4,6),1.09721 # DEPENDENCYPART_ARC
(4,7),2.71957 # DEPENDENCYPART_ARC
(4,8),-3.19254 # DEPENDENCYPART_ARC
(4,9),-3.23115 # DEPENDENCYPART_ARC
(4,10),-0.122289 # DEPENDENCYPART_ARC
(4,11),1.03876 # DEPENDENCYPART_ARC
(4,12),0.481035 # DEPENDENCYPART_ARC
(4,13),-3.51481 # DEPENDENCYPART_ARC
(4,14),-1.57737 # DEPENDENCYPART_ARC
(4,15),-0.187848 # DEPENDENCYPART_ARC
(4,16),0.762289 # DEPENDENCYPART_ARC
(4,17),-3.66402 # DEPENDENCYPART_ARC
(4,18),-2.65449 # DEPENDENCYPART_ARC
(4,19),-2.153 # DEPENDENCYPART_ARC
(4,20),0.65883 # DEPENDENCYPART_ARC
(4,21),-1.72595 # DEPENDENCYPART_ARC
(4,22),0.798627 # DEPENDENCYPART_ARC
(4,23),-2.99842 # DEPENDENCYPART_ARC
(4,24),-4.23197 # DEPENDENCYPART_ARC
(4,25),2.61824 # DEPENDENCYPART_ARC
(4,26),1.1665 # DEPENDENCYPART_ARC
(4,27),-0.766357 # DEPENDENCYPART_ARC
(4,28),1.05518 # DEPENDENCYPART_ARC
(4,29),5.82665 # DEPENDENCYPART_ARC
(5,1),-1.5293 # DEPENDENCYPART_ARC
(5,2),-0.286648 # DEPENDENCYPART_ARC
(5,3),-1.27006 # DEPENDENCYPART_ARC
(5,4),-0.694156 # DEPENDENCYPART_ARC
(5,6),-0.0929205 # DEPENDENCYPART_ARC
(5,7),0.388096 # DEPENDENCYPART_ARC
(5,8),-2.49998 # DEPENDENCYPART_ARC
(5,9),-2.72705 # DEPENDENCYPART_ARC
(5,10),-0.993082 # DEPENDENCYPART_ARC
(5,11),-0.564909 # DEPENDENCYPART_ARC
(5,12),-1.29691 # DEPENDENCYPART_ARC
(5,13),-2.76079 # DEPENDENCYPART_ARC
(5,14),-1.48084 # DEPENDENCYPART_ARC
