# _root_ El ministre va assenyalar la informació , la lluita contra la guerra bacteriològica , la nuclear i la química com_a camps per a la cooperació intereuropea .
#goldHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,12,16,12,12,19,12,4,20,21,22,25,23,25,4,
#predictedHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,16,16,12,16,19,16,19,20,9,22,25,23,25,4,
(0,1),-8.05641 # DEPENDENCYPART_ARC
(0,2),-6.48962 # DEPENDENCYPART_ARC
(0,3),-1.77444 # DEPENDENCYPART_ARC
(0,4),-2.66261 # DEPENDENCYPART_ARC
(0,5),-9.62105 # DEPENDENCYPART_ARC
(0,6),-7.24591 # DEPENDENCYPART_ARC
(0,7),-7.80789 # DEPENDENCYPART_ARC
(0,8),-9.81104 # DEPENDENCYPART_ARC
(0,9),-8.18593 # DEPENDENCYPART_ARC
(0,10),-7.74951 # DEPENDENCYPART_ARC
(0,11),-9.80619 # DEPENDENCYPART_ARC
(0,12),-8.46774 # DEPENDENCYPART_ARC
(0,13),-8.0153 # DEPENDENCYPART_ARC
(0,14),-8.25997 # DEPENDENCYPART_ARC
(0,15),-9.89524 # DEPENDENCYPART_ARC
(0,16),-8.06819 # DEPENDENCYPART_ARC
(0,17),-7.83076 # DEPENDENCYPART_ARC
(0,18),-9.77416 # DEPENDENCYPART_ARC
(0,19),-7.91417 # DEPENDENCYPART_ARC
(0,20),-7.74897 # DEPENDENCYPART_ARC
(0,21),-9.04113 # DEPENDENCYPART_ARC
(0,22),-8.3646 # DEPENDENCYPART_ARC
(0,23),-9.25354 # DEPENDENCYPART_ARC
(0,24),-10.1744 # DEPENDENCYPART_ARC
(0,25),-8.99931 # DEPENDENCYPART_ARC
(0,26),-7.89205 # DEPENDENCYPART_ARC
(0,27),-9.19946 # DEPENDENCYPART_ARC
(1,2),0.80782 # DEPENDENCYPART_ARC
(1,3),-1.25546 # DEPENDENCYPART_ARC
(1,4),-1.72586 # DEPENDENCYPART_ARC
(1,5),-1.53231 # DEPENDENCYPART_ARC
(1,6),-2.71976 # DEPENDENCYPART_ARC
