# _root_ ' Afortunadament ' , ha afegit , ' José_Luís_Rodríguez_Zapatero també hi està d' acord ' .
#goldHeads=12,12,6,6,6,12,6,6,12,12,14,0,12,13,12,12,
#predictedHeads=6,6,2,2,6,0,6,12,12,12,12,6,12,13,12,6,
(0,1),-6.59928 # DEPENDENCYPART_ARC
(0,2),-5.88547 # DEPENDENCYPART_ARC
(0,3),-6.68564 # DEPENDENCYPART_ARC
(0,4),-6.87456 # DEPENDENCYPART_ARC
(0,5),-0.620445 # DEPENDENCYPART_ARC
(0,6),-1.08701 # DEPENDENCYPART_ARC
(0,7),-7.17254 # DEPENDENCYPART_ARC
(0,8),-7.22779 # DEPENDENCYPART_ARC
(0,9),-5.39467 # DEPENDENCYPART_ARC
(0,10),-7.04593 # DEPENDENCYPART_ARC
(0,11),-6.42066 # DEPENDENCYPART_ARC
(0,12),-1.95398 # DEPENDENCYPART_ARC
(0,13),-5.69012 # DEPENDENCYPART_ARC
(0,14),-5.12912 # DEPENDENCYPART_ARC
(0,15),-7.55586 # DEPENDENCYPART_ARC
(0,16),-7.72256 # DEPENDENCYPART_ARC
(1,2),-0.849833 # DEPENDENCYPART_ARC
(1,3),-0.936521 # DEPENDENCYPART_ARC
(1,4),-0.637352 # DEPENDENCYPART_ARC
(1,5),-1.02106 # DEPENDENCYPART_ARC
(1,6),-1.52411 # DEPENDENCYPART_ARC
(1,7),-1.1453 # DEPENDENCYPART_ARC
(1,8),-1.25232 # DEPENDENCYPART_ARC
(1,9),-2.07893 # DEPENDENCYPART_ARC
(1,10),-2.13427 # DEPENDENCYPART_ARC
(1,11),-2.26995 # DEPENDENCYPART_ARC
(1,12),-1.72489 # DEPENDENCYPART_ARC
(1,13),-2.24283 # DEPENDENCYPART_ARC
(1,14),-2.21492 # DEPENDENCYPART_ARC
(1,15),-1.52374 # DEPENDENCYPART_ARC
(1,16),-1.74622 # DEPENDENCYPART_ARC
(2,1),1.58284 # DEPENDENCYPART_ARC
(2,3),2.90602 # DEPENDENCYPART_ARC
(2,4),1.7135 # DEPENDENCYPART_ARC
(2,5),0.961849 # DEPENDENCYPART_ARC
(2,6),0.20334 # DEPENDENCYPART_ARC
(2,7),1.03646 # DEPENDENCYPART_ARC
(2,8),0.4859 # DEPENDENCYPART_ARC
(2,9),-1.28822 # DEPENDENCYPART_ARC
(2,10),-1.10206 # DEPENDENCYPART_ARC
(2,11),-0.465358 # DEPENDENCYPART_ARC
(2,12),-0.657775 # DEPENDENCYPART_ARC
(2,13),-1.29056 # DEPENDENCYPART_ARC
(2,14),-1.32039 # DEPENDENCYPART_ARC
(2,15),-0.456381 # DEPENDENCYPART_ARC
(2,16),0.709337 # DEPENDENCYPART_ARC
(3,1),-1.14375 # DEPENDENCYPART_ARC
(3,2),-0.74812 # DEPENDENCYPART_ARC
(3,4),-0.0191389 # DEPENDENCYPART_ARC
(3,5),-0.55289 # DEPENDENCYPART_ARC
(3,6),-0.941305 # DEPENDENCYPART_ARC
(3,7),-1.06406 # DEPENDENCYPART_ARC
(3,8),-1.21999 # DEPENDENCYPART_ARC
(3,9),-1.71214 # DEPENDENCYPART_ARC
(3,10),-1.71278 # DEPENDENCYPART_ARC
(3,11),-1.95939 # DEPENDENCYPART_ARC
(3,12),-1.43084 # DEPENDENCYPART_ARC
(3,13),-1.83288 # DEPENDENCYPART_ARC
(3,14),-1.87666 # DEPENDENCYPART_ARC
(3,15),-1.16639 # DEPENDENCYPART_ARC
(3,16),-1.36801 # DEPENDENCYPART_ARC
(4,1),-1.34487 # DEPENDENCYPART_ARC
(4,2),-1.31856 # DEPENDENCYPART_ARC
(4,3),-0.164663 # DEPENDENCYPART_ARC
(4,5),-1.1803 # DEPENDENCYPART_ARC
(4,6),-2.22059 # DEPENDENCYPART_ARC
(4,7),-2.16192 # DEPENDENCYPART_ARC
(4,8),-2.36977 # DEPENDENCYPART_ARC
(4,9),-2.86004 # DEPENDENCYPART_ARC
(4,10),-2.9125 # DEPENDENCYPART_ARC
(4,11),-3.15228 # DEPENDENCYPART_ARC
(4,12),-2.74213 # DEPENDENCYPART_ARC
(4,13),-3.09043 # DEPENDENCYPART_ARC
(4,14),-3.10552 # DEPENDENCYPART_ARC
(4,15),-2.53932 # DEPENDENCYPART_ARC
(4,16),-2.76229 # DEPENDENCYPART_ARC
(5,1),0.389644 # DEPENDENCYPART_ARC
(5,2),-0.442721 # DEPENDENCYPART_ARC
(5,3),-0.631319 # DEPENDENCYPART_ARC
(5,4),-1.48862 # DEPENDENCYPART_ARC
(5,6),1.10483 # DEPENDENCYPART_ARC
(5,7),0.780474 # DEPENDENCYPART_ARC
(5,8),0.0380473 # DEPENDENCYPART_ARC
(5,9),-1.23985 # DEPENDENCYPART_ARC
(5,10),-0.31774 # DEPENDENCYPART_ARC
(5,11),-2.72785 # DEPENDENCYPART_ARC
(5,12),-0.646014 # DEPENDENCYPART_ARC
(5,13),-2.56578 # DEPENDENCYPART_ARC
(5,14),-2.14892 # DEPENDENCYPART_ARC
(5,15),0.132688 # DEPENDENCYPART_ARC
(5,16),2.24142 # DEPENDENCYPART_ARC
(6,1),2.25547 # DEPENDENCYPART_ARC
(6,2),1.63969 # DEPENDENCYPART_ARC
(6,3),1.43336 # DEPENDENCYPART_ARC
(6,4),1.12197 # DEPENDENCYPART_ARC
(6,5),7.26288 # DEPENDENCYPART_ARC
(6,7),2.03346 # DEPENDENCYPART_ARC
(6,8),1.15319 # DEPENDENCYPART_ARC
(6,9),0.173439 # DEPENDENCYPART_ARC
(6,10),1.02916 # DEPENDENCYPART_ARC
(6,11),-0.692248 # DEPENDENCYPART_ARC
(6,12),1.40542 # DEPENDENCYPART_ARC
(6,13),-0.851254 # DEPENDENCYPART_ARC
(6,14),-0.568142 # DEPENDENCYPART_ARC
(6,15),0.556648 # DEPENDENCYPART_ARC
(6,16),3.98503 # DEPENDENCYPART_ARC
(7,1),-3.09325 # DEPENDENCYPART_ARC
(7,2),-3.43613 # DEPENDENCYPART_ARC
(7,3),-2.84085 # DEPENDENCYPART_ARC
(7,4),-2.4074 # DEPENDENCYPART_ARC
(7,5),-2.59296 # DEPENDENCYPART_ARC
(7,6),-1.73967 # DEPENDENCYPART_ARC
(7,8),-0.443831 # DEPENDENCYPART_ARC
(7,9),-1.02704 # DEPENDENCYPART_ARC
(7,10),-1.47847 # DEPENDENCYPART_ARC
(7,11),-1.77472 # DEPENDENCYPART_ARC
(7,12),-1.34069 # DEPENDENCYPART_ARC
(7,13),-1.99099 # DEPENDENCYPART_ARC
(7,14),-2.12053 # DEPENDENCYPART_ARC
(7,15),-1.46605 # DEPENDENCYPART_ARC
(7,16),-1.63913 # DEPENDENCYPART_ARC
(8,1),-2.81205 # DEPENDENCYPART_ARC
(8,2),-3.08871 # DEPENDENCYPART_ARC
(8,3),-2.70458 # DEPENDENCYPART_ARC
(8,4),-2.34432 # DEPENDENCYPART_ARC
(8,5),-2.64877 # DEPENDENCYPART_ARC
(8,6),-1.94924 # DEPENDENCYPART_ARC
(8,7),-0.687506 # DEPENDENCYPART_ARC
(8,9),-0.895185 # DEPENDENCYPART_ARC
(8,10),-1.82239 # DEPENDENCYPART_ARC
(8,11),-2.03489 # DEPENDENCYPART_ARC
(8,12),-1.66335 # DEPENDENCYPART_ARC
(8,13),-2.50824 # DEPENDENCYPART_ARC
(8,14),-2.60369 # DEPENDENCYPART_ARC
(8,15),-1.72287 # DEPENDENCYPART_ARC
(8,16),-1.91999 # DEPENDENCYPART_ARC
(9,1),-0.929286 # DEPENDENCYPART_ARC
(9,2),-0.898391 # DEPENDENCYPART_ARC
(9,3),-0.727348 # DEPENDENCYPART_ARC
(9,4),-0.460974 # DEPENDENCYPART_ARC
(9,5),-1.44232 # DEPENDENCYPART_ARC
(9,6),-0.803275 # DEPENDENCYPART_ARC
(9,7),1.20339 # DEPENDENCYPART_ARC
(9,8),2.91734 # DEPENDENCYPART_ARC
(9,10),0.969635 # DEPENDENCYPART_ARC
(9,11),1.01576 # DEPENDENCYPART_ARC
(9,12),1.537 # DEPENDENCYPART_ARC
(9,13),-0.235447 # DEPENDENCYPART_ARC
(9,14),-0.848645 # DEPENDENCYPART_ARC
(9,15),1.81373 # DEPENDENCYPART_ARC
(9,16),0.579575 # DEPENDENCYPART_ARC
(10,1),-2.91131 # DEPENDENCYPART_ARC
(10,2),-2.34316 # DEPENDENCYPART_ARC
(10,3),-2.60561 # DEPENDENCYPART_ARC
(10,4),-2.07997 # DEPENDENCYPART_ARC
(10,5),-2.35325 # DEPENDENCYPART_ARC
(10,6),-2.01446 # DEPENDENCYPART_ARC
(10,7),-0.482619 # DEPENDENCYPART_ARC
(10,8),-1.00875 # DEPENDENCYPART_ARC
(10,9),0.233074 # DEPENDENCYPART_ARC
(10,11),-0.277903 # DEPENDENCYPART_ARC
(10,12),-0.293425 # DEPENDENCYPART_ARC
(10,13),-2.45044 # DEPENDENCYPART_ARC
(10,14),-1.87692 # DEPENDENCYPART_ARC
(10,15),-2.55622 # DEPENDENCYPART_ARC
(10,16),-2.35248 # DEPENDENCYPART_ARC
(11,1),-0.781988 # DEPENDENCYPART_ARC
(11,2),-1.71794 # DEPENDENCYPART_ARC
(11,3),-1.01782 # DEPENDENCYPART_ARC
(11,4),-1.24869 # DEPENDENCYPART_ARC
(11,5),-2.1877 # DEPENDENCYPART_ARC
(11,6),-2.38137 # DEPENDENCYPART_ARC
(11,7),-0.564652 # DEPENDENCYPART_ARC
(11,8),0.13215 # DEPENDENCYPART_ARC
(11,9),-0.851288 # DEPENDENCYPART_ARC
(11,10),0.549769 # DEPENDENCYPART_ARC
(11,12),0.155638 # DEPENDENCYPART_ARC
(11,13),-0.665525 # DEPENDENCYPART_ARC
(11,14),-1.43706 # DEPENDENCYPART_ARC
(11,15),-0.326534 # DEPENDENCYPART_ARC
(11,16),-0.00199083 # DEPENDENCYPART_ARC
(12,1),1.05733 # DEPENDENCYPART_ARC
(12,2),0.699712 # DEPENDENCYPART_ARC
(12,3),0.179953 # DEPENDENCYPART_ARC
(12,4),-0.666006 # DEPENDENCYPART_ARC
(12,5),2.59511 # DEPENDENCYPART_ARC
(12,6),0.699148 # DEPENDENCYPART_ARC
(12,7),1.03788 # DEPENDENCYPART_ARC
(12,8),3.31246 # DEPENDENCYPART_ARC
(12,9),1.98798 # DEPENDENCYPART_ARC
(12,10),3.31501 # DEPENDENCYPART_ARC
(12,11),4.93687 # DEPENDENCYPART_ARC
(12,13),3.39543 # DEPENDENCYPART_ARC
(12,14),3.44201 # DEPENDENCYPART_ARC
(12,15),2.99733 # DEPENDENCYPART_ARC
(12,16),3.93075 # DEPENDENCYPART_ARC
(13,1),-0.813721 # DEPENDENCYPART_ARC
(13,2),-1.14475 # DEPENDENCYPART_ARC
(13,3),-1.18143 # DEPENDENCYPART_ARC
(13,4),-1.87795 # DEPENDENCYPART_ARC
(13,5),-0.714769 # DEPENDENCYPART_ARC
(13,6),-1.51732 # DEPENDENCYPART_ARC
(13,7),-0.696824 # DEPENDENCYPART_ARC
(13,8),-0.685386 # DEPENDENCYPART_ARC
(13,9),-1.03973 # DEPENDENCYPART_ARC
(13,10),0.0653125 # DEPENDENCYPART_ARC
(13,11),-0.11934 # DEPENDENCYPART_ARC
(13,12),1.45101 # DEPENDENCYPART_ARC
(13,14),5.58515 # DEPENDENCYPART_ARC
(13,15),0.707423 # DEPENDENCYPART_ARC
(13,16),0.0533537 # DEPENDENCYPART_ARC
(14,1),-2.53738 # DEPENDENCYPART_ARC
(14,2),-1.67014 # DEPENDENCYPART_ARC
(14,3),-2.19127 # DEPENDENCYPART_ARC
(14,4),-1.28089 # DEPENDENCYPART_ARC
(14,5),-2.30554 # DEPENDENCYPART_ARC
(14,6),-2.98794 # DEPENDENCYPART_ARC
(14,7),-0.819539 # DEPENDENCYPART_ARC
(14,8),-0.546569 # DEPENDENCYPART_ARC
(14,9),-1.24365 # DEPENDENCYPART_ARC
(14,10),-0.406846 # DEPENDENCYPART_ARC
(14,11),0.778978 # DEPENDENCYPART_ARC
(14,12),-0.179453 # DEPENDENCYPART_ARC
(14,13),1.33466 # DEPENDENCYPART_ARC
(14,15),0.352967 # DEPENDENCYPART_ARC
(14,16),-0.374415 # DEPENDENCYPART_ARC
(15,1),-3.17013 # DEPENDENCYPART_ARC
(15,2),-3.53616 # DEPENDENCYPART_ARC
(15,3),-3.08672 # DEPENDENCYPART_ARC
(15,4),-2.97381 # DEPENDENCYPART_ARC
(15,5),-3.46482 # DEPENDENCYPART_ARC
(15,6),-3.52249 # DEPENDENCYPART_ARC
(15,7),-2.56917 # DEPENDENCYPART_ARC
(15,8),-2.48132 # DEPENDENCYPART_ARC
(15,9),-3.11318 # DEPENDENCYPART_ARC
(15,10),-2.66426 # DEPENDENCYPART_ARC
(15,11),-2.3324 # DEPENDENCYPART_ARC
(15,12),-2.35819 # DEPENDENCYPART_ARC
(15,13),-1.30304 # DEPENDENCYPART_ARC
(15,14),-1.27753 # DEPENDENCYPART_ARC
(15,16),-0.805141 # DEPENDENCYPART_ARC
(16,1),-3.53215 # DEPENDENCYPART_ARC
(16,2),-3.93835 # DEPENDENCYPART_ARC
(16,3),-3.5554 # DEPENDENCYPART_ARC
(16,4),-3.37745 # DEPENDENCYPART_ARC
(16,5),-3.87393 # DEPENDENCYPART_ARC
(16,6),-3.79766 # DEPENDENCYPART_ARC
(16,7),-3.11622 # DEPENDENCYPART_ARC
(16,8),-2.92224 # DEPENDENCYPART_ARC
(16,9),-3.4927 # DEPENDENCYPART_ARC
(16,10),-3.18914 # DEPENDENCYPART_ARC
(16,11),-2.86395 # DEPENDENCYPART_ARC
(16,12),-2.94339 # DEPENDENCYPART_ARC
(16,13),-1.82057 # DEPENDENCYPART_ARC
(16,14),-2.36927 # DEPENDENCYPART_ARC
(16,15),-1.04643 # DEPENDENCYPART_ARC
