# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
(0,1),-8.05641 # DEPENDENCYPART_ARC
(0,2),-6.9402 # DEPENDENCYPART_ARC
(0,3),-6.93805 # DEPENDENCYPART_ARC
(0,4),-7.35125 # DEPENDENCYPART_ARC
(0,5),-7.38747 # DEPENDENCYPART_ARC
(0,6),-7.38167 # DEPENDENCYPART_ARC
(0,7),-7.90277 # DEPENDENCYPART_ARC
(0,8),-7.10096 # DEPENDENCYPART_ARC
(0,9),-7.61107 # DEPENDENCYPART_ARC
(0,10),-6.87949 # DEPENDENCYPART_ARC
(0,11),-7.60673 # DEPENDENCYPART_ARC
(0,12),-6.20046 # DEPENDENCYPART_ARC
(0,13),-3.54196 # DEPENDENCYPART_ARC
(0,14),-2.89485 # DEPENDENCYPART_ARC
(0,15),-7.78179 # DEPENDENCYPART_ARC
(0,16),-9.71906 # DEPENDENCYPART_ARC
(0,17),-7.52928 # DEPENDENCYPART_ARC
(0,18),-8.72681 # DEPENDENCYPART_ARC
(0,19),-10.1582 # DEPENDENCYPART_ARC
(0,20),-8.30178 # DEPENDENCYPART_ARC
(0,21),-8.11901 # DEPENDENCYPART_ARC
(0,22),-9.63078 # DEPENDENCYPART_ARC
(0,23),-10.142 # DEPENDENCYPART_ARC
(0,24),-8.35589 # DEPENDENCYPART_ARC
(0,25),-7.9904 # DEPENDENCYPART_ARC
(0,26),-9.11228 # DEPENDENCYPART_ARC
(1,2),1.30585 # DEPENDENCYPART_ARC
(1,3),0.253835 # DEPENDENCYPART_ARC
(1,4),-1.70082 # DEPENDENCYPART_ARC
(1,5),-1.10794 # DEPENDENCYPART_ARC
(1,6),-1.3225 # DEPENDENCYPART_ARC
(1,7),-1.45809 # DEPENDENCYPART_ARC
(1,8),-3.00112 # DEPENDENCYPART_ARC
(1,9),-2.38381 # DEPENDENCYPART_ARC
(1,10),-3.23177 # DEPENDENCYPART_ARC
(1,11),-2.68452 # DEPENDENCYPART_ARC
(1,12),-2.36962 # DEPENDENCYPART_ARC
(1,13),-2.86085 # DEPENDENCYPART_ARC
(1,14),-3.1377 # DEPENDENCYPART_ARC
(1,15),-4.67578 # DEPENDENCYPART_ARC
(1,16),-4.36684 # DEPENDENCYPART_ARC
(1,17),-3.38049 # DEPENDENCYPART_ARC
(1,18),-5.03925 # DEPENDENCYPART_ARC
(1,19),-4.86171 # DEPENDENCYPART_ARC
(1,20),-4.22057 # DEPENDENCYPART_ARC
(1,21),-3.13974 # DEPENDENCYPART_ARC
(1,22),-6.15987 # DEPENDENCYPART_ARC
(1,23),-6.12742 # DEPENDENCYPART_ARC
(1,24),-4.69567 # DEPENDENCYPART_ARC
(1,25),-4.17841 # DEPENDENCYPART_ARC
(1,26),-3.88579 # DEPENDENCYPART_ARC
(2,1),4.74243 # DEPENDENCYPART_ARC
(2,3),3.30939 # DEPENDENCYPART_ARC
(2,4),1.69043 # DEPENDENCYPART_ARC
(2,5),2.5511 # DEPENDENCYPART_ARC
(2,6),2.23617 # DEPENDENCYPART_ARC
(2,7),2.48359 # DEPENDENCYPART_ARC
(2,8),1.57353 # DEPENDENCYPART_ARC
(2,9),1.16819 # DEPENDENCYPART_ARC
(2,10),2.62858 # DEPENDENCYPART_ARC
(2,11),0.776916 # DEPENDENCYPART_ARC
(2,12),0.595673 # DEPENDENCYPART_ARC
(2,13),0.866811 # DEPENDENCYPART_ARC
(2,14),0.941546 # DEPENDENCYPART_ARC
(2,15),-0.356078 # DEPENDENCYPART_ARC
