# _root_ En el cas del disc de Belén_Alonso , la fotografia de llibret és de Julia_Llona i el disseny de Juanjo_Melgar ; en el disc de Díaz , la fotografia i el disseny del llibret són de Carlos_Roche .
#goldHeads=13,3,1,3,4,3,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,29,33,13,35,36,13,
#predictedHeads=13,3,1,3,4,5,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,18,24,22,24,25,22,29,35,29,32,29,32,33,13,35,36,13,
(0,1),-7.72506 # DEPENDENCYPART_ARC
(0,3),-6.35788 # DEPENDENCYPART_ARC
(0,4),-8.33167 # DEPENDENCYPART_ARC
(0,5),-6.85058 # DEPENDENCYPART_ARC
(0,6),-8.35011 # DEPENDENCYPART_ARC
(0,7),-6.34329 # DEPENDENCYPART_ARC
(0,10),-6.72337 # DEPENDENCYPART_ARC
(0,11),-9.00686 # DEPENDENCYPART_ARC
(0,12),-6.69643 # DEPENDENCYPART_ARC
(0,13),-1.64319 # DEPENDENCYPART_ARC
(0,14),-9.2814 # DEPENDENCYPART_ARC
(0,15),-7.2842 # DEPENDENCYPART_ARC
(0,18),-7.33973 # DEPENDENCYPART_ARC
(0,19),-10.1197 # DEPENDENCYPART_ARC
(0,20),-7.07752 # DEPENDENCYPART_ARC
(0,22),-10.0257 # DEPENDENCYPART_ARC
(0,24),-7.41348 # DEPENDENCYPART_ARC
(0,25),-11.0305 # DEPENDENCYPART_ARC
(0,26),-7.11882 # DEPENDENCYPART_ARC
(0,29),-7.56704 # DEPENDENCYPART_ARC
(0,32),-8.13609 # DEPENDENCYPART_ARC
(0,33),-11.5899 # DEPENDENCYPART_ARC
(0,34),-8.09371 # DEPENDENCYPART_ARC
(0,35),-3.34913 # DEPENDENCYPART_ARC
(0,36),-12.7084 # DEPENDENCYPART_ARC
(0,37),-7.99881 # DEPENDENCYPART_ARC
(1,2),0.111061 # DEPENDENCYPART_ARC
(1,3),4.36917 # DEPENDENCYPART_ARC
(1,4),-0.23295 # DEPENDENCYPART_ARC
(1,5),1.08014 # DEPENDENCYPART_ARC
(1,6),-0.790725 # DEPENDENCYPART_ARC
(1,7),-0.679707 # DEPENDENCYPART_ARC
(1,8),2.68001 # DEPENDENCYPART_ARC
(1,9),-2.03096 # DEPENDENCYPART_ARC
(1,10),-3.71436 # DEPENDENCYPART_ARC
(1,11),-2.04664 # DEPENDENCYPART_ARC
(1,12),-5.09978 # DEPENDENCYPART_ARC
(1,13),-1.56458 # DEPENDENCYPART_ARC
(1,14),-2.96788 # DEPENDENCYPART_ARC
(1,15),-8.54869 # DEPENDENCYPART_ARC
(1,16),-0.936709 # DEPENDENCYPART_ARC
(1,17),-2.3169 # DEPENDENCYPART_ARC
(1,18),-11.1785 # DEPENDENCYPART_ARC
(1,19),-3.73444 # DEPENDENCYPART_ARC
(1,20),-12.8788 # DEPENDENCYPART_ARC
(1,21),0.26537 # DEPENDENCYPART_ARC
(1,22),-1.00109 # DEPENDENCYPART_ARC
(1,23),-2.65374 # DEPENDENCYPART_ARC
(1,24),-15.7066 # DEPENDENCYPART_ARC
(1,25),-4.91471 # DEPENDENCYPART_ARC
(1,26),-17.1144 # DEPENDENCYPART_ARC
(1,27),0.252595 # DEPENDENCYPART_ARC
(1,28),-2.46605 # DEPENDENCYPART_ARC
(1,29),-20.1509 # DEPENDENCYPART_ARC
(1,30),-3.14779 # DEPENDENCYPART_ARC
(1,31),-2.22135 # DEPENDENCYPART_ARC
(1,32),-23.5723 # DEPENDENCYPART_ARC
(1,33),-6.27946 # DEPENDENCYPART_ARC
(1,34),-24.8266 # DEPENDENCYPART_ARC
(1,35),-5.29239 # DEPENDENCYPART_ARC
(1,36),-7.52325 # DEPENDENCYPART_ARC
(1,37),-27.0675 # DEPENDENCYPART_ARC
(1,38),-0.748798 # DEPENDENCYPART_ARC
(2,1),-0.789033 # DEPENDENCYPART_ARC
(2,3),2.29887 # DEPENDENCYPART_ARC
(2,4),-0.065005 # DEPENDENCYPART_ARC
(2,5),-0.953517 # DEPENDENCYPART_ARC
(2,6),-0.889124 # DEPENDENCYPART_ARC
(2,7),-2.41346 # DEPENDENCYPART_ARC
(2,9),-2.93985 # DEPENDENCYPART_ARC
(2,10),-2.11513 # DEPENDENCYPART_ARC
(2,11),-2.28444 # DEPENDENCYPART_ARC
(2,12),-3.08226 # DEPENDENCYPART_ARC
(2,14),-3.42699 # DEPENDENCYPART_ARC
(2,15),-4.10343 # DEPENDENCYPART_ARC
(2,16),-3.24734 # DEPENDENCYPART_ARC
(2,17),-5.8779 # DEPENDENCYPART_ARC
(2,18),-3.12482 # DEPENDENCYPART_ARC
(2,19),-3.89452 # DEPENDENCYPART_ARC
(2,20),-4.7853 # DEPENDENCYPART_ARC
(2,22),-6.56293 # DEPENDENCYPART_ARC
(2,23),-7.56485 # DEPENDENCYPART_ARC
(2,24),-3.76997 # DEPENDENCYPART_ARC
(2,25),-4.99762 # DEPENDENCYPART_ARC
(2,26),-5.5088 # DEPENDENCYPART_ARC
(2,28),-9.73961 # DEPENDENCYPART_ARC
(2,29),-5.3587 # DEPENDENCYPART_ARC
(2,30),-4.77556 # DEPENDENCYPART_ARC
(2,31),-10.5453 # DEPENDENCYPART_ARC
(2,32),-4.68393 # DEPENDENCYPART_ARC
(2,33),-6.57193 # DEPENDENCYPART_ARC
(2,34),-5.79842 # DEPENDENCYPART_ARC
(2,36),-6.74656 # DEPENDENCYPART_ARC
(2,37),-6.61828 # DEPENDENCYPART_ARC
(3,1),0.597556 # DEPENDENCYPART_ARC
(3,2),3.62656 # DEPENDENCYPART_ARC
(3,4),3.17944 # DEPENDENCYPART_ARC
(3,5),0.444701 # DEPENDENCYPART_ARC
(3,6),2.42549 # DEPENDENCYPART_ARC
(3,7),-0.139635 # DEPENDENCYPART_ARC
(3,8),0.248131 # DEPENDENCYPART_ARC
(3,9),-2.51935 # DEPENDENCYPART_ARC
(3,10),0.0265032 # DEPENDENCYPART_ARC
(3,11),1.50662 # DEPENDENCYPART_ARC
(3,12),-0.82547 # DEPENDENCYPART_ARC
(3,13),0.452648 # DEPENDENCYPART_ARC
(3,14),-0.585739 # DEPENDENCYPART_ARC
(3,15),-2.4527 # DEPENDENCYPART_ARC
(3,16),-0.147228 # DEPENDENCYPART_ARC
(3,17),-2.95724 # DEPENDENCYPART_ARC
(3,18),-1.76868 # DEPENDENCYPART_ARC
(3,19),-0.188013 # DEPENDENCYPART_ARC
(3,20),-2.39022 # DEPENDENCYPART_ARC
(3,21),0.603179 # DEPENDENCYPART_ARC
(3,22),-2.02196 # DEPENDENCYPART_ARC
(3,23),-3.64353 # DEPENDENCYPART_ARC
(3,24),-2.37241 # DEPENDENCYPART_ARC
(3,25),-1.46631 # DEPENDENCYPART_ARC
(3,26),-3.46443 # DEPENDENCYPART_ARC
(3,27),-1.76871 # DEPENDENCYPART_ARC
(3,28),-4.8829 # DEPENDENCYPART_ARC
(3,29),-2.72416 # DEPENDENCYPART_ARC
(3,30),-1.68328 # DEPENDENCYPART_ARC
(3,31),-4.2999 # DEPENDENCYPART_ARC
(3,32),-4.21211 # DEPENDENCYPART_ARC
(3,33),-4.63966 # DEPENDENCYPART_ARC
(3,34),-4.64127 # DEPENDENCYPART_ARC
(3,35),-3.71455 # DEPENDENCYPART_ARC
(3,36),-3.54392 # DEPENDENCYPART_ARC
(3,37),-5.30804 # DEPENDENCYPART_ARC
(3,38),0.287138 # DEPENDENCYPART_ARC
(4,1),-0.00234468 # DEPENDENCYPART_ARC
(4,2),0.654089 # DEPENDENCYPART_ARC
(4,3),0.159797 # DEPENDENCYPART_ARC
(4,5),4.03002 # DEPENDENCYPART_ARC
(4,6),0.203258 # DEPENDENCYPART_ARC
(4,7),0.637576 # DEPENDENCYPART_ARC
(4,8),-0.47932 # DEPENDENCYPART_ARC
(4,9),-3.01994 # DEPENDENCYPART_ARC
(4,10),-3.22923 # DEPENDENCYPART_ARC
(4,11),-0.632078 # DEPENDENCYPART_ARC
(4,12),-3.45282 # DEPENDENCYPART_ARC
(4,13),-2.53902 # DEPENDENCYPART_ARC
(4,14),-1.23815 # DEPENDENCYPART_ARC
(4,15),-6.64457 # DEPENDENCYPART_ARC
(4,16),-0.750969 # DEPENDENCYPART_ARC
(4,17),-3.20383 # DEPENDENCYPART_ARC
(4,18),-8.82439 # DEPENDENCYPART_ARC
(4,19),-1.23785 # DEPENDENCYPART_ARC
(4,20),-10.2979 # DEPENDENCYPART_ARC
(4,21),0.476579 # DEPENDENCYPART_ARC
(4,22),-3.14781 # DEPENDENCYPART_ARC
(4,23),-3.50389 # DEPENDENCYPART_ARC
(4,24),-12.5436 # DEPENDENCYPART_ARC
(4,25),-1.09641 # DEPENDENCYPART_ARC
(4,26),-13.7639 # DEPENDENCYPART_ARC
(4,27),-1.979 # DEPENDENCYPART_ARC
(4,28),-3.88222 # DEPENDENCYPART_ARC
(4,29),-17.1519 # DEPENDENCYPART_ARC
(4,30),-1.55554 # DEPENDENCYPART_ARC
(4,31),-3.22147 # DEPENDENCYPART_ARC
(4,32),-19.1982 # DEPENDENCYPART_ARC
(4,33),-2.36328 # DEPENDENCYPART_ARC
(4,34),-19.9385 # DEPENDENCYPART_ARC
