# _root_ Tot_i_que ahir hi va haver una reunió de darrera hora , no es va aconseguir acostar posicions , de_manera_que els treballadors han decidit anar a la vaga .
#goldHeads=5,5,5,5,15,7,5,7,10,8,5,15,15,15,0,15,16,23,23,21,23,23,15,23,24,27,25,15,
#predictedHeads=5,5,5,5,0,7,5,7,10,8,4,15,15,15,7,15,16,23,23,21,23,23,16,23,24,27,25,16,
(0,1),-6.10964 # DEPENDENCYPART_ARC
(0,2),-7.43297 # DEPENDENCYPART_ARC
(0,3),-6.81057 # DEPENDENCYPART_ARC
(0,4),-5.15805 # DEPENDENCYPART_ARC
(0,5),-5.25921 # DEPENDENCYPART_ARC
(0,7),-7.84143 # DEPENDENCYPART_ARC
(0,8),-8.35403 # DEPENDENCYPART_ARC
(0,10),-7.25718 # DEPENDENCYPART_ARC
(0,12),-8.26332 # DEPENDENCYPART_ARC
(0,14),-4.85935 # DEPENDENCYPART_ARC
(0,15),-4.93258 # DEPENDENCYPART_ARC
(0,16),-5.20453 # DEPENDENCYPART_ARC
(0,17),-6.94634 # DEPENDENCYPART_ARC
(0,19),-7.94259 # DEPENDENCYPART_ARC
(0,21),-7.75824 # DEPENDENCYPART_ARC
(0,22),-5.01197 # DEPENDENCYPART_ARC
(0,23),-4.90149 # DEPENDENCYPART_ARC
(0,24),-5.55236 # DEPENDENCYPART_ARC
(0,25),-8.46311 # DEPENDENCYPART_ARC
(0,27),-7.27399 # DEPENDENCYPART_ARC
(1,2),-0.278197 # DEPENDENCYPART_ARC
(1,3),0.0995462 # DEPENDENCYPART_ARC
(1,4),0.315582 # DEPENDENCYPART_ARC
(1,5),-0.713031 # DEPENDENCYPART_ARC
(1,6),-2.05155 # DEPENDENCYPART_ARC
(1,7),-2.02896 # DEPENDENCYPART_ARC
(1,8),-1.71733 # DEPENDENCYPART_ARC
(1,10),-2.21183 # DEPENDENCYPART_ARC
(1,11),-0.534918 # DEPENDENCYPART_ARC
(1,12),-2.42709 # DEPENDENCYPART_ARC
(1,14),-1.80595 # DEPENDENCYPART_ARC
(1,15),-2.13984 # DEPENDENCYPART_ARC
(1,16),-2.11117 # DEPENDENCYPART_ARC
(1,17),-2.95185 # DEPENDENCYPART_ARC
(1,18),-0.519571 # DEPENDENCYPART_ARC
(1,19),-0.72451 # DEPENDENCYPART_ARC
(1,21),-3.92078 # DEPENDENCYPART_ARC
(1,22),-2.65596 # DEPENDENCYPART_ARC
(1,23),-2.89055 # DEPENDENCYPART_ARC
(1,24),-3.15391 # DEPENDENCYPART_ARC
(1,25),-2.74389 # DEPENDENCYPART_ARC
(1,27),-4.35839 # DEPENDENCYPART_ARC
(1,28),0.407189 # DEPENDENCYPART_ARC
(2,1),0.055731 # DEPENDENCYPART_ARC
(2,3),-0.0618284 # DEPENDENCYPART_ARC
(2,4),-0.229185 # DEPENDENCYPART_ARC
(2,5),-1.27448 # DEPENDENCYPART_ARC
(2,6),-2.28479 # DEPENDENCYPART_ARC
(2,7),-2.06279 # DEPENDENCYPART_ARC
(2,8),-2.85837 # DEPENDENCYPART_ARC
(2,10),-2.02589 # DEPENDENCYPART_ARC
(2,11),-1.14663 # DEPENDENCYPART_ARC
(2,12),-3.0382 # DEPENDENCYPART_ARC
(2,14),-2.68879 # DEPENDENCYPART_ARC
(2,15),-3.07476 # DEPENDENCYPART_ARC
(2,16),-3.26767 # DEPENDENCYPART_ARC
(2,17),-2.4604 # DEPENDENCYPART_ARC
(2,18),-2.204 # DEPENDENCYPART_ARC
(2,19),-2.35438 # DEPENDENCYPART_ARC
(2,20),-3.0295 # DEPENDENCYPART_ARC
(2,21),-2.93864 # DEPENDENCYPART_ARC
(2,22),-3.72019 # DEPENDENCYPART_ARC
(2,23),-4.09198 # DEPENDENCYPART_ARC
(2,24),-4.51037 # DEPENDENCYPART_ARC
(2,25),-4.48995 # DEPENDENCYPART_ARC
(2,26),-3.35518 # DEPENDENCYPART_ARC
(2,27),-2.83386 # DEPENDENCYPART_ARC
(2,28),-0.400272 # DEPENDENCYPART_ARC
(3,1),-0.804705 # DEPENDENCYPART_ARC
(3,2),-0.211525 # DEPENDENCYPART_ARC
(3,6),-0.939884 # DEPENDENCYPART_ARC
(3,7),-1.13892 # DEPENDENCYPART_ARC
(3,8),-1.74063 # DEPENDENCYPART_ARC
(3,10),-1.6024 # DEPENDENCYPART_ARC
(3,11),-1.50714 # DEPENDENCYPART_ARC
(3,12),-1.95896 # DEPENDENCYPART_ARC
(3,15),-2.6096 # DEPENDENCYPART_ARC
(3,16),-2.98042 # DEPENDENCYPART_ARC
(3,17),-1.28885 # DEPENDENCYPART_ARC
(3,18),-2.53031 # DEPENDENCYPART_ARC
(3,19),-1.41751 # DEPENDENCYPART_ARC
(3,21),-2.63918 # DEPENDENCYPART_ARC
(3,23),-5.47767 # DEPENDENCYPART_ARC
(3,24),-4.71375 # DEPENDENCYPART_ARC
(3,25),-5.03019 # DEPENDENCYPART_ARC
(3,27),-3.01149 # DEPENDENCYPART_ARC
(3,28),-1.40777 # DEPENDENCYPART_ARC
(4,1),1.83498 # DEPENDENCYPART_ARC
(4,2),1.50733 # DEPENDENCYPART_ARC
(4,3),1.63857 # DEPENDENCYPART_ARC
(4,5),1.86741 # DEPENDENCYPART_ARC
(4,6),-2.50049 # DEPENDENCYPART_ARC
(4,7),0.8627 # DEPENDENCYPART_ARC
(4,8),-0.111049 # DEPENDENCYPART_ARC
(4,10),-0.32388 # DEPENDENCYPART_ARC
(4,11),0.470523 # DEPENDENCYPART_ARC
(4,12),-1.31261 # DEPENDENCYPART_ARC
(4,13),-1.84121 # DEPENDENCYPART_ARC
(4,14),-1.86926 # DEPENDENCYPART_ARC
(4,15),-1.9725 # DEPENDENCYPART_ARC
(4,16),-1.20915 # DEPENDENCYPART_ARC
(4,17),-0.630048 # DEPENDENCYPART_ARC
(4,18),0.151837 # DEPENDENCYPART_ARC
(4,19),-1.67893 # DEPENDENCYPART_ARC
(4,20),-4.69064 # DEPENDENCYPART_ARC
(4,21),-2.47794 # DEPENDENCYPART_ARC
(4,22),-3.11399 # DEPENDENCYPART_ARC
(4,23),-3.19814 # DEPENDENCYPART_ARC
(4,24),-2.53169 # DEPENDENCYPART_ARC
(4,25),-2.97738 # DEPENDENCYPART_ARC
(4,26),-4.5984 # DEPENDENCYPART_ARC
(4,27),-2.30008 # DEPENDENCYPART_ARC
(4,28),0.688324 # DEPENDENCYPART_ARC
(5,1),2.58349 # DEPENDENCYPART_ARC
(5,2),2.72118 # DEPENDENCYPART_ARC
(5,3),3.28718 # DEPENDENCYPART_ARC
(5,4),4.67487 # DEPENDENCYPART_ARC
(5,6),-1.44385 # DEPENDENCYPART_ARC
(5,7),3.39067 # DEPENDENCYPART_ARC
(5,8),0.304229 # DEPENDENCYPART_ARC
(5,10),1.56893 # DEPENDENCYPART_ARC
(5,11),0.234012 # DEPENDENCYPART_ARC
(5,12),-1.0421 # DEPENDENCYPART_ARC
(5,13),-1.90128 # DEPENDENCYPART_ARC
(5,14),-0.282061 # DEPENDENCYPART_ARC
(5,15),0.185195 # DEPENDENCYPART_ARC
(5,16),0.114154 # DEPENDENCYPART_ARC
(5,17),0.704272 # DEPENDENCYPART_ARC
(5,18),0.590247 # DEPENDENCYPART_ARC
(5,19),-1.02557 # DEPENDENCYPART_ARC
(5,20),-4.10722 # DEPENDENCYPART_ARC
(5,21),-1.23591 # DEPENDENCYPART_ARC
(5,22),-0.998802 # DEPENDENCYPART_ARC
(5,23),-0.692693 # DEPENDENCYPART_ARC
(5,24),-0.671602 # DEPENDENCYPART_ARC
(5,25),-1.1365 # DEPENDENCYPART_ARC
(5,26),-4.18818 # DEPENDENCYPART_ARC
(5,27),-1.42091 # DEPENDENCYPART_ARC
(5,28),3.2307 # DEPENDENCYPART_ARC
(6,2),-1.90463 # DEPENDENCYPART_ARC
(6,7),3.22746 # DEPENDENCYPART_ARC
(6,8),1.13169 # DEPENDENCYPART_ARC
(6,9),-0.427068 # DEPENDENCYPART_ARC
(6,10),-0.687985 # DEPENDENCYPART_ARC
(6,17),-2.90828 # DEPENDENCYPART_ARC
(6,21),-3.52444 # DEPENDENCYPART_ARC
(6,25),-5.94868 # DEPENDENCYPART_ARC
(6,27),-3.32721 # DEPENDENCYPART_ARC
(7,1),-0.49058 # DEPENDENCYPART_ARC
(7,2),-0.25507 # DEPENDENCYPART_ARC
(7,3),1.01208 # DEPENDENCYPART_ARC
(7,4),-0.904075 # DEPENDENCYPART_ARC
(7,5),0.552888 # DEPENDENCYPART_ARC
(7,6),4.59668 # DEPENDENCYPART_ARC
(7,8),3.75794 # DEPENDENCYPART_ARC
(7,9),2.17094 # DEPENDENCYPART_ARC
(7,10),1.54626 # DEPENDENCYPART_ARC
(7,11),0.368806 # DEPENDENCYPART_ARC
(7,12),0.0660161 # DEPENDENCYPART_ARC
(7,14),1.64016 # DEPENDENCYPART_ARC
(7,15),1.28304 # DEPENDENCYPART_ARC
(7,16),0.480877 # DEPENDENCYPART_ARC
(7,17),-0.423925 # DEPENDENCYPART_ARC
(7,18),-0.0945913 # DEPENDENCYPART_ARC
(7,19),0.0437106 # DEPENDENCYPART_ARC
(7,20),-3.09736 # DEPENDENCYPART_ARC
(7,21),-1.68955 # DEPENDENCYPART_ARC
