# _root_ Heather_Mills , l' exmodel de 34 anys que dijous que ve es casarà amb Paul_McCartney , ha muntat un comiat de soltera amb tota mena de luxes .
#goldHeads=18,4,4,1,4,7,5,13,13,11,9,13,4,13,14,4,18,0,20,18,20,21,20,27,24,24,23,18,
#predictedHeads=18,4,4,1,4,7,5,13,13,11,4,13,4,13,14,13,18,0,20,18,20,21,18,25,23,25,26,18,
(0,1),-5.85561 # DEPENDENCYPART_ARC
(0,2),-7.81044 # DEPENDENCYPART_ARC
(0,3),-9.08563 # DEPENDENCYPART_ARC
(0,4),-7.03458 # DEPENDENCYPART_ARC
(0,5),-8.06291 # DEPENDENCYPART_ARC
(0,6),-7.64592 # DEPENDENCYPART_ARC
(0,7),-6.69485 # DEPENDENCYPART_ARC
(0,8),-7.11065 # DEPENDENCYPART_ARC
(0,9),-7.77691 # DEPENDENCYPART_ARC
(0,10),-7.12138 # DEPENDENCYPART_ARC
(0,11),-3.57547 # DEPENDENCYPART_ARC
(0,12),-7.27506 # DEPENDENCYPART_ARC
(0,13),-2.72305 # DEPENDENCYPART_ARC
(0,14),-8.105 # DEPENDENCYPART_ARC
(0,15),-7.78937 # DEPENDENCYPART_ARC
(0,16),-8.50978 # DEPENDENCYPART_ARC
(0,17),-1.18755 # DEPENDENCYPART_ARC
(0,18),-3.1953 # DEPENDENCYPART_ARC
(0,19),-10.4937 # DEPENDENCYPART_ARC
(0,20),-7.95943 # DEPENDENCYPART_ARC
(0,21),-9.51488 # DEPENDENCYPART_ARC
(0,22),-7.82923 # DEPENDENCYPART_ARC
(0,23),-8.81427 # DEPENDENCYPART_ARC
(0,24),-10.5112 # DEPENDENCYPART_ARC
(0,25),-8.13744 # DEPENDENCYPART_ARC
(0,26),-10.349 # DEPENDENCYPART_ARC
(0,27),-8.00605 # DEPENDENCYPART_ARC
(0,28),-9.59721 # DEPENDENCYPART_ARC
(1,2),1.08561 # DEPENDENCYPART_ARC
(1,3),0.751899 # DEPENDENCYPART_ARC
(1,4),2.41703 # DEPENDENCYPART_ARC
(1,5),1.78675 # DEPENDENCYPART_ARC
(1,6),0.660535 # DEPENDENCYPART_ARC
(1,7),1.15077 # DEPENDENCYPART_ARC
(1,8),-0.185527 # DEPENDENCYPART_ARC
(1,9),0.594777 # DEPENDENCYPART_ARC
(1,10),-0.40663 # DEPENDENCYPART_ARC
(1,11),3.23891 # DEPENDENCYPART_ARC
(1,12),-0.573997 # DEPENDENCYPART_ARC
(1,13),2.56423 # DEPENDENCYPART_ARC
(1,14),-0.0289172 # DEPENDENCYPART_ARC
(1,15),-0.239644 # DEPENDENCYPART_ARC
(1,16),0.469036 # DEPENDENCYPART_ARC
(1,17),0.515143 # DEPENDENCYPART_ARC
(1,18),1.25929 # DEPENDENCYPART_ARC
(1,19),-1.59789 # DEPENDENCYPART_ARC
(1,20),-0.0832319 # DEPENDENCYPART_ARC
(1,21),-1.77459 # DEPENDENCYPART_ARC
(1,22),-0.642487 # DEPENDENCYPART_ARC
(1,23),-1.3067 # DEPENDENCYPART_ARC
(1,24),-2.18118 # DEPENDENCYPART_ARC
(1,25),-0.43493 # DEPENDENCYPART_ARC
(1,26),-3.33556 # DEPENDENCYPART_ARC
(1,27),-0.906859 # DEPENDENCYPART_ARC
(1,28),3.29751 # DEPENDENCYPART_ARC
(2,1),-1.50971 # DEPENDENCYPART_ARC
(2,3),-1.14271 # DEPENDENCYPART_ARC
(2,4),-1.11816 # DEPENDENCYPART_ARC
(2,5),-1.57493 # DEPENDENCYPART_ARC
(2,6),-1.12771 # DEPENDENCYPART_ARC
(2,7),-1.79428 # DEPENDENCYPART_ARC
(2,8),-2.10159 # DEPENDENCYPART_ARC
(2,9),-1.54467 # DEPENDENCYPART_ARC
(2,10),-2.24423 # DEPENDENCYPART_ARC
(2,11),-1.63063 # DEPENDENCYPART_ARC
(2,12),-2.59547 # DEPENDENCYPART_ARC
(2,13),-2.08259 # DEPENDENCYPART_ARC
(2,14),-2.42007 # DEPENDENCYPART_ARC
(2,15),-2.59955 # DEPENDENCYPART_ARC
(2,16),-2.12883 # DEPENDENCYPART_ARC
(2,17),-2.31292 # DEPENDENCYPART_ARC
(2,18),-2.40749 # DEPENDENCYPART_ARC
(2,19),-3.06343 # DEPENDENCYPART_ARC
(2,20),-2.6348 # DEPENDENCYPART_ARC
(2,21),-2.59403 # DEPENDENCYPART_ARC
(2,22),-2.70775 # DEPENDENCYPART_ARC
(2,23),-2.73411 # DEPENDENCYPART_ARC
(2,24),-3.28111 # DEPENDENCYPART_ARC
(2,25),-2.82755 # DEPENDENCYPART_ARC
