# _root_ L' empresa Formigons_Montcau desmantellarà la_seva fàbrica de Sabadell , situada al barri d' Hostafrancs i envoltada de vivendes , en un termini de tres anys .
#goldHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,4,22,20,22,25,23,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,6,22,20,22,25,23,4,
(0,2),-6.81658 # DEPENDENCYPART_ARC
(0,3),-7.36465 # DEPENDENCYPART_ARC
(0,4),-1.5371 # DEPENDENCYPART_ARC
(0,6),-8.41436 # DEPENDENCYPART_ARC
(0,7),-8.67338 # DEPENDENCYPART_ARC
(0,8),-7.95691 # DEPENDENCYPART_ARC
(0,10),-9.23743 # DEPENDENCYPART_ARC
(0,11),-9.16366 # DEPENDENCYPART_ARC
(0,12),-8.2154 # DEPENDENCYPART_ARC
(0,13),-8.84575 # DEPENDENCYPART_ARC
(0,14),-8.23253 # DEPENDENCYPART_ARC
(0,16),-9.16431 # DEPENDENCYPART_ARC
(0,17),-9.41085 # DEPENDENCYPART_ARC
(0,18),-7.63294 # DEPENDENCYPART_ARC
(0,20),-9.38177 # DEPENDENCYPART_ARC
(0,22),-8.40087 # DEPENDENCYPART_ARC
(0,23),-10.5031 # DEPENDENCYPART_ARC
(0,25),-8.18021 # DEPENDENCYPART_ARC
(1,2),0.614208 # DEPENDENCYPART_ARC
(1,3),-0.444153 # DEPENDENCYPART_ARC
(1,5),-2.0905 # DEPENDENCYPART_ARC
(1,6),-2.06177 # DEPENDENCYPART_ARC
(1,7),-2.38559 # DEPENDENCYPART_ARC
(1,8),-3.91386 # DEPENDENCYPART_ARC
(1,10),-4.3412 # DEPENDENCYPART_ARC
(1,11),-4.49473 # DEPENDENCYPART_ARC
(1,12),-3.84396 # DEPENDENCYPART_ARC
(1,13),-3.97452 # DEPENDENCYPART_ARC
(1,14),-4.39523 # DEPENDENCYPART_ARC
(1,15),-3.45688 # DEPENDENCYPART_ARC
(1,16),-4.44256 # DEPENDENCYPART_ARC
(1,17),-4.44965 # DEPENDENCYPART_ARC
(1,18),-4.89383 # DEPENDENCYPART_ARC
(1,20),-6.80515 # DEPENDENCYPART_ARC
(1,21),-8.32738 # DEPENDENCYPART_ARC
(1,22),-4.71287 # DEPENDENCYPART_ARC
(1,23),-5.95953 # DEPENDENCYPART_ARC
(1,24),-7.94483 # DEPENDENCYPART_ARC
(1,25),-6.22759 # DEPENDENCYPART_ARC
(2,1),3.95945 # DEPENDENCYPART_ARC
(2,3),3.81716 # DEPENDENCYPART_ARC
(2,4),1.83543 # DEPENDENCYPART_ARC
(2,5),0.616531 # DEPENDENCYPART_ARC
(2,6),0.562113 # DEPENDENCYPART_ARC
(2,7),0.739816 # DEPENDENCYPART_ARC
(2,8),-0.103163 # DEPENDENCYPART_ARC
(2,9),0.0851103 # DEPENDENCYPART_ARC
(2,10),1.62474 # DEPENDENCYPART_ARC
(2,11),-0.905548 # DEPENDENCYPART_ARC
(2,12),-0.655779 # DEPENDENCYPART_ARC
(2,13),-0.970666 # DEPENDENCYPART_ARC
(2,14),-0.655265 # DEPENDENCYPART_ARC
(2,15),-0.331586 # DEPENDENCYPART_ARC
(2,16),0.602859 # DEPENDENCYPART_ARC
(2,17),-1.49571 # DEPENDENCYPART_ARC
(2,18),-0.0853231 # DEPENDENCYPART_ARC
(2,19),-0.547174 # DEPENDENCYPART_ARC
(2,20),-2.12649 # DEPENDENCYPART_ARC
(2,21),-3.17218 # DEPENDENCYPART_ARC
(2,22),-0.78358 # DEPENDENCYPART_ARC
(2,23),-2.92222 # DEPENDENCYPART_ARC
(2,24),-3.75369 # DEPENDENCYPART_ARC
(2,25),-1.73672 # DEPENDENCYPART_ARC
(2,26),-0.379496 # DEPENDENCYPART_ARC
(3,1),1.71897 # DEPENDENCYPART_ARC
(3,2),0.690582 # DEPENDENCYPART_ARC
(3,4),0.10485 # DEPENDENCYPART_ARC
(3,5),-1.6819 # DEPENDENCYPART_ARC
(3,6),-1.43371 # DEPENDENCYPART_ARC
(3,7),-1.46861 # DEPENDENCYPART_ARC
(3,8),-0.963778 # DEPENDENCYPART_ARC
(3,9),-1.05899 # DEPENDENCYPART_ARC
(3,10),-1.3142 # DEPENDENCYPART_ARC
(3,11),-2.65812 # DEPENDENCYPART_ARC
(3,12),-2.0732 # DEPENDENCYPART_ARC
(3,13),-3.26425 # DEPENDENCYPART_ARC
(3,14),-1.61936 # DEPENDENCYPART_ARC
(3,15),-1.00051 # DEPENDENCYPART_ARC
(3,16),-2.28483 # DEPENDENCYPART_ARC
(3,17),-3.67267 # DEPENDENCYPART_ARC
(3,18),-1.4942 # DEPENDENCYPART_ARC
(3,19),-2.11426 # DEPENDENCYPART_ARC
(3,20),-3.58579 # DEPENDENCYPART_ARC
(3,21),-3.57837 # DEPENDENCYPART_ARC
(3,22),-2.70695 # DEPENDENCYPART_ARC
(3,23),-5.60549 # DEPENDENCYPART_ARC
(3,24),-4.02943 # DEPENDENCYPART_ARC
(3,25),-3.00548 # DEPENDENCYPART_ARC
(3,26),-0.863686 # DEPENDENCYPART_ARC
(4,1),-0.00189219 # DEPENDENCYPART_ARC
(4,2),2.70499 # DEPENDENCYPART_ARC
(4,3),1.8952 # DEPENDENCYPART_ARC
(4,6),3.78949 # DEPENDENCYPART_ARC
(4,7),1.26805 # DEPENDENCYPART_ARC
(4,8),1.569 # DEPENDENCYPART_ARC
(4,9),0.527734 # DEPENDENCYPART_ARC
(4,10),0.936151 # DEPENDENCYPART_ARC
(4,11),1.28922 # DEPENDENCYPART_ARC
(4,12),0.373437 # DEPENDENCYPART_ARC
(4,13),0.282206 # DEPENDENCYPART_ARC
(4,14),0.106807 # DEPENDENCYPART_ARC
(4,15),0.879143 # DEPENDENCYPART_ARC
(4,16),0.590266 # DEPENDENCYPART_ARC
(4,17),-0.574767 # DEPENDENCYPART_ARC
(4,18),0.581005 # DEPENDENCYPART_ARC
(4,19),-0.238053 # DEPENDENCYPART_ARC
(4,20),0.0860978 # DEPENDENCYPART_ARC
(4,22),-0.129645 # DEPENDENCYPART_ARC
(4,23),-1.04205 # DEPENDENCYPART_ARC
(4,25),-1.11661 # DEPENDENCYPART_ARC
(4,26),5.33422 # DEPENDENCYPART_ARC
(5,21),-5.29804 # DEPENDENCYPART_ARC
(5,24),-6.15961 # DEPENDENCYPART_ARC
(6,1),-0.851554 # DEPENDENCYPART_ARC
(6,2),-0.929809 # DEPENDENCYPART_ARC
(6,3),-0.918104 # DEPENDENCYPART_ARC
(6,4),-0.301992 # DEPENDENCYPART_ARC
(6,5),3.86997 # DEPENDENCYPART_ARC
(6,7),3.78833 # DEPENDENCYPART_ARC
(6,8),1.23286 # DEPENDENCYPART_ARC
(6,9),0.774359 # DEPENDENCYPART_ARC
(6,10),3.12907 # DEPENDENCYPART_ARC
(6,11),1.28712 # DEPENDENCYPART_ARC
(6,12),-0.275788 # DEPENDENCYPART_ARC
(6,13),1.49216 # DEPENDENCYPART_ARC
(6,14),-0.0772455 # DEPENDENCYPART_ARC
(6,15),1.30222 # DEPENDENCYPART_ARC
(6,16),1.58478 # DEPENDENCYPART_ARC
(6,17),0.259544 # DEPENDENCYPART_ARC
(6,18),0.0436042 # DEPENDENCYPART_ARC
(6,19),-0.601938 # DEPENDENCYPART_ARC
(6,20),0.902382 # DEPENDENCYPART_ARC
(6,21),-2.46465 # DEPENDENCYPART_ARC
(6,22),-0.233342 # DEPENDENCYPART_ARC
(6,23),-1.21072 # DEPENDENCYPART_ARC
(6,24),-2.88592 # DEPENDENCYPART_ARC
(6,25),-0.777352 # DEPENDENCYPART_ARC
(6,26),1.13809 # DEPENDENCYPART_ARC
(7,1),-2.19326 # DEPENDENCYPART_ARC
(7,2),-1.7238 # DEPENDENCYPART_ARC
(7,3),-1.81945 # DEPENDENCYPART_ARC
(7,4),-0.366292 # DEPENDENCYPART_ARC
(7,6),0.490282 # DEPENDENCYPART_ARC
(7,8),3.89574 # DEPENDENCYPART_ARC
(7,9),-0.0354777 # DEPENDENCYPART_ARC
(7,10),-0.11151 # DEPENDENCYPART_ARC
(7,11),-1.39002 # DEPENDENCYPART_ARC
(7,12),0.134178 # DEPENDENCYPART_ARC
(7,13),-0.361578 # DEPENDENCYPART_ARC
(7,14),-1.68023 # DEPENDENCYPART_ARC
(7,15),-0.22424 # DEPENDENCYPART_ARC
(7,16),-1.94234 # DEPENDENCYPART_ARC
(7,17),-0.169973 # DEPENDENCYPART_ARC
(7,18),-2.59895 # DEPENDENCYPART_ARC
(7,19),0.0879434 # DEPENDENCYPART_ARC
(7,20),-1.90167 # DEPENDENCYPART_ARC
(7,21),-3.43198 # DEPENDENCYPART_ARC
(7,22),-5.05178 # DEPENDENCYPART_ARC
(7,23),-0.647665 # DEPENDENCYPART_ARC
(7,24),-2.82081 # DEPENDENCYPART_ARC
(7,25),-7.59198 # DEPENDENCYPART_ARC
(7,26),-0.522923 # DEPENDENCYPART_ARC
(8,1),-2.37118 # DEPENDENCYPART_ARC
(8,2),-1.91667 # DEPENDENCYPART_ARC
(8,3),-1.39522 # DEPENDENCYPART_ARC
(8,4),-1.28948 # DEPENDENCYPART_ARC
(8,5),1.22813 # DEPENDENCYPART_ARC
(8,6),-0.287445 # DEPENDENCYPART_ARC
(8,7),1.3491 # DEPENDENCYPART_ARC
(8,9),0.744685 # DEPENDENCYPART_ARC
(8,10),1.47794 # DEPENDENCYPART_ARC
(8,11),-0.232054 # DEPENDENCYPART_ARC
(8,12),0.356474 # DEPENDENCYPART_ARC
(8,13),0.135794 # DEPENDENCYPART_ARC
(8,14),0.61778 # DEPENDENCYPART_ARC
(8,15),0.729723 # DEPENDENCYPART_ARC
(8,16),-0.118459 # DEPENDENCYPART_ARC
(8,17),-0.799771 # DEPENDENCYPART_ARC
(8,18),0.377448 # DEPENDENCYPART_ARC
(8,19),-1.51218 # DEPENDENCYPART_ARC
(8,20),-1.74131 # DEPENDENCYPART_ARC
(8,21),-2.19547 # DEPENDENCYPART_ARC
(8,22),-0.68856 # DEPENDENCYPART_ARC
(8,23),-2.68451 # DEPENDENCYPART_ARC
(8,24),-2.50119 # DEPENDENCYPART_ARC
(8,25),-0.851101 # DEPENDENCYPART_ARC
(8,26),-0.299452 # DEPENDENCYPART_ARC
(9,2),-3.16957 # DEPENDENCYPART_ARC
(9,6),-2.30511 # DEPENDENCYPART_ARC
(9,10),-0.126646 # DEPENDENCYPART_ARC
(9,12),-1.3517 # DEPENDENCYPART_ARC
(9,16),-1.45743 # DEPENDENCYPART_ARC
(9,18),-1.76554 # DEPENDENCYPART_ARC
(9,19),-0.706324 # DEPENDENCYPART_ARC
(9,22),-1.87122 # DEPENDENCYPART_ARC
(9,25),-1.96001 # DEPENDENCYPART_ARC
(10,1),-2.36574 # DEPENDENCYPART_ARC
(10,2),-1.80877 # DEPENDENCYPART_ARC
(10,3),-2.10182 # DEPENDENCYPART_ARC
(10,4),-2.02585 # DEPENDENCYPART_ARC
(10,5),-1.16251 # DEPENDENCYPART_ARC
(10,6),-0.828117 # DEPENDENCYPART_ARC
(10,7),0.714471 # DEPENDENCYPART_ARC
(10,8),-0.41705 # DEPENDENCYPART_ARC
(10,9),2.74584 # DEPENDENCYPART_ARC
(10,11),4.24311 # DEPENDENCYPART_ARC
(10,12),1.92873 # DEPENDENCYPART_ARC
(10,13),1.15306 # DEPENDENCYPART_ARC
(10,14),0.902202 # DEPENDENCYPART_ARC
(10,15),2.80833 # DEPENDENCYPART_ARC
(10,16),2.58706 # DEPENDENCYPART_ARC
(10,17),0.139917 # DEPENDENCYPART_ARC
(10,18),-0.0931859 # DEPENDENCYPART_ARC
(10,19),2.01999 # DEPENDENCYPART_ARC
(10,20),-0.0571363 # DEPENDENCYPART_ARC
(10,21),-2.65214 # DEPENDENCYPART_ARC
(10,22),-0.199143 # DEPENDENCYPART_ARC
(10,23),-2.16624 # DEPENDENCYPART_ARC
(10,24),-2.65009 # DEPENDENCYPART_ARC
(10,25),0.492772 # DEPENDENCYPART_ARC
(10,26),0.477071 # DEPENDENCYPART_ARC
(11,1),-2.55409 # DEPENDENCYPART_ARC
(11,2),-2.26013 # DEPENDENCYPART_ARC
(11,3),-2.60781 # DEPENDENCYPART_ARC
(11,4),-2.24215 # DEPENDENCYPART_ARC
(11,6),-1.62556 # DEPENDENCYPART_ARC
(11,7),-0.68953 # DEPENDENCYPART_ARC
(11,8),-1.58749 # DEPENDENCYPART_ARC
(11,9),0.501098 # DEPENDENCYPART_ARC
(11,10),0.361043 # DEPENDENCYPART_ARC
(11,12),4.17449 # DEPENDENCYPART_ARC
(11,13),-0.0318249 # DEPENDENCYPART_ARC
(11,14),0.948227 # DEPENDENCYPART_ARC
(11,15),0.589003 # DEPENDENCYPART_ARC
(11,16),-1.45727 # DEPENDENCYPART_ARC
(11,17),-0.742564 # DEPENDENCYPART_ARC
(11,18),-1.82409 # DEPENDENCYPART_ARC
(11,19),0.385318 # DEPENDENCYPART_ARC
(11,20),-0.885057 # DEPENDENCYPART_ARC
(11,21),-2.74512 # DEPENDENCYPART_ARC
(11,22),-3.40107 # DEPENDENCYPART_ARC
(11,23),-2.13359 # DEPENDENCYPART_ARC
(11,24),-2.81671 # DEPENDENCYPART_ARC
(11,25),-5.48914 # DEPENDENCYPART_ARC
(11,26),-0.345352 # DEPENDENCYPART_ARC
(12,1),-4.91274 # DEPENDENCYPART_ARC
(12,2),-3.62422 # DEPENDENCYPART_ARC
(12,3),-3.36952 # DEPENDENCYPART_ARC
(12,4),-3.46907 # DEPENDENCYPART_ARC
(12,5),-2.19503 # DEPENDENCYPART_ARC
(12,6),-3.1482 # DEPENDENCYPART_ARC
(12,7),-2.48092 # DEPENDENCYPART_ARC
(12,8),-2.2836 # DEPENDENCYPART_ARC
(12,9),-0.928486 # DEPENDENCYPART_ARC
(12,10),-1.26892 # DEPENDENCYPART_ARC
(12,11),-0.397168 # DEPENDENCYPART_ARC
(12,13),3.34742 # DEPENDENCYPART_ARC
(12,14),1.41657 # DEPENDENCYPART_ARC
(12,15),1.24891 # DEPENDENCYPART_ARC
(12,16),0.31667 # DEPENDENCYPART_ARC
(12,17),2.15558 # DEPENDENCYPART_ARC
(12,18),0.718006 # DEPENDENCYPART_ARC
(12,19),-0.140308 # DEPENDENCYPART_ARC
(12,20),-0.131169 # DEPENDENCYPART_ARC
(12,21),-1.50959 # DEPENDENCYPART_ARC
(12,22),0.219756 # DEPENDENCYPART_ARC
(12,23),0.653022 # DEPENDENCYPART_ARC
(12,24),-2.5968 # DEPENDENCYPART_ARC
(12,25),-0.485685 # DEPENDENCYPART_ARC
(12,26),0.80717 # DEPENDENCYPART_ARC
(13,1),-2.55421 # DEPENDENCYPART_ARC
(13,2),-2.41583 # DEPENDENCYPART_ARC
(13,3),-2.61328 # DEPENDENCYPART_ARC
(13,4),-1.28693 # DEPENDENCYPART_ARC
(13,6),-1.81325 # DEPENDENCYPART_ARC
(13,7),-1.55418 # DEPENDENCYPART_ARC
(13,8),-1.88034 # DEPENDENCYPART_ARC
(13,9),-0.530002 # DEPENDENCYPART_ARC
(13,10),-0.938986 # DEPENDENCYPART_ARC
(13,11),-0.51576 # DEPENDENCYPART_ARC
(13,12),0.63637 # DEPENDENCYPART_ARC
(13,14),3.98003 # DEPENDENCYPART_ARC
(13,15),0.664809 # DEPENDENCYPART_ARC
(13,16),0.129665 # DEPENDENCYPART_ARC
(13,17),0.329597 # DEPENDENCYPART_ARC
(13,18),1.33679 # DEPENDENCYPART_ARC
