# _root_ Dues dones s' abracen a Miami , ahir , després de conèixer la decisió del tribunal d' Atlanta .
#goldHeads=2,4,4,0,4,5,8,4,10,4,10,11,14,12,14,15,16,17,4,
#predictedHeads=2,4,4,0,4,5,8,4,10,4,10,11,14,12,14,15,16,17,4,
(0,1),-7.50904 # DEPENDENCYPART_ARC
(0,2),-5.80603 # DEPENDENCYPART_ARC
(0,3),-5.96607 # DEPENDENCYPART_ARC
(0,4),-2.51742 # DEPENDENCYPART_ARC
(0,5),-7.41792 # DEPENDENCYPART_ARC
(0,6),-7.00974 # DEPENDENCYPART_ARC
(0,7),-7.63474 # DEPENDENCYPART_ARC
(0,8),-7.40614 # DEPENDENCYPART_ARC
(0,9),-7.66325 # DEPENDENCYPART_ARC
(0,10),-7.87102 # DEPENDENCYPART_ARC
(0,11),-7.06888 # DEPENDENCYPART_ARC
(0,12),-4.2377 # DEPENDENCYPART_ARC
(0,13),-9.73046 # DEPENDENCYPART_ARC
(0,14),-7.30506 # DEPENDENCYPART_ARC
(0,15),-8.05487 # DEPENDENCYPART_ARC
(0,16),-7.32708 # DEPENDENCYPART_ARC
(0,17),-7.96177 # DEPENDENCYPART_ARC
(0,18),-6.88838 # DEPENDENCYPART_ARC
(0,19),-8.45882 # DEPENDENCYPART_ARC
(1,2),0.590432 # DEPENDENCYPART_ARC
(1,3),-1.36376 # DEPENDENCYPART_ARC
(1,4),-0.883179 # DEPENDENCYPART_ARC
(1,5),-1.78525 # DEPENDENCYPART_ARC
(1,6),-2.1427 # DEPENDENCYPART_ARC
(1,7),-2.55164 # DEPENDENCYPART_ARC
(1,8),-2.09306 # DEPENDENCYPART_ARC
(1,9),-2.45156 # DEPENDENCYPART_ARC
(1,10),-2.07424 # DEPENDENCYPART_ARC
(1,11),-2.54126 # DEPENDENCYPART_ARC
(1,12),-2.48779 # DEPENDENCYPART_ARC
(1,13),-3.99887 # DEPENDENCYPART_ARC
(1,14),-3.21174 # DEPENDENCYPART_ARC
(1,15),-3.35687 # DEPENDENCYPART_ARC
(1,16),-3.93464 # DEPENDENCYPART_ARC
(1,17),-3.0586 # DEPENDENCYPART_ARC
(1,18),-3.85185 # DEPENDENCYPART_ARC
(1,19),-3.22822 # DEPENDENCYPART_ARC
(2,1),3.95711 # DEPENDENCYPART_ARC
(2,3),-0.785148 # DEPENDENCYPART_ARC
(2,4),2.19165 # DEPENDENCYPART_ARC
(2,5),-1.49675 # DEPENDENCYPART_ARC
(2,6),-1.39035 # DEPENDENCYPART_ARC
(2,7),-1.47708 # DEPENDENCYPART_ARC
(2,8),-1.60549 # DEPENDENCYPART_ARC
(2,9),-1.14265 # DEPENDENCYPART_ARC
(2,10),-1.9504 # DEPENDENCYPART_ARC
(2,11),-2.90348 # DEPENDENCYPART_ARC
(2,12),-1.30312 # DEPENDENCYPART_ARC
(2,13),-3.81485 # DEPENDENCYPART_ARC
(2,14),-2.6782 # DEPENDENCYPART_ARC
(2,15),-3.1077 # DEPENDENCYPART_ARC
(2,16),-3.18843 # DEPENDENCYPART_ARC
(2,17),-3.15608 # DEPENDENCYPART_ARC
(2,18),-2.56915 # DEPENDENCYPART_ARC
(2,19),0.120298 # DEPENDENCYPART_ARC
(3,1),-0.686677 # DEPENDENCYPART_ARC
(3,2),-1.01341 # DEPENDENCYPART_ARC
(3,4),1.43233 # DEPENDENCYPART_ARC
(3,5),-0.791318 # DEPENDENCYPART_ARC
(3,6),-0.0325679 # DEPENDENCYPART_ARC
(3,7),-0.499039 # DEPENDENCYPART_ARC
(3,8),-1.32779 # DEPENDENCYPART_ARC
(3,9),-0.650035 # DEPENDENCYPART_ARC
(3,10),-1.65883 # DEPENDENCYPART_ARC
(3,11),-2.15402 # DEPENDENCYPART_ARC
(3,12),-1.72329 # DEPENDENCYPART_ARC
(3,13),-1.31997 # DEPENDENCYPART_ARC
(3,14),-2.13962 # DEPENDENCYPART_ARC
(3,15),-4.28452 # DEPENDENCYPART_ARC
(3,16),-2.912 # DEPENDENCYPART_ARC
(3,17),-2.76189 # DEPENDENCYPART_ARC
(3,18),-1.44032 # DEPENDENCYPART_ARC
(3,19),-0.344376 # DEPENDENCYPART_ARC
(4,1),1.22092 # DEPENDENCYPART_ARC
(4,2),3.25034 # DEPENDENCYPART_ARC
(4,3),4.05844 # DEPENDENCYPART_ARC
(4,5),4.58062 # DEPENDENCYPART_ARC
(4,6),2.91109 # DEPENDENCYPART_ARC
(4,7),1.74744 # DEPENDENCYPART_ARC
(4,8),1.87781 # DEPENDENCYPART_ARC
(4,9),1.21882 # DEPENDENCYPART_ARC
(4,10),1.21596 # DEPENDENCYPART_ARC
(4,11),-0.323459 # DEPENDENCYPART_ARC
(4,12),0.620511 # DEPENDENCYPART_ARC
(4,13),-3.24208 # DEPENDENCYPART_ARC
(4,14),0.891651 # DEPENDENCYPART_ARC
(4,15),-1.19536 # DEPENDENCYPART_ARC
(4,16),-0.720967 # DEPENDENCYPART_ARC
(4,17),-0.631876 # DEPENDENCYPART_ARC
(4,18),-0.420894 # DEPENDENCYPART_ARC
(4,19),3.01864 # DEPENDENCYPART_ARC
(5,1),-0.650136 # DEPENDENCYPART_ARC
(5,2),-1.65711 # DEPENDENCYPART_ARC
(5,3),-1.1622 # DEPENDENCYPART_ARC
(5,4),0.339413 # DEPENDENCYPART_ARC
(5,6),5.19647 # DEPENDENCYPART_ARC
(5,7),0.619085 # DEPENDENCYPART_ARC
(5,8),0.0965658 # DEPENDENCYPART_ARC
(5,9),0.168858 # DEPENDENCYPART_ARC
(5,10),-0.717187 # DEPENDENCYPART_ARC
(5,11),-0.679437 # DEPENDENCYPART_ARC
(5,12),-0.471769 # DEPENDENCYPART_ARC
(5,13),-3.02137 # DEPENDENCYPART_ARC
(5,14),-2.56967 # DEPENDENCYPART_ARC
(5,15),-1.73346 # DEPENDENCYPART_ARC
(5,16),-3.16734 # DEPENDENCYPART_ARC
(5,17),-2.27955 # DEPENDENCYPART_ARC
(5,18),-4.03913 # DEPENDENCYPART_ARC
(5,19),-1.35719 # DEPENDENCYPART_ARC
(6,1),-1.2859 # DEPENDENCYPART_ARC
(6,2),-1.80697 # DEPENDENCYPART_ARC
(6,3),-0.373694 # DEPENDENCYPART_ARC
(6,4),-0.784249 # DEPENDENCYPART_ARC
(6,5),0.733949 # DEPENDENCYPART_ARC
(6,7),0.144648 # DEPENDENCYPART_ARC
(6,8),0.0971527 # DEPENDENCYPART_ARC
(6,9),-0.0176497 # DEPENDENCYPART_ARC
(6,10),-0.321306 # DEPENDENCYPART_ARC
(6,11),-1.24758 # DEPENDENCYPART_ARC
(6,12),0.4958 # DEPENDENCYPART_ARC
(6,13),-2.0192 # DEPENDENCYPART_ARC
(6,14),-1.34152 # DEPENDENCYPART_ARC
(6,15),-1.85636 # DEPENDENCYPART_ARC
(6,16),-1.14654 # DEPENDENCYPART_ARC
(6,17),-1.98291 # DEPENDENCYPART_ARC
(6,18),-0.948221 # DEPENDENCYPART_ARC
(6,19),-0.139362 # DEPENDENCYPART_ARC
(7,1),-3.14301 # DEPENDENCYPART_ARC
(7,2),-3.21941 # DEPENDENCYPART_ARC
(7,3),-2.4213 # DEPENDENCYPART_ARC
(7,4),-2.40692 # DEPENDENCYPART_ARC
(7,5),-1.39851 # DEPENDENCYPART_ARC
(7,6),-1.34445 # DEPENDENCYPART_ARC
(7,8),-1.04583 # DEPENDENCYPART_ARC
(7,9),-1.10308 # DEPENDENCYPART_ARC
(7,10),-1.67793 # DEPENDENCYPART_ARC
(7,11),-1.63884 # DEPENDENCYPART_ARC
(7,12),-1.38675 # DEPENDENCYPART_ARC
(7,13),-2.57201 # DEPENDENCYPART_ARC
(7,14),-2.0499 # DEPENDENCYPART_ARC
(7,15),-2.06726 # DEPENDENCYPART_ARC
(7,16),-2.17055 # DEPENDENCYPART_ARC
(7,17),-2.06516 # DEPENDENCYPART_ARC
(7,18),-2.28209 # DEPENDENCYPART_ARC
(7,19),-1.58122 # DEPENDENCYPART_ARC
(8,1),-2.11669 # DEPENDENCYPART_ARC
(8,2),-2.5174 # DEPENDENCYPART_ARC
(8,3),-1.63393 # DEPENDENCYPART_ARC
(8,4),-1.54669 # DEPENDENCYPART_ARC
(8,5),-0.474371 # DEPENDENCYPART_ARC
(8,6),-1.11457 # DEPENDENCYPART_ARC
(8,7),2.4241 # DEPENDENCYPART_ARC
(8,9),2.79557 # DEPENDENCYPART_ARC
(8,10),0.169601 # DEPENDENCYPART_ARC
(8,11),-0.115913 # DEPENDENCYPART_ARC
(8,12),-0.128304 # DEPENDENCYPART_ARC
(8,13),-1.33813 # DEPENDENCYPART_ARC
(8,14),-1.53524 # DEPENDENCYPART_ARC
(8,15),-1.38233 # DEPENDENCYPART_ARC
(8,16),-1.70575 # DEPENDENCYPART_ARC
(8,17),-2.15357 # DEPENDENCYPART_ARC
(8,18),-1.39535 # DEPENDENCYPART_ARC
(8,19),-0.588178 # DEPENDENCYPART_ARC
(9,1),-3.67579 # DEPENDENCYPART_ARC
