# _root_ Fidel a la_seva filosofia , no utilitza frac ni esmòquing , l' uniforme oficial d' un director .
#goldHeads=7,1,4,2,1,7,0,7,8,8,13,13,8,13,13,17,15,7,
#predictedHeads=7,1,4,2,1,7,0,7,8,8,1,13,8,13,13,17,15,7,
(0,1),-6.6994 # DEPENDENCYPART_ARC
(0,2),-6.98775 # DEPENDENCYPART_ARC
(0,3),-8.62403 # DEPENDENCYPART_ARC
(0,4),-5.90338 # DEPENDENCYPART_ARC
(0,5),-7.49993 # DEPENDENCYPART_ARC
(0,6),-6.68643 # DEPENDENCYPART_ARC
(0,7),-2.10323 # DEPENDENCYPART_ARC
(0,8),-6.70942 # DEPENDENCYPART_ARC
(0,9),-7.40932 # DEPENDENCYPART_ARC
(0,10),-6.32197 # DEPENDENCYPART_ARC
(0,11),-7.59406 # DEPENDENCYPART_ARC
(0,12),-9.3792 # DEPENDENCYPART_ARC
(0,13),-6.9257 # DEPENDENCYPART_ARC
(0,14),-8.02103 # DEPENDENCYPART_ARC
(0,15),-7.53043 # DEPENDENCYPART_ARC
(0,16),-9.64898 # DEPENDENCYPART_ARC
(0,17),-6.76014 # DEPENDENCYPART_ARC
(0,18),-8.23896 # DEPENDENCYPART_ARC
(1,2),2.75887 # DEPENDENCYPART_ARC
(1,3),0.310883 # DEPENDENCYPART_ARC
(1,4),1.26648 # DEPENDENCYPART_ARC
(1,5),2.29409 # DEPENDENCYPART_ARC
(1,6),0.712115 # DEPENDENCYPART_ARC
(1,7),0.736081 # DEPENDENCYPART_ARC
(1,8),-0.216625 # DEPENDENCYPART_ARC
(1,9),0.723781 # DEPENDENCYPART_ARC
(1,10),-0.2434 # DEPENDENCYPART_ARC
(1,11),1.69201 # DEPENDENCYPART_ARC
(1,12),-1.52669 # DEPENDENCYPART_ARC
(1,13),-0.828767 # DEPENDENCYPART_ARC
(1,14),0.186578 # DEPENDENCYPART_ARC
(1,15),-2.68474 # DEPENDENCYPART_ARC
(1,16),-1.85541 # DEPENDENCYPART_ARC
(1,17),-0.998457 # DEPENDENCYPART_ARC
(1,18),0.939214 # DEPENDENCYPART_ARC
(2,1),0.665388 # DEPENDENCYPART_ARC
(2,3),0.547791 # DEPENDENCYPART_ARC
(2,4),5.27264 # DEPENDENCYPART_ARC
(2,5),0.553669 # DEPENDENCYPART_ARC
(2,6),-0.506591 # DEPENDENCYPART_ARC
(2,7),0.11794 # DEPENDENCYPART_ARC
(2,8),-1.67086 # DEPENDENCYPART_ARC
(2,9),-0.1445 # DEPENDENCYPART_ARC
(2,10),-3.66309 # DEPENDENCYPART_ARC
(2,11),-1.06066 # DEPENDENCYPART_ARC
(2,12),-1.38607 # DEPENDENCYPART_ARC
(2,13),-5.88142 # DEPENDENCYPART_ARC
(2,14),-2.00832 # DEPENDENCYPART_ARC
(2,15),-2.83332 # DEPENDENCYPART_ARC
(2,16),-2.48682 # DEPENDENCYPART_ARC
(2,17),-7.82518 # DEPENDENCYPART_ARC
(2,18),-1.17694 # DEPENDENCYPART_ARC
(3,1),-1.32148 # DEPENDENCYPART_ARC
(3,2),0.094305 # DEPENDENCYPART_ARC
(3,4),-0.133369 # DEPENDENCYPART_ARC
(3,5),-1.95314 # DEPENDENCYPART_ARC
(3,6),-1.98246 # DEPENDENCYPART_ARC
(3,7),-3.41734 # DEPENDENCYPART_ARC
(3,8),-3.57909 # DEPENDENCYPART_ARC
(3,9),-2.78519 # DEPENDENCYPART_ARC
(3,10),-4.44397 # DEPENDENCYPART_ARC
(3,11),-3.40014 # DEPENDENCYPART_ARC
(3,12),-3.1151 # DEPENDENCYPART_ARC
(3,13),-4.51083 # DEPENDENCYPART_ARC
(3,14),-4.22518 # DEPENDENCYPART_ARC
(3,15),-4.7456 # DEPENDENCYPART_ARC
