# _root_ En l' obra s' hi pot veure un cert paral·lelisme amb la vida de l' autor , s' hi veu reflectida la_seva sensibilitat , les_seves inquietuds i els_seus dubtes .
#goldHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,7,20,20,7,20,23,20,23,26,23,23,29,23,7,
#predictedHeads=7,3,1,7,7,7,0,10,8,7,7,13,11,13,16,14,20,20,20,16,20,23,20,23,26,23,23,29,26,7,
(0,1),-7.44216 # DEPENDENCYPART_ARC
(0,2),-8.2344 # DEPENDENCYPART_ARC
(0,3),-5.3294 # DEPENDENCYPART_ARC
(0,4),-6.51792 # DEPENDENCYPART_ARC
(0,5),-6.12676 # DEPENDENCYPART_ARC
(0,6),-4.00706 # DEPENDENCYPART_ARC
(0,7),-3.265 # DEPENDENCYPART_ARC
(0,8),-9.53011 # DEPENDENCYPART_ARC
(0,9),-9.45437 # DEPENDENCYPART_ARC
(0,10),-7.57965 # DEPENDENCYPART_ARC
(0,11),-8.09225 # DEPENDENCYPART_ARC
(0,12),-9.55046 # DEPENDENCYPART_ARC
(0,13),-7.82961 # DEPENDENCYPART_ARC
(0,14),-9.28718 # DEPENDENCYPART_ARC
(0,15),-9.67209 # DEPENDENCYPART_ARC
(0,16),-7.64698 # DEPENDENCYPART_ARC
(0,17),-8.1654 # DEPENDENCYPART_ARC
(0,18),-6.35393 # DEPENDENCYPART_ARC
(0,19),-6.03143 # DEPENDENCYPART_ARC
(0,20),-3.70955 # DEPENDENCYPART_ARC
(0,21),-8.49072 # DEPENDENCYPART_ARC
(0,22),-9.86867 # DEPENDENCYPART_ARC
(0,23),-7.75535 # DEPENDENCYPART_ARC
(0,24),-8.79005 # DEPENDENCYPART_ARC
(0,25),-9.72608 # DEPENDENCYPART_ARC
(0,26),-8.75693 # DEPENDENCYPART_ARC
(0,27),-8.27214 # DEPENDENCYPART_ARC
(0,28),-9.50401 # DEPENDENCYPART_ARC
(0,29),-8.76004 # DEPENDENCYPART_ARC
(0,30),-9.09429 # DEPENDENCYPART_ARC
(1,2),1.21294 # DEPENDENCYPART_ARC
(1,3),5.26869 # DEPENDENCYPART_ARC
(1,4),-0.324576 # DEPENDENCYPART_ARC
