# _root_ Per intentar el rècord , l' embarcació catalana participarà en el rànquing ' World_Sailing_Record ' , l' entitat que estableix la legalitat de les marques .
#goldHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
#predictedHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
(0,1),-6.81673 # DEPENDENCYPART_ARC
(0,2),-4.35622 # DEPENDENCYPART_ARC
(0,4),-5.99659 # DEPENDENCYPART_ARC
(0,7),-6.70368 # DEPENDENCYPART_ARC
(0,8),-8.2231 # DEPENDENCYPART_ARC
(0,9),-1.95965 # DEPENDENCYPART_ARC
(0,10),-8.42895 # DEPENDENCYPART_ARC
(0,12),-6.68452 # DEPENDENCYPART_ARC
(0,14),-6.53073 # DEPENDENCYPART_ARC
(0,18),-6.40013 # DEPENDENCYPART_ARC
(0,20),-2.01123 # DEPENDENCYPART_ARC
(0,22),-7.49507 # DEPENDENCYPART_ARC
(0,23),-10.0624 # DEPENDENCYPART_ARC
(0,25),-7.29016 # DEPENDENCYPART_ARC
(1,2),4.88538 # DEPENDENCYPART_ARC
(1,3),-0.728157 # DEPENDENCYPART_ARC
(1,4),1.13845 # DEPENDENCYPART_ARC
(1,5),2.71006 # DEPENDENCYPART_ARC
(1,6),-1.3783 # DEPENDENCYPART_ARC
(1,7),-2.11911 # DEPENDENCYPART_ARC
(1,8),-1.00059 # DEPENDENCYPART_ARC
(1,9),-1.97095 # DEPENDENCYPART_ARC
(1,10),-2.26406 # DEPENDENCYPART_ARC
(1,11),-2.6233 # DEPENDENCYPART_ARC
(1,12),-4.34206 # DEPENDENCYPART_ARC
(1,13),1.07863 # DEPENDENCYPART_ARC
(1,14),-7.0162 # DEPENDENCYPART_ARC
(1,15),-0.00750676 # DEPENDENCYPART_ARC
(1,16),-0.0294398 # DEPENDENCYPART_ARC
(1,17),-1.97096 # DEPENDENCYPART_ARC
(1,18),-9.76041 # DEPENDENCYPART_ARC
(1,19),-6.12039 # DEPENDENCYPART_ARC
(1,20),-4.35395 # DEPENDENCYPART_ARC
(1,21),-2.65033 # DEPENDENCYPART_ARC
(1,22),-13.122 # DEPENDENCYPART_ARC
(1,23),-6.1608 # DEPENDENCYPART_ARC
(1,24),-2.4891 # DEPENDENCYPART_ARC
(1,25),-14.0101 # DEPENDENCYPART_ARC
(1,26),0.985051 # DEPENDENCYPART_ARC
(2,1),1.45081 # DEPENDENCYPART_ARC
(2,3),-0.634185 # DEPENDENCYPART_ARC
(2,4),3.9344 # DEPENDENCYPART_ARC
(2,5),0.804551 # DEPENDENCYPART_ARC
(2,6),-1.65659 # DEPENDENCYPART_ARC
(2,7),1.57052 # DEPENDENCYPART_ARC
(2,8),0.616799 # DEPENDENCYPART_ARC
(2,9),2.09486 # DEPENDENCYPART_ARC
(2,10),1.14012 # DEPENDENCYPART_ARC
(2,11),-2.9392 # DEPENDENCYPART_ARC
(2,12),0.479576 # DEPENDENCYPART_ARC
(2,13),-0.104898 # DEPENDENCYPART_ARC
(2,14),-0.689516 # DEPENDENCYPART_ARC
(2,15),-0.271755 # DEPENDENCYPART_ARC
(2,16),-0.421635 # DEPENDENCYPART_ARC
(2,17),-2.61364 # DEPENDENCYPART_ARC
(2,18),-0.666928 # DEPENDENCYPART_ARC
(2,19),-1.45288 # DEPENDENCYPART_ARC
(2,20),-0.539488 # DEPENDENCYPART_ARC
(2,21),-3.40988 # DEPENDENCYPART_ARC
(2,22),-1.7044 # DEPENDENCYPART_ARC
(2,23),-1.68615 # DEPENDENCYPART_ARC
(2,24),-2.95181 # DEPENDENCYPART_ARC
(2,25),-1.05889 # DEPENDENCYPART_ARC
(2,26),2.46226 # DEPENDENCYPART_ARC
(3,1),-2.38127 # DEPENDENCYPART_ARC
(3,4),-0.243716 # DEPENDENCYPART_ARC
(3,6),-0.92562 # DEPENDENCYPART_ARC
(3,7),-2.60089 # DEPENDENCYPART_ARC
(3,8),-3.20641 # DEPENDENCYPART_ARC
(3,10),-4.15552 # DEPENDENCYPART_ARC
(3,11),-3.80296 # DEPENDENCYPART_ARC
(3,12),-4.35779 # DEPENDENCYPART_ARC
(3,14),-4.96215 # DEPENDENCYPART_ARC
(3,17),-5.41346 # DEPENDENCYPART_ARC
(3,18),-5.1887 # DEPENDENCYPART_ARC
(3,19),-5.09335 # DEPENDENCYPART_ARC
(3,21),-7.49713 # DEPENDENCYPART_ARC
(3,22),-4.86956 # DEPENDENCYPART_ARC
(3,23),-5.31753 # DEPENDENCYPART_ARC
