# _root_ La velocitat màxima calculada és d' entre 30 i 60 quilòmetres per hora , de_forma_que el trajecte entre la frontera i Escaldes-Engordany podria fer -se entre 22 i 29 minuts , incloent -hi la durada de les parades .
#goldHeads=2,5,2,2,0,5,8,11,8,8,6,11,12,24,24,17,24,17,20,18,20,20,24,5,24,24,30,27,27,26,32,24,32,35,32,35,38,36,5,
#predictedHeads=2,5,2,2,0,5,8,11,8,8,6,11,12,5,24,17,24,17,20,18,20,20,24,5,24,27,30,27,27,24,32,24,32,35,32,35,38,36,5,
(0,1),-8.13354 # DEPENDENCYPART_ARC
(0,2),-6.75718 # DEPENDENCYPART_ARC
(0,3),-7.51101 # DEPENDENCYPART_ARC
(0,4),-8.25489 # DEPENDENCYPART_ARC
(0,5),-1.30076 # DEPENDENCYPART_ARC
(0,6),-7.43609 # DEPENDENCYPART_ARC
(0,7),-7.25521 # DEPENDENCYPART_ARC
(0,8),-7.8228 # DEPENDENCYPART_ARC
(0,9),-7.6854 # DEPENDENCYPART_ARC
(0,10),-7.67749 # DEPENDENCYPART_ARC
(0,11),-7.43379 # DEPENDENCYPART_ARC
(0,12),-7.3853 # DEPENDENCYPART_ARC
(0,13),-6.74581 # DEPENDENCYPART_ARC
(0,14),-7.9993 # DEPENDENCYPART_ARC
(0,15),-7.25353 # DEPENDENCYPART_ARC
(0,16),-9.70367 # DEPENDENCYPART_ARC
(0,17),-8.005 # DEPENDENCYPART_ARC
(0,18),-7.92675 # DEPENDENCYPART_ARC
(0,19),-9.9031 # DEPENDENCYPART_ARC
(0,20),-8.03247 # DEPENDENCYPART_ARC
(0,21),-7.96637 # DEPENDENCYPART_ARC
(0,22),-8.13984 # DEPENDENCYPART_ARC
(0,23),-4.78398 # DEPENDENCYPART_ARC
(0,24),-5.48603 # DEPENDENCYPART_ARC
(0,25),-6.77314 # DEPENDENCYPART_ARC
(0,26),-8.57183 # DEPENDENCYPART_ARC
(0,27),-8.42558 # DEPENDENCYPART_ARC
