# _root_ ' Amor_,_Prozac_i_dubtes ' és la tercera obra de la companyia , i segona vegada que adapten un text literari .
#goldHeads=2,4,2,0,7,7,4,7,10,8,7,7,14,7,16,14,18,16,18,4,
#predictedHeads=2,4,2,0,7,7,4,7,10,8,4,4,14,7,16,14,18,16,18,4,
(0,1),-6.61 # DEPENDENCYPART_ARC
(0,2),-5.34799 # DEPENDENCYPART_ARC
(0,3),-6.79229 # DEPENDENCYPART_ARC
(0,4),-0.865469 # DEPENDENCYPART_ARC
(0,5),-9.0794 # DEPENDENCYPART_ARC
(0,6),-7.81113 # DEPENDENCYPART_ARC
(0,7),-6.44538 # DEPENDENCYPART_ARC
(0,8),-7.3472 # DEPENDENCYPART_ARC
(0,9),-9.33901 # DEPENDENCYPART_ARC
(0,10),-6.26504 # DEPENDENCYPART_ARC
(0,11),-7.66943 # DEPENDENCYPART_ARC
(0,12),-7.32719 # DEPENDENCYPART_ARC
(0,13),-7.67288 # DEPENDENCYPART_ARC
(0,14),-6.22573 # DEPENDENCYPART_ARC
(0,15),-6.42469 # DEPENDENCYPART_ARC
(0,16),-2.2167 # DEPENDENCYPART_ARC
(0,17),-9.49981 # DEPENDENCYPART_ARC
(0,18),-7.62364 # DEPENDENCYPART_ARC
(0,19),-7.97402 # DEPENDENCYPART_ARC
(0,20),-8.18012 # DEPENDENCYPART_ARC
(1,2),-1.01952 # DEPENDENCYPART_ARC
(1,3),-1.60596 # DEPENDENCYPART_ARC
(1,4),-1.46837 # DEPENDENCYPART_ARC
(1,5),-2.83223 # DEPENDENCYPART_ARC
(1,6),-2.45301 # DEPENDENCYPART_ARC
(1,7),-2.52533 # DEPENDENCYPART_ARC
(1,8),-2.51045 # DEPENDENCYPART_ARC
(1,9),-3.10061 # DEPENDENCYPART_ARC
(1,10),-2.72736 # DEPENDENCYPART_ARC
(1,11),-1.99966 # DEPENDENCYPART_ARC
(1,12),-1.63213 # DEPENDENCYPART_ARC
(1,13),-2.52858 # DEPENDENCYPART_ARC
(1,14),-2.64107 # DEPENDENCYPART_ARC
(1,15),-2.74854 # DEPENDENCYPART_ARC
(1,16),-2.29692 # DEPENDENCYPART_ARC
(1,17),-3.13676 # DEPENDENCYPART_ARC
(1,18),-2.80089 # DEPENDENCYPART_ARC
(1,19),-2.72826 # DEPENDENCYPART_ARC
(1,20),-2.1994 # DEPENDENCYPART_ARC
(2,1),4.39882 # DEPENDENCYPART_ARC
(2,3),4.47025 # DEPENDENCYPART_ARC
(2,4),1.52659 # DEPENDENCYPART_ARC
(2,5),-0.419914 # DEPENDENCYPART_ARC
(2,6),0.109496 # DEPENDENCYPART_ARC
(2,7),0.0815882 # DEPENDENCYPART_ARC
(2,8),-0.20648 # DEPENDENCYPART_ARC
(2,9),-1.174 # DEPENDENCYPART_ARC
(2,10),-0.491561 # DEPENDENCYPART_ARC
(2,11),1.03302 # DEPENDENCYPART_ARC
(2,12),0.713192 # DEPENDENCYPART_ARC
(2,13),-0.841231 # DEPENDENCYPART_ARC
(2,14),-0.93539 # DEPENDENCYPART_ARC
(2,15),-1.70617 # DEPENDENCYPART_ARC
(2,16),-0.401775 # DEPENDENCYPART_ARC
(2,17),-1.12351 # DEPENDENCYPART_ARC
(2,18),-0.228495 # DEPENDENCYPART_ARC
(2,19),-0.291199 # DEPENDENCYPART_ARC
(2,20),1.72568 # DEPENDENCYPART_ARC
(3,1),-1.55052 # DEPENDENCYPART_ARC
(3,2),-1.45198 # DEPENDENCYPART_ARC
(3,4),-1.22377 # DEPENDENCYPART_ARC
(3,5),-2.73009 # DEPENDENCYPART_ARC
(3,6),-2.55429 # DEPENDENCYPART_ARC
(3,7),-2.7112 # DEPENDENCYPART_ARC
(3,8),-2.89114 # DEPENDENCYPART_ARC
(3,9),-3.36601 # DEPENDENCYPART_ARC
(3,10),-2.9741 # DEPENDENCYPART_ARC
(3,11),-2.17659 # DEPENDENCYPART_ARC
(3,12),-1.86695 # DEPENDENCYPART_ARC
(3,13),-2.87721 # DEPENDENCYPART_ARC
(3,14),-2.89664 # DEPENDENCYPART_ARC
(3,15),-3.1336 # DEPENDENCYPART_ARC
(3,16),-2.64928 # DEPENDENCYPART_ARC
(3,17),-3.49213 # DEPENDENCYPART_ARC
(3,18),-3.10651 # DEPENDENCYPART_ARC
(3,19),-3.0643 # DEPENDENCYPART_ARC
(3,20),-2.34438 # DEPENDENCYPART_ARC
(4,1),3.25029 # DEPENDENCYPART_ARC
(4,2),1.70964 # DEPENDENCYPART_ARC
(4,3),2.96552 # DEPENDENCYPART_ARC
(4,5),-0.624818 # DEPENDENCYPART_ARC
(4,6),1.77359 # DEPENDENCYPART_ARC
(4,7),2.52899 # DEPENDENCYPART_ARC
(4,8),0.824452 # DEPENDENCYPART_ARC
(4,9),-2.20075 # DEPENDENCYPART_ARC
(4,10),1.41419 # DEPENDENCYPART_ARC
(4,11),1.80819 # DEPENDENCYPART_ARC
(4,12),1.92023 # DEPENDENCYPART_ARC
(4,13),0.281756 # DEPENDENCYPART_ARC
(4,14),1.03258 # DEPENDENCYPART_ARC
(4,15),-0.468795 # DEPENDENCYPART_ARC
(4,16),2.08095 # DEPENDENCYPART_ARC
(4,17),-3.25857 # DEPENDENCYPART_ARC
(4,18),-0.116663 # DEPENDENCYPART_ARC
(4,19),-0.608709 # DEPENDENCYPART_ARC
(4,20),6.11414 # DEPENDENCYPART_ARC
(5,1),-2.62917 # DEPENDENCYPART_ARC
(5,2),-2.85875 # DEPENDENCYPART_ARC
(5,3),-1.94337 # DEPENDENCYPART_ARC
(5,4),-1.79152 # DEPENDENCYPART_ARC
(5,6),0.698298 # DEPENDENCYPART_ARC
(5,7),0.702031 # DEPENDENCYPART_ARC
(5,8),-0.412388 # DEPENDENCYPART_ARC
(5,9),0.684876 # DEPENDENCYPART_ARC
(5,10),-1.4258 # DEPENDENCYPART_ARC
(5,11),-1.8503 # DEPENDENCYPART_ARC
(5,12),-1.74931 # DEPENDENCYPART_ARC
(5,13),-2.05263 # DEPENDENCYPART_ARC
(5,14),-2.57505 # DEPENDENCYPART_ARC
(5,15),-2.77927 # DEPENDENCYPART_ARC
(5,16),-2.80334 # DEPENDENCYPART_ARC
(5,17),-3.36698 # DEPENDENCYPART_ARC
(5,18),-3.89994 # DEPENDENCYPART_ARC
(5,19),-3.96608 # DEPENDENCYPART_ARC
(5,20),-2.52194 # DEPENDENCYPART_ARC
(6,1),-1.81298 # DEPENDENCYPART_ARC
(6,2),-1.93246 # DEPENDENCYPART_ARC
(6,3),-0.980987 # DEPENDENCYPART_ARC
(6,4),-1.08501 # DEPENDENCYPART_ARC
(6,5),2.24315 # DEPENDENCYPART_ARC
(6,7),1.43292 # DEPENDENCYPART_ARC
(6,8),-0.392976 # DEPENDENCYPART_ARC
(6,9),-1.1951 # DEPENDENCYPART_ARC
(6,10),0.108303 # DEPENDENCYPART_ARC
(6,11),-0.240582 # DEPENDENCYPART_ARC
(6,12),1.13683 # DEPENDENCYPART_ARC
(6,13),1.47091 # DEPENDENCYPART_ARC
(6,14),-1.04909 # DEPENDENCYPART_ARC
(6,15),-2.96465 # DEPENDENCYPART_ARC
(6,16),0.425024 # DEPENDENCYPART_ARC
(6,17),-2.76321 # DEPENDENCYPART_ARC
(6,18),-1.49675 # DEPENDENCYPART_ARC
(6,19),-2.07171 # DEPENDENCYPART_ARC
(6,20),-0.288066 # DEPENDENCYPART_ARC
(7,1),0.526338 # DEPENDENCYPART_ARC
(7,2),-1.04031 # DEPENDENCYPART_ARC
(7,3),1.46563 # DEPENDENCYPART_ARC
(7,4),0.145423 # DEPENDENCYPART_ARC
(7,5),5.27555 # DEPENDENCYPART_ARC
(7,6),5.20587 # DEPENDENCYPART_ARC
(7,8),3.21278 # DEPENDENCYPART_ARC
(7,9),0.31688 # DEPENDENCYPART_ARC
(7,10),1.7405 # DEPENDENCYPART_ARC
(7,11),0.322525 # DEPENDENCYPART_ARC
(7,12),1.45751 # DEPENDENCYPART_ARC
(7,13),1.4136 # DEPENDENCYPART_ARC
(7,14),1.15097 # DEPENDENCYPART_ARC
(7,15),-1.91015 # DEPENDENCYPART_ARC
(7,16),1.73722 # DEPENDENCYPART_ARC
(7,17),-1.5378 # DEPENDENCYPART_ARC
(7,18),0.260844 # DEPENDENCYPART_ARC
(7,19),-1.22651 # DEPENDENCYPART_ARC
(7,20),1.61805 # DEPENDENCYPART_ARC
(8,1),-1.96139 # DEPENDENCYPART_ARC
(8,2),-2.64738 # DEPENDENCYPART_ARC
(8,3),-1.79617 # DEPENDENCYPART_ARC
(8,4),-0.531759 # DEPENDENCYPART_ARC
(8,5),-0.0307698 # DEPENDENCYPART_ARC
