# _root_ La dona va aparcar i va mirar d' agafar un taxi , moment en el qual l' acusat ' la va agafar pels cabells , va iniciar un forcejament i una persecució fins a introduir -la de_nou en el cotxe ' .
#goldHeads=2,4,4,0,4,9,9,9,4,11,9,13,9,22,16,14,18,22,22,22,22,13,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,22,4,
#predictedHeads=2,4,4,0,4,9,9,9,4,11,9,13,11,9,16,14,18,14,22,22,22,18,22,23,22,27,4,29,27,29,32,29,27,33,34,35,35,35,40,38,27,4,
(0,1),-8.13354 # DEPENDENCYPART_ARC
(0,2),-6.4206 # DEPENDENCYPART_ARC
(0,3),-1.83299 # DEPENDENCYPART_ARC
(0,4),-2.82359 # DEPENDENCYPART_ARC
(0,5),-7.78607 # DEPENDENCYPART_ARC
(0,6),-3.73536 # DEPENDENCYPART_ARC
(0,7),-3.68874 # DEPENDENCYPART_ARC
(0,8),-7.12752 # DEPENDENCYPART_ARC
(0,9),-4.17551 # DEPENDENCYPART_ARC
(0,10),-9.88769 # DEPENDENCYPART_ARC
(0,11),-6.99866 # DEPENDENCYPART_ARC
(0,12),-7.88023 # DEPENDENCYPART_ARC
(0,13),-7.42434 # DEPENDENCYPART_ARC
(0,14),-7.75644 # DEPENDENCYPART_ARC
(0,15),-9.74832 # DEPENDENCYPART_ARC
(0,16),-9.71001 # DEPENDENCYPART_ARC
(0,17),-9.89535 # DEPENDENCYPART_ARC
(0,18),-6.44331 # DEPENDENCYPART_ARC
(0,19),-8.10387 # DEPENDENCYPART_ARC
(0,20),-6.66398 # DEPENDENCYPART_ARC
(0,21),-3.08017 # DEPENDENCYPART_ARC
(0,22),-2.96879 # DEPENDENCYPART_ARC
(0,23),-7.79976 # DEPENDENCYPART_ARC
(0,24),-7.71619 # DEPENDENCYPART_ARC
(0,25),-8.84202 # DEPENDENCYPART_ARC
(0,26),-1.40623 # DEPENDENCYPART_ARC
(0,27),-3.33552 # DEPENDENCYPART_ARC
(0,28),-10.7845 # DEPENDENCYPART_ARC
(0,29),-8.44468 # DEPENDENCYPART_ARC
(0,30),-8.39869 # DEPENDENCYPART_ARC
(0,31),-11.0022 # DEPENDENCYPART_ARC
(0,32),-9.03576 # DEPENDENCYPART_ARC
(0,33),-8.84547 # DEPENDENCYPART_ARC
(0,34),-9.60503 # DEPENDENCYPART_ARC
(0,35),-5.94314 # DEPENDENCYPART_ARC
(0,36),-6.96878 # DEPENDENCYPART_ARC
(0,37),-9.80418 # DEPENDENCYPART_ARC
(0,38),-8.8046 # DEPENDENCYPART_ARC
(0,39),-10.9461 # DEPENDENCYPART_ARC
(0,40),-8.44261 # DEPENDENCYPART_ARC
(0,41),-9.86936 # DEPENDENCYPART_ARC
(0,42),-10.4433 # DEPENDENCYPART_ARC
(1,2),1.32601 # DEPENDENCYPART_ARC
(1,3),-1.18463 # DEPENDENCYPART_ARC
(1,4),-1.71854 # DEPENDENCYPART_ARC
(1,5),-1.78829 # DEPENDENCYPART_ARC
(1,6),-2.56385 # DEPENDENCYPART_ARC
(1,7),-2.56945 # DEPENDENCYPART_ARC
(1,8),-2.84839 # DEPENDENCYPART_ARC
(1,9),-2.74706 # DEPENDENCYPART_ARC
(1,10),-2.90164 # DEPENDENCYPART_ARC
(1,11),-3.81916 # DEPENDENCYPART_ARC
(1,12),-3.00505 # DEPENDENCYPART_ARC
(1,13),-3.70136 # DEPENDENCYPART_ARC
(1,14),-4.49401 # DEPENDENCYPART_ARC
(1,15),-4.87018 # DEPENDENCYPART_ARC
(1,16),-3.21462 # DEPENDENCYPART_ARC
(1,17),-2.55862 # DEPENDENCYPART_ARC
(1,18),-5.20489 # DEPENDENCYPART_ARC
(1,19),-3.23636 # DEPENDENCYPART_ARC
(1,20),-3.77946 # DEPENDENCYPART_ARC
(1,21),-4.31293 # DEPENDENCYPART_ARC
(1,22),-3.80125 # DEPENDENCYPART_ARC
(1,23),-4.58438 # DEPENDENCYPART_ARC
(1,24),-6.30078 # DEPENDENCYPART_ARC
(1,25),-4.47614 # DEPENDENCYPART_ARC
(1,26),-4.75757 # DEPENDENCYPART_ARC
(1,27),-4.23597 # DEPENDENCYPART_ARC
(1,28),-6.89694 # DEPENDENCYPART_ARC
(1,29),-6.31017 # DEPENDENCYPART_ARC
(1,30),-5.25006 # DEPENDENCYPART_ARC
(1,31),-6.25215 # DEPENDENCYPART_ARC
(1,32),-5.70718 # DEPENDENCYPART_ARC
(1,33),-6.61734 # DEPENDENCYPART_ARC
(1,34),-8.20734 # DEPENDENCYPART_ARC
(1,35),-5.04666 # DEPENDENCYPART_ARC
(1,36),-4.26072 # DEPENDENCYPART_ARC
(1,37),-4.51667 # DEPENDENCYPART_ARC
(1,38),-8.44893 # DEPENDENCYPART_ARC
(1,39),-9.06666 # DEPENDENCYPART_ARC
