# _root_ El primer , de 21 quilòmetres , sortirà de la plaça Fra_Bernadí de Manlleu a les set_del_matí .
#goldHeads=2,8,4,2,6,4,4,0,8,11,9,11,11,13,8,17,15,8,
#predictedHeads=2,8,4,2,6,4,4,0,8,11,9,11,11,13,8,17,15,8,
(0,1),-7.83337 # DEPENDENCYPART_ARC
(0,2),-7.17942 # DEPENDENCYPART_ARC
(0,3),-7.01099 # DEPENDENCYPART_ARC
(0,4),-6.74517 # DEPENDENCYPART_ARC
(0,5),-7.02681 # DEPENDENCYPART_ARC
(0,6),-6.18952 # DEPENDENCYPART_ARC
(0,7),-7.24643 # DEPENDENCYPART_ARC
(0,8),-1.77995 # DEPENDENCYPART_ARC
(0,9),-7.10712 # DEPENDENCYPART_ARC
(0,10),-9.65828 # DEPENDENCYPART_ARC
(0,11),-6.89082 # DEPENDENCYPART_ARC
(0,12),-7.44978 # DEPENDENCYPART_ARC
(0,13),-8.0761 # DEPENDENCYPART_ARC
(0,14),-7.48783 # DEPENDENCYPART_ARC
(0,15),-8.58122 # DEPENDENCYPART_ARC
(0,16),-9.26232 # DEPENDENCYPART_ARC
(0,17),-8.1714 # DEPENDENCYPART_ARC
(0,18),-8.27682 # DEPENDENCYPART_ARC
(1,2),0.184815 # DEPENDENCYPART_ARC
(1,3),-0.744931 # DEPENDENCYPART_ARC
(1,4),-0.516727 # DEPENDENCYPART_ARC
(1,5),0.152526 # DEPENDENCYPART_ARC
(1,6),-2.70135 # DEPENDENCYPART_ARC
(1,7),-1.94292 # DEPENDENCYPART_ARC
(1,8),-2.42854 # DEPENDENCYPART_ARC
(1,9),-2.93799 # DEPENDENCYPART_ARC
(1,10),-2.68004 # DEPENDENCYPART_ARC
(1,11),-3.51932 # DEPENDENCYPART_ARC
(1,12),-3.89187 # DEPENDENCYPART_ARC
(1,13),-3.10413 # DEPENDENCYPART_ARC
(1,14),-4.12617 # DEPENDENCYPART_ARC
(1,15),-4.7069 # DEPENDENCYPART_ARC
(1,16),-4.34249 # DEPENDENCYPART_ARC
(1,17),-2.80076 # DEPENDENCYPART_ARC
(1,18),-2.99381 # DEPENDENCYPART_ARC
(2,1),3.3698 # DEPENDENCYPART_ARC
(2,3),1.63424 # DEPENDENCYPART_ARC
(2,4),1.39663 # DEPENDENCYPART_ARC
(2,5),1.029 # DEPENDENCYPART_ARC
(2,6),0.781045 # DEPENDENCYPART_ARC
(2,7),0.394468 # DEPENDENCYPART_ARC
(2,8),1.4883 # DEPENDENCYPART_ARC
(2,9),-0.536769 # DEPENDENCYPART_ARC
(2,10),-1.46531 # DEPENDENCYPART_ARC
(2,11),-0.0377166 # DEPENDENCYPART_ARC
(2,12),-0.0976937 # DEPENDENCYPART_ARC
(2,13),-1.21435 # DEPENDENCYPART_ARC
(2,14),-0.305171 # DEPENDENCYPART_ARC
(2,15),-0.95993 # DEPENDENCYPART_ARC
(2,16),-1.99888 # DEPENDENCYPART_ARC
(2,17),-0.551793 # DEPENDENCYPART_ARC
(2,18),-1.39804 # DEPENDENCYPART_ARC
(3,1),-0.81467 # DEPENDENCYPART_ARC
(3,2),-0.376488 # DEPENDENCYPART_ARC
(3,4),-0.632315 # DEPENDENCYPART_ARC
(3,5),-0.448641 # DEPENDENCYPART_ARC
(3,6),-1.02782 # DEPENDENCYPART_ARC
(3,7),-0.670233 # DEPENDENCYPART_ARC
(3,8),-1.09464 # DEPENDENCYPART_ARC
(3,9),-1.76944 # DEPENDENCYPART_ARC
(3,10),-2.33747 # DEPENDENCYPART_ARC
(3,11),-1.82391 # DEPENDENCYPART_ARC
(3,12),-1.83488 # DEPENDENCYPART_ARC
(3,13),-1.85371 # DEPENDENCYPART_ARC
(3,14),-1.91259 # DEPENDENCYPART_ARC
(3,15),-1.98693 # DEPENDENCYPART_ARC
(3,16),-2.46284 # DEPENDENCYPART_ARC
(3,17),-1.74261 # DEPENDENCYPART_ARC
(3,18),-1.27881 # DEPENDENCYPART_ARC
(4,1),0.449472 # DEPENDENCYPART_ARC
(4,2),0.00723455 # DEPENDENCYPART_ARC
(4,3),2.41561 # DEPENDENCYPART_ARC
(4,5),1.24939 # DEPENDENCYPART_ARC
(4,6),3.64346 # DEPENDENCYPART_ARC
(4,7),2.51146 # DEPENDENCYPART_ARC
(4,8),-0.984816 # DEPENDENCYPART_ARC
(4,9),-1.00471 # DEPENDENCYPART_ARC
(4,10),-2.65473 # DEPENDENCYPART_ARC
(4,11),-2.47682 # DEPENDENCYPART_ARC
(4,12),-4.48626 # DEPENDENCYPART_ARC
(4,13),-1.05356 # DEPENDENCYPART_ARC
(4,14),-5.47052 # DEPENDENCYPART_ARC
(4,15),-2.83207 # DEPENDENCYPART_ARC
(4,16),-2.73483 # DEPENDENCYPART_ARC
(4,17),-3.44868 # DEPENDENCYPART_ARC
(4,18),-0.117116 # DEPENDENCYPART_ARC
(5,1),0.589278 # DEPENDENCYPART_ARC
(5,2),0.0967828 # DEPENDENCYPART_ARC
(5,3),0.420944 # DEPENDENCYPART_ARC
(5,4),1.18415 # DEPENDENCYPART_ARC
(5,6),1.10292 # DEPENDENCYPART_ARC
(5,7),-0.793027 # DEPENDENCYPART_ARC
(5,8),0.14156 # DEPENDENCYPART_ARC
(5,9),-0.924136 # DEPENDENCYPART_ARC
(5,10),-1.71296 # DEPENDENCYPART_ARC
(5,11),-0.94648 # DEPENDENCYPART_ARC
(5,12),-1.07515 # DEPENDENCYPART_ARC
(5,13),-1.13079 # DEPENDENCYPART_ARC
(5,14),-1.23523 # DEPENDENCYPART_ARC
(5,15),-1.54586 # DEPENDENCYPART_ARC
(5,16),-2.21373 # DEPENDENCYPART_ARC
(5,17),-1.63537 # DEPENDENCYPART_ARC
(5,18),-0.691022 # DEPENDENCYPART_ARC
(6,1),2.40087 # DEPENDENCYPART_ARC
(6,2),-0.0717131 # DEPENDENCYPART_ARC
(6,3),1.39293 # DEPENDENCYPART_ARC
(6,4),2.01049 # DEPENDENCYPART_ARC
(6,5),3.75518 # DEPENDENCYPART_ARC
(6,7),0.923318 # DEPENDENCYPART_ARC
(6,8),1.01912 # DEPENDENCYPART_ARC
(6,9),-0.07998 # DEPENDENCYPART_ARC
(6,10),-2.51321 # DEPENDENCYPART_ARC
(6,11),-0.827717 # DEPENDENCYPART_ARC
(6,12),-0.377526 # DEPENDENCYPART_ARC
(6,13),0.108072 # DEPENDENCYPART_ARC
(6,14),-0.723235 # DEPENDENCYPART_ARC
(6,15),-0.492 # DEPENDENCYPART_ARC
(6,16),-2.50254 # DEPENDENCYPART_ARC
