# _root_ El PSC vol , a_més_a_més , que es demani l' adhesió de la Unesco .
#goldHeads=2,3,0,5,3,5,9,9,3,11,9,11,14,12,3,
#predictedHeads=2,3,0,5,3,5,9,9,3,11,9,11,14,12,3,
(0,1),-8.05641 # DEPENDENCYPART_ARC
(0,2),-6.70414 # DEPENDENCYPART_ARC
(0,3),-1.11266 # DEPENDENCYPART_ARC
(0,4),-7.67986 # DEPENDENCYPART_ARC
(0,5),-7.17215 # DEPENDENCYPART_ARC
(0,6),-7.48891 # DEPENDENCYPART_ARC
(0,7),-7.21889 # DEPENDENCYPART_ARC
(0,8),-7.2616 # DEPENDENCYPART_ARC
(0,9),-5.47757 # DEPENDENCYPART_ARC
(0,10),-9.8081 # DEPENDENCYPART_ARC
(0,11),-7.82117 # DEPENDENCYPART_ARC
(0,12),-7.96052 # DEPENDENCYPART_ARC
(0,13),-9.871 # DEPENDENCYPART_ARC
(0,14),-7.71154 # DEPENDENCYPART_ARC
(0,15),-8.26971 # DEPENDENCYPART_ARC
(1,2),0.252471 # DEPENDENCYPART_ARC
(1,3),-1.52808 # DEPENDENCYPART_ARC
(1,4),-2.14662 # DEPENDENCYPART_ARC
(1,5),-2.0125 # DEPENDENCYPART_ARC
(1,6),-2.39976 # DEPENDENCYPART_ARC
(1,7),-2.54635 # DEPENDENCYPART_ARC
(1,8),-3.1184 # DEPENDENCYPART_ARC
(1,9),-3.54705 # DEPENDENCYPART_ARC
(1,10),-2.70723 # DEPENDENCYPART_ARC
(1,11),-3.36317 # DEPENDENCYPART_ARC
(1,12),-3.41128 # DEPENDENCYPART_ARC
(1,13),-3.6646 # DEPENDENCYPART_ARC
(1,14),-4.67091 # DEPENDENCYPART_ARC
(1,15),-3.37488 # DEPENDENCYPART_ARC
(2,1),4.07819 # DEPENDENCYPART_ARC
(2,3),0.570112 # DEPENDENCYPART_ARC
(2,4),-0.87974 # DEPENDENCYPART_ARC
(2,5),-0.724938 # DEPENDENCYPART_ARC
(2,6),-0.49714 # DEPENDENCYPART_ARC
(2,7),-2.29936 # DEPENDENCYPART_ARC
(2,8),-1.32688 # DEPENDENCYPART_ARC
(2,9),-1.37459 # DEPENDENCYPART_ARC
(2,10),-2.35875 # DEPENDENCYPART_ARC
(2,11),-2.17237 # DEPENDENCYPART_ARC
(2,12),-2.2336 # DEPENDENCYPART_ARC
(2,13),-2.75726 # DEPENDENCYPART_ARC
(2,14),-1.95578 # DEPENDENCYPART_ARC
(2,15),0.776183 # DEPENDENCYPART_ARC
(3,1),1.48926 # DEPENDENCYPART_ARC
(3,2),3.49067 # DEPENDENCYPART_ARC
(3,4),1.65297 # DEPENDENCYPART_ARC
(3,5),2.42445 # DEPENDENCYPART_ARC
(3,6),2.03708 # DEPENDENCYPART_ARC
(3,7),0.954709 # DEPENDENCYPART_ARC
(3,8),0.167895 # DEPENDENCYPART_ARC
(3,9),2.59657 # DEPENDENCYPART_ARC
(3,10),-1.71195 # DEPENDENCYPART_ARC
(3,11),0.0205305 # DEPENDENCYPART_ARC
(3,12),-0.326478 # DEPENDENCYPART_ARC
(3,13),-2.57162 # DEPENDENCYPART_ARC
(3,14),-0.318941 # DEPENDENCYPART_ARC
(3,15),5.79844 # DEPENDENCYPART_ARC
(4,1),-2.39558 # DEPENDENCYPART_ARC
(4,2),-2.45753 # DEPENDENCYPART_ARC
(4,3),-1.29835 # DEPENDENCYPART_ARC
(4,5),-1.15219 # DEPENDENCYPART_ARC
(4,6),-1.33011 # DEPENDENCYPART_ARC
(4,7),-0.895012 # DEPENDENCYPART_ARC
(4,8),-2.02449 # DEPENDENCYPART_ARC
(4,9),-1.58662 # DEPENDENCYPART_ARC
(4,10),-2.74216 # DEPENDENCYPART_ARC
(4,11),-2.23742 # DEPENDENCYPART_ARC
(4,12),-2.39531 # DEPENDENCYPART_ARC
(4,13),-2.89506 # DEPENDENCYPART_ARC
(4,14),-2.39053 # DEPENDENCYPART_ARC
(4,15),-1.71568 # DEPENDENCYPART_ARC
(5,1),-0.671477 # DEPENDENCYPART_ARC
(5,2),-1.1529 # DEPENDENCYPART_ARC
(5,3),0.0238208 # DEPENDENCYPART_ARC
(5,4),3.4742 # DEPENDENCYPART_ARC
(5,6),3.88448 # DEPENDENCYPART_ARC
(5,7),0.49783 # DEPENDENCYPART_ARC
(5,8),0.264519 # DEPENDENCYPART_ARC
(5,9),0.924097 # DEPENDENCYPART_ARC
(5,10),-0.777546 # DEPENDENCYPART_ARC
(5,11),-1.04274 # DEPENDENCYPART_ARC
(5,12),-1.20539 # DEPENDENCYPART_ARC
(5,13),-1.23118 # DEPENDENCYPART_ARC
(5,14),-0.862813 # DEPENDENCYPART_ARC
(5,15),1.04931 # DEPENDENCYPART_ARC
(6,1),-2.30638 # DEPENDENCYPART_ARC
(6,2),-2.58805 # DEPENDENCYPART_ARC
(6,3),-2.10117 # DEPENDENCYPART_ARC
(6,4),-0.888456 # DEPENDENCYPART_ARC
(6,5),-0.77593 # DEPENDENCYPART_ARC
(6,7),-0.36405 # DEPENDENCYPART_ARC
(6,8),-1.02389 # DEPENDENCYPART_ARC
(6,9),-0.926407 # DEPENDENCYPART_ARC
(6,10),-2.28095 # DEPENDENCYPART_ARC
(6,11),-1.86187 # DEPENDENCYPART_ARC
(6,12),-1.90425 # DEPENDENCYPART_ARC
(6,13),-2.47409 # DEPENDENCYPART_ARC
(6,14),-2.05748 # DEPENDENCYPART_ARC
(6,15),-1.36234 # DEPENDENCYPART_ARC
(7,1),-3.30999 # DEPENDENCYPART_ARC
(7,2),-3.19652 # DEPENDENCYPART_ARC
(7,3),-2.69389 # DEPENDENCYPART_ARC
(7,4),-1.5856 # DEPENDENCYPART_ARC
(7,5),-1.40922 # DEPENDENCYPART_ARC
(7,6),-0.17875 # DEPENDENCYPART_ARC
(7,8),-1.22979 # DEPENDENCYPART_ARC
(7,9),-1.54186 # DEPENDENCYPART_ARC
(7,10),-4.03942 # DEPENDENCYPART_ARC
(7,11),-3.68721 # DEPENDENCYPART_ARC
(7,12),-3.14841 # DEPENDENCYPART_ARC
(7,13),-4.67082 # DEPENDENCYPART_ARC
(7,14),-4.52331 # DEPENDENCYPART_ARC
(7,15),-2.26936 # DEPENDENCYPART_ARC
(8,1),-2.48828 # DEPENDENCYPART_ARC
(8,2),-2.7274 # DEPENDENCYPART_ARC
(8,3),-2.06917 # DEPENDENCYPART_ARC
(8,4),-1.23422 # DEPENDENCYPART_ARC
(8,5),-1.28591 # DEPENDENCYPART_ARC
(8,6),-0.739261 # DEPENDENCYPART_ARC
(8,7),0.500127 # DEPENDENCYPART_ARC
(8,9),0.488561 # DEPENDENCYPART_ARC
(8,10),-0.963966 # DEPENDENCYPART_ARC
(8,11),-0.413207 # DEPENDENCYPART_ARC
(8,12),-0.650363 # DEPENDENCYPART_ARC
(8,13),-1.80601 # DEPENDENCYPART_ARC
(8,14),-0.862577 # DEPENDENCYPART_ARC
(8,15),-0.0766702 # DEPENDENCYPART_ARC
(9,1),-1.46972 # DEPENDENCYPART_ARC
(9,2),-0.630341 # DEPENDENCYPART_ARC
(9,3),-0.13555 # DEPENDENCYPART_ARC
(9,4),0.0214167 # DEPENDENCYPART_ARC
(9,5),0.747655 # DEPENDENCYPART_ARC
(9,6),2.06755 # DEPENDENCYPART_ARC
(9,7),4.12264 # DEPENDENCYPART_ARC
(9,8),5.31939 # DEPENDENCYPART_ARC
(9,10),-0.0689029 # DEPENDENCYPART_ARC
(9,11),3.54015 # DEPENDENCYPART_ARC
(9,12),0.930074 # DEPENDENCYPART_ARC
(9,13),-2.42609 # DEPENDENCYPART_ARC
(9,14),1.31029 # DEPENDENCYPART_ARC
(9,15),2.67694 # DEPENDENCYPART_ARC
(10,1),-2.52796 # DEPENDENCYPART_ARC
(10,2),-3.39291 # DEPENDENCYPART_ARC
(10,3),-2.59945 # DEPENDENCYPART_ARC
(10,4),-2.65516 # DEPENDENCYPART_ARC
(10,5),-2.61703 # DEPENDENCYPART_ARC
(10,6),-2.287 # DEPENDENCYPART_ARC
(10,7),-2.15505 # DEPENDENCYPART_ARC
(10,8),-1.46996 # DEPENDENCYPART_ARC
(10,9),-0.660987 # DEPENDENCYPART_ARC
(10,11),2.45511 # DEPENDENCYPART_ARC
(10,12),0.029989 # DEPENDENCYPART_ARC
(10,13),0.296109 # DEPENDENCYPART_ARC
