# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,21,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(0,2),-3.16295 # DEPENDENCYPART_ARC
(0,3),-6.13121 # DEPENDENCYPART_ARC
(0,5),-6.58758 # DEPENDENCYPART_ARC
(0,7),-7.91554 # DEPENDENCYPART_ARC
(0,8),-7.27359 # DEPENDENCYPART_ARC
(0,9),-7.38969 # DEPENDENCYPART_ARC
(0,11),-7.39894 # DEPENDENCYPART_ARC
(0,12),-4.98604 # DEPENDENCYPART_ARC
(0,13),-6.19932 # DEPENDENCYPART_ARC
(0,14),-7.97182 # DEPENDENCYPART_ARC
(0,15),-7.50062 # DEPENDENCYPART_ARC
(0,17),-8.11036 # DEPENDENCYPART_ARC
(0,19),-7.15309 # DEPENDENCYPART_ARC
(0,21),-6.53222 # DEPENDENCYPART_ARC
(0,22),-8.40803 # DEPENDENCYPART_ARC
(0,23),-8.46227 # DEPENDENCYPART_ARC
(0,24),-6.35779 # DEPENDENCYPART_ARC
(0,25),-6.65474 # DEPENDENCYPART_ARC
(0,27),-7.6422 # DEPENDENCYPART_ARC
(0,28),-8.06989 # DEPENDENCYPART_ARC
(0,30),-7.93602 # DEPENDENCYPART_ARC
(0,31),-9.87769 # DEPENDENCYPART_ARC
(0,33),-8.19286 # DEPENDENCYPART_ARC
(0,34),-8.75525 # DEPENDENCYPART_ARC
(0,36),-8.59253 # DEPENDENCYPART_ARC
(0,39),-8.34184 # DEPENDENCYPART_ARC
(1,4),-1.5922 # DEPENDENCYPART_ARC
(1,11),-4.60996 # DEPENDENCYPART_ARC
(1,20),-3.63674 # DEPENDENCYPART_ARC
(2,1),2.21291 # DEPENDENCYPART_ARC
(2,3),0.364251 # DEPENDENCYPART_ARC
(2,4),0.703353 # DEPENDENCYPART_ARC
(2,5),0.0481465 # DEPENDENCYPART_ARC
(2,6),-1.67607 # DEPENDENCYPART_ARC
(2,7),0.0120815 # DEPENDENCYPART_ARC
(2,8),-2.69857 # DEPENDENCYPART_ARC
(2,9),-0.751185 # DEPENDENCYPART_ARC
(2,10),-2.18423 # DEPENDENCYPART_ARC
(2,11),-3.13415 # DEPENDENCYPART_ARC
(2,12),1.4581 # DEPENDENCYPART_ARC
(2,13),1.28614 # DEPENDENCYPART_ARC
(2,14),-3.46221 # DEPENDENCYPART_ARC
(2,15),-3.86825 # DEPENDENCYPART_ARC
(2,16),-0.0664616 # DEPENDENCYPART_ARC
(2,17),-3.04932 # DEPENDENCYPART_ARC
(2,18),-3.80572 # DEPENDENCYPART_ARC
(2,19),-3.96056 # DEPENDENCYPART_ARC
(2,20),-0.210683 # DEPENDENCYPART_ARC
(2,21),-1.23393 # DEPENDENCYPART_ARC
(2,22),-3.31829 # DEPENDENCYPART_ARC
(2,23),-4.01084 # DEPENDENCYPART_ARC
(2,24),0.48813 # DEPENDENCYPART_ARC
(2,25),0.0157532 # DEPENDENCYPART_ARC
(2,26),-4.29248 # DEPENDENCYPART_ARC
(2,27),-4.20968 # DEPENDENCYPART_ARC
(2,28),-2.65292 # DEPENDENCYPART_ARC
(2,29),-4.50519 # DEPENDENCYPART_ARC
(2,30),-4.96311 # DEPENDENCYPART_ARC
(2,31),-3.30245 # DEPENDENCYPART_ARC
(2,32),-4.39238 # DEPENDENCYPART_ARC
(2,33),-4.48798 # DEPENDENCYPART_ARC
(2,34),-5.2201 # DEPENDENCYPART_ARC
(2,35),-4.63855 # DEPENDENCYPART_ARC
(2,36),-4.31687 # DEPENDENCYPART_ARC
(2,37),-1.53266 # DEPENDENCYPART_ARC
(2,38),-4.69884 # DEPENDENCYPART_ARC
(2,39),-6.01539 # DEPENDENCYPART_ARC
(2,40),8.96482 # DEPENDENCYPART_ARC
(3,1),-2.16538 # DEPENDENCYPART_ARC
(3,2),-1.81985 # DEPENDENCYPART_ARC
(3,4),0.610736 # DEPENDENCYPART_ARC
(3,5),0.171797 # DEPENDENCYPART_ARC
(3,7),-0.564046 # DEPENDENCYPART_ARC
(3,8),-1.46461 # DEPENDENCYPART_ARC
(3,9),-1.54889 # DEPENDENCYPART_ARC
(3,11),-2.8405 # DEPENDENCYPART_ARC
(3,12),-0.472772 # DEPENDENCYPART_ARC
(3,13),-1.06663 # DEPENDENCYPART_ARC
(3,14),-1.30494 # DEPENDENCYPART_ARC
(3,15),-3.46079 # DEPENDENCYPART_ARC
(3,16),-0.329008 # DEPENDENCYPART_ARC
(3,17),-1.98583 # DEPENDENCYPART_ARC
(3,19),-4.16403 # DEPENDENCYPART_ARC
(3,20),-1.7633 # DEPENDENCYPART_ARC
(3,21),-2.19578 # DEPENDENCYPART_ARC
(3,22),-1.8246 # DEPENDENCYPART_ARC
(3,23),-2.45286 # DEPENDENCYPART_ARC
(3,24),-2.07864 # DEPENDENCYPART_ARC
(3,25),-2.19568 # DEPENDENCYPART_ARC
(3,27),-5.18765 # DEPENDENCYPART_ARC
(3,28),-1.85633 # DEPENDENCYPART_ARC
(3,30),-5.76851 # DEPENDENCYPART_ARC
(3,31),-2.85756 # DEPENDENCYPART_ARC
(3,33),-6.27686 # DEPENDENCYPART_ARC
(3,34),-2.25002 # DEPENDENCYPART_ARC
(3,36),-6.85954 # DEPENDENCYPART_ARC
(3,37),-1.13076 # DEPENDENCYPART_ARC
(3,39),-7.39154 # DEPENDENCYPART_ARC
(3,40),-0.402327 # DEPENDENCYPART_ARC
(4,7),-1.03606 # DEPENDENCYPART_ARC
(4,8),-1.3195 # DEPENDENCYPART_ARC
(4,15),-2.0375 # DEPENDENCYPART_ARC
(4,19),-2.04017 # DEPENDENCYPART_ARC
(4,20),-1.34093 # DEPENDENCYPART_ARC
(4,27),-2.13913 # DEPENDENCYPART_ARC
(4,30),-2.2617 # DEPENDENCYPART_ARC
(4,33),-2.47094 # DEPENDENCYPART_ARC
(4,36),-2.47522 # DEPENDENCYPART_ARC
(4,39),-2.36297 # DEPENDENCYPART_ARC
(5,1),-1.71336 # DEPENDENCYPART_ARC
(5,2),-1.90755 # DEPENDENCYPART_ARC
(5,3),-0.532233 # DEPENDENCYPART_ARC
(5,4),0.684005 # DEPENDENCYPART_ARC
(5,7),0.338101 # DEPENDENCYPART_ARC
(5,8),-0.551239 # DEPENDENCYPART_ARC
(5,9),-0.582584 # DEPENDENCYPART_ARC
(5,11),-2.01546 # DEPENDENCYPART_ARC
(5,12),-0.668546 # DEPENDENCYPART_ARC
(5,13),-1.42403 # DEPENDENCYPART_ARC
(5,14),-1.19133 # DEPENDENCYPART_ARC
(5,15),-2.49176 # DEPENDENCYPART_ARC
(5,16),-0.448715 # DEPENDENCYPART_ARC
(5,17),-1.61918 # DEPENDENCYPART_ARC
(5,19),-3.29576 # DEPENDENCYPART_ARC
(5,20),-0.998559 # DEPENDENCYPART_ARC
(5,21),-2.0152 # DEPENDENCYPART_ARC
(5,22),-1.42301 # DEPENDENCYPART_ARC
(5,23),-2.28291 # DEPENDENCYPART_ARC
