# _root_ El diari també informa que l' executiu i la top , que fa poc va despatxar el_seu festeig amb el playboy Tim_Jeffries , van passar la nit de Cap_d'_Any al Palast-Hotel de Saint_Moritz .
#goldHeads=2,4,4,0,25,7,25,7,10,7,16,16,14,16,16,10,18,16,16,21,19,21,16,25,4,27,25,27,28,25,30,31,32,4,
#predictedHeads=2,4,4,0,16,7,4,7,10,7,4,16,4,16,16,4,18,16,16,21,19,21,16,25,21,27,25,27,28,25,30,31,32,4,
(0,1),-8.05641 # DEPENDENCYPART_ARC
(0,2),-6.47192 # DEPENDENCYPART_ARC
(0,3),-7.09152 # DEPENDENCYPART_ARC
(0,4),-1.78632 # DEPENDENCYPART_ARC
(0,5),-7.33477 # DEPENDENCYPART_ARC
(0,6),-9.54185 # DEPENDENCYPART_ARC
(0,7),-7.91651 # DEPENDENCYPART_ARC
(0,8),-7.49322 # DEPENDENCYPART_ARC
(0,9),-9.53392 # DEPENDENCYPART_ARC
(0,10),-8.14747 # DEPENDENCYPART_ARC
(0,11),-7.73715 # DEPENDENCYPART_ARC
(0,12),-6.55889 # DEPENDENCYPART_ARC
(0,13),-4.75876 # DEPENDENCYPART_ARC
(0,14),-7.84852 # DEPENDENCYPART_ARC
(0,15),-4.58211 # DEPENDENCYPART_ARC
(0,16),-5.5394 # DEPENDENCYPART_ARC
(0,17),-9.55847 # DEPENDENCYPART_ARC
(0,18),-8.76115 # DEPENDENCYPART_ARC
(0,19),-7.53998 # DEPENDENCYPART_ARC
(0,20),-9.88455 # DEPENDENCYPART_ARC
(0,21),-8.7416 # DEPENDENCYPART_ARC
(0,22),-8.50131 # DEPENDENCYPART_ARC
(0,23),-8.67107 # DEPENDENCYPART_ARC
(0,24),-3.12281 # DEPENDENCYPART_ARC
(0,25),-3.5654 # DEPENDENCYPART_ARC
(0,26),-10.2785 # DEPENDENCYPART_ARC
(0,27),-9.18391 # DEPENDENCYPART_ARC
(0,28),-9.24138 # DEPENDENCYPART_ARC
(0,29),-9.51616 # DEPENDENCYPART_ARC
(0,30),-9.36755 # DEPENDENCYPART_ARC
(0,31),-9.4662 # DEPENDENCYPART_ARC
(0,32),-10.2026 # DEPENDENCYPART_ARC
(0,33),-8.8438 # DEPENDENCYPART_ARC
(0,34),-9.99806 # DEPENDENCYPART_ARC
(1,2),0.366394 # DEPENDENCYPART_ARC
(1,3),-0.620496 # DEPENDENCYPART_ARC
(1,4),-2.18498 # DEPENDENCYPART_ARC
(1,5),-1.81224 # DEPENDENCYPART_ARC
(1,6),-1.36131 # DEPENDENCYPART_ARC
(1,7),-3.35758 # DEPENDENCYPART_ARC
(1,8),-2.5042 # DEPENDENCYPART_ARC
(1,9),-2.99978 # DEPENDENCYPART_ARC
(1,10),-4.02608 # DEPENDENCYPART_ARC
(1,11),-3.17377 # DEPENDENCYPART_ARC
(1,12),-4.15106 # DEPENDENCYPART_ARC
(1,13),-3.86456 # DEPENDENCYPART_ARC
(1,14),-2.83879 # DEPENDENCYPART_ARC
(1,15),-3.97316 # DEPENDENCYPART_ARC
(1,16),-3.45491 # DEPENDENCYPART_ARC
(1,17),-3.929 # DEPENDENCYPART_ARC
(1,18),-3.97112 # DEPENDENCYPART_ARC
(1,19),-4.62482 # DEPENDENCYPART_ARC
(1,20),-4.72718 # DEPENDENCYPART_ARC
(1,21),-4.71194 # DEPENDENCYPART_ARC
(1,22),-5.43191 # DEPENDENCYPART_ARC
(1,23),-4.29372 # DEPENDENCYPART_ARC
(1,24),-4.8942 # DEPENDENCYPART_ARC
(1,25),-4.11113 # DEPENDENCYPART_ARC
(1,26),-6.68953 # DEPENDENCYPART_ARC
(1,27),-5.11752 # DEPENDENCYPART_ARC
(1,28),-4.67905 # DEPENDENCYPART_ARC
(1,29),-5.66222 # DEPENDENCYPART_ARC
(1,30),-6.25815 # DEPENDENCYPART_ARC
(1,31),-5.85902 # DEPENDENCYPART_ARC
(1,32),-5.55417 # DEPENDENCYPART_ARC
(1,33),-6.66972 # DEPENDENCYPART_ARC
(1,34),-5.24464 # DEPENDENCYPART_ARC
(2,1),3.87977 # DEPENDENCYPART_ARC
(2,3),1.11475 # DEPENDENCYPART_ARC
(2,4),1.91165 # DEPENDENCYPART_ARC
(2,5),-0.633776 # DEPENDENCYPART_ARC
(2,6),-1.04321 # DEPENDENCYPART_ARC
(2,7),-0.529229 # DEPENDENCYPART_ARC
(2,8),0.647156 # DEPENDENCYPART_ARC
(2,9),-1.77508 # DEPENDENCYPART_ARC
(2,10),-0.142315 # DEPENDENCYPART_ARC
(2,11),-0.980458 # DEPENDENCYPART_ARC
(2,12),-2.40515 # DEPENDENCYPART_ARC
(2,13),-1.54375 # DEPENDENCYPART_ARC
(2,14),-0.950829 # DEPENDENCYPART_ARC
(2,15),-3.15399 # DEPENDENCYPART_ARC
(2,16),-2.69373 # DEPENDENCYPART_ARC
(2,17),-0.0285894 # DEPENDENCYPART_ARC
(2,18),-0.992555 # DEPENDENCYPART_ARC
(2,19),-1.42983 # DEPENDENCYPART_ARC
(2,20),-2.21326 # DEPENDENCYPART_ARC
(2,21),-1.02191 # DEPENDENCYPART_ARC
(2,22),-0.340362 # DEPENDENCYPART_ARC
(2,23),-1.77389 # DEPENDENCYPART_ARC
(2,24),-5.86586 # DEPENDENCYPART_ARC
(2,25),-5.64132 # DEPENDENCYPART_ARC
(2,26),-3.27246 # DEPENDENCYPART_ARC
(2,27),-2.13893 # DEPENDENCYPART_ARC
(2,28),-4.67609 # DEPENDENCYPART_ARC
(2,29),-1.95283 # DEPENDENCYPART_ARC
(2,30),-3.5637 # DEPENDENCYPART_ARC
(2,31),-2.19146 # DEPENDENCYPART_ARC
(2,32),-5.75097 # DEPENDENCYPART_ARC
(2,33),-1.96961 # DEPENDENCYPART_ARC
(2,34),0.236255 # DEPENDENCYPART_ARC
(3,1),-0.512751 # DEPENDENCYPART_ARC
(3,2),-0.0632568 # DEPENDENCYPART_ARC
(3,4),0.588924 # DEPENDENCYPART_ARC
(3,5),-1.63052 # DEPENDENCYPART_ARC
(3,6),-1.95205 # DEPENDENCYPART_ARC
(3,7),-1.75908 # DEPENDENCYPART_ARC
(3,8),-1.58797 # DEPENDENCYPART_ARC
(3,9),-2.42303 # DEPENDENCYPART_ARC
(3,10),-1.76586 # DEPENDENCYPART_ARC
(3,11),-1.73423 # DEPENDENCYPART_ARC
(3,12),-2.1712 # DEPENDENCYPART_ARC
(3,13),-1.48344 # DEPENDENCYPART_ARC
(3,14),-1.821 # DEPENDENCYPART_ARC
(3,15),-2.20456 # DEPENDENCYPART_ARC
(3,16),-2.31052 # DEPENDENCYPART_ARC
(3,17),-2.52765 # DEPENDENCYPART_ARC
(3,18),-2.66665 # DEPENDENCYPART_ARC
(3,19),-2.64198 # DEPENDENCYPART_ARC
(3,20),-2.76041 # DEPENDENCYPART_ARC
(3,21),-2.67176 # DEPENDENCYPART_ARC
(3,22),-2.36481 # DEPENDENCYPART_ARC
(3,23),-3.73748 # DEPENDENCYPART_ARC
(3,24),-3.0673 # DEPENDENCYPART_ARC
(3,25),-3.40281 # DEPENDENCYPART_ARC
(3,26),-2.98028 # DEPENDENCYPART_ARC
