# _root_ Escolti , jo no vull anar a rentar -me les mans , vull anar a orinar .
#goldHeads=0,5,5,5,1,5,6,7,8,11,8,5,5,13,14,15,1,
#predictedHeads=16,5,5,5,16,5,6,7,8,11,8,8,0,13,14,15,16,
(0,1),-4.28936 # DEPENDENCYPART_ARC
(0,2),-7.74923 # DEPENDENCYPART_ARC
(0,3),-7.11839 # DEPENDENCYPART_ARC
(0,4),-7.35603 # DEPENDENCYPART_ARC
(0,5),-2.59967 # DEPENDENCYPART_ARC
(0,6),-3.8819 # DEPENDENCYPART_ARC
(0,7),-6.86757 # DEPENDENCYPART_ARC
(0,8),-4.5455 # DEPENDENCYPART_ARC
(0,9),-7.23966 # DEPENDENCYPART_ARC
(0,10),-9.43088 # DEPENDENCYPART_ARC
(0,11),-6.01887 # DEPENDENCYPART_ARC
(0,12),-7.87702 # DEPENDENCYPART_ARC
(0,13),-2.11614 # DEPENDENCYPART_ARC
(0,14),-3.4915 # DEPENDENCYPART_ARC
(0,15),-6.9465 # DEPENDENCYPART_ARC
(0,16),-4.25284 # DEPENDENCYPART_ARC
(0,17),-8.14404 # DEPENDENCYPART_ARC
(1,2),2.01763 # DEPENDENCYPART_ARC
(1,3),0.738423 # DEPENDENCYPART_ARC
(1,4),0.3805 # DEPENDENCYPART_ARC
(1,5),1.15122 # DEPENDENCYPART_ARC
(1,6),0.50471 # DEPENDENCYPART_ARC
(1,7),1.16636 # DEPENDENCYPART_ARC
(1,8),-0.0421593 # DEPENDENCYPART_ARC
(1,9),-0.880071 # DEPENDENCYPART_ARC
(1,10),-3.07421 # DEPENDENCYPART_ARC
(1,11),0.469138 # DEPENDENCYPART_ARC
(1,12),1.1247 # DEPENDENCYPART_ARC
(1,13),0.206993 # DEPENDENCYPART_ARC
(1,14),-0.81865 # DEPENDENCYPART_ARC
(1,15),-0.355866 # DEPENDENCYPART_ARC
(1,16),-0.922802 # DEPENDENCYPART_ARC
(1,17),2.51687 # DEPENDENCYPART_ARC
(2,1),-1.76541 # DEPENDENCYPART_ARC
(2,3),-1.33675 # DEPENDENCYPART_ARC
(2,4),-2.20482 # DEPENDENCYPART_ARC
(2,5),-1.84899 # DEPENDENCYPART_ARC
(2,6),-2.45691 # DEPENDENCYPART_ARC
(2,7),-3.01093 # DEPENDENCYPART_ARC
(2,8),-2.57161 # DEPENDENCYPART_ARC
(2,9),-3.26119 # DEPENDENCYPART_ARC
(2,10),-3.58401 # DEPENDENCYPART_ARC
(2,11),-3.10533 # DEPENDENCYPART_ARC
(2,12),-2.71476 # DEPENDENCYPART_ARC
(2,13),-2.84962 # DEPENDENCYPART_ARC
(2,14),-2.8877 # DEPENDENCYPART_ARC
(2,15),-3.27728 # DEPENDENCYPART_ARC
(2,16),-2.9716 # DEPENDENCYPART_ARC
(2,17),-2.79352 # DEPENDENCYPART_ARC
(3,1),-0.93919 # DEPENDENCYPART_ARC
(3,2),0.920625 # DEPENDENCYPART_ARC
(3,4),1.34449 # DEPENDENCYPART_ARC
(3,5),1.19944 # DEPENDENCYPART_ARC
(3,6),0.819844 # DEPENDENCYPART_ARC
(3,7),-0.010156 # DEPENDENCYPART_ARC
(3,8),-0.437654 # DEPENDENCYPART_ARC
(3,9),-0.928459 # DEPENDENCYPART_ARC
(3,10),-1.29324 # DEPENDENCYPART_ARC
(3,11),0.125691 # DEPENDENCYPART_ARC
(3,12),-0.104128 # DEPENDENCYPART_ARC
(3,13),-1.30196 # DEPENDENCYPART_ARC
(3,14),-1.34836 # DEPENDENCYPART_ARC
(3,15),-1.69849 # DEPENDENCYPART_ARC
(3,16),-2.21104 # DEPENDENCYPART_ARC
(3,17),0.0588444 # DEPENDENCYPART_ARC
(4,1),-1.45531 # DEPENDENCYPART_ARC
(4,2),-0.147515 # DEPENDENCYPART_ARC
(4,3),-0.000408812 # DEPENDENCYPART_ARC
(4,5),0.772234 # DEPENDENCYPART_ARC
(4,6),-0.570211 # DEPENDENCYPART_ARC
(4,7),-1.72624 # DEPENDENCYPART_ARC
(4,8),-1.56102 # DEPENDENCYPART_ARC
(4,9),-1.575 # DEPENDENCYPART_ARC
(4,10),-1.89976 # DEPENDENCYPART_ARC
(4,11),-1.67824 # DEPENDENCYPART_ARC
(4,12),-1.02334 # DEPENDENCYPART_ARC
(4,13),-2.17434 # DEPENDENCYPART_ARC
(4,14),-2.4802 # DEPENDENCYPART_ARC
(4,15),-2.59738 # DEPENDENCYPART_ARC
(4,16),-2.9241 # DEPENDENCYPART_ARC
(4,17),-0.540785 # DEPENDENCYPART_ARC
(5,1),0.798576 # DEPENDENCYPART_ARC
(5,2),2.08664 # DEPENDENCYPART_ARC
(5,3),3.14594 # DEPENDENCYPART_ARC
(5,4),3.75706 # DEPENDENCYPART_ARC
(5,6),3.1885 # DEPENDENCYPART_ARC
(5,7),2.02974 # DEPENDENCYPART_ARC
(5,8),1.14999 # DEPENDENCYPART_ARC
(5,9),-1.82603 # DEPENDENCYPART_ARC
(5,10),-2.93727 # DEPENDENCYPART_ARC
(5,11),0.0388531 # DEPENDENCYPART_ARC
(5,12),1.40454 # DEPENDENCYPART_ARC
(5,13),1.29852 # DEPENDENCYPART_ARC
(5,14),-0.0860566 # DEPENDENCYPART_ARC
(5,15),-0.0830801 # DEPENDENCYPART_ARC
(5,16),-0.21015 # DEPENDENCYPART_ARC
(5,17),1.95387 # DEPENDENCYPART_ARC
(6,1),-0.614649 # DEPENDENCYPART_ARC
(6,2),-0.325576 # DEPENDENCYPART_ARC
(6,3),0.40535 # DEPENDENCYPART_ARC
(6,4),1.91051 # DEPENDENCYPART_ARC
(6,5),2.60427 # DEPENDENCYPART_ARC
(6,7),3.91874 # DEPENDENCYPART_ARC
(6,8),1.05327 # DEPENDENCYPART_ARC
(6,9),0.0953638 # DEPENDENCYPART_ARC
(6,10),-2.44244 # DEPENDENCYPART_ARC
(6,11),1.35902 # DEPENDENCYPART_ARC
(6,12),1.427 # DEPENDENCYPART_ARC
(6,13),0.363755 # DEPENDENCYPART_ARC
(6,14),0.0301838 # DEPENDENCYPART_ARC
(6,15),0.974352 # DEPENDENCYPART_ARC
(6,16),-1.17017 # DEPENDENCYPART_ARC
(6,17),2.49622 # DEPENDENCYPART_ARC
(7,1),-0.740672 # DEPENDENCYPART_ARC
(7,2),-0.40035 # DEPENDENCYPART_ARC
(7,3),-1.26908 # DEPENDENCYPART_ARC
(7,4),0.591962 # DEPENDENCYPART_ARC
(7,5),0.682225 # DEPENDENCYPART_ARC
(7,6),1.24529 # DEPENDENCYPART_ARC
(7,8),3.89146 # DEPENDENCYPART_ARC
(7,9),1.70186 # DEPENDENCYPART_ARC
(7,10),-1.15578 # DEPENDENCYPART_ARC
(7,11),0.989862 # DEPENDENCYPART_ARC
(7,12),0.388179 # DEPENDENCYPART_ARC
(7,13),-0.85104 # DEPENDENCYPART_ARC
(7,14),-0.459642 # DEPENDENCYPART_ARC
(7,15),0.781983 # DEPENDENCYPART_ARC
(7,16),-0.931609 # DEPENDENCYPART_ARC
(7,17),0.498725 # DEPENDENCYPART_ARC
(8,1),0.539229 # DEPENDENCYPART_ARC
(8,2),0.689462 # DEPENDENCYPART_ARC
(8,3),1.02054 # DEPENDENCYPART_ARC
(8,4),2.58036 # DEPENDENCYPART_ARC
(8,5),3.13562 # DEPENDENCYPART_ARC
(8,6),2.80233 # DEPENDENCYPART_ARC
(8,7),3.74063 # DEPENDENCYPART_ARC
(8,9),3.33293 # DEPENDENCYPART_ARC
(8,10),-0.164357 # DEPENDENCYPART_ARC
(8,11),3.12154 # DEPENDENCYPART_ARC
(8,12),1.44831 # DEPENDENCYPART_ARC
(8,13),1.8474 # DEPENDENCYPART_ARC
(8,14),0.797002 # DEPENDENCYPART_ARC
(8,15),1.82472 # DEPENDENCYPART_ARC
(8,16),0.580906 # DEPENDENCYPART_ARC
(8,17),1.94132 # DEPENDENCYPART_ARC
(9,1),-2.98648 # DEPENDENCYPART_ARC
(9,2),-1.95362 # DEPENDENCYPART_ARC
(9,3),-2.84959 # DEPENDENCYPART_ARC
(9,4),-1.48718 # DEPENDENCYPART_ARC
(9,5),-2.56106 # DEPENDENCYPART_ARC
(9,6),-2.04909 # DEPENDENCYPART_ARC
(9,7),-0.934338 # DEPENDENCYPART_ARC
(9,8),-0.370167 # DEPENDENCYPART_ARC
(9,10),0.321389 # DEPENDENCYPART_ARC
(9,11),0.669463 # DEPENDENCYPART_ARC
(9,12),0.00914341 # DEPENDENCYPART_ARC
(9,13),-0.261079 # DEPENDENCYPART_ARC
(9,14),-0.181155 # DEPENDENCYPART_ARC
(9,15),-1.97677 # DEPENDENCYPART_ARC
(9,16),-1.41768 # DEPENDENCYPART_ARC
(9,17),-0.388792 # DEPENDENCYPART_ARC
(10,1),-2.1444 # DEPENDENCYPART_ARC
(10,2),-2.12 # DEPENDENCYPART_ARC
(10,3),-3.11754 # DEPENDENCYPART_ARC
(10,4),-2.05287 # DEPENDENCYPART_ARC
(10,5),-1.41947 # DEPENDENCYPART_ARC
(10,6),-1.98176 # DEPENDENCYPART_ARC
(10,7),-1.34952 # DEPENDENCYPART_ARC
(10,8),-0.834657 # DEPENDENCYPART_ARC
(10,9),-0.362666 # DEPENDENCYPART_ARC
(10,11),0.263107 # DEPENDENCYPART_ARC
(10,12),-0.982262 # DEPENDENCYPART_ARC
(10,13),-1.58798 # DEPENDENCYPART_ARC
(10,14),-1.60243 # DEPENDENCYPART_ARC
(10,15),-2.86302 # DEPENDENCYPART_ARC
(10,16),-2.27804 # DEPENDENCYPART_ARC
(10,17),-2.21646 # DEPENDENCYPART_ARC
(11,1),-0.30579 # DEPENDENCYPART_ARC
(11,2),-0.426612 # DEPENDENCYPART_ARC
(11,3),-2.16075 # DEPENDENCYPART_ARC
(11,4),-0.23704 # DEPENDENCYPART_ARC
(11,5),-0.552897 # DEPENDENCYPART_ARC
(11,6),-0.859463 # DEPENDENCYPART_ARC
(11,7),-0.046671 # DEPENDENCYPART_ARC
(11,8),0.522449 # DEPENDENCYPART_ARC
(11,9),0.367461 # DEPENDENCYPART_ARC
(11,10),5.82692 # DEPENDENCYPART_ARC
(11,12),1.23508 # DEPENDENCYPART_ARC
(11,13),1.15374 # DEPENDENCYPART_ARC
(11,14),1.0943 # DEPENDENCYPART_ARC
(11,15),-0.412799 # DEPENDENCYPART_ARC
(11,16),-0.872794 # DEPENDENCYPART_ARC
(11,17),0.744802 # DEPENDENCYPART_ARC
(12,1),-3.91322 # DEPENDENCYPART_ARC
(12,2),-3.01418 # DEPENDENCYPART_ARC
(12,3),-3.44528 # DEPENDENCYPART_ARC
(12,4),-3.54284 # DEPENDENCYPART_ARC
