# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(0,1),-6.16539 # DEPENDENCYPART_ARC
(0,5),-6.94839 # DEPENDENCYPART_ARC
(0,7),-6.74407 # DEPENDENCYPART_ARC
(0,8),-7.43181 # DEPENDENCYPART_ARC
(0,9),-6.74976 # DEPENDENCYPART_ARC
(0,10),-2.7255 # DEPENDENCYPART_ARC
(0,11),-7.51214 # DEPENDENCYPART_ARC
(0,13),-6.43904 # DEPENDENCYPART_ARC
(0,15),-8.13324 # DEPENDENCYPART_ARC
(0,16),-8.71913 # DEPENDENCYPART_ARC
(0,17),-7.85493 # DEPENDENCYPART_ARC
(0,20),-6.27539 # DEPENDENCYPART_ARC
(1,2),3.51158 # DEPENDENCYPART_ARC
(1,3),-0.0833907 # DEPENDENCYPART_ARC
(1,4),-0.302707 # DEPENDENCYPART_ARC
(1,5),-0.423718 # DEPENDENCYPART_ARC
(1,6),-1.10167 # DEPENDENCYPART_ARC
(1,7),-1.36973 # DEPENDENCYPART_ARC
(1,8),-1.26917 # DEPENDENCYPART_ARC
(1,9),-1.31593 # DEPENDENCYPART_ARC
(1,10),-0.348449 # DEPENDENCYPART_ARC
(1,11),-2.60427 # DEPENDENCYPART_ARC
(1,12),-1.87315 # DEPENDENCYPART_ARC
(1,13),-1.75431 # DEPENDENCYPART_ARC
(1,14),0.530309 # DEPENDENCYPART_ARC
(1,15),-1.88837 # DEPENDENCYPART_ARC
(1,16),-1.43061 # DEPENDENCYPART_ARC
(1,17),-2.4383 # DEPENDENCYPART_ARC
(1,18),-1.98546 # DEPENDENCYPART_ARC
(1,20),-2.09517 # DEPENDENCYPART_ARC
(1,21),0.382705 # DEPENDENCYPART_ARC
(2,7),-1.38149 # DEPENDENCYPART_ARC
(2,13),-1.95512 # DEPENDENCYPART_ARC
(2,14),-0.84046 # DEPENDENCYPART_ARC
