# _root_ ' Si no volen participar , almenys que aportin els_seus estudis ' , ha explicat Fabra .
#goldHeads=9,4,4,9,4,4,9,9,15,11,9,9,9,15,0,15,15,
#predictedHeads=4,4,4,15,4,7,9,9,15,11,9,9,9,15,0,15,15,
(0,1),-6.52662 # DEPENDENCYPART_ARC
(0,2),-6.6513 # DEPENDENCYPART_ARC
(0,3),-6.28967 # DEPENDENCYPART_ARC
(0,4),-2.5588 # DEPENDENCYPART_ARC
(0,5),-3.16146 # DEPENDENCYPART_ARC
(0,6),-7.1535 # DEPENDENCYPART_ARC
(0,7),-6.8715 # DEPENDENCYPART_ARC
(0,8),-6.91621 # DEPENDENCYPART_ARC
(0,9),-6.16398 # DEPENDENCYPART_ARC
(0,10),-8.86086 # DEPENDENCYPART_ARC
(0,11),-6.21975 # DEPENDENCYPART_ARC
(0,12),-7.45213 # DEPENDENCYPART_ARC
(0,13),-7.48378 # DEPENDENCYPART_ARC
(0,14),-2.12584 # DEPENDENCYPART_ARC
(0,15),-2.91795 # DEPENDENCYPART_ARC
(0,16),-5.89099 # DEPENDENCYPART_ARC
(0,17),-7.84413 # DEPENDENCYPART_ARC
(1,2),-0.555856 # DEPENDENCYPART_ARC
(1,3),-1.4837 # DEPENDENCYPART_ARC
(1,4),-1.06926 # DEPENDENCYPART_ARC
(1,5),-1.65417 # DEPENDENCYPART_ARC
(1,6),-1.79687 # DEPENDENCYPART_ARC
(1,7),-2.29516 # DEPENDENCYPART_ARC
(1,8),-1.3847 # DEPENDENCYPART_ARC
(1,9),-1.94045 # DEPENDENCYPART_ARC
(1,10),-2.85584 # DEPENDENCYPART_ARC
(1,11),-2.41021 # DEPENDENCYPART_ARC
(1,12),-1.65549 # DEPENDENCYPART_ARC
(1,13),-1.90715 # DEPENDENCYPART_ARC
(1,14),-2.12488 # DEPENDENCYPART_ARC
(1,15),-2.09114 # DEPENDENCYPART_ARC
(1,16),-2.48802 # DEPENDENCYPART_ARC
(1,17),-2.06234 # DEPENDENCYPART_ARC
(2,1),0.570671 # DEPENDENCYPART_ARC
(2,3),-0.222009 # DEPENDENCYPART_ARC
(2,4),0.471302 # DEPENDENCYPART_ARC
(2,5),-0.474708 # DEPENDENCYPART_ARC
