# _root_ On hi ha varietat de flora , però , el Seneci_del_Cap és rebutjat tant pels animals de pastura com per les abelles .
#goldHeads=3,3,13,3,4,5,8,13,8,11,13,13,0,15,13,15,16,17,15,15,22,20,13,
#predictedHeads=3,3,0,3,4,5,8,13,8,11,13,13,4,13,13,15,16,17,15,15,22,20,13,
(0,1),-4.89455 # DEPENDENCYPART_ARC
(0,2),-4.93224 # DEPENDENCYPART_ARC
(0,3),-1.39478 # DEPENDENCYPART_ARC
(0,4),-5.96724 # DEPENDENCYPART_ARC
(0,5),-6.89238 # DEPENDENCYPART_ARC
(0,6),-5.50677 # DEPENDENCYPART_ARC
(0,7),-6.81719 # DEPENDENCYPART_ARC
(0,8),-6.5019 # DEPENDENCYPART_ARC
(0,9),-6.82021 # DEPENDENCYPART_ARC
(0,10),-8.76853 # DEPENDENCYPART_ARC
(0,11),-6.0445 # DEPENDENCYPART_ARC
(0,12),-0.280631 # DEPENDENCYPART_ARC
(0,13),-2.42389 # DEPENDENCYPART_ARC
(0,14),-7.20159 # DEPENDENCYPART_ARC
(0,15),-6.69697 # DEPENDENCYPART_ARC
(0,16),-6.46825 # DEPENDENCYPART_ARC
(0,17),-7.46619 # DEPENDENCYPART_ARC
(0,18),-5.97341 # DEPENDENCYPART_ARC
(0,19),-6.78291 # DEPENDENCYPART_ARC
(0,20),-7.14921 # DEPENDENCYPART_ARC
(0,21),-8.85347 # DEPENDENCYPART_ARC
(0,22),-5.94307 # DEPENDENCYPART_ARC
(0,23),-8.02868 # DEPENDENCYPART_ARC
(1,2),-0.2731 # DEPENDENCYPART_ARC
(1,3),0.481246 # DEPENDENCYPART_ARC
(1,4),-0.916461 # DEPENDENCYPART_ARC
(1,5),-1.35536 # DEPENDENCYPART_ARC
(1,6),-1.06818 # DEPENDENCYPART_ARC
(1,7),-0.811572 # DEPENDENCYPART_ARC
(1,8),-2.22715 # DEPENDENCYPART_ARC
(1,9),-0.906331 # DEPENDENCYPART_ARC
(1,10),-2.6433 # DEPENDENCYPART_ARC
(1,11),-1.88774 # DEPENDENCYPART_ARC
(1,12),-1.66406 # DEPENDENCYPART_ARC
(1,13),-2.10574 # DEPENDENCYPART_ARC
(1,14),-2.92625 # DEPENDENCYPART_ARC
(1,15),-3.6365 # DEPENDENCYPART_ARC
(1,16),-2.36872 # DEPENDENCYPART_ARC
(1,17),-3.18479 # DEPENDENCYPART_ARC
(1,18),-2.48271 # DEPENDENCYPART_ARC
(1,19),-2.34346 # DEPENDENCYPART_ARC
(1,20),-4.49227 # DEPENDENCYPART_ARC
(1,21),-3.60022 # DEPENDENCYPART_ARC
(1,22),-2.57714 # DEPENDENCYPART_ARC
(1,23),-0.626601 # DEPENDENCYPART_ARC
(2,1),-0.663596 # DEPENDENCYPART_ARC
(2,3),-0.880217 # DEPENDENCYPART_ARC
(2,4),-1.61603 # DEPENDENCYPART_ARC
(2,5),-1.80476 # DEPENDENCYPART_ARC
(2,6),-1.9273 # DEPENDENCYPART_ARC
(2,7),-1.65172 # DEPENDENCYPART_ARC
(2,8),-2.49444 # DEPENDENCYPART_ARC
(2,9),-1.7492 # DEPENDENCYPART_ARC
(2,10),-2.04213 # DEPENDENCYPART_ARC
(2,11),-2.20219 # DEPENDENCYPART_ARC
(2,12),-3.26356 # DEPENDENCYPART_ARC
(2,13),-4.73432 # DEPENDENCYPART_ARC
(2,14),-3.24831 # DEPENDENCYPART_ARC
(2,15),-4.78021 # DEPENDENCYPART_ARC
(2,16),-2.39504 # DEPENDENCYPART_ARC
(2,17),-3.80964 # DEPENDENCYPART_ARC
(2,18),-3.46037 # DEPENDENCYPART_ARC
(2,19),-2.75457 # DEPENDENCYPART_ARC
