# _root_ Les coses han canviat molt des_d' aleshores : en_vigílies dels comicis del 1977 , el PSUC podia mirar de_tu_a_tu un partit socialista constituït recentment ; avui , Iniciativa lluita per la_seva supervivència i el PSC ocupa una posició hegemònica .
#goldHeads=2,4,4,0,4,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,18,29,32,30,29,35,36,29,38,36,38,4,
#predictedHeads=2,4,4,18,4,4,6,18,18,9,10,11,12,9,16,18,18,29,18,21,18,21,21,23,18,29,26,29,0,29,32,30,32,35,32,29,38,36,38,29,
(0,2),-6.71181 # DEPENDENCYPART_ARC
(0,3),-1.91126 # DEPENDENCYPART_ARC
(0,4),-2.87858 # DEPENDENCYPART_ARC
(0,5),-8.36407 # DEPENDENCYPART_ARC
(0,6),-7.35867 # DEPENDENCYPART_ARC
(0,7),-8.05501 # DEPENDENCYPART_ARC
(0,9),-8.35978 # DEPENDENCYPART_ARC
(0,10),-7.55928 # DEPENDENCYPART_ARC
(0,11),-7.28593 # DEPENDENCYPART_ARC
(0,12),-8.06917 # DEPENDENCYPART_ARC
(0,13),-8.26476 # DEPENDENCYPART_ARC
(0,16),-7.111 # DEPENDENCYPART_ARC
(0,17),-1.82845 # DEPENDENCYPART_ARC
(0,18),-2.90506 # DEPENDENCYPART_ARC
(0,19),-8.8593 # DEPENDENCYPART_ARC
(0,21),-7.31347 # DEPENDENCYPART_ARC
(0,22),-8.96589 # DEPENDENCYPART_ARC
(0,23),-9.8235 # DEPENDENCYPART_ARC
(0,24),-9.03367 # DEPENDENCYPART_ARC
(0,26),-8.91335 # DEPENDENCYPART_ARC
(0,28),-6.64506 # DEPENDENCYPART_ARC
(0,29),-0.603477 # DEPENDENCYPART_ARC
(0,30),-6.9456 # DEPENDENCYPART_ARC
(0,32),-7.04753 # DEPENDENCYPART_ARC
(0,35),-7.49975 # DEPENDENCYPART_ARC
(0,36),-3.25465 # DEPENDENCYPART_ARC
(0,38),-7.87795 # DEPENDENCYPART_ARC
(0,39),-9.38844 # DEPENDENCYPART_ARC
(1,2),1.34837 # DEPENDENCYPART_ARC
(1,5),-1.5007 # DEPENDENCYPART_ARC
(1,6),-2.11248 # DEPENDENCYPART_ARC
(1,7),-2.2104 # DEPENDENCYPART_ARC
(1,9),-2.27641 # DEPENDENCYPART_ARC
(1,10),-2.15394 # DEPENDENCYPART_ARC
(1,11),-3.10803 # DEPENDENCYPART_ARC
(1,12),-3.72503 # DEPENDENCYPART_ARC
(1,13),-2.14957 # DEPENDENCYPART_ARC
(1,15),-5.73015 # DEPENDENCYPART_ARC
(1,16),-3.21946 # DEPENDENCYPART_ARC
(1,19),-2.77063 # DEPENDENCYPART_ARC
(1,20),-7.38473 # DEPENDENCYPART_ARC
(1,21),-4.84047 # DEPENDENCYPART_ARC
(1,22),-4.85043 # DEPENDENCYPART_ARC
(1,23),-6.37808 # DEPENDENCYPART_ARC
(1,24),-3.27853 # DEPENDENCYPART_ARC
(1,26),-3.48136 # DEPENDENCYPART_ARC
(1,28),-4.41008 # DEPENDENCYPART_ARC
(1,30),-6.06666 # DEPENDENCYPART_ARC
(1,31),-7.9785 # DEPENDENCYPART_ARC
(1,32),-5.26975 # DEPENDENCYPART_ARC
(1,33),-4.05093 # DEPENDENCYPART_ARC
(1,34),-10.5522 # DEPENDENCYPART_ARC
(1,35),-5.07952 # DEPENDENCYPART_ARC
(1,37),-10.307 # DEPENDENCYPART_ARC
(1,38),-6.06142 # DEPENDENCYPART_ARC
(1,39),-5.06931 # DEPENDENCYPART_ARC
(2,1),4.5003 # DEPENDENCYPART_ARC
(2,3),1.17643 # DEPENDENCYPART_ARC
(2,4),0.126751 # DEPENDENCYPART_ARC
(2,5),-0.806005 # DEPENDENCYPART_ARC
(2,6),-1.48858 # DEPENDENCYPART_ARC
(2,7),-1.08541 # DEPENDENCYPART_ARC
(2,8),-1.05653 # DEPENDENCYPART_ARC
(2,9),-1.13497 # DEPENDENCYPART_ARC
(2,10),-1.99916 # DEPENDENCYPART_ARC
(2,11),-1.32535 # DEPENDENCYPART_ARC
(2,12),-2.34252 # DEPENDENCYPART_ARC
(2,13),-1.31011 # DEPENDENCYPART_ARC
(2,14),-0.545724 # DEPENDENCYPART_ARC
(2,15),-4.255 # DEPENDENCYPART_ARC
(2,16),-1.91248 # DEPENDENCYPART_ARC
(2,17),-4.02511 # DEPENDENCYPART_ARC
(2,18),-3.59264 # DEPENDENCYPART_ARC
(2,19),-1.68443 # DEPENDENCYPART_ARC
(2,20),-3.81974 # DEPENDENCYPART_ARC
(2,21),-3.20999 # DEPENDENCYPART_ARC
(2,22),-2.35792 # DEPENDENCYPART_ARC
(2,23),-4.09077 # DEPENDENCYPART_ARC
(2,24),-2.07961 # DEPENDENCYPART_ARC
(2,25),-0.953454 # DEPENDENCYPART_ARC
(2,26),-2.71997 # DEPENDENCYPART_ARC
(2,27),-0.765708 # DEPENDENCYPART_ARC
(2,28),-2.0292 # DEPENDENCYPART_ARC
(2,29),-5.62744 # DEPENDENCYPART_ARC
