# _root_ Avui , en aquesta població , hi ha afectades ni_més_ni_menys_que 14 hectàrees d' una urbanització .
#goldHeads=8,1,8,5,3,3,8,0,8,12,12,8,12,15,13,8,
#predictedHeads=8,1,8,5,3,3,8,0,8,11,12,8,12,15,13,8,
(0,1),-5.91016 # DEPENDENCYPART_ARC
(0,2),-7.09304 # DEPENDENCYPART_ARC
(0,3),-6.00842 # DEPENDENCYPART_ARC
(0,4),-8.60106 # DEPENDENCYPART_ARC
(0,5),-5.6448 # DEPENDENCYPART_ARC
(0,6),-6.96534 # DEPENDENCYPART_ARC
(0,7),-5.91595 # DEPENDENCYPART_ARC
(0,8),-2.51036 # DEPENDENCYPART_ARC
(0,9),-8.08362 # DEPENDENCYPART_ARC
(0,10),-7.36917 # DEPENDENCYPART_ARC
(0,11),-7.42059 # DEPENDENCYPART_ARC
(0,12),-6.36006 # DEPENDENCYPART_ARC
(0,13),-7.01933 # DEPENDENCYPART_ARC
(0,14),-9.52122 # DEPENDENCYPART_ARC
(0,15),-6.17001 # DEPENDENCYPART_ARC
(0,16),-7.93693 # DEPENDENCYPART_ARC
(1,2),3.13748 # DEPENDENCYPART_ARC
(1,3),-0.783793 # DEPENDENCYPART_ARC
(1,4),-0.452116 # DEPENDENCYPART_ARC
(1,5),-0.812387 # DEPENDENCYPART_ARC
(1,6),0.74367 # DEPENDENCYPART_ARC
(1,7),-0.422986 # DEPENDENCYPART_ARC
(1,8),-0.332048 # DEPENDENCYPART_ARC
(1,9),-1.26779 # DEPENDENCYPART_ARC
(1,10),-1.17772 # DEPENDENCYPART_ARC
(1,11),-1.04098 # DEPENDENCYPART_ARC
(1,12),-1.97866 # DEPENDENCYPART_ARC
(1,13),-2.19654 # DEPENDENCYPART_ARC
(1,14),-1.56014 # DEPENDENCYPART_ARC
(1,15),-2.03946 # DEPENDENCYPART_ARC
(1,16),-0.163062 # DEPENDENCYPART_ARC
(2,1),-1.47377 # DEPENDENCYPART_ARC
(2,3),-0.74381 # DEPENDENCYPART_ARC
(2,4),-1.47277 # DEPENDENCYPART_ARC
(2,5),-1.35151 # DEPENDENCYPART_ARC
(2,6),-1.01319 # DEPENDENCYPART_ARC
(2,7),-1.8926 # DEPENDENCYPART_ARC
(2,8),-1.24212 # DEPENDENCYPART_ARC
(2,9),-2.04178 # DEPENDENCYPART_ARC
(2,10),-2.14573 # DEPENDENCYPART_ARC
(2,11),-1.63738 # DEPENDENCYPART_ARC
(2,12),-2.09792 # DEPENDENCYPART_ARC
(2,13),-2.19567 # DEPENDENCYPART_ARC
(2,14),-2.67664 # DEPENDENCYPART_ARC
