# _root_ ' Carpe_Diem ' és un homenatge a la vida : ' aprofita el temps al màxim , que la vida sigui extraordinària , que cada moment sigui únic ' .
#goldHeads=2,4,2,0,6,4,6,9,7,12,12,6,14,12,12,15,12,21,20,21,12,21,12,27,26,27,12,27,12,4,
#predictedHeads=2,4,2,12,6,4,6,9,7,12,12,0,14,12,12,15,12,21,20,21,12,21,27,27,26,27,21,27,27,12,
(0,2),-5.65474 # DEPENDENCYPART_ARC
(0,4),-1.05803 # DEPENDENCYPART_ARC
(0,6),-6.61323 # DEPENDENCYPART_ARC
(0,7),-7.59643 # DEPENDENCYPART_ARC
(0,9),-6.50362 # DEPENDENCYPART_ARC
(0,12),-0.130086 # DEPENDENCYPART_ARC
(0,14),-6.66109 # DEPENDENCYPART_ARC
(0,15),-8.41285 # DEPENDENCYPART_ARC
(0,16),-6.59734 # DEPENDENCYPART_ARC
(0,18),-7.94377 # DEPENDENCYPART_ARC
(0,20),-7.14247 # DEPENDENCYPART_ARC
(0,21),-3.21828 # DEPENDENCYPART_ARC
(0,22),-8.69065 # DEPENDENCYPART_ARC
(0,24),-8.64632 # DEPENDENCYPART_ARC
(0,26),-7.48912 # DEPENDENCYPART_ARC
(0,27),-4.02944 # DEPENDENCYPART_ARC
(0,28),-9.11203 # DEPENDENCYPART_ARC
(2,1),4.10818 # DEPENDENCYPART_ARC
(2,3),4.15956 # DEPENDENCYPART_ARC
(2,4),1.18868 # DEPENDENCYPART_ARC
(2,5),-0.759112 # DEPENDENCYPART_ARC
(2,6),-0.0894562 # DEPENDENCYPART_ARC
(2,7),-0.867472 # DEPENDENCYPART_ARC
(2,8),-1.69178 # DEPENDENCYPART_ARC
(2,9),-0.522578 # DEPENDENCYPART_ARC
(2,10),0.215262 # DEPENDENCYPART_ARC
(2,11),0.287159 # DEPENDENCYPART_ARC
(2,12),-1.0084 # DEPENDENCYPART_ARC
(2,13),-2.17695 # DEPENDENCYPART_ARC
(2,14),-0.836448 # DEPENDENCYPART_ARC
(2,15),-1.59346 # DEPENDENCYPART_ARC
(2,16),-0.745479 # DEPENDENCYPART_ARC
(2,17),0.457196 # DEPENDENCYPART_ARC
(2,18),-2.22272 # DEPENDENCYPART_ARC
(2,19),-2.70745 # DEPENDENCYPART_ARC
(2,20),-2.04238 # DEPENDENCYPART_ARC
(2,21),-2.819 # DEPENDENCYPART_ARC
(2,22),-1.84939 # DEPENDENCYPART_ARC
(2,23),-0.611182 # DEPENDENCYPART_ARC
(2,24),-3.31165 # DEPENDENCYPART_ARC
(2,25),-3.0275 # DEPENDENCYPART_ARC
(2,26),-3.4504 # DEPENDENCYPART_ARC
(2,27),-4.68947 # DEPENDENCYPART_ARC
(2,28),-3.13566 # DEPENDENCYPART_ARC
(2,29),-1.69344 # DEPENDENCYPART_ARC
(2,30),-0.0819155 # DEPENDENCYPART_ARC
(4,1),2.99614 # DEPENDENCYPART_ARC
(4,2),1.65028 # DEPENDENCYPART_ARC
(4,3),2.81269 # DEPENDENCYPART_ARC
(4,5),-0.976826 # DEPENDENCYPART_ARC
