# _root_ El pelatge d' aquesta espècie , format en cada exemplar per taques diferents , actua com un carnet d' identitat .
#goldHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
#predictedHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
(0,1),-8.05641 # DEPENDENCYPART_ARC
(0,2),-6.9402 # DEPENDENCYPART_ARC
(0,3),-7.4862 # DEPENDENCYPART_ARC
(0,4),-8.99841 # DEPENDENCYPART_ARC
(0,5),-6.89642 # DEPENDENCYPART_ARC
(0,6),-7.41308 # DEPENDENCYPART_ARC
(0,7),-8.60573 # DEPENDENCYPART_ARC
(0,8),-7.81268 # DEPENDENCYPART_ARC
(0,9),-9.34823 # DEPENDENCYPART_ARC
(0,10),-7.88494 # DEPENDENCYPART_ARC
(0,11),-7.74946 # DEPENDENCYPART_ARC
(0,12),-7.59889 # DEPENDENCYPART_ARC
(0,13),-7.26965 # DEPENDENCYPART_ARC
(0,14),-7.95931 # DEPENDENCYPART_ARC
(0,15),-1.3254 # DEPENDENCYPART_ARC
(0,16),-7.35775 # DEPENDENCYPART_ARC
(0,17),-10.0664 # DEPENDENCYPART_ARC
(0,18),-8.47226 # DEPENDENCYPART_ARC
(0,19),-8.56426 # DEPENDENCYPART_ARC
(0,20),-7.55935 # DEPENDENCYPART_ARC
(0,21),-8.93625 # DEPENDENCYPART_ARC
(1,2),1.19136 # DEPENDENCYPART_ARC
(1,3),0.0235609 # DEPENDENCYPART_ARC
(1,4),0.132881 # DEPENDENCYPART_ARC
(1,5),-2.02839 # DEPENDENCYPART_ARC
(1,6),-1.98643 # DEPENDENCYPART_ARC
(1,7),-2.82314 # DEPENDENCYPART_ARC
(1,8),-2.93159 # DEPENDENCYPART_ARC
(1,9),-1.37551 # DEPENDENCYPART_ARC
(1,10),-2.80831 # DEPENDENCYPART_ARC
(1,11),-2.67065 # DEPENDENCYPART_ARC
(1,12),-4.10109 # DEPENDENCYPART_ARC
(1,13),-3.56567 # DEPENDENCYPART_ARC
(1,14),-2.87228 # DEPENDENCYPART_ARC
(1,15),-3.24295 # DEPENDENCYPART_ARC
(1,16),-3.07868 # DEPENDENCYPART_ARC
(1,17),-4.18387 # DEPENDENCYPART_ARC
(1,18),-3.99717 # DEPENDENCYPART_ARC
(1,19),-3.40537 # DEPENDENCYPART_ARC
(1,20),-4.87851 # DEPENDENCYPART_ARC
(1,21),-3.59884 # DEPENDENCYPART_ARC
(2,1),4.59096 # DEPENDENCYPART_ARC
(2,3),3.43714 # DEPENDENCYPART_ARC
(2,4),-0.209584 # DEPENDENCYPART_ARC
(2,5),1.83236 # DEPENDENCYPART_ARC
(2,6),1.25663 # DEPENDENCYPART_ARC
(2,7),3.09179 # DEPENDENCYPART_ARC
(2,8),1.41796 # DEPENDENCYPART_ARC
(2,9),-0.840678 # DEPENDENCYPART_ARC
(2,10),1.27926 # DEPENDENCYPART_ARC
(2,11),1.72917 # DEPENDENCYPART_ARC
(2,12),0.496788 # DEPENDENCYPART_ARC
(2,13),-0.546988 # DEPENDENCYPART_ARC
(2,14),1.02681 # DEPENDENCYPART_ARC
(2,15),1.45031 # DEPENDENCYPART_ARC
(2,16),1.02565 # DEPENDENCYPART_ARC
(2,17),-1.39086 # DEPENDENCYPART_ARC
(2,18),-0.786381 # DEPENDENCYPART_ARC
(2,19),-1.62057 # DEPENDENCYPART_ARC
(2,20),-1.64422 # DEPENDENCYPART_ARC
(2,21),1.22024 # DEPENDENCYPART_ARC
(3,1),0.556434 # DEPENDENCYPART_ARC
(3,2),-0.333896 # DEPENDENCYPART_ARC
(3,4),0.382976 # DEPENDENCYPART_ARC
(3,5),5.11655 # DEPENDENCYPART_ARC
(3,6),0.534858 # DEPENDENCYPART_ARC
(3,7),0.134231 # DEPENDENCYPART_ARC
