# _root_ Volent potser calmar les ansietats dels diputats , Putin va subratllar que Moscou pretén augmentar " l' eficàcia del seu poder de dissuasió " , encara_que no incrementant " quantitativament " el nombre de caps nuclears .
#goldHeads=11,1,1,5,3,5,6,1,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,18,28,28,28,15,30,28,30,33,28,33,34,35,11,
#predictedHeads=3,3,11,5,3,5,6,7,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,14,28,28,28,15,30,28,30,33,28,33,34,35,14,
(0,1),-5.15773 # DEPENDENCYPART_ARC
(0,2),-7.35604 # DEPENDENCYPART_ARC
(0,3),-4.70349 # DEPENDENCYPART_ARC
(0,4),-9.08696 # DEPENDENCYPART_ARC
(0,5),-7.07831 # DEPENDENCYPART_ARC
(0,6),-7.97715 # DEPENDENCYPART_ARC
(0,7),-6.68661 # DEPENDENCYPART_ARC
(0,8),-8.02258 # DEPENDENCYPART_ARC
(0,9),-6.93906 # DEPENDENCYPART_ARC
(0,10),-1.97076 # DEPENDENCYPART_ARC
(0,11),-2.53466 # DEPENDENCYPART_ARC
(0,12),-7.66135 # DEPENDENCYPART_ARC
(0,13),-7.15218 # DEPENDENCYPART_ARC
(0,14),-0.945343 # DEPENDENCYPART_ARC
(0,15),-3.10561 # DEPENDENCYPART_ARC
(0,16),-8.0878 # DEPENDENCYPART_ARC
(0,17),-10.0838 # DEPENDENCYPART_ARC
(0,18),-7.07846 # DEPENDENCYPART_ARC
(0,19),-8.58898 # DEPENDENCYPART_ARC
(0,20),-10.0482 # DEPENDENCYPART_ARC
(0,21),-6.71594 # DEPENDENCYPART_ARC
(0,22),-8.93162 # DEPENDENCYPART_ARC
(0,23),-6.84382 # DEPENDENCYPART_ARC
(0,24),-8.81111 # DEPENDENCYPART_ARC
(0,25),-9.18874 # DEPENDENCYPART_ARC
(0,26),-8.31735 # DEPENDENCYPART_ARC
(0,27),-8.84455 # DEPENDENCYPART_ARC
(0,28),-6.22809 # DEPENDENCYPART_ARC
(0,29),-9.07995 # DEPENDENCYPART_ARC
(0,30),-8.50626 # DEPENDENCYPART_ARC
(0,31),-9.17504 # DEPENDENCYPART_ARC
(0,32),-10.8745 # DEPENDENCYPART_ARC
(0,33),-7.20443 # DEPENDENCYPART_ARC
(0,34),-9.23411 # DEPENDENCYPART_ARC
(0,35),-7.31134 # DEPENDENCYPART_ARC
(0,36),-8.60758 # DEPENDENCYPART_ARC
(0,37),-10.2585 # DEPENDENCYPART_ARC
(1,2),1.99432 # DEPENDENCYPART_ARC
(1,3),2.27143 # DEPENDENCYPART_ARC
(1,4),-1.01717 # DEPENDENCYPART_ARC
(1,5),2.74808 # DEPENDENCYPART_ARC
(1,6),0.608696 # DEPENDENCYPART_ARC
(1,7),1.21857 # DEPENDENCYPART_ARC
(1,8),0.822028 # DEPENDENCYPART_ARC
(1,9),-0.012617 # DEPENDENCYPART_ARC
