# _root_ L' Ajuntament_de_Girona està preparant la redacció d' un nou Pla_General que , segons ha explicat l' alcalde , podria estar llest a finals del 2001 .
#goldHeads=2,4,4,0,6,4,6,10,10,7,20,15,15,15,20,17,15,15,20,10,20,20,22,23,24,4,
#predictedHeads=2,4,4,0,6,4,6,10,10,7,10,15,15,15,10,17,15,15,20,15,20,20,22,23,24,4,
(0,1),-8.10343 # DEPENDENCYPART_ARC
(0,2),-6.74934 # DEPENDENCYPART_ARC
(0,3),-1.50454 # DEPENDENCYPART_ARC
(0,4),-3.0842 # DEPENDENCYPART_ARC
(0,5),-9.66625 # DEPENDENCYPART_ARC
(0,6),-7.99901 # DEPENDENCYPART_ARC
(0,7),-8.28124 # DEPENDENCYPART_ARC
(0,8),-9.91745 # DEPENDENCYPART_ARC
(0,9),-8.36266 # DEPENDENCYPART_ARC
(0,10),-7.88122 # DEPENDENCYPART_ARC
(0,11),-6.74816 # DEPENDENCYPART_ARC
(0,12),-8.11004 # DEPENDENCYPART_ARC
(0,13),-6.92292 # DEPENDENCYPART_ARC
(0,14),-4.1267 # DEPENDENCYPART_ARC
(0,15),-3.17934 # DEPENDENCYPART_ARC
(0,16),-10.009 # DEPENDENCYPART_ARC
(0,17),-8.08175 # DEPENDENCYPART_ARC
(0,18),-8.47063 # DEPENDENCYPART_ARC
(0,19),-3.54044 # DEPENDENCYPART_ARC
(0,20),-4.01372 # DEPENDENCYPART_ARC
(0,21),-8.6715 # DEPENDENCYPART_ARC
(0,22),-8.58871 # DEPENDENCYPART_ARC
(0,23),-8.46656 # DEPENDENCYPART_ARC
(0,24),-9.02047 # DEPENDENCYPART_ARC
(0,25),-8.87467 # DEPENDENCYPART_ARC
(0,26),-9.09763 # DEPENDENCYPART_ARC
(1,2),0.558473 # DEPENDENCYPART_ARC
(1,3),-1.049 # DEPENDENCYPART_ARC
(1,4),-1.79318 # DEPENDENCYPART_ARC
(1,5),-1.1857 # DEPENDENCYPART_ARC
(1,6),-1.80746 # DEPENDENCYPART_ARC
(1,7),-2.95598 # DEPENDENCYPART_ARC
(1,8),-2.78645 # DEPENDENCYPART_ARC
(1,9),-3.50222 # DEPENDENCYPART_ARC
(1,10),-4.22913 # DEPENDENCYPART_ARC
(1,11),-3.54721 # DEPENDENCYPART_ARC
(1,12),-3.26949 # DEPENDENCYPART_ARC
(1,13),-2.82434 # DEPENDENCYPART_ARC
(1,14),-3.63087 # DEPENDENCYPART_ARC
(1,15),-3.40981 # DEPENDENCYPART_ARC
(1,16),-3.43494 # DEPENDENCYPART_ARC
(1,17),-4.65695 # DEPENDENCYPART_ARC
(1,18),-3.72043 # DEPENDENCYPART_ARC
(1,19),-3.75804 # DEPENDENCYPART_ARC
(1,20),-3.58765 # DEPENDENCYPART_ARC
(1,21),-3.92557 # DEPENDENCYPART_ARC
(1,22),-5.38866 # DEPENDENCYPART_ARC
(1,23),-5.12324 # DEPENDENCYPART_ARC
(1,24),-5.60964 # DEPENDENCYPART_ARC
(1,25),-3.55731 # DEPENDENCYPART_ARC
(1,26),-4.06158 # DEPENDENCYPART_ARC
(2,1),4.06593 # DEPENDENCYPART_ARC
(2,3),0.435521 # DEPENDENCYPART_ARC
(2,4),-0.0992083 # DEPENDENCYPART_ARC
(2,5),-1.7164 # DEPENDENCYPART_ARC
(2,6),-0.91886 # DEPENDENCYPART_ARC
(2,7),-0.724788 # DEPENDENCYPART_ARC
(2,8),-2.26117 # DEPENDENCYPART_ARC
(2,9),-1.6518 # DEPENDENCYPART_ARC
(2,10),-1.29968 # DEPENDENCYPART_ARC
(2,11),-2.39355 # DEPENDENCYPART_ARC
