# _root_ Si l' objectiu és que el_nostre programa de quatre anys es pugui aconseguir , que el finançament de l' Estat arribi millor del que està arribant , ho hem de saber explicar .
#goldHeads=4,3,4,31,13,7,13,7,10,8,13,13,4,13,21,17,21,17,20,18,13,21,22,26,26,23,26,31,31,31,0,31,31,
#predictedHeads=4,3,4,0,13,7,13,7,10,8,13,13,4,21,21,17,21,17,20,18,4,21,22,26,26,23,26,31,31,31,23,31,4,
(0,1),-6.3897 # DEPENDENCYPART_ARC
(0,2),-8.32979 # DEPENDENCYPART_ARC
(0,3),-6.39255 # DEPENDENCYPART_ARC
(0,4),-2.43671 # DEPENDENCYPART_ARC
(0,5),-7.18862 # DEPENDENCYPART_ARC
(0,6),-9.57255 # DEPENDENCYPART_ARC
(0,7),-7.86341 # DEPENDENCYPART_ARC
(0,8),-8.07418 # DEPENDENCYPART_ARC
(0,9),-9.16155 # DEPENDENCYPART_ARC
(0,10),-7.7246 # DEPENDENCYPART_ARC
(0,11),-6.6111 # DEPENDENCYPART_ARC
(0,12),-6.58365 # DEPENDENCYPART_ARC
(0,13),-6.07707 # DEPENDENCYPART_ARC
(0,14),-8.04707 # DEPENDENCYPART_ARC
(0,15),-7.34077 # DEPENDENCYPART_ARC
(0,16),-9.77885 # DEPENDENCYPART_ARC
(0,17),-8.68144 # DEPENDENCYPART_ARC
(0,18),-8.89837 # DEPENDENCYPART_ARC
(0,19),-9.98745 # DEPENDENCYPART_ARC
(0,20),-9.25159 # DEPENDENCYPART_ARC
(0,21),-7.50945 # DEPENDENCYPART_ARC
(0,22),-8.85098 # DEPENDENCYPART_ARC
(0,23),-8.96921 # DEPENDENCYPART_ARC
(0,24),-6.74547 # DEPENDENCYPART_ARC
(0,25),-6.97179 # DEPENDENCYPART_ARC
(0,26),-7.38391 # DEPENDENCYPART_ARC
(0,27),-8.92478 # DEPENDENCYPART_ARC
(0,28),-6.3573 # DEPENDENCYPART_ARC
(0,29),-7.09078 # DEPENDENCYPART_ARC
(0,30),-8.83628 # DEPENDENCYPART_ARC
(0,31),-7.77777 # DEPENDENCYPART_ARC
(0,32),-5.28042 # DEPENDENCYPART_ARC
(0,33),-9.60482 # DEPENDENCYPART_ARC
(1,2),-0.662237 # DEPENDENCYPART_ARC
(1,3),-0.154968 # DEPENDENCYPART_ARC
(1,4),0.253733 # DEPENDENCYPART_ARC
(1,5),-0.501054 # DEPENDENCYPART_ARC
(1,6),-2.47034 # DEPENDENCYPART_ARC
(1,7),-2.69044 # DEPENDENCYPART_ARC
(1,8),-1.39931 # DEPENDENCYPART_ARC
(1,9),-2.73625 # DEPENDENCYPART_ARC
(1,10),-3.18 # DEPENDENCYPART_ARC
(1,11),-2.05909 # DEPENDENCYPART_ARC
(1,12),-1.25547 # DEPENDENCYPART_ARC
(1,13),-1.4569 # DEPENDENCYPART_ARC
(1,14),-1.07101 # DEPENDENCYPART_ARC
(1,15),-1.12026 # DEPENDENCYPART_ARC
(1,16),-3.24397 # DEPENDENCYPART_ARC
(1,17),-4.32752 # DEPENDENCYPART_ARC
(1,18),-1.83913 # DEPENDENCYPART_ARC
(1,19),-3.10478 # DEPENDENCYPART_ARC
(1,20),-5.01849 # DEPENDENCYPART_ARC
(1,21),-2.05512 # DEPENDENCYPART_ARC
(1,22),-2.8313 # DEPENDENCYPART_ARC
(1,23),-1.99427 # DEPENDENCYPART_ARC
(1,24),-2.60171 # DEPENDENCYPART_ARC
(1,25),-2.27083 # DEPENDENCYPART_ARC
(1,26),-2.42342 # DEPENDENCYPART_ARC
(1,27),-1.88749 # DEPENDENCYPART_ARC
(1,28),-2.87105 # DEPENDENCYPART_ARC
(1,29),-2.50216 # DEPENDENCYPART_ARC
(1,30),-2.33042 # DEPENDENCYPART_ARC
(1,31),-2.82973 # DEPENDENCYPART_ARC
(1,32),-3.0616 # DEPENDENCYPART_ARC
(1,33),-0.688408 # DEPENDENCYPART_ARC
(2,1),-0.241587 # DEPENDENCYPART_ARC
