# _root_ A_més_a_més_de presó , reclama la clausura de l' empresa durant dos anys , la inhabilitació durant cinc anys per exercir com_a industrial i una multa .
#goldHeads=4,1,1,0,6,4,6,9,7,6,12,10,6,15,6,15,18,16,15,19,20,21,6,25,6,4,
#predictedHeads=4,1,1,0,6,4,6,9,7,4,12,10,15,15,6,15,18,16,4,19,20,21,4,25,20,4,
(0,1),-7.2972 # DEPENDENCYPART_ARC
(0,2),-5.45682 # DEPENDENCYPART_ARC
(0,4),-2.11781 # DEPENDENCYPART_ARC
(0,6),-6.78294 # DEPENDENCYPART_ARC
(0,7),-8.69594 # DEPENDENCYPART_ARC
(0,9),-7.0968 # DEPENDENCYPART_ARC
(0,10),-8.55572 # DEPENDENCYPART_ARC
(0,12),-6.96271 # DEPENDENCYPART_ARC
(0,15),-7.49942 # DEPENDENCYPART_ARC
(0,16),-8.95627 # DEPENDENCYPART_ARC
(0,18),-8.09353 # DEPENDENCYPART_ARC
(0,19),-9.62919 # DEPENDENCYPART_ARC
(0,20),-6.28854 # DEPENDENCYPART_ARC
(0,21),-9.16295 # DEPENDENCYPART_ARC
(0,22),-8.17157 # DEPENDENCYPART_ARC
(0,25),-7.33955 # DEPENDENCYPART_ARC
(1,2),4.53779 # DEPENDENCYPART_ARC
(1,3),2.49247 # DEPENDENCYPART_ARC
(1,4),-0.804211 # DEPENDENCYPART_ARC
(1,5),-2.93702 # DEPENDENCYPART_ARC
(1,6),-2.49483 # DEPENDENCYPART_ARC
(1,7),-1.89285 # DEPENDENCYPART_ARC
(1,8),-2.90657 # DEPENDENCYPART_ARC
(1,9),-4.36203 # DEPENDENCYPART_ARC
(1,10),-2.13962 # DEPENDENCYPART_ARC
(1,11),-3.39454 # DEPENDENCYPART_ARC
(1,12),-5.38739 # DEPENDENCYPART_ARC
(1,13),1.13628 # DEPENDENCYPART_ARC
(1,14),-3.40895 # DEPENDENCYPART_ARC
(1,15),-8.67205 # DEPENDENCYPART_ARC
(1,16),-2.83754 # DEPENDENCYPART_ARC
(1,17),-2.65845 # DEPENDENCYPART_ARC
(1,18),-10.2056 # DEPENDENCYPART_ARC
(1,19),-3.31493 # DEPENDENCYPART_ARC
(1,20),-2.32239 # DEPENDENCYPART_ARC
(1,21),-2.17502 # DEPENDENCYPART_ARC
(1,22),-10.65 # DEPENDENCYPART_ARC
(1,23),-1.80201 # DEPENDENCYPART_ARC
(1,24),-3.24308 # DEPENDENCYPART_ARC
(1,25),-12.9048 # DEPENDENCYPART_ARC
(1,26),-0.126675 # DEPENDENCYPART_ARC
(2,1),0.0836852 # DEPENDENCYPART_ARC
(2,3),-1.03006 # DEPENDENCYPART_ARC
(2,4),-0.152986 # DEPENDENCYPART_ARC
(2,5),-2.37364 # DEPENDENCYPART_ARC
(2,6),-1.58546 # DEPENDENCYPART_ARC
(2,7),-0.869639 # DEPENDENCYPART_ARC
(2,8),-3.12459 # DEPENDENCYPART_ARC
(2,9),-1.93806 # DEPENDENCYPART_ARC
(2,10),-1.75277 # DEPENDENCYPART_ARC
