# _root_ - La moció de censura , plantejada amb tant de temps , és un interrogant de com sortirà .
#goldHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
#predictedHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,15,13,
(0,3),-6.49244 # DEPENDENCYPART_ARC
(0,4),-7.33792 # DEPENDENCYPART_ARC
(0,5),-6.36019 # DEPENDENCYPART_ARC
(0,7),-8.59254 # DEPENDENCYPART_ARC
(0,8),-7.16099 # DEPENDENCYPART_ARC
(0,9),-7.66485 # DEPENDENCYPART_ARC
(0,10),-7.56429 # DEPENDENCYPART_ARC
(0,11),-5.80896 # DEPENDENCYPART_ARC
(0,13),-1.41663 # DEPENDENCYPART_ARC
(0,15),-6.62866 # DEPENDENCYPART_ARC
(0,16),-8.55357 # DEPENDENCYPART_ARC
(0,18),-4.5957 # DEPENDENCYPART_ARC
(1,3),-0.394648 # DEPENDENCYPART_ARC
(1,5),-0.947843 # DEPENDENCYPART_ARC
(1,11),-1.31005 # DEPENDENCYPART_ARC
(1,15),-1.68173 # DEPENDENCYPART_ARC
(2,3),1.89351 # DEPENDENCYPART_ARC
(2,4),1.27308 # DEPENDENCYPART_ARC
(2,5),-0.962605 # DEPENDENCYPART_ARC
(2,7),-2.31171 # DEPENDENCYPART_ARC
(2,8),-2.37793 # DEPENDENCYPART_ARC
(2,9),-1.51736 # DEPENDENCYPART_ARC
(2,10),-1.37375 # DEPENDENCYPART_ARC
(2,11),-3.8903 # DEPENDENCYPART_ARC
(2,14),-4.31967 # DEPENDENCYPART_ARC
(2,15),-3.58979 # DEPENDENCYPART_ARC
(2,16),-3.09226 # DEPENDENCYPART_ARC
(3,1),1.39451 # DEPENDENCYPART_ARC
(3,2),4.73655 # DEPENDENCYPART_ARC
(3,4),3.81016 # DEPENDENCYPART_ARC
(3,5),1.58935 # DEPENDENCYPART_ARC
(3,6),1.06749 # DEPENDENCYPART_ARC
(3,7),3.19259 # DEPENDENCYPART_ARC
(3,8),1.25094 # DEPENDENCYPART_ARC
(3,9),-0.11758 # DEPENDENCYPART_ARC
(3,10),-0.69243 # DEPENDENCYPART_ARC
(3,11),-0.573292 # DEPENDENCYPART_ARC
(3,12),0.707718 # DEPENDENCYPART_ARC
(3,13),1.27271 # DEPENDENCYPART_ARC
(3,14),-2.30459 # DEPENDENCYPART_ARC
(3,15),-0.74017 # DEPENDENCYPART_ARC
(3,16),-3.47187 # DEPENDENCYPART_ARC
(3,18),1.40226 # DEPENDENCYPART_ARC
(3,19),1.11454 # DEPENDENCYPART_ARC
(4,1),-0.256256 # DEPENDENCYPART_ARC
(4,2),0.876046 # DEPENDENCYPART_ARC
(4,3),0.667217 # DEPENDENCYPART_ARC
(4,5),4.43734 # DEPENDENCYPART_ARC
(4,6),0.0807494 # DEPENDENCYPART_ARC
(4,7),0.00471697 # DEPENDENCYPART_ARC
(4,8),-1.13814 # DEPENDENCYPART_ARC
(4,9),-1.16507 # DEPENDENCYPART_ARC
(4,10),0.466448 # DEPENDENCYPART_ARC
(4,11),1.02766 # DEPENDENCYPART_ARC
(4,12),-0.558102 # DEPENDENCYPART_ARC
(4,13),-1.52162 # DEPENDENCYPART_ARC
(4,14),-3.60096 # DEPENDENCYPART_ARC
(4,15),-3.42348 # DEPENDENCYPART_ARC
(4,16),-2.23566 # DEPENDENCYPART_ARC
(4,17),-4.82131 # DEPENDENCYPART_ARC
(4,18),-1.76525 # DEPENDENCYPART_ARC
(4,19),-1.18201 # DEPENDENCYPART_ARC
(5,1),0.111992 # DEPENDENCYPART_ARC
(5,2),2.08001 # DEPENDENCYPART_ARC
(5,3),0.188669 # DEPENDENCYPART_ARC
(5,4),1.13015 # DEPENDENCYPART_ARC
(5,6),-0.164367 # DEPENDENCYPART_ARC
(5,7),1.95819 # DEPENDENCYPART_ARC
(5,8),-0.154535 # DEPENDENCYPART_ARC
(5,9),-1.33384 # DEPENDENCYPART_ARC
(5,10),-0.871962 # DEPENDENCYPART_ARC
(5,11),-1.04139 # DEPENDENCYPART_ARC
(5,12),-1.45945 # DEPENDENCYPART_ARC
(5,13),-0.320081 # DEPENDENCYPART_ARC
(5,14),-3.07573 # DEPENDENCYPART_ARC
(5,15),-2.19971 # DEPENDENCYPART_ARC
(5,16),-3.12853 # DEPENDENCYPART_ARC
(5,18),-0.515664 # DEPENDENCYPART_ARC
(5,19),-0.755244 # DEPENDENCYPART_ARC
(6,3),-2.48467 # DEPENDENCYPART_ARC
(6,5),-1.2182 # DEPENDENCYPART_ARC
(6,7),-0.0423957 # DEPENDENCYPART_ARC
(6,11),-1.59427 # DEPENDENCYPART_ARC
(6,12),-0.522637 # DEPENDENCYPART_ARC
(6,15),-2.0576 # DEPENDENCYPART_ARC
(7,1),0.0366537 # DEPENDENCYPART_ARC
(7,2),0.009053 # DEPENDENCYPART_ARC
(7,3),-0.623545 # DEPENDENCYPART_ARC
(7,4),0.930351 # DEPENDENCYPART_ARC
(7,5),0.195216 # DEPENDENCYPART_ARC
(7,6),2.95937 # DEPENDENCYPART_ARC
(7,8),3.62948 # DEPENDENCYPART_ARC
(7,9),0.748357 # DEPENDENCYPART_ARC
(7,10),0.764431 # DEPENDENCYPART_ARC
(7,11),0.232319 # DEPENDENCYPART_ARC
(7,12),2.84532 # DEPENDENCYPART_ARC
(7,13),0.406247 # DEPENDENCYPART_ARC
(7,14),-3.0709 # DEPENDENCYPART_ARC
(7,15),-0.137164 # DEPENDENCYPART_ARC
(7,16),-1.34379 # DEPENDENCYPART_ARC
(7,17),-1.08976 # DEPENDENCYPART_ARC
(7,18),0.433295 # DEPENDENCYPART_ARC
(7,19),0.0443536 # DEPENDENCYPART_ARC
(8,1),-0.619046 # DEPENDENCYPART_ARC
(8,2),-0.993432 # DEPENDENCYPART_ARC
(8,3),-1.3383 # DEPENDENCYPART_ARC
(8,4),-0.303141 # DEPENDENCYPART_ARC
(8,5),-0.750405 # DEPENDENCYPART_ARC
(8,6),1.14265 # DEPENDENCYPART_ARC
(8,7),0.807436 # DEPENDENCYPART_ARC
(8,9),1.50544 # DEPENDENCYPART_ARC
(8,10),0.655949 # DEPENDENCYPART_ARC
(8,11),4.10993 # DEPENDENCYPART_ARC
(8,12),0.282428 # DEPENDENCYPART_ARC
(8,13),-0.212078 # DEPENDENCYPART_ARC
(8,14),-3.2454 # DEPENDENCYPART_ARC
(8,15),-1.48399 # DEPENDENCYPART_ARC
(8,16),-2.44775 # DEPENDENCYPART_ARC
(8,17),-3.34623 # DEPENDENCYPART_ARC
(8,18),-0.938361 # DEPENDENCYPART_ARC
(8,19),-0.645342 # DEPENDENCYPART_ARC
(9,1),-2.27681 # DEPENDENCYPART_ARC
(9,2),-3.13679 # DEPENDENCYPART_ARC
(9,3),-3.04472 # DEPENDENCYPART_ARC
(9,4),-2.11236 # DEPENDENCYPART_ARC
(9,5),-2.67371 # DEPENDENCYPART_ARC
(9,6),-1.27769 # DEPENDENCYPART_ARC
(9,7),-1.51305 # DEPENDENCYPART_ARC
(9,8),-0.432551 # DEPENDENCYPART_ARC
(9,10),1.5188 # DEPENDENCYPART_ARC
(9,11),0.630406 # DEPENDENCYPART_ARC
(9,12),0.445742 # DEPENDENCYPART_ARC
(9,13),-0.0611546 # DEPENDENCYPART_ARC
(9,14),-1.42931 # DEPENDENCYPART_ARC
(9,15),-1.40168 # DEPENDENCYPART_ARC
(9,16),-1.72485 # DEPENDENCYPART_ARC
(9,18),-0.807541 # DEPENDENCYPART_ARC
(9,19),0.112404 # DEPENDENCYPART_ARC
(10,1),-0.232297 # DEPENDENCYPART_ARC
(10,2),-0.623562 # DEPENDENCYPART_ARC
(10,3),-1.01457 # DEPENDENCYPART_ARC
(10,4),-0.436355 # DEPENDENCYPART_ARC
(10,5),-0.814321 # DEPENDENCYPART_ARC
(10,6),0.655644 # DEPENDENCYPART_ARC
(10,7),-0.189366 # DEPENDENCYPART_ARC
(10,8),0.719657 # DEPENDENCYPART_ARC
(10,9),2.01564 # DEPENDENCYPART_ARC
(10,11),6.12771 # DEPENDENCYPART_ARC
(10,12),1.53549 # DEPENDENCYPART_ARC
(10,13),0.297897 # DEPENDENCYPART_ARC
(10,14),-1.79713 # DEPENDENCYPART_ARC
(10,15),-1.48534 # DEPENDENCYPART_ARC
(10,16),-0.479433 # DEPENDENCYPART_ARC
(10,17),-3.13966 # DEPENDENCYPART_ARC
(10,18),-0.827943 # DEPENDENCYPART_ARC
(10,19),0.384272 # DEPENDENCYPART_ARC
(11,1),-0.644148 # DEPENDENCYPART_ARC
(11,2),-0.504441 # DEPENDENCYPART_ARC
(11,3),-1.90119 # DEPENDENCYPART_ARC
(11,4),-0.839757 # DEPENDENCYPART_ARC
(11,5),-0.788409 # DEPENDENCYPART_ARC
(11,6),0.261678 # DEPENDENCYPART_ARC
(11,7),-1.94628 # DEPENDENCYPART_ARC
(11,8),0.151233 # DEPENDENCYPART_ARC
(11,9),1.9265 # DEPENDENCYPART_ARC
(11,10),1.55971 # DEPENDENCYPART_ARC
(11,12),-0.733081 # DEPENDENCYPART_ARC
(11,13),0.0765467 # DEPENDENCYPART_ARC
(11,14),-1.82292 # DEPENDENCYPART_ARC
(11,15),-1.83958 # DEPENDENCYPART_ARC
(11,16),-0.828764 # DEPENDENCYPART_ARC
(11,18),-0.771164 # DEPENDENCYPART_ARC
(11,19),-0.963744 # DEPENDENCYPART_ARC
(12,3),-3.3704 # DEPENDENCYPART_ARC
(12,5),-3.1899 # DEPENDENCYPART_ARC
(12,6),-1.32021 # DEPENDENCYPART_ARC
(12,7),-2.20341 # DEPENDENCYPART_ARC
(12,11),-1.30348 # DEPENDENCYPART_ARC
(12,15),-2.60346 # DEPENDENCYPART_ARC
(13,1),2.4568 # DEPENDENCYPART_ARC
(13,2),-0.108443 # DEPENDENCYPART_ARC
(13,3),1.52096 # DEPENDENCYPART_ARC
(13,4),-1.92551 # DEPENDENCYPART_ARC
(13,5),0.56171 # DEPENDENCYPART_ARC
(13,6),-0.13245 # DEPENDENCYPART_ARC
(13,7),0.707486 # DEPENDENCYPART_ARC
(13,8),0.397721 # DEPENDENCYPART_ARC
(13,9),0.384621 # DEPENDENCYPART_ARC
(13,10),-0.291619 # DEPENDENCYPART_ARC
(13,11),1.14253 # DEPENDENCYPART_ARC
(13,12),0.88393 # DEPENDENCYPART_ARC
(13,14),-1.26112 # DEPENDENCYPART_ARC
(13,15),3.33226 # DEPENDENCYPART_ARC
(13,16),0.27763 # DEPENDENCYPART_ARC
(13,17),-0.45895 # DEPENDENCYPART_ARC
(13,18),1.56633 # DEPENDENCYPART_ARC
(13,19),3.75014 # DEPENDENCYPART_ARC
(14,3),-3.81973 # DEPENDENCYPART_ARC
(14,4),-3.23641 # DEPENDENCYPART_ARC
(14,5),-3.69523 # DEPENDENCYPART_ARC
(14,7),-3.85302 # DEPENDENCYPART_ARC
(14,8),-2.50399 # DEPENDENCYPART_ARC
(14,9),-1.70432 # DEPENDENCYPART_ARC
(14,10),-1.82859 # DEPENDENCYPART_ARC
(14,11),-2.59907 # DEPENDENCYPART_ARC
(14,15),3.28873 # DEPENDENCYPART_ARC
(14,16),1.40933 # DEPENDENCYPART_ARC
(15,1),-1.88138 # DEPENDENCYPART_ARC
(15,2),-2.59609 # DEPENDENCYPART_ARC
