# _root_ Aquesta iniciativa , que analitzarà el directori de l' FMI , neix de l' experiència i dels resultats de les liberalitzacions totals .
#goldHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
#predictedHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
(0,2),-6.32696 # DEPENDENCYPART_ARC
(0,5),-3.25598 # DEPENDENCYPART_ARC
(0,7),-8.24148 # DEPENDENCYPART_ARC
(0,8),-8.44883 # DEPENDENCYPART_ARC
(0,10),-7.90003 # DEPENDENCYPART_ARC
(0,12),-0.859986 # DEPENDENCYPART_ARC
(0,13),-8.44162 # DEPENDENCYPART_ARC
(0,15),-8.25304 # DEPENDENCYPART_ARC
(0,17),-8.66577 # DEPENDENCYPART_ARC
(0,18),-8.62498 # DEPENDENCYPART_ARC
(0,19),-9.52807 # DEPENDENCYPART_ARC
(0,21),-8.74589 # DEPENDENCYPART_ARC
(0,22),-8.25218 # DEPENDENCYPART_ARC
(1,16),-3.36223 # DEPENDENCYPART_ARC
(1,22),-4.69402 # DEPENDENCYPART_ARC
(2,1),4.18471 # DEPENDENCYPART_ARC
(2,3),-0.0776016 # DEPENDENCYPART_ARC
(2,4),-1.32253 # DEPENDENCYPART_ARC
(2,5),2.78243 # DEPENDENCYPART_ARC
(2,6),-1.96241 # DEPENDENCYPART_ARC
(2,7),-0.345879 # DEPENDENCYPART_ARC
(2,8),0.622966 # DEPENDENCYPART_ARC
(2,9),-1.95082 # DEPENDENCYPART_ARC
(2,10),-0.178451 # DEPENDENCYPART_ARC
(2,11),-0.148353 # DEPENDENCYPART_ARC
(2,12),0.590679 # DEPENDENCYPART_ARC
(2,13),-1.15208 # DEPENDENCYPART_ARC
(2,14),-2.52482 # DEPENDENCYPART_ARC
(2,15),-0.668987 # DEPENDENCYPART_ARC
(2,16),-0.822183 # DEPENDENCYPART_ARC
(2,17),-2.47608 # DEPENDENCYPART_ARC
(2,18),-1.60117 # DEPENDENCYPART_ARC
(2,19),-1.75301 # DEPENDENCYPART_ARC
(2,20),-3.37666 # DEPENDENCYPART_ARC
(2,21),-1.08481 # DEPENDENCYPART_ARC
(2,22),-2.44879 # DEPENDENCYPART_ARC
(2,23),1.07225 # DEPENDENCYPART_ARC
(3,2),-1.034 # DEPENDENCYPART_ARC
(3,7),-0.583136 # DEPENDENCYPART_ARC
(3,11),-0.15613 # DEPENDENCYPART_ARC
(3,15),-1.03768 # DEPENDENCYPART_ARC
(3,18),-0.937092 # DEPENDENCYPART_ARC
(3,21),-1.02957 # DEPENDENCYPART_ARC
(3,22),-1.09179 # DEPENDENCYPART_ARC
(4,2),-2.41792 # DEPENDENCYPART_ARC
(4,5),0.00665893 # DEPENDENCYPART_ARC
(4,6),-1.54386 # DEPENDENCYPART_ARC
(4,7),-2.04884 # DEPENDENCYPART_ARC
(4,8),-1.03655 # DEPENDENCYPART_ARC
(4,9),-2.57666 # DEPENDENCYPART_ARC
(4,12),-1.91331 # DEPENDENCYPART_ARC
(4,13),-1.84756 # DEPENDENCYPART_ARC
(4,14),-3.20557 # DEPENDENCYPART_ARC
(4,15),-3.19977 # DEPENDENCYPART_ARC
(4,17),-2.40638 # DEPENDENCYPART_ARC
(4,18),-2.81084 # DEPENDENCYPART_ARC
(4,19),-2.57627 # DEPENDENCYPART_ARC
(4,20),-3.13261 # DEPENDENCYPART_ARC
(4,21),-2.61417 # DEPENDENCYPART_ARC
(4,22),-1.27336 # DEPENDENCYPART_ARC
(5,1),-0.845025 # DEPENDENCYPART_ARC
(5,2),0.40947 # DEPENDENCYPART_ARC
(5,3),1.70002 # DEPENDENCYPART_ARC
(5,4),4.49036 # DEPENDENCYPART_ARC
(5,6),-1.08205 # DEPENDENCYPART_ARC
(5,7),3.60065 # DEPENDENCYPART_ARC
(5,8),0.807732 # DEPENDENCYPART_ARC
(5,9),-1.39809 # DEPENDENCYPART_ARC
(5,10),1.79541 # DEPENDENCYPART_ARC
(5,11),1.56097 # DEPENDENCYPART_ARC
(5,12),0.803142 # DEPENDENCYPART_ARC
(5,13),-1.02477 # DEPENDENCYPART_ARC
(5,14),-2.17354 # DEPENDENCYPART_ARC
(5,15),0.828748 # DEPENDENCYPART_ARC
(5,16),0.718806 # DEPENDENCYPART_ARC
(5,17),-3.84293 # DEPENDENCYPART_ARC
(5,18),-0.0339308 # DEPENDENCYPART_ARC
(5,19),-1.35946 # DEPENDENCYPART_ARC
(5,20),-3.6234 # DEPENDENCYPART_ARC
(5,21),0.209843 # DEPENDENCYPART_ARC
(5,22),-0.929987 # DEPENDENCYPART_ARC
(5,23),4.63057 # DEPENDENCYPART_ARC
(6,1),-2.18373 # DEPENDENCYPART_ARC
(6,2),-2.98537 # DEPENDENCYPART_ARC
(6,4),-2.34454 # DEPENDENCYPART_ARC
(6,7),1.73042 # DEPENDENCYPART_ARC
(6,8),-0.0673441 # DEPENDENCYPART_ARC
(6,9),-0.199333 # DEPENDENCYPART_ARC
(6,10),-2.22104 # DEPENDENCYPART_ARC
(6,13),-2.81945 # DEPENDENCYPART_ARC
(6,14),-3.0619 # DEPENDENCYPART_ARC
(6,15),-3.50676 # DEPENDENCYPART_ARC
(6,16),-2.65335 # DEPENDENCYPART_ARC
