# _root_ Juergen_Schrempp , copresident de Daimler-Chrysler , a l' assemblea del Fòrum_Econòmic_Mundial .
#goldHeads=0,3,1,3,4,7,1,9,7,9,10,1,
#predictedHeads=0,3,1,3,4,7,1,9,7,9,10,1,
(0,1),-6.0909 # DEPENDENCYPART_ARC
(0,3),-6.95341 # DEPENDENCYPART_ARC
(0,4),-8.0627 # DEPENDENCYPART_ARC
(0,5),-7.09396 # DEPENDENCYPART_ARC
(0,7),-8.28821 # DEPENDENCYPART_ARC
(0,9),-7.21001 # DEPENDENCYPART_ARC
(0,10),-9.06826 # DEPENDENCYPART_ARC
(0,11),-7.06544 # DEPENDENCYPART_ARC
(1,2),2.0093 # DEPENDENCYPART_ARC
(1,3),2.71875 # DEPENDENCYPART_ARC
(1,4),2.44995 # DEPENDENCYPART_ARC
(1,5),1.70433 # DEPENDENCYPART_ARC
(1,6),0.819838 # DEPENDENCYPART_ARC
(1,7),1.32424 # DEPENDENCYPART_ARC
(1,8),-0.892154 # DEPENDENCYPART_ARC
(1,9),1.93389 # DEPENDENCYPART_ARC
(1,10),0.825532 # DEPENDENCYPART_ARC
(1,11),1.22234 # DEPENDENCYPART_ARC
(1,12),2.67524 # DEPENDENCYPART_ARC
(2,3),-0.759248 # DEPENDENCYPART_ARC
(2,6),-1.30852 # DEPENDENCYPART_ARC
(2,9),-2.27594 # DEPENDENCYPART_ARC
(3,1),-0.128352 # DEPENDENCYPART_ARC
(3,2),2.71553 # DEPENDENCYPART_ARC
(3,4),4.04432 # DEPENDENCYPART_ARC
(3,5),0.847264 # DEPENDENCYPART_ARC
(3,6),1.49305 # DEPENDENCYPART_ARC
(3,7),0.376184 # DEPENDENCYPART_ARC
(3,8),-1.43148 # DEPENDENCYPART_ARC
(3,9),0.409295 # DEPENDENCYPART_ARC
(3,10),1.02013 # DEPENDENCYPART_ARC
(3,11),-0.0297247 # DEPENDENCYPART_ARC
(3,12),0.739557 # DEPENDENCYPART_ARC
(4,1),-1.54094 # DEPENDENCYPART_ARC
(4,2),0.462993 # DEPENDENCYPART_ARC
