# _root_ I si a això hi sumem l' esgotament a què està arribant CiU , al costat dels conflictes interns que viu la formació , jo crec que de tot això n' ha de treure un benefici electoral ERC .
#goldHeads=26,6,6,3,6,26,8,6,12,9,12,8,12,15,6,15,16,17,18,21,18,23,21,6,26,0,34,34,30,28,34,34,34,26,36,34,36,34,26,
#predictedHeads=6,6,6,3,6,12,8,6,12,9,12,0,12,15,12,15,16,17,18,21,18,23,21,34,26,23,34,34,30,28,34,34,34,26,36,34,36,34,12,
(0,2),-6.00517 # DEPENDENCYPART_ARC
(0,3),-6.83133 # DEPENDENCYPART_ARC
(0,4),-6.31789 # DEPENDENCYPART_ARC
(0,5),-6.3239 # DEPENDENCYPART_ARC
(0,6),-6.18161 # DEPENDENCYPART_ARC
(0,8),-7.38557 # DEPENDENCYPART_ARC
(0,9),-7.9622 # DEPENDENCYPART_ARC
(0,11),-5.40372 # DEPENDENCYPART_ARC
(0,12),-7.13999 # DEPENDENCYPART_ARC
(0,13),-6.97746 # DEPENDENCYPART_ARC
(0,15),-8.25342 # DEPENDENCYPART_ARC
(0,16),-7.2148 # DEPENDENCYPART_ARC
(0,17),-8.39321 # DEPENDENCYPART_ARC
(0,18),-7.2122 # DEPENDENCYPART_ARC
(0,19),-8.10381 # DEPENDENCYPART_ARC
(0,21),-6.41867 # DEPENDENCYPART_ARC
(0,23),-6.81331 # DEPENDENCYPART_ARC
(0,25),-6.8584 # DEPENDENCYPART_ARC
(0,26),-4.57538 # DEPENDENCYPART_ARC
(0,27),-8.12548 # DEPENDENCYPART_ARC
(0,28),-9.19051 # DEPENDENCYPART_ARC
(0,30),-6.33055 # DEPENDENCYPART_ARC
(0,31),-6.67199 # DEPENDENCYPART_ARC
(0,32),-6.44541 # DEPENDENCYPART_ARC
(0,33),-9.39552 # DEPENDENCYPART_ARC
(0,34),-10.9405 # DEPENDENCYPART_ARC
(0,36),-8.0509 # DEPENDENCYPART_ARC
(0,37),-9.19031 # DEPENDENCYPART_ARC
(0,38),-7.95445 # DEPENDENCYPART_ARC
(1,13),-3.44833 # DEPENDENCYPART_ARC
(1,14),-1.98321 # DEPENDENCYPART_ARC
(1,24),-3.05933 # DEPENDENCYPART_ARC
(1,38),-6.30827 # DEPENDENCYPART_ARC
(2,1),-0.331666 # DEPENDENCYPART_ARC
(2,3),-0.346304 # DEPENDENCYPART_ARC
(2,4),-0.586825 # DEPENDENCYPART_ARC
(2,5),-1.41246 # DEPENDENCYPART_ARC
(2,6),-0.269363 # DEPENDENCYPART_ARC
(2,8),-2.64644 # DEPENDENCYPART_ARC
(2,9),-1.99984 # DEPENDENCYPART_ARC
(2,11),-1.61725 # DEPENDENCYPART_ARC
(2,12),-1.76347 # DEPENDENCYPART_ARC
(2,13),-3.21503 # DEPENDENCYPART_ARC
(2,14),-1.85995 # DEPENDENCYPART_ARC
(2,15),-2.54011 # DEPENDENCYPART_ARC
(2,16),-3.66397 # DEPENDENCYPART_ARC
(2,17),-2.67322 # DEPENDENCYPART_ARC
(2,18),-3.85203 # DEPENDENCYPART_ARC
(2,19),-2.81419 # DEPENDENCYPART_ARC
(2,21),-2.77503 # DEPENDENCYPART_ARC
(2,23),-4.47229 # DEPENDENCYPART_ARC
(2,24),-2.46259 # DEPENDENCYPART_ARC
(2,25),-3.08842 # DEPENDENCYPART_ARC
(2,26),-3.10657 # DEPENDENCYPART_ARC
(2,27),-1.38305 # DEPENDENCYPART_ARC
(2,28),-3.7427 # DEPENDENCYPART_ARC
(2,29),-3.8267 # DEPENDENCYPART_ARC
(2,30),-3.37762 # DEPENDENCYPART_ARC
(2,31),-3.52043 # DEPENDENCYPART_ARC
(2,32),-3.27322 # DEPENDENCYPART_ARC
(2,33),-3.39832 # DEPENDENCYPART_ARC
(2,34),-3.59543 # DEPENDENCYPART_ARC
(2,35),-4.17482 # DEPENDENCYPART_ARC
(2,36),-6.10537 # DEPENDENCYPART_ARC
(2,37),-3.47386 # DEPENDENCYPART_ARC
(2,38),-6.31551 # DEPENDENCYPART_ARC
(2,39),-0.907482 # DEPENDENCYPART_ARC
(3,1),-0.473523 # DEPENDENCYPART_ARC
(3,2),0.601176 # DEPENDENCYPART_ARC
(3,4),4.47648 # DEPENDENCYPART_ARC
(3,5),1.37298 # DEPENDENCYPART_ARC
(3,6),2.29378 # DEPENDENCYPART_ARC
(3,7),-2.1853 # DEPENDENCYPART_ARC
(3,8),-2.41164 # DEPENDENCYPART_ARC
(3,9),-0.0230138 # DEPENDENCYPART_ARC
(3,10),0.0897602 # DEPENDENCYPART_ARC
(3,11),-0.248693 # DEPENDENCYPART_ARC
(3,12),-1.15206 # DEPENDENCYPART_ARC
(3,13),-5.65817 # DEPENDENCYPART_ARC
(3,14),-1.43808 # DEPENDENCYPART_ARC
(3,15),-1.54694 # DEPENDENCYPART_ARC
(3,16),-6.84631 # DEPENDENCYPART_ARC
(3,17),-1.09535 # DEPENDENCYPART_ARC
(3,18),-7.36701 # DEPENDENCYPART_ARC
(3,19),-3.54244 # DEPENDENCYPART_ARC
(3,20),-5.61095 # DEPENDENCYPART_ARC
(3,21),-2.8197 # DEPENDENCYPART_ARC
(3,22),-3.71523 # DEPENDENCYPART_ARC
(3,23),-11.3271 # DEPENDENCYPART_ARC
(3,24),-2.7008 # DEPENDENCYPART_ARC
(3,25),-5.4686 # DEPENDENCYPART_ARC
(3,26),-3.87962 # DEPENDENCYPART_ARC
(3,27),-2.26696 # DEPENDENCYPART_ARC
(3,28),-4.48222 # DEPENDENCYPART_ARC
(3,29),-4.05691 # DEPENDENCYPART_ARC
(3,30),-6.14608 # DEPENDENCYPART_ARC
(3,31),-7.79733 # DEPENDENCYPART_ARC
(3,32),-5.35574 # DEPENDENCYPART_ARC
(3,33),-5.85833 # DEPENDENCYPART_ARC
(3,34),-3.74707 # DEPENDENCYPART_ARC
(3,35),-4.42876 # DEPENDENCYPART_ARC
(3,36),-18.1228 # DEPENDENCYPART_ARC
(3,37),-5.90795 # DEPENDENCYPART_ARC
(3,38),-20.0625 # DEPENDENCYPART_ARC
(3,39),-1.51441 # DEPENDENCYPART_ARC
(4,1),-0.914442 # DEPENDENCYPART_ARC
(4,2),-0.30677 # DEPENDENCYPART_ARC
(4,3),0.341792 # DEPENDENCYPART_ARC
(4,6),1.04806 # DEPENDENCYPART_ARC
(4,8),-1.70878 # DEPENDENCYPART_ARC
(4,9),-1.38267 # DEPENDENCYPART_ARC
(4,11),0.209803 # DEPENDENCYPART_ARC
(4,12),-1.15224 # DEPENDENCYPART_ARC
(4,13),-1.69234 # DEPENDENCYPART_ARC
(4,14),-1.62375 # DEPENDENCYPART_ARC
(4,15),-3.76428 # DEPENDENCYPART_ARC
