# _root_ " El conseller de Medi_Ambient , Felip_Puig , va insistir que el projecte " no està tancat .
#goldHeads=10,3,10,3,4,7,3,7,10,0,16,13,16,16,16,10,16,10,
#predictedHeads=10,3,10,3,4,7,3,7,10,0,16,13,16,16,16,10,16,10,
(0,1),-6.532 # DEPENDENCYPART_ARC
(0,2),-8.08509 # DEPENDENCYPART_ARC
(0,3),-6.07157 # DEPENDENCYPART_ARC
(0,4),-6.85131 # DEPENDENCYPART_ARC
(0,5),-6.00814 # DEPENDENCYPART_ARC
(0,6),-7.11181 # DEPENDENCYPART_ARC
(0,7),-6.06924 # DEPENDENCYPART_ARC
(0,8),-7.30688 # DEPENDENCYPART_ARC
(0,9),-1.47279 # DEPENDENCYPART_ARC
(0,10),-1.35297 # DEPENDENCYPART_ARC
(0,11),-6.94802 # DEPENDENCYPART_ARC
(0,12),-9.38199 # DEPENDENCYPART_ARC
(0,13),-6.62956 # DEPENDENCYPART_ARC
(0,14),-7.68584 # DEPENDENCYPART_ARC
(0,15),-7.08861 # DEPENDENCYPART_ARC
(0,16),-2.63356 # DEPENDENCYPART_ARC
(0,17),-8.4592 # DEPENDENCYPART_ARC
(0,18),-8.1647 # DEPENDENCYPART_ARC
(1,2),-1.00898 # DEPENDENCYPART_ARC
(1,3),-0.952281 # DEPENDENCYPART_ARC
(1,4),-1.3683 # DEPENDENCYPART_ARC
(1,5),-1.61887 # DEPENDENCYPART_ARC
(1,6),-1.08577 # DEPENDENCYPART_ARC
(1,7),-1.84784 # DEPENDENCYPART_ARC
(1,8),-0.945698 # DEPENDENCYPART_ARC
(1,9),-1.40184 # DEPENDENCYPART_ARC
(1,10),-1.7899 # DEPENDENCYPART_ARC
(1,11),-1.16623 # DEPENDENCYPART_ARC
(1,12),-2.79592 # DEPENDENCYPART_ARC
(1,13),-2.37804 # DEPENDENCYPART_ARC
(1,14),-1.62366 # DEPENDENCYPART_ARC
(1,15),-2.40064 # DEPENDENCYPART_ARC
(1,16),-2.02069 # DEPENDENCYPART_ARC
(1,17),-2.42689 # DEPENDENCYPART_ARC
(1,18),-1.871 # DEPENDENCYPART_ARC
(2,1),1.02062 # DEPENDENCYPART_ARC
(2,3),1.51244 # DEPENDENCYPART_ARC
(2,4),1.21046 # DEPENDENCYPART_ARC
(2,5),-1.26946 # DEPENDENCYPART_ARC
(2,6),-1.0893 # DEPENDENCYPART_ARC
(2,7),-2.01448 # DEPENDENCYPART_ARC
(2,8),-1.73655 # DEPENDENCYPART_ARC
(2,9),-2.23927 # DEPENDENCYPART_ARC
(2,10),-2.07522 # DEPENDENCYPART_ARC
(2,11),-1.74993 # DEPENDENCYPART_ARC
(2,12),-2.73814 # DEPENDENCYPART_ARC
(2,13),-3.44457 # DEPENDENCYPART_ARC
(2,14),-2.24186 # DEPENDENCYPART_ARC
(2,15),-2.11855 # DEPENDENCYPART_ARC
(2,16),-3.17923 # DEPENDENCYPART_ARC
(2,17),-3.26491 # DEPENDENCYPART_ARC
(2,18),-2.41761 # DEPENDENCYPART_ARC
(3,1),2.09947 # DEPENDENCYPART_ARC
(3,2),4.92731 # DEPENDENCYPART_ARC
(3,4),4.64776 # DEPENDENCYPART_ARC
(3,5),2.33499 # DEPENDENCYPART_ARC
(3,6),1.30803 # DEPENDENCYPART_ARC
(3,7),3.24155 # DEPENDENCYPART_ARC
(3,8),1.15598 # DEPENDENCYPART_ARC
(3,9),0.492534 # DEPENDENCYPART_ARC
(3,10),0.632116 # DEPENDENCYPART_ARC
(3,11),-0.501567 # DEPENDENCYPART_ARC
(3,12),-1.36796 # DEPENDENCYPART_ARC
(3,13),-0.0249818 # DEPENDENCYPART_ARC
(3,14),-0.2241 # DEPENDENCYPART_ARC
(3,15),-1.0204 # DEPENDENCYPART_ARC
(3,16),-2.97153 # DEPENDENCYPART_ARC
(3,17),-0.0156923 # DEPENDENCYPART_ARC
(3,18),1.39082 # DEPENDENCYPART_ARC
(4,1),-0.19438 # DEPENDENCYPART_ARC
(4,2),0.789316 # DEPENDENCYPART_ARC
(4,3),0.565164 # DEPENDENCYPART_ARC
(4,5),4.12511 # DEPENDENCYPART_ARC
(4,6),0.245079 # DEPENDENCYPART_ARC
(4,7),0.374225 # DEPENDENCYPART_ARC
(4,8),-0.492362 # DEPENDENCYPART_ARC
(4,9),-1.7311 # DEPENDENCYPART_ARC
(4,10),-1.59805 # DEPENDENCYPART_ARC
(4,11),-2.00122 # DEPENDENCYPART_ARC
(4,12),-3.33769 # DEPENDENCYPART_ARC
(4,13),-5.08355 # DEPENDENCYPART_ARC
(4,14),-2.80074 # DEPENDENCYPART_ARC
(4,15),-2.3975 # DEPENDENCYPART_ARC
(4,16),-4.28247 # DEPENDENCYPART_ARC
(4,17),-3.07906 # DEPENDENCYPART_ARC
(4,18),-1.54516 # DEPENDENCYPART_ARC
(5,1),-0.433723 # DEPENDENCYPART_ARC
(5,2),0.616385 # DEPENDENCYPART_ARC
(5,3),-0.978754 # DEPENDENCYPART_ARC
(5,4),0.906425 # DEPENDENCYPART_ARC
(5,6),1.36733 # DEPENDENCYPART_ARC
(5,7),1.2097 # DEPENDENCYPART_ARC
(5,8),-0.430377 # DEPENDENCYPART_ARC
(5,9),-0.0612296 # DEPENDENCYPART_ARC
(5,10),0.0463416 # DEPENDENCYPART_ARC
(5,11),-2.23845 # DEPENDENCYPART_ARC
(5,12),-2.35593 # DEPENDENCYPART_ARC
(5,13),-1.65514 # DEPENDENCYPART_ARC
(5,14),-1.65619 # DEPENDENCYPART_ARC
(5,15),-2.00646 # DEPENDENCYPART_ARC
(5,16),-3.18343 # DEPENDENCYPART_ARC
(5,17),-1.19752 # DEPENDENCYPART_ARC
(5,18),-0.523605 # DEPENDENCYPART_ARC
(6,1),-2.35696 # DEPENDENCYPART_ARC
(6,2),-2.39871 # DEPENDENCYPART_ARC
(6,3),-2.80133 # DEPENDENCYPART_ARC
(6,4),-1.61326 # DEPENDENCYPART_ARC
(6,5),-1.56267 # DEPENDENCYPART_ARC
(6,7),-1.33645 # DEPENDENCYPART_ARC
(6,8),-2.04423 # DEPENDENCYPART_ARC
(6,9),-1.83488 # DEPENDENCYPART_ARC
(6,10),-2.4087 # DEPENDENCYPART_ARC
(6,11),-2.17003 # DEPENDENCYPART_ARC
(6,12),-3.41107 # DEPENDENCYPART_ARC
(6,13),-3.03348 # DEPENDENCYPART_ARC
(6,14),-2.43763 # DEPENDENCYPART_ARC
(6,15),-3.10648 # DEPENDENCYPART_ARC
(6,16),-2.71648 # DEPENDENCYPART_ARC
(6,17),-3.10141 # DEPENDENCYPART_ARC
(6,18),-2.69327 # DEPENDENCYPART_ARC
(7,1),0.235673 # DEPENDENCYPART_ARC
(7,2),-0.218738 # DEPENDENCYPART_ARC
(7,3),-0.458323 # DEPENDENCYPART_ARC
(7,4),0.463755 # DEPENDENCYPART_ARC
(7,5),1.94009 # DEPENDENCYPART_ARC
(7,6),3.59658 # DEPENDENCYPART_ARC
(7,8),3.25791 # DEPENDENCYPART_ARC
(7,9),0.23675 # DEPENDENCYPART_ARC
(7,10),0.321072 # DEPENDENCYPART_ARC
(7,11),-1.93353 # DEPENDENCYPART_ARC
(7,12),-1.84356 # DEPENDENCYPART_ARC
(7,13),-1.98949 # DEPENDENCYPART_ARC
(7,14),0.208214 # DEPENDENCYPART_ARC
(7,15),-1.42904 # DEPENDENCYPART_ARC
(7,16),-3.0788 # DEPENDENCYPART_ARC
(7,17),-1.52873 # DEPENDENCYPART_ARC
(7,18),0.58848 # DEPENDENCYPART_ARC
(8,1),-2.39912 # DEPENDENCYPART_ARC
(8,2),-3.03924 # DEPENDENCYPART_ARC
(8,3),-3.19809 # DEPENDENCYPART_ARC
(8,4),-2.02673 # DEPENDENCYPART_ARC
(8,5),-2.72894 # DEPENDENCYPART_ARC
(8,6),-1.26595 # DEPENDENCYPART_ARC
(8,7),-1.47166 # DEPENDENCYPART_ARC
(8,9),-1.01974 # DEPENDENCYPART_ARC
(8,10),-2.07424 # DEPENDENCYPART_ARC
(8,11),-1.71558 # DEPENDENCYPART_ARC
(8,12),-3.15073 # DEPENDENCYPART_ARC
(8,13),-2.72798 # DEPENDENCYPART_ARC
(8,14),-2.02638 # DEPENDENCYPART_ARC
(8,15),-2.88637 # DEPENDENCYPART_ARC
(8,16),-2.52837 # DEPENDENCYPART_ARC
(8,17),-2.93431 # DEPENDENCYPART_ARC
(8,18),-2.37814 # DEPENDENCYPART_ARC
(9,1),0.10001 # DEPENDENCYPART_ARC
(9,2),-3.14972 # DEPENDENCYPART_ARC
(9,3),-0.697601 # DEPENDENCYPART_ARC
(9,4),-3.45794 # DEPENDENCYPART_ARC
(9,5),-1.00054 # DEPENDENCYPART_ARC
(9,6),-1.6442 # DEPENDENCYPART_ARC
(9,7),-0.881437 # DEPENDENCYPART_ARC
(9,8),-0.749294 # DEPENDENCYPART_ARC
(9,10),0.944979 # DEPENDENCYPART_ARC
(9,11),-1.86036 # DEPENDENCYPART_ARC
(9,12),-4.43429 # DEPENDENCYPART_ARC
(9,13),-1.63627 # DEPENDENCYPART_ARC
(9,14),-0.350163 # DEPENDENCYPART_ARC
(9,15),-2.11796 # DEPENDENCYPART_ARC
(9,16),-1.1572 # DEPENDENCYPART_ARC
(9,17),-1.36864 # DEPENDENCYPART_ARC
(9,18),1.72482 # DEPENDENCYPART_ARC
(10,1),2.55774 # DEPENDENCYPART_ARC
(10,2),-0.136303 # DEPENDENCYPART_ARC
(10,3),2.27076 # DEPENDENCYPART_ARC
(10,4),-0.82795 # DEPENDENCYPART_ARC
(10,5),0.790523 # DEPENDENCYPART_ARC
(10,6),0.0904131 # DEPENDENCYPART_ARC
(10,7),1.73931 # DEPENDENCYPART_ARC
(10,8),0.697636 # DEPENDENCYPART_ARC
(10,9),6.67127 # DEPENDENCYPART_ARC
(10,11),0.982271 # DEPENDENCYPART_ARC
(10,12),-0.638353 # DEPENDENCYPART_ARC
(10,13),0.844825 # DEPENDENCYPART_ARC
(10,14),1.11667 # DEPENDENCYPART_ARC
(10,15),-0.11793 # DEPENDENCYPART_ARC
(10,16),2.91679 # DEPENDENCYPART_ARC
(10,17),0.6707 # DEPENDENCYPART_ARC
(10,18),4.86422 # DEPENDENCYPART_ARC
(11,1),-3.21661 # DEPENDENCYPART_ARC
(11,2),-3.99676 # DEPENDENCYPART_ARC
(11,3),-3.85794 # DEPENDENCYPART_ARC
(11,4),-2.92835 # DEPENDENCYPART_ARC
(11,5),-3.67154 # DEPENDENCYPART_ARC
(11,6),-2.70598 # DEPENDENCYPART_ARC
(11,7),-3.33438 # DEPENDENCYPART_ARC
(11,8),-2.18541 # DEPENDENCYPART_ARC
(11,9),-2.34557 # DEPENDENCYPART_ARC
(11,10),-1.44411 # DEPENDENCYPART_ARC
(11,12),-0.883863 # DEPENDENCYPART_ARC
(11,13),-0.39893 # DEPENDENCYPART_ARC
(11,14),-0.800047 # DEPENDENCYPART_ARC
(11,15),-1.7359 # DEPENDENCYPART_ARC
(11,16),-0.0522295 # DEPENDENCYPART_ARC
(11,17),-1.69946 # DEPENDENCYPART_ARC
(11,18),-1.02268 # DEPENDENCYPART_ARC
(12,1),-1.65125 # DEPENDENCYPART_ARC
(12,2),-2.15171 # DEPENDENCYPART_ARC
(12,3),-2.77386 # DEPENDENCYPART_ARC
(12,4),-1.84419 # DEPENDENCYPART_ARC
(12,5),-2.58294 # DEPENDENCYPART_ARC
(12,6),-1.57951 # DEPENDENCYPART_ARC
(12,7),-1.8692 # DEPENDENCYPART_ARC
