# _root_ La manca d' aigua potable i d' electricitat que han provocat aquestes inundacions , accentuen la possibilitat d' aparició d' epidèmies , sobretot de còlera i de malària .
#goldHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,2,0,17,15,17,18,19,20,24,24,21,24,24,24,27,15,
#predictedHeads=2,15,2,3,4,3,3,7,11,11,8,13,11,11,0,17,15,17,18,19,20,24,24,19,24,24,24,27,11,
(0,1),-8.13354 # DEPENDENCYPART_ARC
(0,2),-6.89474 # DEPENDENCYPART_ARC
(0,3),-7.41599 # DEPENDENCYPART_ARC
(0,4),-7.06793 # DEPENDENCYPART_ARC
(0,5),-7.817 # DEPENDENCYPART_ARC
(0,6),-7.25471 # DEPENDENCYPART_ARC
(0,7),-7.50756 # DEPENDENCYPART_ARC
(0,8),-6.55266 # DEPENDENCYPART_ARC
(0,9),-6.57532 # DEPENDENCYPART_ARC
(0,10),-4.53456 # DEPENDENCYPART_ARC
(0,11),-3.04331 # DEPENDENCYPART_ARC
(0,12),-9.28839 # DEPENDENCYPART_ARC
(0,13),-7.53456 # DEPENDENCYPART_ARC
(0,14),-8.10422 # DEPENDENCYPART_ARC
(0,15),-1.68618 # DEPENDENCYPART_ARC
(0,16),-9.91562 # DEPENDENCYPART_ARC
(0,17),-8.41533 # DEPENDENCYPART_ARC
(0,18),-8.67812 # DEPENDENCYPART_ARC
(0,19),-8.27442 # DEPENDENCYPART_ARC
(0,20),-8.98491 # DEPENDENCYPART_ARC
(0,21),-7.70506 # DEPENDENCYPART_ARC
(0,22),-8.90622 # DEPENDENCYPART_ARC
(0,23),-8.58464 # DEPENDENCYPART_ARC
(0,24),-9.29944 # DEPENDENCYPART_ARC
(0,25),-7.8719 # DEPENDENCYPART_ARC
(0,26),-8.37233 # DEPENDENCYPART_ARC
(0,27),-9.67469 # DEPENDENCYPART_ARC
(0,28),-7.47647 # DEPENDENCYPART_ARC
(0,29),-9.46202 # DEPENDENCYPART_ARC
(1,2),1.93441 # DEPENDENCYPART_ARC
(1,3),0.84462 # DEPENDENCYPART_ARC
(1,4),-0.939143 # DEPENDENCYPART_ARC
(1,5),-1.98963 # DEPENDENCYPART_ARC
(1,6),-1.40551 # DEPENDENCYPART_ARC
(1,7),-1.51661 # DEPENDENCYPART_ARC
(1,8),-2.22872 # DEPENDENCYPART_ARC
(1,9),-2.87306 # DEPENDENCYPART_ARC
(1,10),-2.81433 # DEPENDENCYPART_ARC
(1,11),-2.90925 # DEPENDENCYPART_ARC
(1,12),-1.92844 # DEPENDENCYPART_ARC
(1,13),-3.76071 # DEPENDENCYPART_ARC
(1,14),-3.35291 # DEPENDENCYPART_ARC
(1,15),-3.71932 # DEPENDENCYPART_ARC
(1,16),-2.94433 # DEPENDENCYPART_ARC
(1,17),-3.32839 # DEPENDENCYPART_ARC
(1,18),-3.40572 # DEPENDENCYPART_ARC
(1,19),-3.68348 # DEPENDENCYPART_ARC
(1,20),-3.92355 # DEPENDENCYPART_ARC
(1,21),-5.02139 # DEPENDENCYPART_ARC
(1,22),-4.71583 # DEPENDENCYPART_ARC
(1,23),-3.30883 # DEPENDENCYPART_ARC
(1,24),-4.00805 # DEPENDENCYPART_ARC
(1,25),-4.7933 # DEPENDENCYPART_ARC
(1,26),-5.07361 # DEPENDENCYPART_ARC
(1,27),-4.46185 # DEPENDENCYPART_ARC
(1,28),-5.19328 # DEPENDENCYPART_ARC
(1,29),-4.83693 # DEPENDENCYPART_ARC
(2,1),5.04624 # DEPENDENCYPART_ARC
(2,3),3.83615 # DEPENDENCYPART_ARC
(2,4),1.528 # DEPENDENCYPART_ARC
(2,5),2.52525 # DEPENDENCYPART_ARC
(2,6),0.679743 # DEPENDENCYPART_ARC
(2,7),0.356356 # DEPENDENCYPART_ARC
(2,8),0.907365 # DEPENDENCYPART_ARC
(2,9),-1.57587 # DEPENDENCYPART_ARC
(2,10),0.810623 # DEPENDENCYPART_ARC
(2,11),1.40089 # DEPENDENCYPART_ARC
(2,12),-1.66698 # DEPENDENCYPART_ARC
(2,13),0.277764 # DEPENDENCYPART_ARC
(2,14),-0.0773728 # DEPENDENCYPART_ARC
(2,15),-1.1777 # DEPENDENCYPART_ARC
(2,16),-1.63102 # DEPENDENCYPART_ARC
(2,17),0.326594 # DEPENDENCYPART_ARC
(2,18),-1.73958 # DEPENDENCYPART_ARC
(2,19),-0.391093 # DEPENDENCYPART_ARC
(2,20),-2.39804 # DEPENDENCYPART_ARC
(2,21),-0.551696 # DEPENDENCYPART_ARC
(2,22),-1.06838 # DEPENDENCYPART_ARC
(2,23),-2.01013 # DEPENDENCYPART_ARC
(2,24),-5.71739 # DEPENDENCYPART_ARC
(2,25),-0.99868 # DEPENDENCYPART_ARC
