# _root_ L' alcalde de Cazorla , Francisco_Navarrete , es va mostrar convençut que el foc havia estat intencionat .
#goldHeads=2,10,2,3,6,2,6,10,10,0,10,16,14,16,16,11,16,10,
#predictedHeads=2,10,2,3,6,2,6,10,10,0,10,16,14,16,16,11,16,10,
(0,2),-7.33709 # DEPENDENCYPART_ARC
(0,3),-7.64889 # DEPENDENCYPART_ARC
(0,4),-7.16645 # DEPENDENCYPART_ARC
(0,6),-7.04224 # DEPENDENCYPART_ARC
(0,9),-3.66198 # DEPENDENCYPART_ARC
(0,10),-3.15817 # DEPENDENCYPART_ARC
(0,11),-9.43839 # DEPENDENCYPART_ARC
(0,12),-7.61824 # DEPENDENCYPART_ARC
(0,14),-7.95679 # DEPENDENCYPART_ARC
(0,15),-3.09333 # DEPENDENCYPART_ARC
(0,16),-4.36031 # DEPENDENCYPART_ARC
(0,17),-9.69429 # DEPENDENCYPART_ARC
(1,2),1.17254 # DEPENDENCYPART_ARC
(1,3),0.65096 # DEPENDENCYPART_ARC
(1,4),-1.75313 # DEPENDENCYPART_ARC
(1,6),-2.22793 # DEPENDENCYPART_ARC
(1,11),-4.2803 # DEPENDENCYPART_ARC
(1,13),-4.52324 # DEPENDENCYPART_ARC
(1,14),-3.52844 # DEPENDENCYPART_ARC
(1,17),-4.59835 # DEPENDENCYPART_ARC
(2,1),4.18554 # DEPENDENCYPART_ARC
(2,3),3.78213 # DEPENDENCYPART_ARC
(2,4),2.21613 # DEPENDENCYPART_ARC
(2,5),1.24401 # DEPENDENCYPART_ARC
(2,6),2.79319 # DEPENDENCYPART_ARC
(2,7),0.533975 # DEPENDENCYPART_ARC
(2,9),1.53221 # DEPENDENCYPART_ARC
(2,10),0.988043 # DEPENDENCYPART_ARC
(2,11),0.277315 # DEPENDENCYPART_ARC
(2,12),-0.725558 # DEPENDENCYPART_ARC
(2,13),-1.8243 # DEPENDENCYPART_ARC
(2,14),-0.504787 # DEPENDENCYPART_ARC
(2,15),-2.25918 # DEPENDENCYPART_ARC
(2,16),-1.98563 # DEPENDENCYPART_ARC
(2,17),0.16698 # DEPENDENCYPART_ARC
(2,18),1.35328 # DEPENDENCYPART_ARC
(3,1),0.142296 # DEPENDENCYPART_ARC
(3,2),0.366371 # DEPENDENCYPART_ARC
(3,4),3.7153 # DEPENDENCYPART_ARC
(3,5),-0.0066692 # DEPENDENCYPART_ARC
(3,6),0.248505 # DEPENDENCYPART_ARC
(3,7),-0.70918 # DEPENDENCYPART_ARC
(3,8),-3.29206 # DEPENDENCYPART_ARC
(3,9),-1.43656 # DEPENDENCYPART_ARC
(3,10),-1.35586 # DEPENDENCYPART_ARC
(3,11),-2.92631 # DEPENDENCYPART_ARC
(3,12),-2.00456 # DEPENDENCYPART_ARC
(3,13),-3.87258 # DEPENDENCYPART_ARC
(3,14),-6.14889 # DEPENDENCYPART_ARC
(3,15),-4.98037 # DEPENDENCYPART_ARC
(3,16),-4.35754 # DEPENDENCYPART_ARC
(3,17),-3.5486 # DEPENDENCYPART_ARC
(3,18),-1.43903 # DEPENDENCYPART_ARC
(4,1),0.316597 # DEPENDENCYPART_ARC
(4,2),-1.13002 # DEPENDENCYPART_ARC
(4,3),0.50479 # DEPENDENCYPART_ARC
(4,5),1.61884 # DEPENDENCYPART_ARC
(4,6),1.77611 # DEPENDENCYPART_ARC
(4,7),-0.350722 # DEPENDENCYPART_ARC
(4,9),0.579674 # DEPENDENCYPART_ARC
(4,10),0.313936 # DEPENDENCYPART_ARC
(4,11),-1.25576 # DEPENDENCYPART_ARC
(4,12),-1.85275 # DEPENDENCYPART_ARC
(4,13),-2.50048 # DEPENDENCYPART_ARC
(4,14),-1.94012 # DEPENDENCYPART_ARC
(4,15),-2.75378 # DEPENDENCYPART_ARC
(4,16),-2.98107 # DEPENDENCYPART_ARC
(4,17),-1.28395 # DEPENDENCYPART_ARC
(4,18),0.0894355 # DEPENDENCYPART_ARC
(5,2),-2.66519 # DEPENDENCYPART_ARC
(5,7),-1.44774 # DEPENDENCYPART_ARC
(5,11),-2.4374 # DEPENDENCYPART_ARC
(5,14),-2.66523 # DEPENDENCYPART_ARC
(5,17),-2.68189 # DEPENDENCYPART_ARC
(6,1),-0.516158 # DEPENDENCYPART_ARC
(6,2),-0.954214 # DEPENDENCYPART_ARC
(6,3),-0.141903 # DEPENDENCYPART_ARC
(6,4),1.44516 # DEPENDENCYPART_ARC
(6,5),2.80251 # DEPENDENCYPART_ARC
(6,7),2.84578 # DEPENDENCYPART_ARC
(6,9),1.34448 # DEPENDENCYPART_ARC
(6,10),0.855796 # DEPENDENCYPART_ARC
(6,11),-0.597256 # DEPENDENCYPART_ARC
(6,12),-1.71889 # DEPENDENCYPART_ARC
(6,13),-1.92738 # DEPENDENCYPART_ARC
(6,14),-1.93236 # DEPENDENCYPART_ARC
(6,15),-2.11947 # DEPENDENCYPART_ARC
(6,16),-2.36905 # DEPENDENCYPART_ARC
(6,17),-0.930252 # DEPENDENCYPART_ARC
(6,18),1.11132 # DEPENDENCYPART_ARC
(7,2),-3.37085 # DEPENDENCYPART_ARC
(7,5),-0.975378 # DEPENDENCYPART_ARC
(7,11),-3.43124 # DEPENDENCYPART_ARC
(7,14),-3.7191 # DEPENDENCYPART_ARC
(7,17),-3.76013 # DEPENDENCYPART_ARC
(9,1),-3.07729 # DEPENDENCYPART_ARC
(9,2),-0.5602 # DEPENDENCYPART_ARC
(9,3),-3.00367 # DEPENDENCYPART_ARC
(9,4),-1.67995 # DEPENDENCYPART_ARC
(9,5),-1.11259 # DEPENDENCYPART_ARC
(9,6),-1.20539 # DEPENDENCYPART_ARC
(9,7),0.872578 # DEPENDENCYPART_ARC
(9,8),0.868931 # DEPENDENCYPART_ARC
(9,10),1.06243 # DEPENDENCYPART_ARC
(9,11),0.723888 # DEPENDENCYPART_ARC
(9,12),-1.84572 # DEPENDENCYPART_ARC
(9,13),-4.38371 # DEPENDENCYPART_ARC
(9,14),-1.81938 # DEPENDENCYPART_ARC
(9,15),-1.88699 # DEPENDENCYPART_ARC
(9,16),-2.3664 # DEPENDENCYPART_ARC
(9,17),-1.16935 # DEPENDENCYPART_ARC
(9,18),1.39 # DEPENDENCYPART_ARC
(10,1),-0.83545 # DEPENDENCYPART_ARC
(10,2),1.84442 # DEPENDENCYPART_ARC
(10,3),-1.49001 # DEPENDENCYPART_ARC
(10,4),0.622349 # DEPENDENCYPART_ARC
(10,5),-0.87151 # DEPENDENCYPART_ARC
(10,6),0.902473 # DEPENDENCYPART_ARC
(10,7),1.08746 # DEPENDENCYPART_ARC
(10,8),3.01347 # DEPENDENCYPART_ARC
(10,9),5.66707 # DEPENDENCYPART_ARC
(10,11),3.61008 # DEPENDENCYPART_ARC
(10,12),0.324029 # DEPENDENCYPART_ARC
(10,13),-1.93807 # DEPENDENCYPART_ARC
(10,14),0.613026 # DEPENDENCYPART_ARC
(10,15),2.21595 # DEPENDENCYPART_ARC
(10,16),0.8106 # DEPENDENCYPART_ARC
(10,17),0.672165 # DEPENDENCYPART_ARC
(10,18),4.14377 # DEPENDENCYPART_ARC
(11,1),-3.33145 # DEPENDENCYPART_ARC
(11,2),-2.82245 # DEPENDENCYPART_ARC
(11,3),-1.62558 # DEPENDENCYPART_ARC
(11,4),-2.81621 # DEPENDENCYPART_ARC
(11,5),-2.64595 # DEPENDENCYPART_ARC
(11,6),-2.41109 # DEPENDENCYPART_ARC
(11,7),-1.85603 # DEPENDENCYPART_ARC
(11,9),-1.53923 # DEPENDENCYPART_ARC
(11,10),-0.884094 # DEPENDENCYPART_ARC
(11,12),0.555629 # DEPENDENCYPART_ARC
(11,13),-0.982164 # DEPENDENCYPART_ARC
(11,14),0.740894 # DEPENDENCYPART_ARC
(11,15),2.17104 # DEPENDENCYPART_ARC
(11,16),1.37955 # DEPENDENCYPART_ARC
(11,17),0.467766 # DEPENDENCYPART_ARC
(11,18),0.903334 # DEPENDENCYPART_ARC
(12,2),-3.37922 # DEPENDENCYPART_ARC
(12,3),-2.47483 # DEPENDENCYPART_ARC
(12,4),-3.26228 # DEPENDENCYPART_ARC
(12,5),-2.19169 # DEPENDENCYPART_ARC
(12,6),-3.07023 # DEPENDENCYPART_ARC
(12,7),-2.00891 # DEPENDENCYPART_ARC
(12,9),-2.39132 # DEPENDENCYPART_ARC
(12,10),-1.58235 # DEPENDENCYPART_ARC
(12,11),-0.967991 # DEPENDENCYPART_ARC
(12,14),-0.902938 # DEPENDENCYPART_ARC
(12,15),-0.340618 # DEPENDENCYPART_ARC
(12,16),-1.14863 # DEPENDENCYPART_ARC
(12,17),-1.88764 # DEPENDENCYPART_ARC
(12,18),-1.13505 # DEPENDENCYPART_ARC
(13,1),-4.29529 # DEPENDENCYPART_ARC
(13,2),-3.16698 # DEPENDENCYPART_ARC
(13,3),-2.68963 # DEPENDENCYPART_ARC
(13,4),-2.76608 # DEPENDENCYPART_ARC
(13,6),-2.54793 # DEPENDENCYPART_ARC
(13,11),-1.22952 # DEPENDENCYPART_ARC
(13,14),0.0334422 # DEPENDENCYPART_ARC
(13,17),-3.25617 # DEPENDENCYPART_ARC
(14,1),-3.95128 # DEPENDENCYPART_ARC
(14,2),-2.43828 # DEPENDENCYPART_ARC
(14,3),-1.22658 # DEPENDENCYPART_ARC
(14,4),-1.85777 # DEPENDENCYPART_ARC
(14,5),-2.02925 # DEPENDENCYPART_ARC
(14,6),-2.14712 # DEPENDENCYPART_ARC
(14,7),-1.63619 # DEPENDENCYPART_ARC
(14,9),-1.7189 # DEPENDENCYPART_ARC
(14,10),-1.37538 # DEPENDENCYPART_ARC
(14,11),-0.356417 # DEPENDENCYPART_ARC
(14,12),1.49189 # DEPENDENCYPART_ARC
(14,13),3.94681 # DEPENDENCYPART_ARC
(14,15),0.20867 # DEPENDENCYPART_ARC
(14,16),-0.702474 # DEPENDENCYPART_ARC
(14,17),-0.380653 # DEPENDENCYPART_ARC
(14,18),-0.802156 # DEPENDENCYPART_ARC
(15,1),-5.31299 # DEPENDENCYPART_ARC
(15,2),-2.34265 # DEPENDENCYPART_ARC
(15,3),-4.52275 # DEPENDENCYPART_ARC
(15,4),-3.56222 # DEPENDENCYPART_ARC
(15,5),-3.72249 # DEPENDENCYPART_ARC
(15,6),-3.19535 # DEPENDENCYPART_ARC
(15,7),-1.83722 # DEPENDENCYPART_ARC
(15,8),-2.62115 # DEPENDENCYPART_ARC
(15,9),-1.92931 # DEPENDENCYPART_ARC
(15,10),-2.47179 # DEPENDENCYPART_ARC
(15,11),-1.70285 # DEPENDENCYPART_ARC
(15,12),1.25202 # DEPENDENCYPART_ARC
(15,13),-1.58131 # DEPENDENCYPART_ARC
(15,14),0.142101 # DEPENDENCYPART_ARC
(15,16),0.107061 # DEPENDENCYPART_ARC
(15,17),0.215869 # DEPENDENCYPART_ARC
(15,18),0.902571 # DEPENDENCYPART_ARC
(16,1),-1.25129 # DEPENDENCYPART_ARC
(16,2),0.470586 # DEPENDENCYPART_ARC
(16,3),-2.51635 # DEPENDENCYPART_ARC
(16,4),-0.50611 # DEPENDENCYPART_ARC
(16,5),-1.43583 # DEPENDENCYPART_ARC
(16,6),-0.116117 # DEPENDENCYPART_ARC
(16,7),0.179373 # DEPENDENCYPART_ARC
(16,8),1.18468 # DEPENDENCYPART_ARC
(16,9),1.2666 # DEPENDENCYPART_ARC
(16,10),-0.347723 # DEPENDENCYPART_ARC
(16,11),0.38918 # DEPENDENCYPART_ARC
(16,12),3.77703 # DEPENDENCYPART_ARC
(16,13),1.14932 # DEPENDENCYPART_ARC
(16,14),2.62041 # DEPENDENCYPART_ARC
(16,15),5.23147 # DEPENDENCYPART_ARC
(16,17),3.02115 # DEPENDENCYPART_ARC
(16,18),2.90467 # DEPENDENCYPART_ARC
(17,1),-3.37696 # DEPENDENCYPART_ARC
(17,2),-2.83259 # DEPENDENCYPART_ARC
(17,3),-1.69284 # DEPENDENCYPART_ARC
(17,4),-2.96708 # DEPENDENCYPART_ARC
(17,5),-3.27205 # DEPENDENCYPART_ARC
(17,6),-2.77768 # DEPENDENCYPART_ARC
(17,7),-2.63574 # DEPENDENCYPART_ARC
(17,9),-2.59612 # DEPENDENCYPART_ARC
(17,10),-2.83116 # DEPENDENCYPART_ARC
(17,11),-1.31493 # DEPENDENCYPART_ARC
(17,12),-0.0835985 # DEPENDENCYPART_ARC
(17,13),-0.650646 # DEPENDENCYPART_ARC
(17,14),-0.9705 # DEPENDENCYPART_ARC
(17,15),0.0457265 # DEPENDENCYPART_ARC
(17,16),-0.803705 # DEPENDENCYPART_ARC
(17,18),-0.261753 # DEPENDENCYPART_ARC
