# _root_ La majoria dels treballs presentats són de centres de la comarca d' Osona -Fpa- 39 -Fpt- , seguits dels 18 de La_Selva i La_Garrotxa , dels 15 del Bages i de 7 del Vallès_Oriental .
#goldHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,2,15,18,2,18,19,20,21,22,22,19,19,26,27,28,19,19,31,32,33,6,
#predictedHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,6,15,18,8,18,19,20,21,22,22,18,32,26,27,28,6,32,6,32,33,6,
(0,1),-8.13354 # DEPENDENCYPART_ARC
(0,2),-6.88012 # DEPENDENCYPART_ARC
(0,3),-7.76809 # DEPENDENCYPART_ARC
(0,4),-7.31111 # DEPENDENCYPART_ARC
(0,5),-7.92802 # DEPENDENCYPART_ARC
(0,6),-0.976995 # DEPENDENCYPART_ARC
(0,7),-7.74498 # DEPENDENCYPART_ARC
(0,8),-7.74023 # DEPENDENCYPART_ARC
(0,9),-8.56278 # DEPENDENCYPART_ARC
(0,10),-9.88963 # DEPENDENCYPART_ARC
(0,11),-7.8308 # DEPENDENCYPART_ARC
(0,12),-8.67393 # DEPENDENCYPART_ARC
(0,13),-7.43177 # DEPENDENCYPART_ARC
(0,14),-8.07761 # DEPENDENCYPART_ARC
(0,15),-7.80805 # DEPENDENCYPART_ARC
(0,16),-8.09865 # DEPENDENCYPART_ARC
(0,17),-8.42394 # DEPENDENCYPART_ARC
(0,18),-8.54137 # DEPENDENCYPART_ARC
(0,19),-8.7294 # DEPENDENCYPART_ARC
(0,20),-7.98203 # DEPENDENCYPART_ARC
(0,21),-8.95841 # DEPENDENCYPART_ARC
(0,22),-7.18749 # DEPENDENCYPART_ARC
(0,23),-8.34794 # DEPENDENCYPART_ARC
(0,24),-6.84519 # DEPENDENCYPART_ARC
(0,25),-9.0279 # DEPENDENCYPART_ARC
(0,26),-8.81559 # DEPENDENCYPART_ARC
(0,27),-8.19269 # DEPENDENCYPART_ARC
(0,28),-9.25046 # DEPENDENCYPART_ARC
(0,29),-7.22687 # DEPENDENCYPART_ARC
(0,30),-8.38488 # DEPENDENCYPART_ARC
(0,31),-9.87362 # DEPENDENCYPART_ARC
(0,32),-8.27634 # DEPENDENCYPART_ARC
(0,33),-9.90658 # DEPENDENCYPART_ARC
(0,34),-6.75639 # DEPENDENCYPART_ARC
(0,35),-9.7184 # DEPENDENCYPART_ARC
(1,2),2.73643 # DEPENDENCYPART_ARC
(1,3),1.92387 # DEPENDENCYPART_ARC
(1,4),-1.51564 # DEPENDENCYPART_ARC
(1,5),-3.48738 # DEPENDENCYPART_ARC
(1,6),-1.55635 # DEPENDENCYPART_ARC
(1,7),-1.07722 # DEPENDENCYPART_ARC
(1,8),-2.76376 # DEPENDENCYPART_ARC
(1,9),-1.84922 # DEPENDENCYPART_ARC
(1,10),-0.865683 # DEPENDENCYPART_ARC
(1,11),-2.14099 # DEPENDENCYPART_ARC
(1,12),-2.34073 # DEPENDENCYPART_ARC
(1,13),-3.64064 # DEPENDENCYPART_ARC
(1,14),-2.62298 # DEPENDENCYPART_ARC
(1,15),-2.38507 # DEPENDENCYPART_ARC
(1,16),-2.81362 # DEPENDENCYPART_ARC
(1,17),-3.25644 # DEPENDENCYPART_ARC
(1,18),-5.05249 # DEPENDENCYPART_ARC
(1,19),-2.79526 # DEPENDENCYPART_ARC
(1,20),-2.22857 # DEPENDENCYPART_ARC
(1,21),-3.75596 # DEPENDENCYPART_ARC
(1,22),-4.27393 # DEPENDENCYPART_ARC
(1,23),-3.88351 # DEPENDENCYPART_ARC
(1,24),-4.54897 # DEPENDENCYPART_ARC
(1,25),-4.30719 # DEPENDENCYPART_ARC
(1,26),-3.79569 # DEPENDENCYPART_ARC
(1,27),-3.86248 # DEPENDENCYPART_ARC
(1,28),-4.80377 # DEPENDENCYPART_ARC
(1,29),-4.93519 # DEPENDENCYPART_ARC
(1,30),-4.85261 # DEPENDENCYPART_ARC
