# _root_ Al_llarg_dels anys , a_més_del vessant agrícola , el mercat ha incorporat altres sectors econòmics i socioculturals .
#goldHeads=11,1,1,11,4,5,4,9,11,11,0,13,11,13,14,14,11,
#predictedHeads=11,1,1,11,4,5,4,9,11,11,0,13,11,13,14,14,11,
(0,1),-7.58532 # DEPENDENCYPART_ARC
(0,2),-5.36581 # DEPENDENCYPART_ARC
(0,3),-7.13393 # DEPENDENCYPART_ARC
(0,4),-6.91361 # DEPENDENCYPART_ARC
(0,5),-6.31678 # DEPENDENCYPART_ARC
(0,6),-7.67956 # DEPENDENCYPART_ARC
(0,7),-7.35025 # DEPENDENCYPART_ARC
(0,8),-9.19941 # DEPENDENCYPART_ARC
(0,9),-6.07601 # DEPENDENCYPART_ARC
(0,10),-1.51629 # DEPENDENCYPART_ARC
(0,11),-1.84084 # DEPENDENCYPART_ARC
(0,12),-9.31696 # DEPENDENCYPART_ARC
(0,13),-6.87588 # DEPENDENCYPART_ARC
(0,14),-7.79011 # DEPENDENCYPART_ARC
(0,15),-7.82248 # DEPENDENCYPART_ARC
(0,16),-7.55232 # DEPENDENCYPART_ARC
(0,17),-8.14167 # DEPENDENCYPART_ARC
(1,2),5.41158 # DEPENDENCYPART_ARC
(1,3),2.53113 # DEPENDENCYPART_ARC
(1,4),-0.127186 # DEPENDENCYPART_ARC
(1,5),0.055559 # DEPENDENCYPART_ARC
(1,6),-2.28311 # DEPENDENCYPART_ARC
(1,7),1.78397 # DEPENDENCYPART_ARC
(1,8),-3.26637 # DEPENDENCYPART_ARC
(1,9),-3.27738 # DEPENDENCYPART_ARC
(1,10),-2.72992 # DEPENDENCYPART_ARC
(1,11),-1.99153 # DEPENDENCYPART_ARC
(1,12),-1.80407 # DEPENDENCYPART_ARC
(1,13),-6.04557 # DEPENDENCYPART_ARC
(1,14),-3.63447 # DEPENDENCYPART_ARC
(1,15),-1.03629 # DEPENDENCYPART_ARC
(1,16),-2.68454 # DEPENDENCYPART_ARC
(1,17),0.507679 # DEPENDENCYPART_ARC
(2,1),0.0423949 # DEPENDENCYPART_ARC
(2,3),0.0441323 # DEPENDENCYPART_ARC
(2,4),0.100308 # DEPENDENCYPART_ARC
(2,5),-0.268784 # DEPENDENCYPART_ARC
(2,6),0.175943 # DEPENDENCYPART_ARC
(2,7),-0.174898 # DEPENDENCYPART_ARC
(2,8),-2.43361 # DEPENDENCYPART_ARC
(2,9),-1.15944 # DEPENDENCYPART_ARC
(2,10),-1.04966 # DEPENDENCYPART_ARC
(2,11),-0.835446 # DEPENDENCYPART_ARC
(2,12),-1.86826 # DEPENDENCYPART_ARC
(2,13),-1.21337 # DEPENDENCYPART_ARC
(2,14),-0.983462 # DEPENDENCYPART_ARC
(2,15),-1.2246 # DEPENDENCYPART_ARC
(2,16),-1.25877 # DEPENDENCYPART_ARC
(2,17),-0.919699 # DEPENDENCYPART_ARC
(3,1),-1.17576 # DEPENDENCYPART_ARC
(3,2),-1.18897 # DEPENDENCYPART_ARC
(3,4),-1.21458 # DEPENDENCYPART_ARC
(3,5),-1.56467 # DEPENDENCYPART_ARC
(3,6),-1.88987 # DEPENDENCYPART_ARC
(3,7),-1.59558 # DEPENDENCYPART_ARC
(3,8),-2.75157 # DEPENDENCYPART_ARC
(3,9),-2.26768 # DEPENDENCYPART_ARC
(3,10),-1.87463 # DEPENDENCYPART_ARC
(3,11),-2.38284 # DEPENDENCYPART_ARC
(3,12),-3.24776 # DEPENDENCYPART_ARC
(3,13),-2.82139 # DEPENDENCYPART_ARC
(3,14),-2.77865 # DEPENDENCYPART_ARC
(3,15),-1.7564 # DEPENDENCYPART_ARC
(3,16),-2.71878 # DEPENDENCYPART_ARC
(3,17),-2.25184 # DEPENDENCYPART_ARC
(4,1),-0.690653 # DEPENDENCYPART_ARC
(4,2),-0.92486 # DEPENDENCYPART_ARC
(4,3),2.32105 # DEPENDENCYPART_ARC
(4,5),3.0444 # DEPENDENCYPART_ARC
(4,6),0.347781 # DEPENDENCYPART_ARC
(4,7),2.22681 # DEPENDENCYPART_ARC
