# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,19,17,19,14,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(0,1),-8.10343 # DEPENDENCYPART_ARC
(0,2),-6.86678 # DEPENDENCYPART_ARC
(0,3),-7.81952 # DEPENDENCYPART_ARC
(0,4),-6.88994 # DEPENDENCYPART_ARC
(0,5),-7.69989 # DEPENDENCYPART_ARC
(0,6),-9.40451 # DEPENDENCYPART_ARC
(0,7),-6.69738 # DEPENDENCYPART_ARC
(0,8),-6.74128 # DEPENDENCYPART_ARC
(0,9),-3.28663 # DEPENDENCYPART_ARC
(0,10),-8.17097 # DEPENDENCYPART_ARC
(0,11),-9.79618 # DEPENDENCYPART_ARC
(0,12),-8.04954 # DEPENDENCYPART_ARC
(0,13),-8.56072 # DEPENDENCYPART_ARC
(0,14),-8.14082 # DEPENDENCYPART_ARC
(0,15),-7.58894 # DEPENDENCYPART_ARC
(0,16),-9.95951 # DEPENDENCYPART_ARC
(0,17),-8.04989 # DEPENDENCYPART_ARC
(0,18),-8.59043 # DEPENDENCYPART_ARC
(0,19),-1.91878 # DEPENDENCYPART_ARC
(0,20),-10.1841 # DEPENDENCYPART_ARC
(0,21),-9.10968 # DEPENDENCYPART_ARC
(0,22),-9.57768 # DEPENDENCYPART_ARC
(0,23),-9.08985 # DEPENDENCYPART_ARC
(0,24),-8.15075 # DEPENDENCYPART_ARC
(0,25),-10.4559 # DEPENDENCYPART_ARC
(0,26),-9.62667 # DEPENDENCYPART_ARC
(0,27),-8.17848 # DEPENDENCYPART_ARC
(0,28),-4.50166 # DEPENDENCYPART_ARC
(0,29),-5.6752 # DEPENDENCYPART_ARC
(0,30),-7.86513 # DEPENDENCYPART_ARC
(0,31),-9.53867 # DEPENDENCYPART_ARC
(0,32),-9.66745 # DEPENDENCYPART_ARC
(0,33),-10.7171 # DEPENDENCYPART_ARC
(0,34),-11.054 # DEPENDENCYPART_ARC
(0,35),-9.42806 # DEPENDENCYPART_ARC
(0,36),-10.4688 # DEPENDENCYPART_ARC
