# _root_ En xifres globals , a Catalunya han mort 240 persones durant els cinc primers mesos de l' any , la xifra més alta des_de 1994 segons dades de la Prefectura_de_Trànsit_de_Barcelona .
#goldHeads=8,1,2,1,8,5,8,0,10,8,8,15,12,15,11,15,18,16,21,21,10,23,21,23,24,8,26,27,30,28,8,
#predictedHeads=8,1,2,1,8,5,8,0,10,8,8,15,12,15,11,15,18,16,21,21,10,23,21,21,24,8,26,27,30,28,8,
(0,1),-7.03028 # DEPENDENCYPART_ARC
(0,2),-5.52829 # DEPENDENCYPART_ARC
(0,3),-6.84233 # DEPENDENCYPART_ARC
(0,4),-7.15096 # DEPENDENCYPART_ARC
(0,5),-7.20402 # DEPENDENCYPART_ARC
(0,6),-5.85182 # DEPENDENCYPART_ARC
(0,7),-1.71009 # DEPENDENCYPART_ARC
(0,8),-2.36928 # DEPENDENCYPART_ARC
(0,9),-7.58483 # DEPENDENCYPART_ARC
(0,10),-6.36762 # DEPENDENCYPART_ARC
(0,11),-7.91862 # DEPENDENCYPART_ARC
(0,12),-9.06779 # DEPENDENCYPART_ARC
(0,13),-9.06343 # DEPENDENCYPART_ARC
(0,14),-7.56996 # DEPENDENCYPART_ARC
(0,15),-7.26964 # DEPENDENCYPART_ARC
(0,16),-9.04577 # DEPENDENCYPART_ARC
(0,17),-9.66383 # DEPENDENCYPART_ARC
(0,18),-6.67015 # DEPENDENCYPART_ARC
(0,19),-8.40325 # DEPENDENCYPART_ARC
(0,20),-9.78862 # DEPENDENCYPART_ARC
(0,21),-7.2037 # DEPENDENCYPART_ARC
(0,22),-8.22994 # DEPENDENCYPART_ARC
(0,23),-7.97007 # DEPENDENCYPART_ARC
(0,24),-8.372 # DEPENDENCYPART_ARC
(0,25),-8.63706 # DEPENDENCYPART_ARC
(0,26),-7.02335 # DEPENDENCYPART_ARC
(0,27),-7.55561 # DEPENDENCYPART_ARC
(0,28),-10.3223 # DEPENDENCYPART_ARC
(0,29),-10.3286 # DEPENDENCYPART_ARC
(0,30),-7.14116 # DEPENDENCYPART_ARC
