# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,21,33,30,33,34,2,
(0,1),-6.99258 # DEPENDENCYPART_ARC
(0,2),-3.33603 # DEPENDENCYPART_ARC
(0,3),-7.95312 # DEPENDENCYPART_ARC
(0,4),-9.44636 # DEPENDENCYPART_ARC
(0,5),-8.21096 # DEPENDENCYPART_ARC
(0,6),-8.73841 # DEPENDENCYPART_ARC
(0,7),-9.43591 # DEPENDENCYPART_ARC
(0,8),-8.36572 # DEPENDENCYPART_ARC
(0,9),-8.9739 # DEPENDENCYPART_ARC
(0,10),-9.03948 # DEPENDENCYPART_ARC
(0,11),-8.83906 # DEPENDENCYPART_ARC
(0,12),-9.26908 # DEPENDENCYPART_ARC
(0,13),-8.18109 # DEPENDENCYPART_ARC
(0,14),-8.75748 # DEPENDENCYPART_ARC
(0,15),-8.39533 # DEPENDENCYPART_ARC
(0,16),-9.17946 # DEPENDENCYPART_ARC
(0,17),-10.7869 # DEPENDENCYPART_ARC
(0,18),-7.80679 # DEPENDENCYPART_ARC
(0,19),-9.52381 # DEPENDENCYPART_ARC
(0,20),-8.84758 # DEPENDENCYPART_ARC
(0,21),-6.15011 # DEPENDENCYPART_ARC
(0,22),-9.46299 # DEPENDENCYPART_ARC
(0,23),-7.7128 # DEPENDENCYPART_ARC
(0,24),-10.3729 # DEPENDENCYPART_ARC
(0,25),-8.2852 # DEPENDENCYPART_ARC
(0,26),-8.95301 # DEPENDENCYPART_ARC
(0,27),-8.87529 # DEPENDENCYPART_ARC
(0,28),-11.5449 # DEPENDENCYPART_ARC
(0,29),-11.481 # DEPENDENCYPART_ARC
(0,30),-9.00105 # DEPENDENCYPART_ARC
(0,31),-9.80374 # DEPENDENCYPART_ARC
(0,32),-10.641 # DEPENDENCYPART_ARC
(0,33),-11.1147 # DEPENDENCYPART_ARC
(0,34),-9.2559 # DEPENDENCYPART_ARC
(0,35),-9.89291 # DEPENDENCYPART_ARC
(0,36),-11.2309 # DEPENDENCYPART_ARC
(1,2),0.499156 # DEPENDENCYPART_ARC
(1,3),0.00878682 # DEPENDENCYPART_ARC
(1,4),-0.644847 # DEPENDENCYPART_ARC
(1,5),-0.509045 # DEPENDENCYPART_ARC
(1,6),-0.663814 # DEPENDENCYPART_ARC
(1,7),-1.66328 # DEPENDENCYPART_ARC
(1,8),-0.876732 # DEPENDENCYPART_ARC
(1,9),-1.30628 # DEPENDENCYPART_ARC
(1,10),-0.588842 # DEPENDENCYPART_ARC
(1,11),-1.72356 # DEPENDENCYPART_ARC
(1,12),-2.68579 # DEPENDENCYPART_ARC
(1,13),-1.4292 # DEPENDENCYPART_ARC
(1,14),-1.11906 # DEPENDENCYPART_ARC
(1,15),-1.40471 # DEPENDENCYPART_ARC
(1,16),-2.63703 # DEPENDENCYPART_ARC
(1,17),-2.6024 # DEPENDENCYPART_ARC
(1,18),-1.30843 # DEPENDENCYPART_ARC
(1,19),-1.45296 # DEPENDENCYPART_ARC
(1,20),-1.25607 # DEPENDENCYPART_ARC
(1,21),-3.15396 # DEPENDENCYPART_ARC
(1,22),-3.86191 # DEPENDENCYPART_ARC
(1,23),-1.59639 # DEPENDENCYPART_ARC
(1,24),-2.64035 # DEPENDENCYPART_ARC
(1,25),-1.82202 # DEPENDENCYPART_ARC
(1,26),-1.81727 # DEPENDENCYPART_ARC
(1,27),-2.04683 # DEPENDENCYPART_ARC
(1,28),-4.25524 # DEPENDENCYPART_ARC
(1,29),-3.48148 # DEPENDENCYPART_ARC
(1,30),-2.35874 # DEPENDENCYPART_ARC
(1,31),-2.40792 # DEPENDENCYPART_ARC
(1,32),-3.17757 # DEPENDENCYPART_ARC
(1,33),-4.36871 # DEPENDENCYPART_ARC
(1,34),-2.36683 # DEPENDENCYPART_ARC
(1,35),-2.49842 # DEPENDENCYPART_ARC
(1,36),-0.281455 # DEPENDENCYPART_ARC
(2,1),5.35551 # DEPENDENCYPART_ARC
(2,3),5.20167 # DEPENDENCYPART_ARC
(2,4),3.0602 # DEPENDENCYPART_ARC
(2,5),1.14509 # DEPENDENCYPART_ARC
(2,6),1.6164 # DEPENDENCYPART_ARC
(2,7),0.863277 # DEPENDENCYPART_ARC
(2,8),0.288023 # DEPENDENCYPART_ARC
(2,9),0.0505939 # DEPENDENCYPART_ARC
(2,10),1.56624 # DEPENDENCYPART_ARC
(2,11),0.250929 # DEPENDENCYPART_ARC
(2,12),0.283821 # DEPENDENCYPART_ARC
(2,13),-0.128573 # DEPENDENCYPART_ARC
(2,14),0.784089 # DEPENDENCYPART_ARC
(2,15),-1.25426 # DEPENDENCYPART_ARC
(2,16),1.47758 # DEPENDENCYPART_ARC
(2,17),-2.76047 # DEPENDENCYPART_ARC
(2,18),-0.786507 # DEPENDENCYPART_ARC
(2,19),1.38175 # DEPENDENCYPART_ARC
(2,20),1.91761 # DEPENDENCYPART_ARC
(2,21),2.48658 # DEPENDENCYPART_ARC
(2,22),-1.89879 # DEPENDENCYPART_ARC
(2,23),-3.854 # DEPENDENCYPART_ARC
(2,24),-2.09034 # DEPENDENCYPART_ARC
(2,25),-3.82279 # DEPENDENCYPART_ARC
(2,26),-1.17637 # DEPENDENCYPART_ARC
(2,27),-5.82099 # DEPENDENCYPART_ARC
(2,28),-3.6342 # DEPENDENCYPART_ARC
(2,29),-1.38723 # DEPENDENCYPART_ARC
(2,30),-5.35634 # DEPENDENCYPART_ARC
(2,31),-0.965554 # DEPENDENCYPART_ARC
(2,32),-3.30415 # DEPENDENCYPART_ARC
(2,33),-5.15124 # DEPENDENCYPART_ARC
(2,34),-7.51003 # DEPENDENCYPART_ARC
(2,35),-3.14078 # DEPENDENCYPART_ARC
(2,36),11.9802 # DEPENDENCYPART_ARC
(3,1),-0.657648 # DEPENDENCYPART_ARC
(3,2),1.19945 # DEPENDENCYPART_ARC
(3,4),2.14651 # DEPENDENCYPART_ARC
(3,5),0.875984 # DEPENDENCYPART_ARC
(3,6),0.755222 # DEPENDENCYPART_ARC
(3,7),-0.244104 # DEPENDENCYPART_ARC
(3,8),0.662457 # DEPENDENCYPART_ARC
(3,9),1.54063 # DEPENDENCYPART_ARC
(3,10),-0.14703 # DEPENDENCYPART_ARC
(3,11),0.583146 # DEPENDENCYPART_ARC
(3,12),-0.393278 # DEPENDENCYPART_ARC
(3,13),0.240897 # DEPENDENCYPART_ARC
(3,14),1.0208 # DEPENDENCYPART_ARC
(3,15),0.67311 # DEPENDENCYPART_ARC
(3,16),-0.670454 # DEPENDENCYPART_ARC
(3,17),-2.14609 # DEPENDENCYPART_ARC
(3,18),-0.697337 # DEPENDENCYPART_ARC
(3,19),-0.417478 # DEPENDENCYPART_ARC
(3,20),-0.542218 # DEPENDENCYPART_ARC
(3,21),-1.0596 # DEPENDENCYPART_ARC
(3,22),-1.89326 # DEPENDENCYPART_ARC
(3,23),-2.05888 # DEPENDENCYPART_ARC
(3,24),-3.989 # DEPENDENCYPART_ARC
(3,25),-2.46744 # DEPENDENCYPART_ARC
(3,26),-1.31706 # DEPENDENCYPART_ARC
(3,27),-2.90418 # DEPENDENCYPART_ARC
(3,28),-2.83599 # DEPENDENCYPART_ARC
(3,29),-3.51935 # DEPENDENCYPART_ARC
(3,30),-3.60506 # DEPENDENCYPART_ARC
(3,31),-3.17347 # DEPENDENCYPART_ARC
(3,32),-2.97895 # DEPENDENCYPART_ARC
(3,33),-6.31332 # DEPENDENCYPART_ARC
(3,34),-4.76952 # DEPENDENCYPART_ARC
(3,35),-2.96754 # DEPENDENCYPART_ARC
(3,36),1.85304 # DEPENDENCYPART_ARC
(4,1),-0.805366 # DEPENDENCYPART_ARC
(4,2),-1.44912 # DEPENDENCYPART_ARC
(4,3),-0.284296 # DEPENDENCYPART_ARC
(4,5),4.55006 # DEPENDENCYPART_ARC
(4,6),2.89056 # DEPENDENCYPART_ARC
(4,7),3.09155 # DEPENDENCYPART_ARC
(4,8),0.640729 # DEPENDENCYPART_ARC
(4,9),-2.20781 # DEPENDENCYPART_ARC
(4,10),0.514444 # DEPENDENCYPART_ARC
(4,11),-0.389924 # DEPENDENCYPART_ARC
(4,12),1.25719 # DEPENDENCYPART_ARC
(4,13),-1.90313 # DEPENDENCYPART_ARC
(4,14),0.000806893 # DEPENDENCYPART_ARC
(4,15),-4.19624 # DEPENDENCYPART_ARC
(4,16),-0.891927 # DEPENDENCYPART_ARC
(4,17),-2.76292 # DEPENDENCYPART_ARC
(4,18),-5.45826 # DEPENDENCYPART_ARC
(4,19),0.130822 # DEPENDENCYPART_ARC
(4,20),-0.929515 # DEPENDENCYPART_ARC
(4,21),-2.3551 # DEPENDENCYPART_ARC
(4,22),-3.04565 # DEPENDENCYPART_ARC
(4,23),-8.91901 # DEPENDENCYPART_ARC
(4,24),-3.40532 # DEPENDENCYPART_ARC
(4,25),-9.85182 # DEPENDENCYPART_ARC
(4,26),-0.910272 # DEPENDENCYPART_ARC
(4,27),-11.7861 # DEPENDENCYPART_ARC
(4,28),-0.713918 # DEPENDENCYPART_ARC
(4,29),-2.17144 # DEPENDENCYPART_ARC
(4,30),-13.8561 # DEPENDENCYPART_ARC
(4,31),-2.00282 # DEPENDENCYPART_ARC
(4,32),-2.86144 # DEPENDENCYPART_ARC
(4,33),-3.98989 # DEPENDENCYPART_ARC
(4,34),-15.1713 # DEPENDENCYPART_ARC
(4,35),-5.87676 # DEPENDENCYPART_ARC
(4,36),1.72509 # DEPENDENCYPART_ARC
(5,1),-1.81631 # DEPENDENCYPART_ARC
(5,2),-2.90343 # DEPENDENCYPART_ARC
(5,3),-1.57868 # DEPENDENCYPART_ARC
(5,4),0.511563 # DEPENDENCYPART_ARC
(5,6),0.332881 # DEPENDENCYPART_ARC
(5,7),-0.850622 # DEPENDENCYPART_ARC
(5,8),0.807164 # DEPENDENCYPART_ARC
(5,9),1.33617 # DEPENDENCYPART_ARC
(5,10),-0.797402 # DEPENDENCYPART_ARC
(5,11),0.138229 # DEPENDENCYPART_ARC
(5,12),-0.89196 # DEPENDENCYPART_ARC
(5,13),0.362625 # DEPENDENCYPART_ARC
(5,14),0.79908 # DEPENDENCYPART_ARC
(5,15),0.525659 # DEPENDENCYPART_ARC
(5,16),-0.924237 # DEPENDENCYPART_ARC
(5,17),-2.62059 # DEPENDENCYPART_ARC
(5,18),-0.764888 # DEPENDENCYPART_ARC
(5,19),-1.35472 # DEPENDENCYPART_ARC
(5,20),-1.64164 # DEPENDENCYPART_ARC
(5,21),-1.61867 # DEPENDENCYPART_ARC
(5,22),-2.65386 # DEPENDENCYPART_ARC
(5,23),-2.70991 # DEPENDENCYPART_ARC
(5,24),-3.94421 # DEPENDENCYPART_ARC
(5,25),-2.25018 # DEPENDENCYPART_ARC
(5,26),-1.54089 # DEPENDENCYPART_ARC
(5,27),-2.75799 # DEPENDENCYPART_ARC
(5,28),-3.23727 # DEPENDENCYPART_ARC
(5,29),-3.7333 # DEPENDENCYPART_ARC
(5,30),-3.83833 # DEPENDENCYPART_ARC
(5,31),-4.00322 # DEPENDENCYPART_ARC
(5,32),-3.16506 # DEPENDENCYPART_ARC
(5,33),-6.52127 # DEPENDENCYPART_ARC
(5,34),-4.93759 # DEPENDENCYPART_ARC
(5,35),-3.09253 # DEPENDENCYPART_ARC
(5,36),0.923814 # DEPENDENCYPART_ARC
(6,1),-2.88683 # DEPENDENCYPART_ARC
(6,2),-2.92271 # DEPENDENCYPART_ARC
(6,3),-2.74891 # DEPENDENCYPART_ARC
(6,4),-1.43449 # DEPENDENCYPART_ARC
(6,5),-1.43612 # DEPENDENCYPART_ARC
(6,7),-1.96692 # DEPENDENCYPART_ARC
(6,8),-1.28376 # DEPENDENCYPART_ARC
(6,9),-2.38093 # DEPENDENCYPART_ARC
(6,10),-1.95177 # DEPENDENCYPART_ARC
(6,11),-3.22548 # DEPENDENCYPART_ARC
(6,12),-3.2665 # DEPENDENCYPART_ARC
(6,13),-3.21414 # DEPENDENCYPART_ARC
(6,14),-1.74895 # DEPENDENCYPART_ARC
(6,15),-3.58084 # DEPENDENCYPART_ARC
(6,16),-3.71359 # DEPENDENCYPART_ARC
(6,17),-3.94845 # DEPENDENCYPART_ARC
(6,18),-4.11173 # DEPENDENCYPART_ARC
(6,19),-2.00417 # DEPENDENCYPART_ARC
(6,20),-2.15928 # DEPENDENCYPART_ARC
(6,21),-3.03964 # DEPENDENCYPART_ARC
(6,22),-4.05712 # DEPENDENCYPART_ARC
(6,23),-4.97447 # DEPENDENCYPART_ARC
(6,24),-4.83419 # DEPENDENCYPART_ARC
(6,25),-5.25489 # DEPENDENCYPART_ARC
(6,26),-2.88335 # DEPENDENCYPART_ARC
(6,27),-5.45477 # DEPENDENCYPART_ARC
(6,28),-4.09249 # DEPENDENCYPART_ARC
(6,29),-4.32532 # DEPENDENCYPART_ARC
(6,30),-6.05999 # DEPENDENCYPART_ARC
(6,31),-2.44431 # DEPENDENCYPART_ARC
(6,32),-4.36723 # DEPENDENCYPART_ARC
(6,33),-5.05441 # DEPENDENCYPART_ARC
(6,34),-6.53818 # DEPENDENCYPART_ARC
(6,35),-4.19845 # DEPENDENCYPART_ARC
(6,36),-3.32512 # DEPENDENCYPART_ARC
(7,1),-1.29709 # DEPENDENCYPART_ARC
(7,2),-2.02999 # DEPENDENCYPART_ARC
(7,3),-1.734 # DEPENDENCYPART_ARC
(7,4),-0.709064 # DEPENDENCYPART_ARC
(7,5),-0.570276 # DEPENDENCYPART_ARC
(7,6),0.794546 # DEPENDENCYPART_ARC
(7,8),4.24445 # DEPENDENCYPART_ARC
(7,9),-0.411659 # DEPENDENCYPART_ARC
(7,10),0.933484 # DEPENDENCYPART_ARC
(7,11),-0.353041 # DEPENDENCYPART_ARC
(7,12),0.448414 # DEPENDENCYPART_ARC
(7,13),-0.535014 # DEPENDENCYPART_ARC
(7,14),0.223063 # DEPENDENCYPART_ARC
(7,15),-3.29767 # DEPENDENCYPART_ARC
(7,16),-0.598713 # DEPENDENCYPART_ARC
(7,17),-2.92283 # DEPENDENCYPART_ARC
(7,18),-4.34236 # DEPENDENCYPART_ARC
(7,19),0.333192 # DEPENDENCYPART_ARC
(7,20),-0.668405 # DEPENDENCYPART_ARC
(7,21),-2.36076 # DEPENDENCYPART_ARC
(7,22),-2.60599 # DEPENDENCYPART_ARC
(7,23),-7.90088 # DEPENDENCYPART_ARC
(7,24),-2.91477 # DEPENDENCYPART_ARC
(7,25),-8.70458 # DEPENDENCYPART_ARC
(7,26),-1.04505 # DEPENDENCYPART_ARC
(7,27),-10.678 # DEPENDENCYPART_ARC
(7,28),-0.358603 # DEPENDENCYPART_ARC
(7,29),-1.97191 # DEPENDENCYPART_ARC
(7,30),-12.5137 # DEPENDENCYPART_ARC
(7,31),-1.66898 # DEPENDENCYPART_ARC
(7,32),-2.67262 # DEPENDENCYPART_ARC
(7,33),-3.69961 # DEPENDENCYPART_ARC
(7,34),-13.7616 # DEPENDENCYPART_ARC
(7,35),-5.48209 # DEPENDENCYPART_ARC
(7,36),1.82614 # DEPENDENCYPART_ARC
(8,1),-2.74877 # DEPENDENCYPART_ARC
(8,2),-2.78908 # DEPENDENCYPART_ARC
(8,3),-2.69777 # DEPENDENCYPART_ARC
(8,4),-1.81664 # DEPENDENCYPART_ARC
(8,5),-1.8641 # DEPENDENCYPART_ARC
(8,6),-1.19069 # DEPENDENCYPART_ARC
(8,7),0.00824453 # DEPENDENCYPART_ARC
(8,9),3.45548 # DEPENDENCYPART_ARC
(8,10),0.410431 # DEPENDENCYPART_ARC
(8,11),0.773937 # DEPENDENCYPART_ARC
(8,12),-0.554327 # DEPENDENCYPART_ARC
(8,13),1.0699 # DEPENDENCYPART_ARC
(8,14),2.2303 # DEPENDENCYPART_ARC
(8,15),1.60122 # DEPENDENCYPART_ARC
(8,16),-0.510929 # DEPENDENCYPART_ARC
