# _root_ ' La política ha de ser un projecte ètic i moral , un conjunt de principis i de normes presidida pel sentit comú ' , ha dit .
#goldHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,14,20,21,22,6,6,27,0,27,
#predictedHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,19,20,21,22,14,6,27,0,27,
(0,1),-6.53644 # DEPENDENCYPART_ARC
(0,2),-8.09557 # DEPENDENCYPART_ARC
(0,3),-5.78091 # DEPENDENCYPART_ARC
(0,4),-2.24932 # DEPENDENCYPART_ARC
(0,5),-6.69921 # DEPENDENCYPART_ARC
(0,6),-3.25009 # DEPENDENCYPART_ARC
(0,7),-9.38842 # DEPENDENCYPART_ARC
(0,8),-6.9719 # DEPENDENCYPART_ARC
(0,9),-8.02534 # DEPENDENCYPART_ARC
(0,10),-7.36669 # DEPENDENCYPART_ARC
(0,11),-7.7553 # DEPENDENCYPART_ARC
(0,12),-7.482 # DEPENDENCYPART_ARC
(0,13),-9.32732 # DEPENDENCYPART_ARC
(0,14),-7.06444 # DEPENDENCYPART_ARC
(0,15),-7.53802 # DEPENDENCYPART_ARC
(0,16),-7.34247 # DEPENDENCYPART_ARC
(0,17),-7.28158 # DEPENDENCYPART_ARC
(0,18),-7.69633 # DEPENDENCYPART_ARC
(0,19),-7.26824 # DEPENDENCYPART_ARC
(0,20),-8.11064 # DEPENDENCYPART_ARC
(0,21),-8.36346 # DEPENDENCYPART_ARC
(0,22),-6.67179 # DEPENDENCYPART_ARC
(0,23),-7.84402 # DEPENDENCYPART_ARC
(0,24),-8.06869 # DEPENDENCYPART_ARC
(0,25),-8.46122 # DEPENDENCYPART_ARC
(0,26),-1.8959 # DEPENDENCYPART_ARC
(0,27),0.422152 # DEPENDENCYPART_ARC
(0,28),-8.63772 # DEPENDENCYPART_ARC
(1,2),-0.956084 # DEPENDENCYPART_ARC
(1,3),-0.97387 # DEPENDENCYPART_ARC
(1,4),-0.968193 # DEPENDENCYPART_ARC
(1,5),-1.95942 # DEPENDENCYPART_ARC
(1,6),-1.68766 # DEPENDENCYPART_ARC
(1,7),-2.58437 # DEPENDENCYPART_ARC
(1,8),-2.19357 # DEPENDENCYPART_ARC
(1,9),-2.18842 # DEPENDENCYPART_ARC
(1,10),-1.10789 # DEPENDENCYPART_ARC
(1,11),-2.08528 # DEPENDENCYPART_ARC
(1,12),-1.35442 # DEPENDENCYPART_ARC
(1,13),-2.70508 # DEPENDENCYPART_ARC
(1,14),-2.15954 # DEPENDENCYPART_ARC
(1,15),-2.11685 # DEPENDENCYPART_ARC
(1,16),-2.28249 # DEPENDENCYPART_ARC
(1,17),-1.29112 # DEPENDENCYPART_ARC
(1,18),-2.00722 # DEPENDENCYPART_ARC
(1,19),-2.28029 # DEPENDENCYPART_ARC
(1,20),-2.17867 # DEPENDENCYPART_ARC
(1,21),-2.06049 # DEPENDENCYPART_ARC
(1,22),-2.44962 # DEPENDENCYPART_ARC
(1,23),-2.34377 # DEPENDENCYPART_ARC
(1,24),-1.52966 # DEPENDENCYPART_ARC
(1,25),-2.15608 # DEPENDENCYPART_ARC
(1,26),-2.11695 # DEPENDENCYPART_ARC
(1,27),-2.16846 # DEPENDENCYPART_ARC
(1,28),-1.96733 # DEPENDENCYPART_ARC
(2,1),0.552442 # DEPENDENCYPART_ARC
(2,3),1.0196 # DEPENDENCYPART_ARC
(2,4),-1.05164 # DEPENDENCYPART_ARC
(2,5),-1.122 # DEPENDENCYPART_ARC
(2,6),-1.85101 # DEPENDENCYPART_ARC
(2,7),-1.4676 # DEPENDENCYPART_ARC
(2,8),-3.59555 # DEPENDENCYPART_ARC
(2,9),-4.23372 # DEPENDENCYPART_ARC
(2,10),-2.58565 # DEPENDENCYPART_ARC
(2,11),-3.34332 # DEPENDENCYPART_ARC
(2,12),-2.62482 # DEPENDENCYPART_ARC
(2,13),-3.20058 # DEPENDENCYPART_ARC
(2,14),-3.91229 # DEPENDENCYPART_ARC
(2,15),-3.01869 # DEPENDENCYPART_ARC
(2,16),-5.06914 # DEPENDENCYPART_ARC
(2,17),-3.5235 # DEPENDENCYPART_ARC
(2,18),-3.40361 # DEPENDENCYPART_ARC
(2,19),-4.65454 # DEPENDENCYPART_ARC
(2,20),-3.96244 # DEPENDENCYPART_ARC
(2,21),-4.94685 # DEPENDENCYPART_ARC
(2,22),-5.26222 # DEPENDENCYPART_ARC
(2,23),-4.73129 # DEPENDENCYPART_ARC
(2,24),-3.62887 # DEPENDENCYPART_ARC
(2,25),-4.40931 # DEPENDENCYPART_ARC
(2,26),-4.24997 # DEPENDENCYPART_ARC
(2,27),-4.20378 # DEPENDENCYPART_ARC
(2,28),-3.97072 # DEPENDENCYPART_ARC
(3,1),1.3775 # DEPENDENCYPART_ARC
(3,2),5.17517 # DEPENDENCYPART_ARC
(3,4),0.0410154 # DEPENDENCYPART_ARC
(3,5),-0.992759 # DEPENDENCYPART_ARC
(3,6),-0.830151 # DEPENDENCYPART_ARC
(3,7),-2.8931 # DEPENDENCYPART_ARC
(3,8),-1.9822 # DEPENDENCYPART_ARC
(3,9),-2.32327 # DEPENDENCYPART_ARC
(3,10),-1.86467 # DEPENDENCYPART_ARC
(3,11),-1.56947 # DEPENDENCYPART_ARC
(3,12),-1.81844 # DEPENDENCYPART_ARC
(3,13),-2.88983 # DEPENDENCYPART_ARC
(3,14),-2.15138 # DEPENDENCYPART_ARC
(3,15),-2.30125 # DEPENDENCYPART_ARC
(3,16),-2.46703 # DEPENDENCYPART_ARC
(3,17),-3.17609 # DEPENDENCYPART_ARC
(3,18),-4.36889 # DEPENDENCYPART_ARC
(3,19),-3.06788 # DEPENDENCYPART_ARC
(3,20),-0.2384 # DEPENDENCYPART_ARC
(3,21),-2.92756 # DEPENDENCYPART_ARC
(3,22),-3.39831 # DEPENDENCYPART_ARC
(3,23),-3.3625 # DEPENDENCYPART_ARC
(3,24),-1.517 # DEPENDENCYPART_ARC
(3,25),-3.60699 # DEPENDENCYPART_ARC
(3,26),-4.68164 # DEPENDENCYPART_ARC
(3,27),-4.94604 # DEPENDENCYPART_ARC
(3,28),-0.799474 # DEPENDENCYPART_ARC
(4,1),1.99377 # DEPENDENCYPART_ARC
(4,2),-0.352229 # DEPENDENCYPART_ARC
(4,3),1.1842 # DEPENDENCYPART_ARC
(4,5),0.745225 # DEPENDENCYPART_ARC
(4,6),-0.199153 # DEPENDENCYPART_ARC
(4,7),-3.81478 # DEPENDENCYPART_ARC
(4,8),1.03375 # DEPENDENCYPART_ARC
(4,9),-1.0892 # DEPENDENCYPART_ARC
(4,10),-0.101465 # DEPENDENCYPART_ARC
(4,11),-1.14881 # DEPENDENCYPART_ARC
(4,12),-0.363781 # DEPENDENCYPART_ARC
(4,13),-4.01537 # DEPENDENCYPART_ARC
(4,14),-0.980317 # DEPENDENCYPART_ARC
(4,15),-2.63977 # DEPENDENCYPART_ARC
(4,16),-2.44473 # DEPENDENCYPART_ARC
(4,17),-0.432703 # DEPENDENCYPART_ARC
(4,18),-3.96414 # DEPENDENCYPART_ARC
(4,19),-3.7034 # DEPENDENCYPART_ARC
(4,20),-1.10925 # DEPENDENCYPART_ARC
(4,21),-1.92095 # DEPENDENCYPART_ARC
(4,22),-4.00803 # DEPENDENCYPART_ARC
(4,23),-2.42845 # DEPENDENCYPART_ARC
(4,24),-0.10175 # DEPENDENCYPART_ARC
(4,25),-0.156312 # DEPENDENCYPART_ARC
(4,26),0.137936 # DEPENDENCYPART_ARC
(4,27),-0.771806 # DEPENDENCYPART_ARC
(4,28),2.61049 # DEPENDENCYPART_ARC
(5,1),-2.14794 # DEPENDENCYPART_ARC
(5,2),-0.803209 # DEPENDENCYPART_ARC
(5,3),-1.53786 # DEPENDENCYPART_ARC
(5,4),0.166052 # DEPENDENCYPART_ARC
(5,6),3.08384 # DEPENDENCYPART_ARC
(5,7),-0.937083 # DEPENDENCYPART_ARC
(5,8),0.529449 # DEPENDENCYPART_ARC
(5,9),-0.895884 # DEPENDENCYPART_ARC
(5,10),-0.245809 # DEPENDENCYPART_ARC
(5,11),-0.859599 # DEPENDENCYPART_ARC
(5,12),-0.163646 # DEPENDENCYPART_ARC
(5,13),-2.41912 # DEPENDENCYPART_ARC
(5,14),-3.73797 # DEPENDENCYPART_ARC
(5,15),-0.567927 # DEPENDENCYPART_ARC
(5,16),-4.14551 # DEPENDENCYPART_ARC
(5,17),0.565815 # DEPENDENCYPART_ARC
(5,18),-0.110111 # DEPENDENCYPART_ARC
(5,19),-5.64487 # DEPENDENCYPART_ARC
(5,20),-2.24842 # DEPENDENCYPART_ARC
(5,21),-1.75025 # DEPENDENCYPART_ARC
(5,22),-7.39694 # DEPENDENCYPART_ARC
(5,23),-3.59658 # DEPENDENCYPART_ARC
(5,24),-0.147526 # DEPENDENCYPART_ARC
(5,25),-0.829016 # DEPENDENCYPART_ARC
(5,26),-3.27035 # DEPENDENCYPART_ARC
(5,27),-2.33951 # DEPENDENCYPART_ARC
(5,28),0.434519 # DEPENDENCYPART_ARC
(6,1),2.8572 # DEPENDENCYPART_ARC
(6,2),1.68747 # DEPENDENCYPART_ARC
(6,3),2.77093 # DEPENDENCYPART_ARC
(6,4),5.65507 # DEPENDENCYPART_ARC
(6,5),4.20123 # DEPENDENCYPART_ARC
(6,7),-0.562814 # DEPENDENCYPART_ARC
(6,8),4.06356 # DEPENDENCYPART_ARC
(6,9),0.872769 # DEPENDENCYPART_ARC
(6,10),1.20911 # DEPENDENCYPART_ARC
(6,11),0.788202 # DEPENDENCYPART_ARC
(6,12),1.23507 # DEPENDENCYPART_ARC
(6,13),-1.99798 # DEPENDENCYPART_ARC
(6,14),0.439558 # DEPENDENCYPART_ARC
(6,15),-0.255519 # DEPENDENCYPART_ARC
(6,16),0.279763 # DEPENDENCYPART_ARC
(6,17),0.855056 # DEPENDENCYPART_ARC
(6,18),-2.19674 # DEPENDENCYPART_ARC
(6,19),-0.635333 # DEPENDENCYPART_ARC
