# _root_ Una persona va morir a Barcelona i una altra a Tarragona , sense que hagi transcendit en quin hospital , perquè encara no s' ha formalitzat la denúncia .
#goldHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
#predictedHeads=2,4,4,0,4,5,6,9,6,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,13,28,26,4,
(0,1),-8.00336 # DEPENDENCYPART_ARC
(0,2),-6.27564 # DEPENDENCYPART_ARC
(0,3),-1.71785 # DEPENDENCYPART_ARC
(0,4),-2.61101 # DEPENDENCYPART_ARC
(0,5),-7.43807 # DEPENDENCYPART_ARC
(0,6),-7.54865 # DEPENDENCYPART_ARC
(0,7),-7.45094 # DEPENDENCYPART_ARC
(0,8),-9.47937 # DEPENDENCYPART_ARC
(0,9),-7.02615 # DEPENDENCYPART_ARC
(0,10),-8.04683 # DEPENDENCYPART_ARC
(0,11),-7.47011 # DEPENDENCYPART_ARC
(0,12),-7.84158 # DEPENDENCYPART_ARC
(0,13),-7.1888 # DEPENDENCYPART_ARC
(0,14),-7.28288 # DEPENDENCYPART_ARC
(0,15),-6.79044 # DEPENDENCYPART_ARC
(0,16),-3.62759 # DEPENDENCYPART_ARC
(0,17),-7.56027 # DEPENDENCYPART_ARC
(0,18),-9.77992 # DEPENDENCYPART_ARC
(0,19),-7.24998 # DEPENDENCYPART_ARC
(0,20),-8.25651 # DEPENDENCYPART_ARC
(0,21),-7.62103 # DEPENDENCYPART_ARC
(0,22),-8.34126 # DEPENDENCYPART_ARC
(0,23),-8.28889 # DEPENDENCYPART_ARC
(0,24),-6.71708 # DEPENDENCYPART_ARC
(0,25),-5.65147 # DEPENDENCYPART_ARC
(0,26),-6.05507 # DEPENDENCYPART_ARC
(0,27),-10.269 # DEPENDENCYPART_ARC
(0,28),-7.43167 # DEPENDENCYPART_ARC
(0,29),-9.12504 # DEPENDENCYPART_ARC
(1,2),1.97041 # DEPENDENCYPART_ARC
(1,3),-0.410526 # DEPENDENCYPART_ARC
(1,4),-0.932849 # DEPENDENCYPART_ARC
(1,5),-1.56636 # DEPENDENCYPART_ARC
(1,6),-1.84832 # DEPENDENCYPART_ARC
(1,7),-1.53379 # DEPENDENCYPART_ARC
(1,8),-1.96658 # DEPENDENCYPART_ARC
(1,9),-1.24554 # DEPENDENCYPART_ARC
(1,10),-3.29263 # DEPENDENCYPART_ARC
(1,11),-3.17811 # DEPENDENCYPART_ARC
(1,12),-2.53974 # DEPENDENCYPART_ARC
(1,13),-4.15203 # DEPENDENCYPART_ARC
(1,14),-1.9363 # DEPENDENCYPART_ARC
(1,15),-2.58543 # DEPENDENCYPART_ARC
(1,16),-2.8116 # DEPENDENCYPART_ARC
(1,17),-5.54044 # DEPENDENCYPART_ARC
(1,18),-3.93511 # DEPENDENCYPART_ARC
(1,19),-4.19295 # DEPENDENCYPART_ARC
(1,20),-3.00187 # DEPENDENCYPART_ARC
(1,21),-2.41744 # DEPENDENCYPART_ARC
(1,22),-2.53642 # DEPENDENCYPART_ARC
(1,23),-2.53372 # DEPENDENCYPART_ARC
(1,24),-2.94492 # DEPENDENCYPART_ARC
(1,25),-3.26661 # DEPENDENCYPART_ARC
(1,26),-3.45326 # DEPENDENCYPART_ARC
(1,27),-5.51346 # DEPENDENCYPART_ARC
(1,28),-4.42278 # DEPENDENCYPART_ARC
(1,29),-3.70266 # DEPENDENCYPART_ARC
(2,1),4.90823 # DEPENDENCYPART_ARC
(2,3),0.970156 # DEPENDENCYPART_ARC
(2,4),0.06292 # DEPENDENCYPART_ARC
(2,5),-0.599831 # DEPENDENCYPART_ARC
(2,6),-1.17502 # DEPENDENCYPART_ARC
(2,7),-0.268149 # DEPENDENCYPART_ARC
(2,8),-1.78215 # DEPENDENCYPART_ARC
(2,9),-0.72965 # DEPENDENCYPART_ARC
(2,10),-1.12924 # DEPENDENCYPART_ARC
(2,11),-0.99164 # DEPENDENCYPART_ARC
(2,12),-1.15017 # DEPENDENCYPART_ARC
(2,13),-1.25757 # DEPENDENCYPART_ARC
(2,14),-3.8439 # DEPENDENCYPART_ARC
(2,15),-3.89807 # DEPENDENCYPART_ARC
(2,16),-3.83616 # DEPENDENCYPART_ARC
(2,17),-2.81953 # DEPENDENCYPART_ARC
(2,18),-3.27083 # DEPENDENCYPART_ARC
(2,19),-2.18527 # DEPENDENCYPART_ARC
(2,20),-2.00326 # DEPENDENCYPART_ARC
(2,21),-3.69967 # DEPENDENCYPART_ARC
