# _root_ La construcció d' un edifici de Presidència a les cases Moxó i Morell , de les quals només es conservaran les façanes , haurà de respectar in_situ les restes .
#goldHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,22,17,15,20,20,10,22,20,20,26,26,0,26,29,26,26,
#predictedHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,5,17,15,20,20,26,22,20,20,26,26,0,26,29,26,26,
(0,1),-8.13354 # DEPENDENCYPART_ARC
(0,2),-6.92665 # DEPENDENCYPART_ARC
(0,3),-7.54475 # DEPENDENCYPART_ARC
(0,4),-9.25338 # DEPENDENCYPART_ARC
(0,5),-7.82561 # DEPENDENCYPART_ARC
(0,6),-8.02292 # DEPENDENCYPART_ARC
(0,7),-7.88508 # DEPENDENCYPART_ARC
(0,8),-8.67841 # DEPENDENCYPART_ARC
(0,9),-9.08695 # DEPENDENCYPART_ARC
(0,10),-7.84443 # DEPENDENCYPART_ARC
(0,11),-8.07505 # DEPENDENCYPART_ARC
(0,12),-7.59941 # DEPENDENCYPART_ARC
(0,13),-7.7285 # DEPENDENCYPART_ARC
(0,14),-8.01897 # DEPENDENCYPART_ARC
(0,15),-8.85617 # DEPENDENCYPART_ARC
(0,16),-8.94501 # DEPENDENCYPART_ARC
(0,17),-6.03303 # DEPENDENCYPART_ARC
(0,18),-8.00048 # DEPENDENCYPART_ARC
(0,19),-6.01332 # DEPENDENCYPART_ARC
(0,20),-4.31979 # DEPENDENCYPART_ARC
(0,21),-9.61148 # DEPENDENCYPART_ARC
(0,22),-8.25971 # DEPENDENCYPART_ARC
(0,23),-8.85016 # DEPENDENCYPART_ARC
(0,24),-5.19627 # DEPENDENCYPART_ARC
(0,25),-9.48642 # DEPENDENCYPART_ARC
(0,26),-5.31673 # DEPENDENCYPART_ARC
(0,27),-9.06742 # DEPENDENCYPART_ARC
(0,28),-10.0135 # DEPENDENCYPART_ARC
(0,29),-8.53278 # DEPENDENCYPART_ARC
(0,30),-9.43975 # DEPENDENCYPART_ARC
(1,2),2.04604 # DEPENDENCYPART_ARC
(1,3),0.405158 # DEPENDENCYPART_ARC
(1,4),0.536321 # DEPENDENCYPART_ARC
(1,5),-1.40831 # DEPENDENCYPART_ARC
(1,6),-0.12021 # DEPENDENCYPART_ARC
(1,7),-2.30232 # DEPENDENCYPART_ARC
(1,8),-2.94947 # DEPENDENCYPART_ARC
(1,9),0.309161 # DEPENDENCYPART_ARC
(1,10),-3.13309 # DEPENDENCYPART_ARC
(1,11),-3.47363 # DEPENDENCYPART_ARC
(1,12),-2.81288 # DEPENDENCYPART_ARC
(1,13),-3.84786 # DEPENDENCYPART_ARC
(1,14),-3.38861 # DEPENDENCYPART_ARC
(1,15),-2.5303 # DEPENDENCYPART_ARC
(1,16),-1.06128 # DEPENDENCYPART_ARC
(1,17),-2.41037 # DEPENDENCYPART_ARC
(1,18),-2.33911 # DEPENDENCYPART_ARC
