# _root_ En_total s' hauran de fer dues voltes , tres o quatre , depenent de la categoria .
#goldHeads=5,5,5,5,0,7,5,7,7,7,7,13,5,13,16,14,5,
#predictedHeads=5,5,5,5,0,7,5,9,13,9,9,13,7,13,16,14,5,
(0,1),-6.48257 # DEPENDENCYPART_ARC
(0,3),-2.91136 # DEPENDENCYPART_ARC
(0,4),-6.55477 # DEPENDENCYPART_ARC
(0,5),-4.38315 # DEPENDENCYPART_ARC
(0,7),-6.44762 # DEPENDENCYPART_ARC
(0,9),-7.30037 # DEPENDENCYPART_ARC
(0,11),-7.03075 # DEPENDENCYPART_ARC
(0,13),-6.53691 # DEPENDENCYPART_ARC
(0,14),-7.06027 # DEPENDENCYPART_ARC
(0,16),-6.29024 # DEPENDENCYPART_ARC
(1,3),-0.343352 # DEPENDENCYPART_ARC
(1,4),-1.96274 # DEPENDENCYPART_ARC
(1,5),-1.77479 # DEPENDENCYPART_ARC
(1,6),-2.61718 # DEPENDENCYPART_ARC
(1,7),-2.68319 # DEPENDENCYPART_ARC
(1,8),-0.559455 # DEPENDENCYPART_ARC
(1,9),-2.38909 # DEPENDENCYPART_ARC
(1,10),-1.59036 # DEPENDENCYPART_ARC
(1,11),-2.1097 # DEPENDENCYPART_ARC
(1,12),-0.822888 # DEPENDENCYPART_ARC
(1,13),-2.81384 # DEPENDENCYPART_ARC
(1,14),-3.36642 # DEPENDENCYPART_ARC
(1,15),-3.30722 # DEPENDENCYPART_ARC
(1,16),-3.34747 # DEPENDENCYPART_ARC
(1,17),-0.66832 # DEPENDENCYPART_ARC
(3,1),0.765996 # DEPENDENCYPART_ARC
(3,2),2.2865 # DEPENDENCYPART_ARC
(3,4),1.3608 # DEPENDENCYPART_ARC
(3,5),-0.0983265 # DEPENDENCYPART_ARC
(3,7),0.874057 # DEPENDENCYPART_ARC
(3,8),-0.765471 # DEPENDENCYPART_ARC
(3,9),-1.42037 # DEPENDENCYPART_ARC
(3,10),0.0563778 # DEPENDENCYPART_ARC
(3,11),-1.85931 # DEPENDENCYPART_ARC
(3,12),-0.251325 # DEPENDENCYPART_ARC
(3,13),-0.43179 # DEPENDENCYPART_ARC
(3,14),-2.29838 # DEPENDENCYPART_ARC
(3,15),-5.29879 # DEPENDENCYPART_ARC
(3,16),-2.16397 # DEPENDENCYPART_ARC
(3,17),2.37208 # DEPENDENCYPART_ARC
(4,1),-1.30621 # DEPENDENCYPART_ARC
(4,2),-1.09242 # DEPENDENCYPART_ARC
(4,3),-0.139995 # DEPENDENCYPART_ARC
(4,5),2.73123 # DEPENDENCYPART_ARC
(4,6),-0.897859 # DEPENDENCYPART_ARC
(4,7),1.28912 # DEPENDENCYPART_ARC
(4,8),-0.404487 # DEPENDENCYPART_ARC
(4,9),-1.79432 # DEPENDENCYPART_ARC
(4,10),-0.109219 # DEPENDENCYPART_ARC
(4,11),-2.39139 # DEPENDENCYPART_ARC
(4,12),0.0473523 # DEPENDENCYPART_ARC
(4,13),0.0532111 # DEPENDENCYPART_ARC
(4,14),-0.780608 # DEPENDENCYPART_ARC
(4,15),-3.08252 # DEPENDENCYPART_ARC
(4,16),-4.62663 # DEPENDENCYPART_ARC
(4,17),-0.199431 # DEPENDENCYPART_ARC
(5,1),3.13511 # DEPENDENCYPART_ARC
(5,2),4.49927 # DEPENDENCYPART_ARC
(5,3),5.15458 # DEPENDENCYPART_ARC
(5,4),4.76031 # DEPENDENCYPART_ARC
(5,7),4.64944 # DEPENDENCYPART_ARC
(5,8),0.789197 # DEPENDENCYPART_ARC
(5,9),0.210216 # DEPENDENCYPART_ARC
(5,10),1.41875 # DEPENDENCYPART_ARC
(5,11),-0.163992 # DEPENDENCYPART_ARC
(5,12),0.859293 # DEPENDENCYPART_ARC
(5,13),1.62732 # DEPENDENCYPART_ARC
(5,14),-0.475427 # DEPENDENCYPART_ARC
(5,15),-2.63728 # DEPENDENCYPART_ARC
(5,16),0.0831213 # DEPENDENCYPART_ARC
(5,17),3.65683 # DEPENDENCYPART_ARC
(6,1),-0.345404 # DEPENDENCYPART_ARC
(6,4),0.00600235 # DEPENDENCYPART_ARC
(6,5),1.13518 # DEPENDENCYPART_ARC
(6,7),0.91065 # DEPENDENCYPART_ARC
(6,10),-0.757099 # DEPENDENCYPART_ARC
(6,13),-0.977385 # DEPENDENCYPART_ARC
(6,14),-2.8764 # DEPENDENCYPART_ARC
(6,16),-3.06086 # DEPENDENCYPART_ARC
(7,1),-0.893188 # DEPENDENCYPART_ARC
(7,3),-0.312845 # DEPENDENCYPART_ARC
(7,4),-0.199526 # DEPENDENCYPART_ARC
(7,5),1.32783 # DEPENDENCYPART_ARC
(7,6),4.46723 # DEPENDENCYPART_ARC
(7,8),-0.0460878 # DEPENDENCYPART_ARC
(7,9),1.32043 # DEPENDENCYPART_ARC
(7,10),1.01407 # DEPENDENCYPART_ARC
(7,11),0.870768 # DEPENDENCYPART_ARC
(7,12),-0.216483 # DEPENDENCYPART_ARC
(7,13),1.67292 # DEPENDENCYPART_ARC
(7,14),-0.399862 # DEPENDENCYPART_ARC
(7,15),-2.51319 # DEPENDENCYPART_ARC
(7,16),0.214622 # DEPENDENCYPART_ARC
(7,17),1.81563 # DEPENDENCYPART_ARC
(8,7),-1.49182 # DEPENDENCYPART_ARC
(8,12),-1.01911 # DEPENDENCYPART_ARC
(8,16),-2.26265 # DEPENDENCYPART_ARC
(9,1),-0.642473 # DEPENDENCYPART_ARC
(9,4),0.658244 # DEPENDENCYPART_ARC
(9,5),-0.674651 # DEPENDENCYPART_ARC
(9,7),0.123414 # DEPENDENCYPART_ARC
(9,8),2.09518 # DEPENDENCYPART_ARC
(9,10),2.17421 # DEPENDENCYPART_ARC
(9,11),3.02001 # DEPENDENCYPART_ARC
(9,12),1.6463 # DEPENDENCYPART_ARC
(9,13),1.55992 # DEPENDENCYPART_ARC
(9,14),0.533598 # DEPENDENCYPART_ARC
(9,15),-1.6999 # DEPENDENCYPART_ARC
(9,16),-0.208829 # DEPENDENCYPART_ARC
(9,17),1.8189 # DEPENDENCYPART_ARC
(10,8),-0.946203 # DEPENDENCYPART_ARC
(10,12),-0.0636699 # DEPENDENCYPART_ARC
(11,1),-1.11668 # DEPENDENCYPART_ARC
(11,4),0.242854 # DEPENDENCYPART_ARC
(11,5),-1.35954 # DEPENDENCYPART_ARC
(11,7),-0.894564 # DEPENDENCYPART_ARC
(11,8),-0.0972862 # DEPENDENCYPART_ARC
(11,9),0.215179 # DEPENDENCYPART_ARC
(11,10),1.38362 # DEPENDENCYPART_ARC
(11,12),0.542195 # DEPENDENCYPART_ARC
(11,13),1.13312 # DEPENDENCYPART_ARC
(11,14),0.641015 # DEPENDENCYPART_ARC
(11,15),-1.85942 # DEPENDENCYPART_ARC
(11,16),-0.428511 # DEPENDENCYPART_ARC
(11,17),0.705339 # DEPENDENCYPART_ARC
(12,7),-2.72084 # DEPENDENCYPART_ARC
(12,8),-1.2404 # DEPENDENCYPART_ARC
(12,16),-1.96311 # DEPENDENCYPART_ARC
(13,1),0.521698 # DEPENDENCYPART_ARC
(13,2),0.677443 # DEPENDENCYPART_ARC
(13,3),0.801889 # DEPENDENCYPART_ARC
(13,4),-1.34131 # DEPENDENCYPART_ARC
(13,5),-0.385234 # DEPENDENCYPART_ARC
(13,7),0.0745583 # DEPENDENCYPART_ARC
(13,8),0.629272 # DEPENDENCYPART_ARC
(13,9),1.44313 # DEPENDENCYPART_ARC
(13,10),0.981513 # DEPENDENCYPART_ARC
(13,11),2.93212 # DEPENDENCYPART_ARC
(13,12),2.01777 # DEPENDENCYPART_ARC
(13,14),2.46807 # DEPENDENCYPART_ARC
(13,15),-0.691181 # DEPENDENCYPART_ARC
(13,16),2.62367 # DEPENDENCYPART_ARC
(13,17),2.96911 # DEPENDENCYPART_ARC
(14,1),-3.14647 # DEPENDENCYPART_ARC
(14,2),-2.91512 # DEPENDENCYPART_ARC
(14,3),-3.31195 # DEPENDENCYPART_ARC
(14,4),-2.3306 # DEPENDENCYPART_ARC
(14,5),-2.75196 # DEPENDENCYPART_ARC
(14,6),-2.04623 # DEPENDENCYPART_ARC
(14,7),-3.02362 # DEPENDENCYPART_ARC
(14,8),-2.81703 # DEPENDENCYPART_ARC
(14,9),-2.65543 # DEPENDENCYPART_ARC
(14,10),-1.36639 # DEPENDENCYPART_ARC
(14,11),-2.37809 # DEPENDENCYPART_ARC
(14,12),-0.785241 # DEPENDENCYPART_ARC
(14,13),0.102527 # DEPENDENCYPART_ARC
(14,15),-0.0023874 # DEPENDENCYPART_ARC
(14,16),4.94005 # DEPENDENCYPART_ARC
(14,17),0.121294 # DEPENDENCYPART_ARC
(15,1),-2.40946 # DEPENDENCYPART_ARC
(15,4),-2.39217 # DEPENDENCYPART_ARC
(15,6),-2.32804 # DEPENDENCYPART_ARC
(15,7),-2.49659 # DEPENDENCYPART_ARC
(15,10),-1.44081 # DEPENDENCYPART_ARC
(15,14),0.284696 # DEPENDENCYPART_ARC
(15,16),0.558117 # DEPENDENCYPART_ARC
(16,1),-2.3144 # DEPENDENCYPART_ARC
(16,3),-2.83473 # DEPENDENCYPART_ARC
(16,4),-1.38224 # DEPENDENCYPART_ARC
(16,5),-0.671747 # DEPENDENCYPART_ARC
(16,6),-3.37785 # DEPENDENCYPART_ARC
(16,7),-2.05068 # DEPENDENCYPART_ARC
(16,8),-1.61509 # DEPENDENCYPART_ARC
(16,9),-2.64366 # DEPENDENCYPART_ARC
(16,10),-1.30528 # DEPENDENCYPART_ARC
(16,11),-2.37416 # DEPENDENCYPART_ARC
(16,12),-0.331305 # DEPENDENCYPART_ARC
(16,13),-0.518896 # DEPENDENCYPART_ARC
(16,14),0.388566 # DEPENDENCYPART_ARC
(16,15),4.6865 # DEPENDENCYPART_ARC
(16,17),0.220014 # DEPENDENCYPART_ARC
(17,10),-2.20461 # DEPENDENCYPART_ARC
