# _root_ Que no critiquin tant els altres , no fos que s' enganxin els dits , i que siguin una_mica més constructius .
#goldHeads=3,3,0,3,6,3,9,9,3,12,12,9,14,12,9,3,18,3,21,19,18,3,
#predictedHeads=3,3,0,3,6,9,9,9,3,12,12,9,14,12,12,12,18,9,21,21,18,3,
(0,1),-6.35949 # DEPENDENCYPART_ARC
(0,2),-6.34194 # DEPENDENCYPART_ARC
(0,3),-5.21508 # DEPENDENCYPART_ARC
(0,4),-7.03982 # DEPENDENCYPART_ARC
(0,5),-8.56873 # DEPENDENCYPART_ARC
(0,6),-6.68605 # DEPENDENCYPART_ARC
(0,7),-7.11293 # DEPENDENCYPART_ARC
(0,8),-7.05463 # DEPENDENCYPART_ARC
(0,9),-5.25951 # DEPENDENCYPART_ARC
(0,10),-7.02672 # DEPENDENCYPART_ARC
(0,11),-6.713 # DEPENDENCYPART_ARC
(0,12),-7.06428 # DEPENDENCYPART_ARC
(0,13),-8.9917 # DEPENDENCYPART_ARC
(0,14),-6.79684 # DEPENDENCYPART_ARC
(0,15),-7.57027 # DEPENDENCYPART_ARC
(0,16),-7.39834 # DEPENDENCYPART_ARC
(0,17),-6.91616 # DEPENDENCYPART_ARC
(0,18),-9.18144 # DEPENDENCYPART_ARC
(0,19),-7.23164 # DEPENDENCYPART_ARC
(0,20),-7.06019 # DEPENDENCYPART_ARC
(0,21),-7.70701 # DEPENDENCYPART_ARC
(0,22),-7.8632 # DEPENDENCYPART_ARC
(1,2),-0.810992 # DEPENDENCYPART_ARC
(1,3),0.100699 # DEPENDENCYPART_ARC
(1,4),-1.957 # DEPENDENCYPART_ARC
(1,5),-2.4821 # DEPENDENCYPART_ARC
(1,6),-1.9865 # DEPENDENCYPART_ARC
(1,7),-0.419545 # DEPENDENCYPART_ARC
(1,8),-2.55368 # DEPENDENCYPART_ARC
(1,9),-1.47307 # DEPENDENCYPART_ARC
(1,10),-0.692805 # DEPENDENCYPART_ARC
(1,11),-2.43643 # DEPENDENCYPART_ARC
(1,12),-1.50655 # DEPENDENCYPART_ARC
(1,13),-3.23991 # DEPENDENCYPART_ARC
(1,14),-3.48043 # DEPENDENCYPART_ARC
(1,15),-0.518725 # DEPENDENCYPART_ARC
(1,16),-1.03376 # DEPENDENCYPART_ARC
(1,17),-0.733302 # DEPENDENCYPART_ARC
(1,18),-1.63109 # DEPENDENCYPART_ARC
(1,19),-2.66758 # DEPENDENCYPART_ARC
(1,20),-2.49459 # DEPENDENCYPART_ARC
(1,21),-1.88437 # DEPENDENCYPART_ARC
(1,22),-0.848698 # DEPENDENCYPART_ARC
(2,1),0.328616 # DEPENDENCYPART_ARC
(2,3),1.25845 # DEPENDENCYPART_ARC
(2,4),-0.477802 # DEPENDENCYPART_ARC
(2,5),-1.19835 # DEPENDENCYPART_ARC
(2,6),-1.03122 # DEPENDENCYPART_ARC
(2,7),0.0188964 # DEPENDENCYPART_ARC
(2,8),-1.65703 # DEPENDENCYPART_ARC
(2,9),-1.01449 # DEPENDENCYPART_ARC
(2,10),-1.34423 # DEPENDENCYPART_ARC
(2,11),-1.40989 # DEPENDENCYPART_ARC
(2,12),-1.29069 # DEPENDENCYPART_ARC
(2,13),-1.86102 # DEPENDENCYPART_ARC
(2,14),-1.75946 # DEPENDENCYPART_ARC
(2,15),-0.680116 # DEPENDENCYPART_ARC
(2,16),-0.805099 # DEPENDENCYPART_ARC
(2,17),-1.83032 # DEPENDENCYPART_ARC
(2,18),-1.7647 # DEPENDENCYPART_ARC
(2,19),-1.47937 # DEPENDENCYPART_ARC
(2,20),-1.14269 # DEPENDENCYPART_ARC
(2,21),-1.62512 # DEPENDENCYPART_ARC
(2,22),2.90763 # DEPENDENCYPART_ARC
(3,1),4.66569 # DEPENDENCYPART_ARC
(3,2),3.78168 # DEPENDENCYPART_ARC
(3,4),1.99173 # DEPENDENCYPART_ARC
(3,5),-1.30858 # DEPENDENCYPART_ARC
(3,6),1.19214 # DEPENDENCYPART_ARC
(3,7),1.18133 # DEPENDENCYPART_ARC
(3,8),-0.133139 # DEPENDENCYPART_ARC
(3,9),1.88932 # DEPENDENCYPART_ARC
(3,10),-0.631862 # DEPENDENCYPART_ARC
(3,11),-0.675195 # DEPENDENCYPART_ARC
(3,12),1.88793 # DEPENDENCYPART_ARC
(3,13),-3.16189 # DEPENDENCYPART_ARC
(3,14),-0.234999 # DEPENDENCYPART_ARC
(3,15),0.874451 # DEPENDENCYPART_ARC
(3,16),1.94186 # DEPENDENCYPART_ARC
(3,17),-1.21097 # DEPENDENCYPART_ARC
(3,18),1.37788 # DEPENDENCYPART_ARC
(3,19),-2.31342 # DEPENDENCYPART_ARC
(3,20),-2.71135 # DEPENDENCYPART_ARC
(3,21),0.293473 # DEPENDENCYPART_ARC
(3,22),6.27189 # DEPENDENCYPART_ARC
(4,1),-1.6127 # DEPENDENCYPART_ARC
(4,2),-1.16404 # DEPENDENCYPART_ARC
(4,3),0.0185673 # DEPENDENCYPART_ARC
(4,5),0.675165 # DEPENDENCYPART_ARC
(4,6),0.478656 # DEPENDENCYPART_ARC
(4,7),0.30965 # DEPENDENCYPART_ARC
(4,8),-0.669809 # DEPENDENCYPART_ARC
(4,9),0.286022 # DEPENDENCYPART_ARC
(4,10),-0.79229 # DEPENDENCYPART_ARC
(4,11),-1.08836 # DEPENDENCYPART_ARC
(4,12),-0.161007 # DEPENDENCYPART_ARC
(4,13),-1.62941 # DEPENDENCYPART_ARC
(4,14),-1.29802 # DEPENDENCYPART_ARC
(4,15),-0.396362 # DEPENDENCYPART_ARC
(4,16),-0.553356 # DEPENDENCYPART_ARC
(4,17),-1.48491 # DEPENDENCYPART_ARC
(4,18),-0.499419 # DEPENDENCYPART_ARC
(4,19),-1.00298 # DEPENDENCYPART_ARC
(4,20),-0.294929 # DEPENDENCYPART_ARC
(4,21),-1.60733 # DEPENDENCYPART_ARC
(4,22),3.7112 # DEPENDENCYPART_ARC
(5,1),-0.653948 # DEPENDENCYPART_ARC
(5,2),-0.426138 # DEPENDENCYPART_ARC
(5,3),0.1074 # DEPENDENCYPART_ARC
(5,4),1.07446 # DEPENDENCYPART_ARC
(5,6),2.01298 # DEPENDENCYPART_ARC
(5,7),0.68758 # DEPENDENCYPART_ARC
(5,8),0.119148 # DEPENDENCYPART_ARC
(5,9),-0.661644 # DEPENDENCYPART_ARC
(5,10),0.0659852 # DEPENDENCYPART_ARC
(5,11),-1.27564 # DEPENDENCYPART_ARC
(5,12),-1.20556 # DEPENDENCYPART_ARC
(5,13),-0.200431 # DEPENDENCYPART_ARC
(5,14),-1.94371 # DEPENDENCYPART_ARC
(5,15),-1.09967 # DEPENDENCYPART_ARC
(5,16),-0.792234 # DEPENDENCYPART_ARC
(5,17),-0.714145 # DEPENDENCYPART_ARC
(5,18),-1.55764 # DEPENDENCYPART_ARC
(5,19),-1.45523 # DEPENDENCYPART_ARC
(5,20),-1.22899 # DEPENDENCYPART_ARC
(5,21),-0.99128 # DEPENDENCYPART_ARC
(5,22),-0.906678 # DEPENDENCYPART_ARC
(6,1),0.713611 # DEPENDENCYPART_ARC
(6,2),0.27471 # DEPENDENCYPART_ARC
(6,3),0.391378 # DEPENDENCYPART_ARC
(6,4),1.24935 # DEPENDENCYPART_ARC
(6,5),4.42219 # DEPENDENCYPART_ARC
(6,7),0.919291 # DEPENDENCYPART_ARC
(6,8),0.620159 # DEPENDENCYPART_ARC
(6,9),2.01194 # DEPENDENCYPART_ARC
(6,10),0.318568 # DEPENDENCYPART_ARC
(6,11),-0.363538 # DEPENDENCYPART_ARC
(6,12),1.94153 # DEPENDENCYPART_ARC
(6,13),-0.602528 # DEPENDENCYPART_ARC
(6,14),0.160837 # DEPENDENCYPART_ARC
(6,15),-0.0426828 # DEPENDENCYPART_ARC
(6,16),-0.191662 # DEPENDENCYPART_ARC
(6,17),-0.257569 # DEPENDENCYPART_ARC
(6,18),-0.0576614 # DEPENDENCYPART_ARC
(6,19),-1.11778 # DEPENDENCYPART_ARC
(6,20),-1.08934 # DEPENDENCYPART_ARC
(6,21),0.189853 # DEPENDENCYPART_ARC
(6,22),1.64938 # DEPENDENCYPART_ARC
(7,1),-2.09144 # DEPENDENCYPART_ARC
(7,2),-2.52507 # DEPENDENCYPART_ARC
(7,3),-2.31736 # DEPENDENCYPART_ARC
(7,4),-1.82392 # DEPENDENCYPART_ARC
(7,5),-0.868743 # DEPENDENCYPART_ARC
(7,6),-0.40364 # DEPENDENCYPART_ARC
(7,8),-0.878234 # DEPENDENCYPART_ARC
(7,9),-1.0386 # DEPENDENCYPART_ARC
(7,10),-1.12015 # DEPENDENCYPART_ARC
(7,11),-2.22802 # DEPENDENCYPART_ARC
(7,12),-1.81772 # DEPENDENCYPART_ARC
(7,13),-2.61902 # DEPENDENCYPART_ARC
(7,14),-2.17791 # DEPENDENCYPART_ARC
(7,15),-1.7775 # DEPENDENCYPART_ARC
(7,16),-1.38409 # DEPENDENCYPART_ARC
(7,17),-1.27172 # DEPENDENCYPART_ARC
(7,18),-1.81371 # DEPENDENCYPART_ARC
(7,19),-2.30546 # DEPENDENCYPART_ARC
(7,20),-2.32058 # DEPENDENCYPART_ARC
(7,21),-2.28979 # DEPENDENCYPART_ARC
(7,22),-1.79825 # DEPENDENCYPART_ARC
(8,1),-1.60273 # DEPENDENCYPART_ARC
(8,2),-2.65697 # DEPENDENCYPART_ARC
(8,3),-2.2913 # DEPENDENCYPART_ARC
(8,4),-1.75182 # DEPENDENCYPART_ARC
(8,5),-1.44887 # DEPENDENCYPART_ARC
(8,6),-1.16318 # DEPENDENCYPART_ARC
(8,7),0.346693 # DEPENDENCYPART_ARC
(8,9),0.480788 # DEPENDENCYPART_ARC
(8,10),-1.40974 # DEPENDENCYPART_ARC
(8,11),-1.60347 # DEPENDENCYPART_ARC
(8,12),-1.10344 # DEPENDENCYPART_ARC
(8,13),-2.09043 # DEPENDENCYPART_ARC
(8,14),-1.69289 # DEPENDENCYPART_ARC
(8,15),-0.456693 # DEPENDENCYPART_ARC
(8,16),-1.38104 # DEPENDENCYPART_ARC
(8,17),-2.07618 # DEPENDENCYPART_ARC
(8,18),-1.8597 # DEPENDENCYPART_ARC
(8,19),-1.91345 # DEPENDENCYPART_ARC
(8,20),-1.69228 # DEPENDENCYPART_ARC
(8,21),-2.12081 # DEPENDENCYPART_ARC
(8,22),1.37862 # DEPENDENCYPART_ARC
(9,1),4.00949 # DEPENDENCYPART_ARC
(9,2),1.82732 # DEPENDENCYPART_ARC
(9,3),0.467934 # DEPENDENCYPART_ARC
(9,4),0.911516 # DEPENDENCYPART_ARC
(9,5),1.60413 # DEPENDENCYPART_ARC
(9,6),1.38803 # DEPENDENCYPART_ARC
(9,7),1.51128 # DEPENDENCYPART_ARC
(9,8),4.46288 # DEPENDENCYPART_ARC
(9,10),0.83103 # DEPENDENCYPART_ARC
(9,11),0.609257 # DEPENDENCYPART_ARC
(9,12),4.04386 # DEPENDENCYPART_ARC
(9,13),-2.53189 # DEPENDENCYPART_ARC
(9,14),0.260085 # DEPENDENCYPART_ARC
(9,15),1.35366 # DEPENDENCYPART_ARC
(9,16),2.06162 # DEPENDENCYPART_ARC
(9,17),-0.00649369 # DEPENDENCYPART_ARC
(9,18),3.12789 # DEPENDENCYPART_ARC
(9,19),-1.70519 # DEPENDENCYPART_ARC
(9,20),-2.40944 # DEPENDENCYPART_ARC
(9,21),-0.443157 # DEPENDENCYPART_ARC
(9,22),5.92125 # DEPENDENCYPART_ARC
(10,1),-3.01195 # DEPENDENCYPART_ARC
(10,2),-3.10438 # DEPENDENCYPART_ARC
(10,3),-3.64481 # DEPENDENCYPART_ARC
(10,4),-3.14248 # DEPENDENCYPART_ARC
(10,5),-3.02661 # DEPENDENCYPART_ARC
(10,6),-2.71952 # DEPENDENCYPART_ARC
(10,7),-2.1993 # DEPENDENCYPART_ARC
(10,8),-1.78576 # DEPENDENCYPART_ARC
(10,9),-1.31199 # DEPENDENCYPART_ARC
(10,11),-0.757108 # DEPENDENCYPART_ARC
(10,12),-0.743505 # DEPENDENCYPART_ARC
(10,13),-3.56522 # DEPENDENCYPART_ARC
(10,14),-3.39912 # DEPENDENCYPART_ARC
(10,15),-2.50968 # DEPENDENCYPART_ARC
(10,16),-1.8593 # DEPENDENCYPART_ARC
(10,17),-1.80172 # DEPENDENCYPART_ARC
(10,18),-2.18242 # DEPENDENCYPART_ARC
(10,19),-3.70095 # DEPENDENCYPART_ARC
(10,20),-3.58877 # DEPENDENCYPART_ARC
(10,21),-3.16621 # DEPENDENCYPART_ARC
(10,22),-2.51123 # DEPENDENCYPART_ARC
(11,1),-1.1725 # DEPENDENCYPART_ARC
(11,2),-1.99927 # DEPENDENCYPART_ARC
(11,3),-2.48557 # DEPENDENCYPART_ARC
(11,4),-1.9315 # DEPENDENCYPART_ARC
(11,5),-2.19639 # DEPENDENCYPART_ARC
(11,6),-2.17193 # DEPENDENCYPART_ARC
(11,7),-1.48888 # DEPENDENCYPART_ARC
(11,8),-1.23324 # DEPENDENCYPART_ARC
(11,9),-1.17505 # DEPENDENCYPART_ARC
(11,10),0.827079 # DEPENDENCYPART_ARC
(11,12),0.285127 # DEPENDENCYPART_ARC
(11,13),-0.990532 # DEPENDENCYPART_ARC
(11,14),-0.271137 # DEPENDENCYPART_ARC
(11,15),-0.801334 # DEPENDENCYPART_ARC
(11,16),-0.724379 # DEPENDENCYPART_ARC
(11,17),-0.864428 # DEPENDENCYPART_ARC
(11,18),-2.13322 # DEPENDENCYPART_ARC
(11,19),-1.74617 # DEPENDENCYPART_ARC
(11,20),-1.61078 # DEPENDENCYPART_ARC
(11,21),-1.70255 # DEPENDENCYPART_ARC
(11,22),0.021846 # DEPENDENCYPART_ARC
(12,1),2.02199 # DEPENDENCYPART_ARC
(12,2),0.627849 # DEPENDENCYPART_ARC
(12,3),-0.300457 # DEPENDENCYPART_ARC
(12,4),-1.23572 # DEPENDENCYPART_ARC
(12,5),0.334882 # DEPENDENCYPART_ARC
(12,6),-1.02296 # DEPENDENCYPART_ARC
(12,7),-0.183616 # DEPENDENCYPART_ARC
(12,8),1.89514 # DEPENDENCYPART_ARC
(12,9),-0.230407 # DEPENDENCYPART_ARC
(12,10),4.61987 # DEPENDENCYPART_ARC
(12,11),5.01851 # DEPENDENCYPART_ARC
(12,13),-0.855084 # DEPENDENCYPART_ARC
(12,14),4.21156 # DEPENDENCYPART_ARC
(12,15),1.48018 # DEPENDENCYPART_ARC
(12,16),2.36387 # DEPENDENCYPART_ARC
(12,17),0.0236393 # DEPENDENCYPART_ARC
(12,18),2.81616 # DEPENDENCYPART_ARC
(12,19),-0.930443 # DEPENDENCYPART_ARC
(12,20),-1.68655 # DEPENDENCYPART_ARC
(12,21),0.227213 # DEPENDENCYPART_ARC
(12,22),4.07283 # DEPENDENCYPART_ARC
(13,1),-2.95105 # DEPENDENCYPART_ARC
(13,2),-3.04123 # DEPENDENCYPART_ARC
(13,3),-3.17131 # DEPENDENCYPART_ARC
(13,4),-2.80308 # DEPENDENCYPART_ARC
(13,5),-1.53149 # DEPENDENCYPART_ARC
(13,6),-3.5003 # DEPENDENCYPART_ARC
(13,7),-2.34354 # DEPENDENCYPART_ARC
(13,8),-2.30712 # DEPENDENCYPART_ARC
(13,9),-2.82258 # DEPENDENCYPART_ARC
(13,10),-1.87891 # DEPENDENCYPART_ARC
(13,11),-1.35778 # DEPENDENCYPART_ARC
(13,12),-0.872786 # DEPENDENCYPART_ARC
(13,14),0.729903 # DEPENDENCYPART_ARC
(13,15),-0.887029 # DEPENDENCYPART_ARC
(13,16),-0.647856 # DEPENDENCYPART_ARC
(13,17),-0.683776 # DEPENDENCYPART_ARC
(13,18),-1.26663 # DEPENDENCYPART_ARC
(13,19),-1.95334 # DEPENDENCYPART_ARC
(13,20),-1.66088 # DEPENDENCYPART_ARC
(13,21),-1.69905 # DEPENDENCYPART_ARC
(13,22),-1.82521 # DEPENDENCYPART_ARC
(14,1),0.272019 # DEPENDENCYPART_ARC
(14,2),-0.291076 # DEPENDENCYPART_ARC
(14,3),-2.34488 # DEPENDENCYPART_ARC
(14,4),0.059429 # DEPENDENCYPART_ARC
(14,5),-1.76513 # DEPENDENCYPART_ARC
(14,6),-1.73816 # DEPENDENCYPART_ARC
(14,7),0.0277427 # DEPENDENCYPART_ARC
(14,8),-0.179481 # DEPENDENCYPART_ARC
(14,9),-0.917234 # DEPENDENCYPART_ARC
(14,10),0.522352 # DEPENDENCYPART_ARC
(14,11),0.0880562 # DEPENDENCYPART_ARC
(14,12),0.307682 # DEPENDENCYPART_ARC
(14,13),5.32184 # DEPENDENCYPART_ARC
(14,15),0.573191 # DEPENDENCYPART_ARC
(14,16),0.357731 # DEPENDENCYPART_ARC
(14,17),-2.14718 # DEPENDENCYPART_ARC
(14,18),-0.347675 # DEPENDENCYPART_ARC
(14,19),-1.89715 # DEPENDENCYPART_ARC
(14,20),-1.41632 # DEPENDENCYPART_ARC
(14,21),-0.196016 # DEPENDENCYPART_ARC
(14,22),1.10932 # DEPENDENCYPART_ARC
(15,1),-2.85079 # DEPENDENCYPART_ARC
(15,2),-3.47425 # DEPENDENCYPART_ARC
(15,3),-3.43312 # DEPENDENCYPART_ARC
(15,4),-3.20529 # DEPENDENCYPART_ARC
(15,5),-3.23594 # DEPENDENCYPART_ARC
(15,6),-3.0195 # DEPENDENCYPART_ARC
(15,7),-2.37177 # DEPENDENCYPART_ARC
(15,8),-3.03659 # DEPENDENCYPART_ARC
(15,9),-3.02728 # DEPENDENCYPART_ARC
(15,10),-2.24022 # DEPENDENCYPART_ARC
(15,11),-2.27412 # DEPENDENCYPART_ARC
(15,12),-2.24367 # DEPENDENCYPART_ARC
(15,13),-1.05138 # DEPENDENCYPART_ARC
(15,14),-1.36461 # DEPENDENCYPART_ARC
(15,16),-0.208888 # DEPENDENCYPART_ARC
(15,17),-0.76499 # DEPENDENCYPART_ARC
(15,18),-0.751154 # DEPENDENCYPART_ARC
(15,19),-1.75874 # DEPENDENCYPART_ARC
(15,20),-1.87525 # DEPENDENCYPART_ARC
(15,21),-1.77012 # DEPENDENCYPART_ARC
(15,22),-1.02619 # DEPENDENCYPART_ARC
(16,1),-2.66505 # DEPENDENCYPART_ARC
(16,2),-3.08078 # DEPENDENCYPART_ARC
(16,3),-3.49143 # DEPENDENCYPART_ARC
(16,4),-3.09496 # DEPENDENCYPART_ARC
(16,5),-3.45371 # DEPENDENCYPART_ARC
(16,6),-2.95735 # DEPENDENCYPART_ARC
(16,7),-2.86169 # DEPENDENCYPART_ARC
(16,8),-2.72076 # DEPENDENCYPART_ARC
(16,9),-3.15444 # DEPENDENCYPART_ARC
(16,10),-2.19862 # DEPENDENCYPART_ARC
(16,11),-2.46 # DEPENDENCYPART_ARC
(16,12),-2.49139 # DEPENDENCYPART_ARC
(16,13),-1.80489 # DEPENDENCYPART_ARC
(16,14),-1.9083 # DEPENDENCYPART_ARC
(16,15),0.100836 # DEPENDENCYPART_ARC
(16,17),-0.0538796 # DEPENDENCYPART_ARC
(16,18),-0.220945 # DEPENDENCYPART_ARC
