# _root_ Dins l' àmbit del Barri_Antic , el consistori també ha anunciat l' inici de la renovació del paviment del carrer Sobrerroca , que començarà el dia_10_de_juny .
#goldHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,16,26,24,11,
#predictedHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,20,26,24,11,
(0,1),-7.64569 # DEPENDENCYPART_ARC
(0,3),-6.57166 # DEPENDENCYPART_ARC
(0,4),-8.51204 # DEPENDENCYPART_ARC
(0,5),-6.55576 # DEPENDENCYPART_ARC
(0,8),-6.71237 # DEPENDENCYPART_ARC
(0,9),-7.99698 # DEPENDENCYPART_ARC
(0,10),-3.16954 # DEPENDENCYPART_ARC
(0,11),-2.3035 # DEPENDENCYPART_ARC
(0,13),-7.44715 # DEPENDENCYPART_ARC
(0,14),-9.54582 # DEPENDENCYPART_ARC
(0,16),-7.59939 # DEPENDENCYPART_ARC
(0,17),-9.58348 # DEPENDENCYPART_ARC
(0,18),-7.89714 # DEPENDENCYPART_ARC
(0,19),-9.93365 # DEPENDENCYPART_ARC
(0,20),-7.62745 # DEPENDENCYPART_ARC
(0,21),-7.41877 # DEPENDENCYPART_ARC
(0,24),-4.08891 # DEPENDENCYPART_ARC
(0,26),-9.52824 # DEPENDENCYPART_ARC
(1,2),0.777174 # DEPENDENCYPART_ARC
(1,3),4.10937 # DEPENDENCYPART_ARC
(1,4),0.204234 # DEPENDENCYPART_ARC
(1,5),1.3867 # DEPENDENCYPART_ARC
(1,6),2.56351 # DEPENDENCYPART_ARC
(1,7),-1.98138 # DEPENDENCYPART_ARC
(1,8),-1.56521 # DEPENDENCYPART_ARC
(1,9),-0.238904 # DEPENDENCYPART_ARC
(1,10),-1.32565 # DEPENDENCYPART_ARC
(1,11),-1.14948 # DEPENDENCYPART_ARC
(1,12),-1.98072 # DEPENDENCYPART_ARC
(1,13),-5.23158 # DEPENDENCYPART_ARC
