# _root_ No és el cas , per_descomptat , d' aquest Così .
#goldHeads=2,0,4,2,6,8,6,4,10,8,2,
#predictedHeads=2,0,4,2,6,2,6,4,10,8,2,
(0,1),-6.59504 # DEPENDENCYPART_ARC
(0,2),-2.30018 # DEPENDENCYPART_ARC
(0,4),-6.49921 # DEPENDENCYPART_ARC
(0,6),-7.57997 # DEPENDENCYPART_ARC
(0,8),-6.70667 # DEPENDENCYPART_ARC
(0,10),-6.55619 # DEPENDENCYPART_ARC
(1,5),-0.781709 # DEPENDENCYPART_ARC
(1,7),-0.619901 # DEPENDENCYPART_ARC
(1,8),-2.79632 # DEPENDENCYPART_ARC
(1,11),-0.896666 # DEPENDENCYPART_ARC
(2,1),4.34882 # DEPENDENCYPART_ARC
(2,3),-1.13389 # DEPENDENCYPART_ARC
(2,4),3.63773 # DEPENDENCYPART_ARC
(2,5),1.53259 # DEPENDENCYPART_ARC
(2,6),0.883187 # DEPENDENCYPART_ARC
(2,7),0.666163 # DEPENDENCYPART_ARC
(2,8),-0.239629 # DEPENDENCYPART_ARC
(2,10),0.747828 # DEPENDENCYPART_ARC
(2,11),2.72282 # DEPENDENCYPART_ARC
(3,4),-0.328525 # DEPENDENCYPART_ARC
(3,6),-1.91598 # DEPENDENCYPART_ARC
(3,8),-2.43458 # DEPENDENCYPART_ARC
(3,9),-1.90157 # DEPENDENCYPART_ARC
(3,10),-3.90822 # DEPENDENCYPART_ARC
(4,1),0.517226 # DEPENDENCYPART_ARC
(4,2),0.567366 # DEPENDENCYPART_ARC
(4,3),3.8436 # DEPENDENCYPART_ARC
(4,5),0.568247 # DEPENDENCYPART_ARC
(4,6),-0.18221 # DEPENDENCYPART_ARC
(4,7),0.254163 # DEPENDENCYPART_ARC
(4,8),0.475428 # DEPENDENCYPART_ARC
(4,9),-1.57129 # DEPENDENCYPART_ARC
(4,10),0.18392 # DEPENDENCYPART_ARC
(4,11),1.13685 # DEPENDENCYPART_ARC
(5,4),-0.577995 # DEPENDENCYPART_ARC
(5,7),-0.788645 # DEPENDENCYPART_ARC
(6,1),-1.35955 # DEPENDENCYPART_ARC
(6,2),-1.25436 # DEPENDENCYPART_ARC
(6,3),-0.739474 # DEPENDENCYPART_ARC
(6,4),-0.887642 # DEPENDENCYPART_ARC
(6,5),2.70721 # DEPENDENCYPART_ARC
(6,7),3.17182 # DEPENDENCYPART_ARC
(6,8),-0.365519 # DEPENDENCYPART_ARC
(6,10),-0.509936 # DEPENDENCYPART_ARC
(6,11),-0.426254 # DEPENDENCYPART_ARC
(7,4),-2.00787 # DEPENDENCYPART_ARC
(7,5),-0.255012 # DEPENDENCYPART_ARC
(8,1),-1.44257 # DEPENDENCYPART_ARC
(8,2),-0.560174 # DEPENDENCYPART_ARC
(8,3),-1.14546 # DEPENDENCYPART_ARC
(8,4),-2.14973 # DEPENDENCYPART_ARC
(8,5),0.025486 # DEPENDENCYPART_ARC
(8,6),0.49795 # DEPENDENCYPART_ARC
(8,7),1.35003 # DEPENDENCYPART_ARC
(8,10),4.29242 # DEPENDENCYPART_ARC
(8,11),1.34166 # DEPENDENCYPART_ARC
(9,6),-0.422918 # DEPENDENCYPART_ARC
(10,1),-0.796738 # DEPENDENCYPART_ARC
(10,2),-1.53881 # DEPENDENCYPART_ARC
(10,3),-2.14591 # DEPENDENCYPART_ARC
(10,4),-2.05703 # DEPENDENCYPART_ARC
(10,5),-0.179756 # DEPENDENCYPART_ARC
(10,6),-0.339404 # DEPENDENCYPART_ARC
(10,7),-0.10833 # DEPENDENCYPART_ARC
(10,8),0.733718 # DEPENDENCYPART_ARC
(10,9),3.68417 # DEPENDENCYPART_ARC
(10,11),-0.182801 # DEPENDENCYPART_ARC
