# _root_ Els fets han passat a la B-204 , al punt quilomètric 0,5 .
#goldHeads=2,4,4,0,4,7,5,9,4,9,10,10,4,
#predictedHeads=2,4,4,0,4,7,5,9,4,9,10,10,4,
(0,2),-6.91986 # DEPENDENCYPART_ARC
(0,3),-1.91492 # DEPENDENCYPART_ARC
(0,4),-2.92082 # DEPENDENCYPART_ARC
(0,5),-7.80569 # DEPENDENCYPART_ARC
(0,7),-7.683 # DEPENDENCYPART_ARC
(0,9),-8.60563 # DEPENDENCYPART_ARC
(0,10),-7.8576 # DEPENDENCYPART_ARC
(0,11),-8.72978 # DEPENDENCYPART_ARC
(0,12),-7.98896 # DEPENDENCYPART_ARC
(1,2),1.31273 # DEPENDENCYPART_ARC
(1,5),-2.08887 # DEPENDENCYPART_ARC
(1,6),-2.19121 # DEPENDENCYPART_ARC
(1,7),-2.65875 # DEPENDENCYPART_ARC
(1,9),-3.30432 # DEPENDENCYPART_ARC
(1,10),-3.48121 # DEPENDENCYPART_ARC
(1,11),-2.88317 # DEPENDENCYPART_ARC
(1,12),-1.94799 # DEPENDENCYPART_ARC
(2,1),4.56631 # DEPENDENCYPART_ARC
(2,3),0.888978 # DEPENDENCYPART_ARC
(2,4),-0.438342 # DEPENDENCYPART_ARC
(2,5),-1.38786 # DEPENDENCYPART_ARC
(2,6),-3.72164 # DEPENDENCYPART_ARC
(2,7),-1.37565 # DEPENDENCYPART_ARC
(2,8),-1.55676 # DEPENDENCYPART_ARC
(2,9),-2.1002 # DEPENDENCYPART_ARC
(2,10),-2.61711 # DEPENDENCYPART_ARC
(2,11),-2.1356 # DEPENDENCYPART_ARC
(2,12),-1.64091 # DEPENDENCYPART_ARC
(2,13),-0.610877 # DEPENDENCYPART_ARC
(3,1),-2.09877 # DEPENDENCYPART_ARC
(3,2),-0.636775 # DEPENDENCYPART_ARC
(3,4),-0.779331 # DEPENDENCYPART_ARC
(3,5),-1.53429 # DEPENDENCYPART_ARC
(3,6),-6.45425 # DEPENDENCYPART_ARC
(3,7),-2.20533 # DEPENDENCYPART_ARC
(3,8),-3.19236 # DEPENDENCYPART_ARC
(3,9),-2.70883 # DEPENDENCYPART_ARC
(3,10),-4.23602 # DEPENDENCYPART_ARC
(3,11),-4.8496 # DEPENDENCYPART_ARC
(3,12),-4.1306 # DEPENDENCYPART_ARC
(3,13),-0.715194 # DEPENDENCYPART_ARC
(4,1),0.890788 # DEPENDENCYPART_ARC
(4,2),2.41592 # DEPENDENCYPART_ARC
(4,3),5.71614 # DEPENDENCYPART_ARC
(4,5),4.06747 # DEPENDENCYPART_ARC
(4,6),-1.05895 # DEPENDENCYPART_ARC
(4,7),2.11008 # DEPENDENCYPART_ARC
(4,8),0.867064 # DEPENDENCYPART_ARC
(4,9),2.35588 # DEPENDENCYPART_ARC
(4,10),-0.160425 # DEPENDENCYPART_ARC
(4,11),0.40142 # DEPENDENCYPART_ARC
(4,12),-0.388383 # DEPENDENCYPART_ARC
(4,13),3.64339 # DEPENDENCYPART_ARC
(5,1),-1.54631 # DEPENDENCYPART_ARC
(5,2),-2.36163 # DEPENDENCYPART_ARC
