# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=4,1,1,14,4,7,5,7,8,1,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(0,1),-7.89286 # DEPENDENCYPART_ARC
(0,2),-5.30482 # DEPENDENCYPART_ARC
(0,3),-7.18283 # DEPENDENCYPART_ARC
(0,4),-5.38007 # DEPENDENCYPART_ARC
(0,5),-7.42468 # DEPENDENCYPART_ARC
(0,6),-9.48285 # DEPENDENCYPART_ARC
(0,7),-6.53105 # DEPENDENCYPART_ARC
(0,8),-8.4572 # DEPENDENCYPART_ARC
(0,9),-6.25587 # DEPENDENCYPART_ARC
(0,10),-8.01393 # DEPENDENCYPART_ARC
(0,11),-9.53878 # DEPENDENCYPART_ARC
(0,12),-8.09269 # DEPENDENCYPART_ARC
(0,13),-6.89362 # DEPENDENCYPART_ARC
(0,14),-1.35543 # DEPENDENCYPART_ARC
(0,15),-8.50533 # DEPENDENCYPART_ARC
(0,16),-6.98169 # DEPENDENCYPART_ARC
(0,17),-9.93606 # DEPENDENCYPART_ARC
(0,18),-6.63667 # DEPENDENCYPART_ARC
(0,19),-6.89539 # DEPENDENCYPART_ARC
(0,20),-2.07255 # DEPENDENCYPART_ARC
(0,21),-9.76861 # DEPENDENCYPART_ARC
(0,22),-7.59897 # DEPENDENCYPART_ARC
(0,23),-8.66234 # DEPENDENCYPART_ARC
(0,24),-9.06702 # DEPENDENCYPART_ARC
(1,2),4.66635 # DEPENDENCYPART_ARC
(1,3),2.65705 # DEPENDENCYPART_ARC
(1,4),0.056753 # DEPENDENCYPART_ARC
(1,5),-1.48523 # DEPENDENCYPART_ARC
(1,6),-2.64381 # DEPENDENCYPART_ARC
(1,7),-2.25163 # DEPENDENCYPART_ARC
(1,8),-1.0941 # DEPENDENCYPART_ARC
(1,9),-2.65335 # DEPENDENCYPART_ARC
(1,10),1.77926 # DEPENDENCYPART_ARC
(1,11),-2.8354 # DEPENDENCYPART_ARC
(1,12),-3.20324 # DEPENDENCYPART_ARC
(1,13),-4.19818 # DEPENDENCYPART_ARC
(1,14),-1.70297 # DEPENDENCYPART_ARC
(1,15),-2.1012 # DEPENDENCYPART_ARC
(1,16),-6.70143 # DEPENDENCYPART_ARC
(1,17),-2.05728 # DEPENDENCYPART_ARC
(1,18),-9.53996 # DEPENDENCYPART_ARC
(1,19),-9.28362 # DEPENDENCYPART_ARC
(1,20),-3.12065 # DEPENDENCYPART_ARC
(1,21),-3.76554 # DEPENDENCYPART_ARC
(1,22),-13.4829 # DEPENDENCYPART_ARC
(1,23),-5.60334 # DEPENDENCYPART_ARC
(1,24),0.136051 # DEPENDENCYPART_ARC
(2,1),0.439036 # DEPENDENCYPART_ARC
(2,3),-0.147051 # DEPENDENCYPART_ARC
(2,4),0.309453 # DEPENDENCYPART_ARC
(2,5),-0.81271 # DEPENDENCYPART_ARC
(2,6),-1.85413 # DEPENDENCYPART_ARC
(2,7),-1.16906 # DEPENDENCYPART_ARC
(2,8),-0.417381 # DEPENDENCYPART_ARC
(2,9),-0.957867 # DEPENDENCYPART_ARC
(2,10),-0.632822 # DEPENDENCYPART_ARC
(2,11),-2.43071 # DEPENDENCYPART_ARC
(2,12),-1.96954 # DEPENDENCYPART_ARC
(2,13),-1.90238 # DEPENDENCYPART_ARC
(2,14),-0.456529 # DEPENDENCYPART_ARC
(2,15),-1.4353 # DEPENDENCYPART_ARC
(2,16),-2.62198 # DEPENDENCYPART_ARC
(2,17),-2.75723 # DEPENDENCYPART_ARC
(2,18),-1.78856 # DEPENDENCYPART_ARC
(2,19),-4.85176 # DEPENDENCYPART_ARC
(2,20),-0.81971 # DEPENDENCYPART_ARC
(2,21),-4.15782 # DEPENDENCYPART_ARC
(2,22),-1.28774 # DEPENDENCYPART_ARC
(2,23),-4.48758 # DEPENDENCYPART_ARC
(2,24),-0.254509 # DEPENDENCYPART_ARC
(3,1),-1.54767 # DEPENDENCYPART_ARC
(3,2),-1.52441 # DEPENDENCYPART_ARC
(3,4),-0.824591 # DEPENDENCYPART_ARC
(3,5),-2.16742 # DEPENDENCYPART_ARC
(3,6),-2.67846 # DEPENDENCYPART_ARC
(3,7),-2.27782 # DEPENDENCYPART_ARC
(3,8),-2.40632 # DEPENDENCYPART_ARC
(3,9),-2.51166 # DEPENDENCYPART_ARC
(3,10),-1.91579 # DEPENDENCYPART_ARC
(3,11),-3.11419 # DEPENDENCYPART_ARC
(3,12),-2.23028 # DEPENDENCYPART_ARC
(3,13),-2.84241 # DEPENDENCYPART_ARC
(3,14),-2.32483 # DEPENDENCYPART_ARC
(3,15),-2.67544 # DEPENDENCYPART_ARC
(3,16),-2.75276 # DEPENDENCYPART_ARC
(3,17),-3.21993 # DEPENDENCYPART_ARC
(3,18),-2.79637 # DEPENDENCYPART_ARC
(3,19),-3.03822 # DEPENDENCYPART_ARC
(3,20),-2.59758 # DEPENDENCYPART_ARC
(3,21),-3.37934 # DEPENDENCYPART_ARC
(3,22),-2.96456 # DEPENDENCYPART_ARC
(3,23),-2.95582 # DEPENDENCYPART_ARC
(3,24),-2.74563 # DEPENDENCYPART_ARC
(4,1),0.770065 # DEPENDENCYPART_ARC
(4,2),0.517912 # DEPENDENCYPART_ARC
(4,3),1.79483 # DEPENDENCYPART_ARC
(4,5),3.93374 # DEPENDENCYPART_ARC
(4,6),-0.509294 # DEPENDENCYPART_ARC
(4,7),2.48977 # DEPENDENCYPART_ARC
(4,8),0.827905 # DEPENDENCYPART_ARC
(4,9),0.992916 # DEPENDENCYPART_ARC
(4,10),1.65869 # DEPENDENCYPART_ARC
(4,11),-1.85814 # DEPENDENCYPART_ARC
(4,12),0.340915 # DEPENDENCYPART_ARC
(4,13),-0.497856 # DEPENDENCYPART_ARC
(4,14),0.713784 # DEPENDENCYPART_ARC
(4,15),1.13676 # DEPENDENCYPART_ARC
(4,16),-1.1247 # DEPENDENCYPART_ARC
(4,17),-1.9755 # DEPENDENCYPART_ARC
(4,18),1.27796 # DEPENDENCYPART_ARC
(4,19),-0.736592 # DEPENDENCYPART_ARC
(4,20),-0.371054 # DEPENDENCYPART_ARC
(4,21),-2.21756 # DEPENDENCYPART_ARC
(4,22),1.41048 # DEPENDENCYPART_ARC
(4,23),0.366191 # DEPENDENCYPART_ARC
