# _root_ La resolució , en_atenció_a aquestes falsedats i mala fe , imposa les costes del procediment als defensors per ' temeritat ' .
#goldHeads=2,11,4,11,6,4,6,9,6,4,0,13,11,13,14,11,16,11,20,18,20,11,
#predictedHeads=2,11,4,11,6,4,2,9,11,4,0,13,11,13,14,11,16,11,20,18,20,11,
(0,2),-6.387 # DEPENDENCYPART_ARC
(0,4),-7.1985 # DEPENDENCYPART_ARC
(0,6),-7.68815 # DEPENDENCYPART_ARC
(0,8),-8.07966 # DEPENDENCYPART_ARC
(0,9),-7.30321 # DEPENDENCYPART_ARC
(0,11),-2.31426 # DEPENDENCYPART_ARC
(0,13),-8.51976 # DEPENDENCYPART_ARC
(0,14),-8.78322 # DEPENDENCYPART_ARC
(0,15),-8.30522 # DEPENDENCYPART_ARC
(0,16),-8.87108 # DEPENDENCYPART_ARC
(0,17),-8.41884 # DEPENDENCYPART_ARC
(0,18),-9.04885 # DEPENDENCYPART_ARC
(0,20),-7.20566 # DEPENDENCYPART_ARC
(1,2),0.191398 # DEPENDENCYPART_ARC
(1,4),-2.03533 # DEPENDENCYPART_ARC
(1,5),-0.115458 # DEPENDENCYPART_ARC
(1,6),-2.78155 # DEPENDENCYPART_ARC
(1,7),-2.59125 # DEPENDENCYPART_ARC
(1,8),-2.97283 # DEPENDENCYPART_ARC
(1,9),-3.49992 # DEPENDENCYPART_ARC
(1,12),-3.24273 # DEPENDENCYPART_ARC
(1,13),-4.42705 # DEPENDENCYPART_ARC
(1,14),-3.58623 # DEPENDENCYPART_ARC
(1,15),-4.72972 # DEPENDENCYPART_ARC
(1,16),-4.3478 # DEPENDENCYPART_ARC
(1,17),-5.53702 # DEPENDENCYPART_ARC
(1,18),-5.70283 # DEPENDENCYPART_ARC
(1,20),-5.41507 # DEPENDENCYPART_ARC
(2,1),4.89336 # DEPENDENCYPART_ARC
(2,3),0.738621 # DEPENDENCYPART_ARC
(2,4),1.2229 # DEPENDENCYPART_ARC
(2,5),-1.24005 # DEPENDENCYPART_ARC
(2,6),1.66401 # DEPENDENCYPART_ARC
(2,7),1.54367 # DEPENDENCYPART_ARC
(2,8),1.24087 # DEPENDENCYPART_ARC
(2,9),1.51732 # DEPENDENCYPART_ARC
(2,10),0.0988056 # DEPENDENCYPART_ARC
(2,11),0.666448 # DEPENDENCYPART_ARC
(2,12),-2.16835 # DEPENDENCYPART_ARC
(2,13),-0.0402843 # DEPENDENCYPART_ARC
(2,14),-0.60132 # DEPENDENCYPART_ARC
(2,15),-0.851187 # DEPENDENCYPART_ARC
(2,16),-0.309892 # DEPENDENCYPART_ARC
(2,17),-1.10718 # DEPENDENCYPART_ARC
(2,18),-0.199103 # DEPENDENCYPART_ARC
(2,19),0.62645 # DEPENDENCYPART_ARC
(2,20),-0.53182 # DEPENDENCYPART_ARC
(2,21),-0.325275 # DEPENDENCYPART_ARC
(2,22),0.875753 # DEPENDENCYPART_ARC
(3,2),-1.31638 # DEPENDENCYPART_ARC
(3,6),-1.33577 # DEPENDENCYPART_ARC
(3,8),-1.33789 # DEPENDENCYPART_ARC
(3,9),-1.55084 # DEPENDENCYPART_ARC
(3,10),-0.630117 # DEPENDENCYPART_ARC
(3,13),-1.98603 # DEPENDENCYPART_ARC
(3,15),-2.06571 # DEPENDENCYPART_ARC
(3,17),-2.11832 # DEPENDENCYPART_ARC
(3,20),-2.28566 # DEPENDENCYPART_ARC
(4,1),-0.0400695 # DEPENDENCYPART_ARC
(4,2),-0.942422 # DEPENDENCYPART_ARC
(4,3),1.97894 # DEPENDENCYPART_ARC
(4,6),3.80499 # DEPENDENCYPART_ARC
(4,7),0.562554 # DEPENDENCYPART_ARC
(4,8),-0.451969 # DEPENDENCYPART_ARC
(4,9),0.614028 # DEPENDENCYPART_ARC
(4,10),2.04084 # DEPENDENCYPART_ARC
(4,11),-2.06397 # DEPENDENCYPART_ARC
(4,12),-2.62076 # DEPENDENCYPART_ARC
(4,13),-4.15476 # DEPENDENCYPART_ARC
(4,14),-1.87088 # DEPENDENCYPART_ARC
(4,15),-5.86729 # DEPENDENCYPART_ARC
(4,16),-1.88322 # DEPENDENCYPART_ARC
(4,17),-6.53888 # DEPENDENCYPART_ARC
(4,18),-1.84678 # DEPENDENCYPART_ARC
(4,19),-0.675149 # DEPENDENCYPART_ARC
(4,20),-7.68845 # DEPENDENCYPART_ARC
(4,21),-0.240552 # DEPENDENCYPART_ARC
(4,22),-0.243567 # DEPENDENCYPART_ARC
(5,7),-0.453728 # DEPENDENCYPART_ARC
(5,8),-2.38699 # DEPENDENCYPART_ARC
(6,1),0.231381 # DEPENDENCYPART_ARC
(6,2),-2.02693 # DEPENDENCYPART_ARC
(6,3),-0.920383 # DEPENDENCYPART_ARC
(6,4),0.446317 # DEPENDENCYPART_ARC
(6,5),3.89648 # DEPENDENCYPART_ARC
(6,7),0.843394 # DEPENDENCYPART_ARC
(6,8),-0.0528636 # DEPENDENCYPART_ARC
(6,9),0.840148 # DEPENDENCYPART_ARC
(6,10),-0.910269 # DEPENDENCYPART_ARC
