# _root_ El tribunal es torna a remetre als fonaments jurídics de la sentència que , en cap cas , es refereix als empleats públics autonòmics o locals .
#goldHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,15,20,12,20,21,22,22,24,24,6,
#predictedHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,20,20,12,20,21,22,22,24,24,6,
(0,1),-8.05641 # DEPENDENCYPART_ARC
(0,2),-5.94527 # DEPENDENCYPART_ARC
(0,3),-6.50869 # DEPENDENCYPART_ARC
(0,4),-2.88827 # DEPENDENCYPART_ARC
(0,5),-7.44603 # DEPENDENCYPART_ARC
(0,6),-4.03046 # DEPENDENCYPART_ARC
(0,7),-7.88017 # DEPENDENCYPART_ARC
(0,8),-7.58946 # DEPENDENCYPART_ARC
(0,9),-8.07596 # DEPENDENCYPART_ARC
(0,10),-8.3562 # DEPENDENCYPART_ARC
(0,11),-9.79396 # DEPENDENCYPART_ARC
(0,12),-6.87744 # DEPENDENCYPART_ARC
(0,13),-6.78197 # DEPENDENCYPART_ARC
(0,14),-8.1454 # DEPENDENCYPART_ARC
(0,15),-8.30999 # DEPENDENCYPART_ARC
(0,16),-9.95979 # DEPENDENCYPART_ARC
(0,17),-7.46339 # DEPENDENCYPART_ARC
(0,18),-8.46491 # DEPENDENCYPART_ARC
(0,19),-6.66077 # DEPENDENCYPART_ARC
(0,20),-3.51204 # DEPENDENCYPART_ARC
(0,21),-8.71969 # DEPENDENCYPART_ARC
(0,22),-7.86612 # DEPENDENCYPART_ARC
(0,23),-8.10009 # DEPENDENCYPART_ARC
(0,24),-8.19433 # DEPENDENCYPART_ARC
(0,25),-8.32799 # DEPENDENCYPART_ARC
(0,26),-7.94207 # DEPENDENCYPART_ARC
(0,27),-9.02193 # DEPENDENCYPART_ARC
(1,2),-0.205364 # DEPENDENCYPART_ARC
(1,3),-0.840032 # DEPENDENCYPART_ARC
(1,4),-2.30644 # DEPENDENCYPART_ARC
(1,5),-2.82481 # DEPENDENCYPART_ARC
(1,6),-2.37543 # DEPENDENCYPART_ARC
(1,7),-3.01397 # DEPENDENCYPART_ARC
(1,8),-4.12458 # DEPENDENCYPART_ARC
(1,9),-3.87627 # DEPENDENCYPART_ARC
(1,10),-3.64609 # DEPENDENCYPART_ARC
(1,11),-3.66094 # DEPENDENCYPART_ARC
(1,12),-4.22257 # DEPENDENCYPART_ARC
(1,13),-4.49758 # DEPENDENCYPART_ARC
(1,14),-3.6663 # DEPENDENCYPART_ARC
(1,15),-5.0565 # DEPENDENCYPART_ARC
(1,16),-4.02551 # DEPENDENCYPART_ARC
(1,17),-4.75819 # DEPENDENCYPART_ARC
(1,18),-4.08609 # DEPENDENCYPART_ARC
(1,19),-3.8763 # DEPENDENCYPART_ARC
(1,20),-4.63211 # DEPENDENCYPART_ARC
(1,21),-5.23275 # DEPENDENCYPART_ARC
(1,22),-5.6323 # DEPENDENCYPART_ARC
(1,23),-4.52918 # DEPENDENCYPART_ARC
(1,24),-4.61284 # DEPENDENCYPART_ARC
(1,25),-4.30192 # DEPENDENCYPART_ARC
(1,26),-4.8814 # DEPENDENCYPART_ARC
(1,27),-4.1601 # DEPENDENCYPART_ARC
(2,1),4.21131 # DEPENDENCYPART_ARC
(2,3),0.00722307 # DEPENDENCYPART_ARC
(2,4),1.38239 # DEPENDENCYPART_ARC
(2,5),-1.76773 # DEPENDENCYPART_ARC
(2,6),-0.319552 # DEPENDENCYPART_ARC
(2,7),-2.43124 # DEPENDENCYPART_ARC
(2,8),-2.77186 # DEPENDENCYPART_ARC
(2,9),-2.41186 # DEPENDENCYPART_ARC
(2,10),-1.18093 # DEPENDENCYPART_ARC
(2,11),-4.03672 # DEPENDENCYPART_ARC
(2,12),-3.07479 # DEPENDENCYPART_ARC
(2,13),-4.84517 # DEPENDENCYPART_ARC
(2,14),-2.64139 # DEPENDENCYPART_ARC
(2,15),-2.3295 # DEPENDENCYPART_ARC
(2,16),-4.22227 # DEPENDENCYPART_ARC
(2,17),-3.0484 # DEPENDENCYPART_ARC
(2,18),-2.71667 # DEPENDENCYPART_ARC
(2,19),-3.36561 # DEPENDENCYPART_ARC
(2,20),-1.42756 # DEPENDENCYPART_ARC
(2,21),-3.34038 # DEPENDENCYPART_ARC
(2,22),-3.72484 # DEPENDENCYPART_ARC
(2,23),-4.60392 # DEPENDENCYPART_ARC
(2,24),-4.64253 # DEPENDENCYPART_ARC
(2,25),-3.1233 # DEPENDENCYPART_ARC
(2,26),-5.20501 # DEPENDENCYPART_ARC
(2,27),0.555037 # DEPENDENCYPART_ARC
(3,1),-0.130697 # DEPENDENCYPART_ARC
(3,2),-0.822048 # DEPENDENCYPART_ARC
(3,4),0.170434 # DEPENDENCYPART_ARC
(3,5),-0.881677 # DEPENDENCYPART_ARC
(3,6),-0.688134 # DEPENDENCYPART_ARC
(3,7),-1.54089 # DEPENDENCYPART_ARC
(3,8),-0.827797 # DEPENDENCYPART_ARC
(3,9),-1.85458 # DEPENDENCYPART_ARC
(3,10),-1.77378 # DEPENDENCYPART_ARC
(3,11),-2.61874 # DEPENDENCYPART_ARC
(3,12),-1.60251 # DEPENDENCYPART_ARC
