# _root_ Com_a factor normalitzador hi ha el fet que el gruix d' atestats penals , que fan els Mossos_d'_Esquadra , entra als jutjats en llengua catalana .
#goldHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,10,18,16,16,7,20,21,20,23,24,5,
#predictedHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,7,18,16,16,7,20,21,22,23,24,5,
(0,1),-6.96092 # DEPENDENCYPART_ARC
(0,2),-5.68805 # DEPENDENCYPART_ARC
(0,3),-7.56242 # DEPENDENCYPART_ARC
(0,4),-6.19832 # DEPENDENCYPART_ARC
(0,5),-2.52204 # DEPENDENCYPART_ARC
(0,6),-9.36336 # DEPENDENCYPART_ARC
(0,7),-7.04582 # DEPENDENCYPART_ARC
(0,8),-7.20755 # DEPENDENCYPART_ARC
(0,9),-9.52373 # DEPENDENCYPART_ARC
(0,10),-7.57804 # DEPENDENCYPART_ARC
(0,11),-8.56596 # DEPENDENCYPART_ARC
(0,12),-7.68207 # DEPENDENCYPART_ARC
(0,13),-7.55496 # DEPENDENCYPART_ARC
(0,14),-8.10086 # DEPENDENCYPART_ARC
(0,15),-6.55966 # DEPENDENCYPART_ARC
(0,16),-3.06195 # DEPENDENCYPART_ARC
(0,17),-9.40774 # DEPENDENCYPART_ARC
(0,18),-7.58833 # DEPENDENCYPART_ARC
(0,19),-8.50157 # DEPENDENCYPART_ARC
(0,20),-2.23723 # DEPENDENCYPART_ARC
(0,21),-9.04835 # DEPENDENCYPART_ARC
(0,22),-7.50002 # DEPENDENCYPART_ARC
(0,23),-9.3204 # DEPENDENCYPART_ARC
(0,24),-7.66311 # DEPENDENCYPART_ARC
(0,25),-8.21893 # DEPENDENCYPART_ARC
(0,26),-9.16517 # DEPENDENCYPART_ARC
(1,2),4.8462 # DEPENDENCYPART_ARC
(1,3),0.824047 # DEPENDENCYPART_ARC
(1,4),-0.513085 # DEPENDENCYPART_ARC
(1,5),-0.00406904 # DEPENDENCYPART_ARC
(1,6),-2.32741 # DEPENDENCYPART_ARC
(1,7),-2.74194 # DEPENDENCYPART_ARC
(1,8),-1.37465 # DEPENDENCYPART_ARC
(1,9),-2.64034 # DEPENDENCYPART_ARC
(1,10),-5.69605 # DEPENDENCYPART_ARC
(1,11),-2.51377 # DEPENDENCYPART_ARC
(1,12),-5.66877 # DEPENDENCYPART_ARC
(1,13),-2.81074 # DEPENDENCYPART_ARC
(1,14),0.295768 # DEPENDENCYPART_ARC
(1,15),-4.62097 # DEPENDENCYPART_ARC
(1,16),-1.65796 # DEPENDENCYPART_ARC
(1,17),-2.93729 # DEPENDENCYPART_ARC
(1,18),-10.4219 # DEPENDENCYPART_ARC
(1,19),-0.534203 # DEPENDENCYPART_ARC
(1,20),-4.28461 # DEPENDENCYPART_ARC
(1,21),-3.41192 # DEPENDENCYPART_ARC
(1,22),-11.777 # DEPENDENCYPART_ARC
(1,23),-4.04203 # DEPENDENCYPART_ARC
(1,24),-12.4256 # DEPENDENCYPART_ARC
(1,25),-4.27368 # DEPENDENCYPART_ARC
(1,26),0.76055 # DEPENDENCYPART_ARC
(2,1),0.0534277 # DEPENDENCYPART_ARC
(2,3),4.21371 # DEPENDENCYPART_ARC
(2,4),-0.770537 # DEPENDENCYPART_ARC
(2,5),2.12828 # DEPENDENCYPART_ARC
(2,6),-0.816125 # DEPENDENCYPART_ARC
(2,7),0.0667242 # DEPENDENCYPART_ARC
(2,8),-0.748523 # DEPENDENCYPART_ARC
(2,9),-1.27578 # DEPENDENCYPART_ARC
(2,10),-1.34923 # DEPENDENCYPART_ARC
(2,11),0.0757165 # DEPENDENCYPART_ARC
(2,12),-0.645977 # DEPENDENCYPART_ARC
(2,13),-1.37356 # DEPENDENCYPART_ARC
(2,14),-0.586276 # DEPENDENCYPART_ARC
(2,15),-3.55954 # DEPENDENCYPART_ARC
(2,16),0.437652 # DEPENDENCYPART_ARC
(2,17),-2.17921 # DEPENDENCYPART_ARC
(2,18),-1.06613 # DEPENDENCYPART_ARC
(2,19),-0.7223 # DEPENDENCYPART_ARC
(2,20),-1.09685 # DEPENDENCYPART_ARC
(2,21),-1.97932 # DEPENDENCYPART_ARC
(2,22),-1.29041 # DEPENDENCYPART_ARC
(2,23),-1.81584 # DEPENDENCYPART_ARC
(2,24),-2.04939 # DEPENDENCYPART_ARC
(2,25),-2.8434 # DEPENDENCYPART_ARC
(2,26),0.631613 # DEPENDENCYPART_ARC
(3,1),-0.449715 # DEPENDENCYPART_ARC
(3,2),-0.250363 # DEPENDENCYPART_ARC
(3,4),-2.02749 # DEPENDENCYPART_ARC
(3,5),-0.855898 # DEPENDENCYPART_ARC
(3,6),-3.3108 # DEPENDENCYPART_ARC
(3,7),-2.15414 # DEPENDENCYPART_ARC
(3,8),-2.51129 # DEPENDENCYPART_ARC
(3,9),-3.84331 # DEPENDENCYPART_ARC
(3,10),-2.74625 # DEPENDENCYPART_ARC
(3,11),-3.63288 # DEPENDENCYPART_ARC
(3,12),-2.89434 # DEPENDENCYPART_ARC
(3,13),-3.82272 # DEPENDENCYPART_ARC
(3,14),-2.06019 # DEPENDENCYPART_ARC
(3,15),-5.27768 # DEPENDENCYPART_ARC
(3,16),-2.36356 # DEPENDENCYPART_ARC
(3,17),-4.5503 # DEPENDENCYPART_ARC
(3,18),-3.14966 # DEPENDENCYPART_ARC
(3,19),-2.82335 # DEPENDENCYPART_ARC
(3,20),-3.12626 # DEPENDENCYPART_ARC
(3,21),-5.02249 # DEPENDENCYPART_ARC
(3,22),-4.05595 # DEPENDENCYPART_ARC
(3,23),-4.46854 # DEPENDENCYPART_ARC
(3,24),-3.88449 # DEPENDENCYPART_ARC
(3,25),-4.71649 # DEPENDENCYPART_ARC
(3,26),-2.73473 # DEPENDENCYPART_ARC
(4,1),-0.950823 # DEPENDENCYPART_ARC
(4,2),-1.99689 # DEPENDENCYPART_ARC
(4,3),-1.1986 # DEPENDENCYPART_ARC
(4,5),-0.436207 # DEPENDENCYPART_ARC
(4,6),-0.515665 # DEPENDENCYPART_ARC
(4,7),-2.29748 # DEPENDENCYPART_ARC
(4,8),-1.01361 # DEPENDENCYPART_ARC
(4,9),-1.30437 # DEPENDENCYPART_ARC
(4,10),-2.91731 # DEPENDENCYPART_ARC
(4,11),-2.48304 # DEPENDENCYPART_ARC
(4,12),-1.93878 # DEPENDENCYPART_ARC
(4,13),-1.55891 # DEPENDENCYPART_ARC
(4,14),-1.60551 # DEPENDENCYPART_ARC
(4,15),-2.79337 # DEPENDENCYPART_ARC
(4,16),-1.82531 # DEPENDENCYPART_ARC
(4,17),-2.01183 # DEPENDENCYPART_ARC
(4,18),-2.03783 # DEPENDENCYPART_ARC
(4,19),-2.3485 # DEPENDENCYPART_ARC
(4,20),-3.50336 # DEPENDENCYPART_ARC
(4,21),-4.92877 # DEPENDENCYPART_ARC
(4,22),-2.86464 # DEPENDENCYPART_ARC
(4,23),-5.05757 # DEPENDENCYPART_ARC
(4,24),-3.23568 # DEPENDENCYPART_ARC
(4,25),-2.71903 # DEPENDENCYPART_ARC
(4,26),-0.79913 # DEPENDENCYPART_ARC
(5,1),2.0274 # DEPENDENCYPART_ARC
(5,2),0.402454 # DEPENDENCYPART_ARC
(5,3),0.415735 # DEPENDENCYPART_ARC
(5,4),4.02693 # DEPENDENCYPART_ARC
(5,6),-1.53709 # DEPENDENCYPART_ARC
(5,7),3.49427 # DEPENDENCYPART_ARC
(5,8),-0.353495 # DEPENDENCYPART_ARC
(5,9),-3.0368 # DEPENDENCYPART_ARC
(5,10),-0.160513 # DEPENDENCYPART_ARC
(5,11),-0.627272 # DEPENDENCYPART_ARC
(5,12),-1.21783 # DEPENDENCYPART_ARC
(5,13),0.0392084 # DEPENDENCYPART_ARC
(5,14),1.24261 # DEPENDENCYPART_ARC
(5,15),-2.4221 # DEPENDENCYPART_ARC
(5,16),1.54586 # DEPENDENCYPART_ARC
(5,17),-4.29294 # DEPENDENCYPART_ARC
(5,18),-2.06193 # DEPENDENCYPART_ARC
(5,19),1.5579 # DEPENDENCYPART_ARC
(5,20),0.561476 # DEPENDENCYPART_ARC
(5,21),-1.34942 # DEPENDENCYPART_ARC
(5,22),-3.28758 # DEPENDENCYPART_ARC
(5,23),-0.398279 # DEPENDENCYPART_ARC
(5,24),-3.24871 # DEPENDENCYPART_ARC
(5,25),-1.30553 # DEPENDENCYPART_ARC
(5,26),3.85704 # DEPENDENCYPART_ARC
(6,1),-2.13088 # DEPENDENCYPART_ARC
(6,2),-2.69931 # DEPENDENCYPART_ARC
(6,3),-2.12612 # DEPENDENCYPART_ARC
(6,4),-1.42541 # DEPENDENCYPART_ARC
(6,5),-1.438 # DEPENDENCYPART_ARC
(6,7),0.0564613 # DEPENDENCYPART_ARC
(6,8),-1.07457 # DEPENDENCYPART_ARC
(6,9),-0.885429 # DEPENDENCYPART_ARC
(6,10),-1.77843 # DEPENDENCYPART_ARC
(6,11),-1.67799 # DEPENDENCYPART_ARC
(6,12),-4.02874 # DEPENDENCYPART_ARC
(6,13),-3.87617 # DEPENDENCYPART_ARC
(6,14),-3.1153 # DEPENDENCYPART_ARC
(6,15),-4.0866 # DEPENDENCYPART_ARC
(6,16),-4.05262 # DEPENDENCYPART_ARC
(6,17),-4.4079 # DEPENDENCYPART_ARC
