# _root_ He de reconèixer que és difícil , amb un nacionalisme espanyol tan excloent com el que està fent el PP , mantenir aquesta política de pactes perquè de_vegades fan trontollar .
#goldHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,8,5,24,22,24,25,29,29,5,29,3,
#predictedHeads=3,3,0,5,3,5,8,18,10,8,10,13,10,18,18,18,18,3,20,18,18,18,24,22,24,25,30,30,30,22,3,
(0,1),-2.98153 # DEPENDENCYPART_ARC
(0,2),-7.25617 # DEPENDENCYPART_ARC
(0,3),-4.14561 # DEPENDENCYPART_ARC
(0,4),-7.27388 # DEPENDENCYPART_ARC
(0,5),-4.27445 # DEPENDENCYPART_ARC
(0,6),-9.14606 # DEPENDENCYPART_ARC
(0,8),-7.45911 # DEPENDENCYPART_ARC
(0,10),-7.20401 # DEPENDENCYPART_ARC
(0,11),-9.20268 # DEPENDENCYPART_ARC
(0,12),-8.62275 # DEPENDENCYPART_ARC
(0,13),-9.18885 # DEPENDENCYPART_ARC
(0,14),-7.77848 # DEPENDENCYPART_ARC
(0,17),-5.23512 # DEPENDENCYPART_ARC
(0,18),-6.97664 # DEPENDENCYPART_ARC
(0,20),-7.41059 # DEPENDENCYPART_ARC
(0,22),-7.59522 # DEPENDENCYPART_ARC
(0,24),-7.98606 # DEPENDENCYPART_ARC
(0,25),-9.13401 # DEPENDENCYPART_ARC
(0,26),-8.30314 # DEPENDENCYPART_ARC
(0,27),-8.81128 # DEPENDENCYPART_ARC
(0,28),-9.84229 # DEPENDENCYPART_ARC
(0,29),-5.93471 # DEPENDENCYPART_ARC
(0,30),-7.01806 # DEPENDENCYPART_ARC
(1,2),0.373114 # DEPENDENCYPART_ARC
(1,3),0.0420239 # DEPENDENCYPART_ARC
(1,4),-0.787542 # DEPENDENCYPART_ARC
(1,5),0.995827 # DEPENDENCYPART_ARC
(1,6),-1.41061 # DEPENDENCYPART_ARC
(1,7),-0.682851 # DEPENDENCYPART_ARC
(1,8),-1.62167 # DEPENDENCYPART_ARC
(1,9),-4.64911 # DEPENDENCYPART_ARC
(1,10),-2.37787 # DEPENDENCYPART_ARC
(1,11),-2.33413 # DEPENDENCYPART_ARC
(1,12),-2.78465 # DEPENDENCYPART_ARC
(1,13),-2.53243 # DEPENDENCYPART_ARC
(1,14),-3.02882 # DEPENDENCYPART_ARC
(1,15),-5.13425 # DEPENDENCYPART_ARC
(1,16),-4.37926 # DEPENDENCYPART_ARC
(1,17),-1.07743 # DEPENDENCYPART_ARC
(1,18),-1.87057 # DEPENDENCYPART_ARC
(1,19),-5.38221 # DEPENDENCYPART_ARC
(1,20),-4.51895 # DEPENDENCYPART_ARC
(1,21),-0.542329 # DEPENDENCYPART_ARC
(1,22),-1.91313 # DEPENDENCYPART_ARC
(1,24),-4.75653 # DEPENDENCYPART_ARC
(1,25),-5.62737 # DEPENDENCYPART_ARC
(1,26),-5.91643 # DEPENDENCYPART_ARC
(1,27),-5.55875 # DEPENDENCYPART_ARC
(1,28),-4.88657 # DEPENDENCYPART_ARC
(1,29),-2.16929 # DEPENDENCYPART_ARC
(1,30),-2.7055 # DEPENDENCYPART_ARC
(1,31),3.98418 # DEPENDENCYPART_ARC
(2,1),0.542214 # DEPENDENCYPART_ARC
(2,3),3.36615 # DEPENDENCYPART_ARC
(2,4),-0.398061 # DEPENDENCYPART_ARC
(2,5),-0.00244088 # DEPENDENCYPART_ARC
(2,6),0.290039 # DEPENDENCYPART_ARC
(2,7),0.176934 # DEPENDENCYPART_ARC
(2,8),-1.15807 # DEPENDENCYPART_ARC
(2,9),-2.9515 # DEPENDENCYPART_ARC
(2,10),-0.772279 # DEPENDENCYPART_ARC
(2,11),-1.40881 # DEPENDENCYPART_ARC
(2,12),-1.19203 # DEPENDENCYPART_ARC
(2,13),-0.785581 # DEPENDENCYPART_ARC
(2,14),-1.78443 # DEPENDENCYPART_ARC
(2,15),-2.99093 # DEPENDENCYPART_ARC
(2,16),-3.6246 # DEPENDENCYPART_ARC
(2,17),-1.92568 # DEPENDENCYPART_ARC
(2,18),-1.6465 # DEPENDENCYPART_ARC
(2,19),-2.9336 # DEPENDENCYPART_ARC
(2,20),-6.24828 # DEPENDENCYPART_ARC
(2,21),-1.85412 # DEPENDENCYPART_ARC
(2,22),-2.41287 # DEPENDENCYPART_ARC
(2,24),-8.8015 # DEPENDENCYPART_ARC
(2,25),-3.41234 # DEPENDENCYPART_ARC
(2,26),-9.86459 # DEPENDENCYPART_ARC
(2,27),-1.99016 # DEPENDENCYPART_ARC
(2,28),-2.41366 # DEPENDENCYPART_ARC
(2,29),-5.04737 # DEPENDENCYPART_ARC
(2,30),-4.58067 # DEPENDENCYPART_ARC
(2,31),0.119097 # DEPENDENCYPART_ARC
(3,1),4.06451 # DEPENDENCYPART_ARC
(3,2),4.16299 # DEPENDENCYPART_ARC
(3,4),2.53154 # DEPENDENCYPART_ARC
(3,5),3.73869 # DEPENDENCYPART_ARC
(3,6),0.54604 # DEPENDENCYPART_ARC
(3,7),0.757623 # DEPENDENCYPART_ARC
(3,8),0.325753 # DEPENDENCYPART_ARC
(3,10),-0.548084 # DEPENDENCYPART_ARC
(3,11),-0.982305 # DEPENDENCYPART_ARC
(3,12),-0.816171 # DEPENDENCYPART_ARC
(3,13),-0.759367 # DEPENDENCYPART_ARC
(3,14),-1.42113 # DEPENDENCYPART_ARC
(3,15),-2.96576 # DEPENDENCYPART_ARC
(3,16),-1.32475 # DEPENDENCYPART_ARC
(3,17),0.904502 # DEPENDENCYPART_ARC
(3,18),1.15705 # DEPENDENCYPART_ARC
(3,19),-3.33439 # DEPENDENCYPART_ARC
(3,20),-3.57558 # DEPENDENCYPART_ARC
(3,21),0.502631 # DEPENDENCYPART_ARC
(3,22),0.543205 # DEPENDENCYPART_ARC
(3,23),-2.95962 # DEPENDENCYPART_ARC
(3,24),-2.80498 # DEPENDENCYPART_ARC
(3,25),-3.81377 # DEPENDENCYPART_ARC
(3,26),-3.04137 # DEPENDENCYPART_ARC
(3,27),-3.91461 # DEPENDENCYPART_ARC
(3,28),-3.28372 # DEPENDENCYPART_ARC
(3,29),0.036178 # DEPENDENCYPART_ARC
(3,30),-0.0267582 # DEPENDENCYPART_ARC
(3,31),6.22235 # DEPENDENCYPART_ARC
(4,1),-3.61264 # DEPENDENCYPART_ARC
(4,2),-2.19126 # DEPENDENCYPART_ARC
(4,3),-2.04502 # DEPENDENCYPART_ARC
(4,5),0.516261 # DEPENDENCYPART_ARC
(4,6),-1.62393 # DEPENDENCYPART_ARC
(4,7),-2.03839 # DEPENDENCYPART_ARC
(4,8),-2.41246 # DEPENDENCYPART_ARC
(4,9),-3.50331 # DEPENDENCYPART_ARC
(4,10),-3.675 # DEPENDENCYPART_ARC
(4,11),-2.86357 # DEPENDENCYPART_ARC
(4,12),-3.50745 # DEPENDENCYPART_ARC
(4,13),-2.74846 # DEPENDENCYPART_ARC
(4,14),-1.63987 # DEPENDENCYPART_ARC
(4,17),-2.55405 # DEPENDENCYPART_ARC
(4,18),-2.69095 # DEPENDENCYPART_ARC
(4,20),-5.00638 # DEPENDENCYPART_ARC
(4,21),-3.16402 # DEPENDENCYPART_ARC
(4,22),-3.00349 # DEPENDENCYPART_ARC
(4,24),-5.81812 # DEPENDENCYPART_ARC
(4,25),-3.73058 # DEPENDENCYPART_ARC
(4,26),-5.903 # DEPENDENCYPART_ARC
(4,27),-2.13109 # DEPENDENCYPART_ARC
(4,28),-4.39844 # DEPENDENCYPART_ARC
(4,29),-3.8118 # DEPENDENCYPART_ARC
(4,30),-4.06496 # DEPENDENCYPART_ARC
(4,31),-2.07966 # DEPENDENCYPART_ARC
(5,1),-0.458808 # DEPENDENCYPART_ARC
(5,2),-0.0925796 # DEPENDENCYPART_ARC
(5,3),-0.268156 # DEPENDENCYPART_ARC
(5,4),4.7441 # DEPENDENCYPART_ARC
(5,6),3.21856 # DEPENDENCYPART_ARC
(5,7),1.00845 # DEPENDENCYPART_ARC
(5,8),0.947998 # DEPENDENCYPART_ARC
(5,9),-2.89939 # DEPENDENCYPART_ARC
(5,10),0.533634 # DEPENDENCYPART_ARC
(5,11),-0.0411624 # DEPENDENCYPART_ARC
(5,12),-0.408717 # DEPENDENCYPART_ARC
