# _root_ Boff va ser condemnat pel Vaticà , l' any_1985 , a un any de silenci i va tornar a ser amonestat posteriorment pel contingut dels seus escrits .
#goldHeads=4,4,4,0,4,5,9,9,4,9,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
#predictedHeads=4,4,4,0,4,5,9,9,4,11,4,13,11,13,14,4,21,20,21,21,4,21,21,23,24,27,25,4,
(0,1),-5.97003 # DEPENDENCYPART_ARC
(0,2),-2.48226 # DEPENDENCYPART_ARC
(0,3),-2.29155 # DEPENDENCYPART_ARC
(0,4),-2.7158 # DEPENDENCYPART_ARC
(0,5),-8.22687 # DEPENDENCYPART_ARC
(0,6),-6.97286 # DEPENDENCYPART_ARC
(0,7),-8.10448 # DEPENDENCYPART_ARC
(0,8),-9.98488 # DEPENDENCYPART_ARC
(0,9),-8.28247 # DEPENDENCYPART_ARC
(0,10),-8.23442 # DEPENDENCYPART_ARC
(0,11),-7.9098 # DEPENDENCYPART_ARC
(0,12),-10.2503 # DEPENDENCYPART_ARC
(0,13),-7.59501 # DEPENDENCYPART_ARC
(0,14),-8.48118 # DEPENDENCYPART_ARC
(0,15),-7.09478 # DEPENDENCYPART_ARC
(0,16),-8.25618 # DEPENDENCYPART_ARC
(0,17),-3.50742 # DEPENDENCYPART_ARC
(0,18),-3.47035 # DEPENDENCYPART_ARC
(0,19),-8.11718 # DEPENDENCYPART_ARC
(0,20),-3.54567 # DEPENDENCYPART_ARC
(0,21),-3.38317 # DEPENDENCYPART_ARC
(0,22),-8.81628 # DEPENDENCYPART_ARC
(0,23),-8.09082 # DEPENDENCYPART_ARC
(0,24),-6.95298 # DEPENDENCYPART_ARC
(0,25),-8.6161 # DEPENDENCYPART_ARC
(0,26),-9.96969 # DEPENDENCYPART_ARC
(0,27),-6.85453 # DEPENDENCYPART_ARC
(0,28),-9.33931 # DEPENDENCYPART_ARC
(1,2),0.802336 # DEPENDENCYPART_ARC
(1,3),-0.218435 # DEPENDENCYPART_ARC
(1,4),-1.38748 # DEPENDENCYPART_ARC
(1,5),-1.73131 # DEPENDENCYPART_ARC
(1,6),-1.1177 # DEPENDENCYPART_ARC
(1,7),-0.632395 # DEPENDENCYPART_ARC
(1,8),-1.81275 # DEPENDENCYPART_ARC
(1,9),-0.738307 # DEPENDENCYPART_ARC
(1,10),-0.699095 # DEPENDENCYPART_ARC
(1,11),-1.29816 # DEPENDENCYPART_ARC
(1,12),-2.03451 # DEPENDENCYPART_ARC
(1,13),-2.40295 # DEPENDENCYPART_ARC
(1,14),-2.70555 # DEPENDENCYPART_ARC
(1,15),-2.24067 # DEPENDENCYPART_ARC
