# _root_ Aquesta primera edició de la Fira tindrà com_a escenari el municipi de l' Estany , però com en el cas de la Festa serà itinerant pels 10 municipis del Moianès , i se celebrarà sempre el primer cap de setmana de juny .
#goldHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,11,7,24,17,20,18,20,23,21,7,24,24,28,26,28,29,26,24,34,24,34,38,38,34,38,39,38,41,7,
#predictedHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,7,7,24,24,20,18,20,23,21,7,24,25,28,26,28,29,24,7,34,24,34,38,38,34,38,39,38,41,7,
(0,1),-7.77902 # DEPENDENCYPART_ARC
(0,2),-7.01586 # DEPENDENCYPART_ARC
(0,3),-7.08045 # DEPENDENCYPART_ARC
(0,4),-7.51038 # DEPENDENCYPART_ARC
(0,5),-9.09577 # DEPENDENCYPART_ARC
(0,6),-7.22655 # DEPENDENCYPART_ARC
(0,7),-2.0253 # DEPENDENCYPART_ARC
(0,8),-7.31877 # DEPENDENCYPART_ARC
(0,9),-7.30395 # DEPENDENCYPART_ARC
(0,10),-9.67375 # DEPENDENCYPART_ARC
(0,11),-8.20085 # DEPENDENCYPART_ARC
(0,12),-8.86419 # DEPENDENCYPART_ARC
(0,13),-9.76457 # DEPENDENCYPART_ARC
(0,14),-7.97259 # DEPENDENCYPART_ARC
(0,15),-8.34823 # DEPENDENCYPART_ARC
(0,16),-7.74995 # DEPENDENCYPART_ARC
(0,17),-7.17333 # DEPENDENCYPART_ARC
(0,18),-8.36514 # DEPENDENCYPART_ARC
(0,19),-9.73881 # DEPENDENCYPART_ARC
(0,20),-8.8649 # DEPENDENCYPART_ARC
(0,21),-9.44129 # DEPENDENCYPART_ARC
(0,22),-9.87017 # DEPENDENCYPART_ARC
(0,23),-8.83109 # DEPENDENCYPART_ARC
(0,24),-3.70645 # DEPENDENCYPART_ARC
(0,25),-7.88383 # DEPENDENCYPART_ARC
(0,26),-9.41818 # DEPENDENCYPART_ARC
(0,27),-8.49119 # DEPENDENCYPART_ARC
(0,28),-9.05576 # DEPENDENCYPART_ARC
(0,29),-10.2503 # DEPENDENCYPART_ARC
(0,30),-8.67321 # DEPENDENCYPART_ARC
(0,31),-9.67683 # DEPENDENCYPART_ARC
(0,32),-8.66856 # DEPENDENCYPART_ARC
(0,33),-6.33832 # DEPENDENCYPART_ARC
(0,34),-3.56641 # DEPENDENCYPART_ARC
(0,35),-9.44964 # DEPENDENCYPART_ARC
(0,36),-10.5415 # DEPENDENCYPART_ARC
(0,37),-8.26471 # DEPENDENCYPART_ARC
(0,38),-9.74373 # DEPENDENCYPART_ARC
(0,39),-11.1707 # DEPENDENCYPART_ARC
(0,40),-9.53456 # DEPENDENCYPART_ARC
(0,41),-11.9287 # DEPENDENCYPART_ARC
(0,42),-9.8978 # DEPENDENCYPART_ARC
(0,43),-10.6233 # DEPENDENCYPART_ARC
(1,2),0.299187 # DEPENDENCYPART_ARC
(1,3),0.211124 # DEPENDENCYPART_ARC
(1,4),-0.65647 # DEPENDENCYPART_ARC
(1,5),0.156465 # DEPENDENCYPART_ARC
(1,6),-2.01456 # DEPENDENCYPART_ARC
(1,7),-2.19377 # DEPENDENCYPART_ARC
(1,8),-2.65328 # DEPENDENCYPART_ARC
(1,9),-3.58199 # DEPENDENCYPART_ARC
(1,10),-3.99657 # DEPENDENCYPART_ARC
(1,11),-3.81241 # DEPENDENCYPART_ARC
(1,12),-3.16108 # DEPENDENCYPART_ARC
(1,13),-3.24539 # DEPENDENCYPART_ARC
(1,14),-4.41102 # DEPENDENCYPART_ARC
(1,15),-3.29033 # DEPENDENCYPART_ARC
(1,16),-2.68409 # DEPENDENCYPART_ARC
(1,17),-2.81977 # DEPENDENCYPART_ARC
(1,18),-4.87858 # DEPENDENCYPART_ARC
(1,19),-5.67357 # DEPENDENCYPART_ARC
(1,20),-4.77246 # DEPENDENCYPART_ARC
(1,21),-4.36981 # DEPENDENCYPART_ARC
(1,22),-5.1144 # DEPENDENCYPART_ARC
(1,23),-4.96107 # DEPENDENCYPART_ARC
(1,24),-3.7368 # DEPENDENCYPART_ARC
(1,25),-3.70249 # DEPENDENCYPART_ARC
(1,26),-4.99526 # DEPENDENCYPART_ARC
(1,27),-2.6825 # DEPENDENCYPART_ARC
(1,28),-6.2012 # DEPENDENCYPART_ARC
(1,29),-5.26018 # DEPENDENCYPART_ARC
(1,30),-6.10324 # DEPENDENCYPART_ARC
(1,31),-4.73857 # DEPENDENCYPART_ARC
(1,32),-4.49454 # DEPENDENCYPART_ARC
(1,33),-3.76879 # DEPENDENCYPART_ARC
(1,34),-4.46102 # DEPENDENCYPART_ARC
(1,35),-3.4284 # DEPENDENCYPART_ARC
(1,36),-9.69005 # DEPENDENCYPART_ARC
(1,37),-5.20672 # DEPENDENCYPART_ARC
(1,38),-6.70995 # DEPENDENCYPART_ARC
(1,39),-6.64363 # DEPENDENCYPART_ARC
(1,40),-6.11574 # DEPENDENCYPART_ARC
(1,41),-7.35386 # DEPENDENCYPART_ARC
(1,42),-3.92244 # DEPENDENCYPART_ARC
(1,43),-5.05417 # DEPENDENCYPART_ARC
(2,1),2.03112 # DEPENDENCYPART_ARC
(2,3),0.947078 # DEPENDENCYPART_ARC
(2,4),-1.04786 # DEPENDENCYPART_ARC
(2,5),-1.79927 # DEPENDENCYPART_ARC
(2,6),-0.286492 # DEPENDENCYPART_ARC
(2,7),0.428752 # DEPENDENCYPART_ARC
(2,8),-2.06171 # DEPENDENCYPART_ARC
(2,9),-1.04186 # DEPENDENCYPART_ARC
(2,10),-3.42866 # DEPENDENCYPART_ARC
(2,11),-1.17061 # DEPENDENCYPART_ARC
(2,12),-4.18601 # DEPENDENCYPART_ARC
(2,13),-3.20937 # DEPENDENCYPART_ARC
(2,14),-0.909945 # DEPENDENCYPART_ARC
(2,15),-2.519 # DEPENDENCYPART_ARC
(2,16),-0.676194 # DEPENDENCYPART_ARC
(2,17),-2.18571 # DEPENDENCYPART_ARC
(2,18),-3.00161 # DEPENDENCYPART_ARC
(2,19),-3.72084 # DEPENDENCYPART_ARC
(2,20),-1.72686 # DEPENDENCYPART_ARC
(2,21),-5.67854 # DEPENDENCYPART_ARC
(2,22),-3.243 # DEPENDENCYPART_ARC
(2,23),-1.63949 # DEPENDENCYPART_ARC
(2,24),-1.97488 # DEPENDENCYPART_ARC
(2,25),-3.67892 # DEPENDENCYPART_ARC
(2,26),-3.89321 # DEPENDENCYPART_ARC
(2,27),-3.46119 # DEPENDENCYPART_ARC
(2,28),-2.3183 # DEPENDENCYPART_ARC
(2,29),-6.53306 # DEPENDENCYPART_ARC
(2,30),-1.7528 # DEPENDENCYPART_ARC
(2,31),-4.52938 # DEPENDENCYPART_ARC
(2,32),-2.94088 # DEPENDENCYPART_ARC
(2,33),-3.27643 # DEPENDENCYPART_ARC
(2,34),-2.57675 # DEPENDENCYPART_ARC
(2,35),-2.90099 # DEPENDENCYPART_ARC
(2,36),-4.73856 # DEPENDENCYPART_ARC
(2,37),-6.59008 # DEPENDENCYPART_ARC
(2,38),-2.52629 # DEPENDENCYPART_ARC
(2,39),-9.50781 # DEPENDENCYPART_ARC
(2,40),-2.65666 # DEPENDENCYPART_ARC
(2,41),-10.3418 # DEPENDENCYPART_ARC
(2,42),-3.61889 # DEPENDENCYPART_ARC
(2,43),-4.57406 # DEPENDENCYPART_ARC
(3,1),4.82959 # DEPENDENCYPART_ARC
(3,2),5.28773 # DEPENDENCYPART_ARC
(3,4),3.49036 # DEPENDENCYPART_ARC
(3,5),0.382398 # DEPENDENCYPART_ARC
(3,6),1.16474 # DEPENDENCYPART_ARC
(3,7),1.80136 # DEPENDENCYPART_ARC
(3,8),0.33884 # DEPENDENCYPART_ARC
(3,9),-0.381956 # DEPENDENCYPART_ARC
(3,10),-1.69946 # DEPENDENCYPART_ARC
(3,11),0.209327 # DEPENDENCYPART_ARC
(3,12),0.0145233 # DEPENDENCYPART_ARC
(3,13),-1.69081 # DEPENDENCYPART_ARC
(3,14),0.0191639 # DEPENDENCYPART_ARC
(3,15),0.615356 # DEPENDENCYPART_ARC
(3,16),-0.309533 # DEPENDENCYPART_ARC
(3,17),-1.1297 # DEPENDENCYPART_ARC
(3,18),-1.36453 # DEPENDENCYPART_ARC
(3,19),-2.73824 # DEPENDENCYPART_ARC
(3,20),-0.874619 # DEPENDENCYPART_ARC
(3,21),-2.4489 # DEPENDENCYPART_ARC
(3,22),-2.29577 # DEPENDENCYPART_ARC
(3,23),-0.652904 # DEPENDENCYPART_ARC
(3,24),-2.67379 # DEPENDENCYPART_ARC
(3,25),-0.606512 # DEPENDENCYPART_ARC
(3,26),-1.11052 # DEPENDENCYPART_ARC
(3,27),-1.77345 # DEPENDENCYPART_ARC
(3,28),-1.44738 # DEPENDENCYPART_ARC
(3,29),-2.83305 # DEPENDENCYPART_ARC
(3,30),-1.13747 # DEPENDENCYPART_ARC
(3,31),-0.390595 # DEPENDENCYPART_ARC
(3,32),-2.4925 # DEPENDENCYPART_ARC
(3,33),-1.4119 # DEPENDENCYPART_ARC
(3,34),-2.15921 # DEPENDENCYPART_ARC
(3,35),-2.78005 # DEPENDENCYPART_ARC
(3,36),-4.27006 # DEPENDENCYPART_ARC
(3,37),-3.26559 # DEPENDENCYPART_ARC
(3,38),-2.51453 # DEPENDENCYPART_ARC
(3,39),-7.19471 # DEPENDENCYPART_ARC
(3,40),-2.71616 # DEPENDENCYPART_ARC
(3,41),-7.89483 # DEPENDENCYPART_ARC
(3,42),-1.87912 # DEPENDENCYPART_ARC
(3,43),3.19015 # DEPENDENCYPART_ARC
(4,1),0.114022 # DEPENDENCYPART_ARC
(4,2),-0.524642 # DEPENDENCYPART_ARC
(4,3),-0.085435 # DEPENDENCYPART_ARC
(4,5),-0.0370992 # DEPENDENCYPART_ARC
(4,6),4.71024 # DEPENDENCYPART_ARC
(4,7),-0.799593 # DEPENDENCYPART_ARC
(4,8),-1.26024 # DEPENDENCYPART_ARC
(4,9),-0.0737729 # DEPENDENCYPART_ARC
(4,10),-2.44362 # DEPENDENCYPART_ARC
(4,11),-2.26578 # DEPENDENCYPART_ARC
(4,12),-1.00179 # DEPENDENCYPART_ARC
(4,13),-2.09508 # DEPENDENCYPART_ARC
(4,14),-3.9234 # DEPENDENCYPART_ARC
(4,15),-1.12318 # DEPENDENCYPART_ARC
(4,16),-1.38059 # DEPENDENCYPART_ARC
(4,17),0.0622756 # DEPENDENCYPART_ARC
(4,18),-2.08452 # DEPENDENCYPART_ARC
(4,19),-2.7094 # DEPENDENCYPART_ARC
(4,20),-6.92636 # DEPENDENCYPART_ARC
(4,21),-1.44027 # DEPENDENCYPART_ARC
(4,22),-2.62933 # DEPENDENCYPART_ARC
(4,23),-8.21491 # DEPENDENCYPART_ARC
(4,24),-3.7651 # DEPENDENCYPART_ARC
(4,25),-3.45769 # DEPENDENCYPART_ARC
(4,26),-3.5669 # DEPENDENCYPART_ARC
(4,27),-4.52554 # DEPENDENCYPART_ARC
(4,28),-10.289 # DEPENDENCYPART_ARC
(4,29),-2.37106 # DEPENDENCYPART_ARC
(4,30),-12.1541 # DEPENDENCYPART_ARC
(4,31),-2.28826 # DEPENDENCYPART_ARC
(4,32),-2.48416 # DEPENDENCYPART_ARC
(4,33),-7.71728 # DEPENDENCYPART_ARC
(4,34),-3.92098 # DEPENDENCYPART_ARC
(4,35),-3.27209 # DEPENDENCYPART_ARC
(4,36),-2.97105 # DEPENDENCYPART_ARC
(4,37),-6.23553 # DEPENDENCYPART_ARC
(4,38),-16.0683 # DEPENDENCYPART_ARC
(4,39),-3.69549 # DEPENDENCYPART_ARC
(4,40),-17.5714 # DEPENDENCYPART_ARC
(4,41),-3.84875 # DEPENDENCYPART_ARC
(4,42),-8.31587 # DEPENDENCYPART_ARC
(4,43),-0.411484 # DEPENDENCYPART_ARC
(5,1),-0.214501 # DEPENDENCYPART_ARC
(5,2),-1.07166 # DEPENDENCYPART_ARC
(5,3),-0.897912 # DEPENDENCYPART_ARC
(5,4),0.347431 # DEPENDENCYPART_ARC
(5,6),0.974908 # DEPENDENCYPART_ARC
(5,7),-1.21564 # DEPENDENCYPART_ARC
(5,8),-1.75412 # DEPENDENCYPART_ARC
(5,9),-2.50124 # DEPENDENCYPART_ARC
(5,10),-2.70855 # DEPENDENCYPART_ARC
(5,11),-2.60561 # DEPENDENCYPART_ARC
(5,12),-2.6126 # DEPENDENCYPART_ARC
(5,13),-1.43365 # DEPENDENCYPART_ARC
(5,14),-4.1597 # DEPENDENCYPART_ARC
(5,15),-3.88829 # DEPENDENCYPART_ARC
(5,16),-3.38171 # DEPENDENCYPART_ARC
(5,17),-3.59102 # DEPENDENCYPART_ARC
(5,18),-5.00292 # DEPENDENCYPART_ARC
(5,19),-4.2286 # DEPENDENCYPART_ARC
(5,20),-3.9138 # DEPENDENCYPART_ARC
(5,21),-4.00569 # DEPENDENCYPART_ARC
(5,22),-2.72631 # DEPENDENCYPART_ARC
(5,23),-4.99502 # DEPENDENCYPART_ARC
(5,24),-4.33682 # DEPENDENCYPART_ARC
(5,25),-4.0563 # DEPENDENCYPART_ARC
(5,26),-5.20133 # DEPENDENCYPART_ARC
(5,27),-2.91243 # DEPENDENCYPART_ARC
(5,28),-5.94385 # DEPENDENCYPART_ARC
(5,29),-5.32767 # DEPENDENCYPART_ARC
(5,30),-6.44737 # DEPENDENCYPART_ARC
(5,31),-5.76734 # DEPENDENCYPART_ARC
(5,32),-5.70459 # DEPENDENCYPART_ARC
(5,33),-3.9088 # DEPENDENCYPART_ARC
(5,34),-5.04953 # DEPENDENCYPART_ARC
(5,35),-4.18896 # DEPENDENCYPART_ARC
(5,36),-8.75699 # DEPENDENCYPART_ARC
(5,37),-5.54655 # DEPENDENCYPART_ARC
(5,38),-6.5814 # DEPENDENCYPART_ARC
(5,39),-6.56314 # DEPENDENCYPART_ARC
(5,40),-6.15947 # DEPENDENCYPART_ARC
(5,41),-7.30833 # DEPENDENCYPART_ARC
(5,42),-4.44434 # DEPENDENCYPART_ARC
(5,43),-5.89899 # DEPENDENCYPART_ARC
(6,1),-0.0750021 # DEPENDENCYPART_ARC
(6,2),-1.21268 # DEPENDENCYPART_ARC
(6,3),-1.00104 # DEPENDENCYPART_ARC
(6,4),0.536314 # DEPENDENCYPART_ARC
(6,5),4.18807 # DEPENDENCYPART_ARC
(6,7),0.153665 # DEPENDENCYPART_ARC
(6,8),-2.0965 # DEPENDENCYPART_ARC
(6,9),-1.67117 # DEPENDENCYPART_ARC
(6,10),-2.47151 # DEPENDENCYPART_ARC
(6,11),-1.62759 # DEPENDENCYPART_ARC
(6,12),-1.14613 # DEPENDENCYPART_ARC
(6,13),-3.09044 # DEPENDENCYPART_ARC
(6,14),-1.74792 # DEPENDENCYPART_ARC
(6,15),-1.46305 # DEPENDENCYPART_ARC
(6,16),-2.27804 # DEPENDENCYPART_ARC
(6,17),-2.81055 # DEPENDENCYPART_ARC
(6,18),-3.81709 # DEPENDENCYPART_ARC
(6,19),-3.73765 # DEPENDENCYPART_ARC
(6,20),-3.22247 # DEPENDENCYPART_ARC
(6,21),-3.12837 # DEPENDENCYPART_ARC
(6,22),-3.89932 # DEPENDENCYPART_ARC
(6,23),-2.94631 # DEPENDENCYPART_ARC
(6,24),-4.51668 # DEPENDENCYPART_ARC
(6,25),-2.82474 # DEPENDENCYPART_ARC
(6,26),-2.7443 # DEPENDENCYPART_ARC
(6,27),-3.27616 # DEPENDENCYPART_ARC
(6,28),-4.29645 # DEPENDENCYPART_ARC
(6,29),-4.5092 # DEPENDENCYPART_ARC
(6,30),-3.79819 # DEPENDENCYPART_ARC
(6,31),-2.98612 # DEPENDENCYPART_ARC
(6,32),-4.35908 # DEPENDENCYPART_ARC
(6,33),-2.85799 # DEPENDENCYPART_ARC
(6,34),-4.3958 # DEPENDENCYPART_ARC
(6,35),-4.35106 # DEPENDENCYPART_ARC
(6,36),-5.06044 # DEPENDENCYPART_ARC
(6,37),-3.98117 # DEPENDENCYPART_ARC
(6,38),-5.71522 # DEPENDENCYPART_ARC
(6,39),-6.85897 # DEPENDENCYPART_ARC
(6,40),-6.32694 # DEPENDENCYPART_ARC
(6,41),-7.42386 # DEPENDENCYPART_ARC
(6,42),-3.2485 # DEPENDENCYPART_ARC
(6,43),1.90858 # DEPENDENCYPART_ARC
(7,1),-0.852289 # DEPENDENCYPART_ARC
(7,2),0.550951 # DEPENDENCYPART_ARC
(7,3),1.89918 # DEPENDENCYPART_ARC
(7,4),0.514692 # DEPENDENCYPART_ARC
(7,5),1.37195 # DEPENDENCYPART_ARC
(7,6),2.95377 # DEPENDENCYPART_ARC
(7,8),4.13209 # DEPENDENCYPART_ARC
(7,9),2.62829 # DEPENDENCYPART_ARC
(7,10),-2.0589 # DEPENDENCYPART_ARC
(7,11),2.24672 # DEPENDENCYPART_ARC
(7,12),0.984215 # DEPENDENCYPART_ARC
(7,13),-1.5214 # DEPENDENCYPART_ARC
(7,14),1.45031 # DEPENDENCYPART_ARC
(7,15),1.83021 # DEPENDENCYPART_ARC
(7,16),3.36359 # DEPENDENCYPART_ARC
(7,17),0.463122 # DEPENDENCYPART_ARC
(7,18),-0.473664 # DEPENDENCYPART_ARC
(7,19),-2.59436 # DEPENDENCYPART_ARC
(7,20),-0.889651 # DEPENDENCYPART_ARC
(7,21),-0.0634917 # DEPENDENCYPART_ARC
(7,22),-2.46496 # DEPENDENCYPART_ARC
(7,23),-1.72449 # DEPENDENCYPART_ARC
(7,24),3.67001 # DEPENDENCYPART_ARC
(7,25),-0.319157 # DEPENDENCYPART_ARC
(7,26),0.0307014 # DEPENDENCYPART_ARC
(7,27),0.377849 # DEPENDENCYPART_ARC
(7,28),-1.29415 # DEPENDENCYPART_ARC
(7,29),-3.40042 # DEPENDENCYPART_ARC
(7,30),-2.99541 # DEPENDENCYPART_ARC
(7,31),1.46058 # DEPENDENCYPART_ARC
(7,32),3.19092 # DEPENDENCYPART_ARC
(7,33),-0.172141 # DEPENDENCYPART_ARC
(7,34),1.18093 # DEPENDENCYPART_ARC
(7,35),-3.7179 # DEPENDENCYPART_ARC
(7,36),-3.57466 # DEPENDENCYPART_ARC
(7,37),-2.17375 # DEPENDENCYPART_ARC
(7,38),-3.68397 # DEPENDENCYPART_ARC
(7,39),-3.0113 # DEPENDENCYPART_ARC
(7,40),-5.19194 # DEPENDENCYPART_ARC
(7,41),-3.31192 # DEPENDENCYPART_ARC
(7,42),-2.38045 # DEPENDENCYPART_ARC
(7,43),7.93786 # DEPENDENCYPART_ARC
(8,1),-1.69129 # DEPENDENCYPART_ARC
(8,2),-2.25997 # DEPENDENCYPART_ARC
(8,3),-2.25992 # DEPENDENCYPART_ARC
