# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,8,16,16,3,16,17,18,19,3,
(0,1),-5.95596 # DEPENDENCYPART_ARC
(0,2),-2.95859 # DEPENDENCYPART_ARC
(0,3),-4.10293 # DEPENDENCYPART_ARC
(0,4),-9.55929 # DEPENDENCYPART_ARC
(0,5),-9.7875 # DEPENDENCYPART_ARC
(0,6),-7.76135 # DEPENDENCYPART_ARC
(0,7),-8.36073 # DEPENDENCYPART_ARC
(0,8),-8.19612 # DEPENDENCYPART_ARC
(0,9),-9.05438 # DEPENDENCYPART_ARC
(0,10),-8.19078 # DEPENDENCYPART_ARC
(0,11),-7.97706 # DEPENDENCYPART_ARC
(0,12),-7.32234 # DEPENDENCYPART_ARC
(0,13),-8.45362 # DEPENDENCYPART_ARC
(0,14),-7.43554 # DEPENDENCYPART_ARC
(0,15),-8.17571 # DEPENDENCYPART_ARC
(0,16),-6.15469 # DEPENDENCYPART_ARC
(0,17),-7.97936 # DEPENDENCYPART_ARC
(0,18),-7.53627 # DEPENDENCYPART_ARC
(0,19),-9.36437 # DEPENDENCYPART_ARC
(0,20),-8.37994 # DEPENDENCYPART_ARC
(0,21),-9.07593 # DEPENDENCYPART_ARC
(1,2),1.10528 # DEPENDENCYPART_ARC
(1,3),-0.450307 # DEPENDENCYPART_ARC
(1,4),-0.0149984 # DEPENDENCYPART_ARC
(1,5),-0.27797 # DEPENDENCYPART_ARC
(1,6),-0.466312 # DEPENDENCYPART_ARC
(1,7),-0.822608 # DEPENDENCYPART_ARC
(1,8),-2.46784 # DEPENDENCYPART_ARC
(1,9),-2.52091 # DEPENDENCYPART_ARC
(1,10),-0.69868 # DEPENDENCYPART_ARC
(1,11),-2.89631 # DEPENDENCYPART_ARC
(1,12),-1.79003 # DEPENDENCYPART_ARC
(1,13),-1.31502 # DEPENDENCYPART_ARC
(1,14),-1.98313 # DEPENDENCYPART_ARC
(1,15),-1.92516 # DEPENDENCYPART_ARC
(1,16),-2.27347 # DEPENDENCYPART_ARC
(1,17),-3.11952 # DEPENDENCYPART_ARC
(1,18),-2.2713 # DEPENDENCYPART_ARC
(1,19),-1.23465 # DEPENDENCYPART_ARC
(1,20),-2.23431 # DEPENDENCYPART_ARC
(1,21),0.619331 # DEPENDENCYPART_ARC
(2,1),1.96139 # DEPENDENCYPART_ARC
(2,3),2.53458 # DEPENDENCYPART_ARC
(2,4),-2.92075 # DEPENDENCYPART_ARC
(2,5),-3.65599 # DEPENDENCYPART_ARC
(2,6),0.351554 # DEPENDENCYPART_ARC
(2,7),-0.528109 # DEPENDENCYPART_ARC
(2,8),-0.138024 # DEPENDENCYPART_ARC
(2,9),-2.63121 # DEPENDENCYPART_ARC
(2,10),-0.793061 # DEPENDENCYPART_ARC
(2,11),-1.49503 # DEPENDENCYPART_ARC
(2,12),-2.42081 # DEPENDENCYPART_ARC
(2,13),-0.266505 # DEPENDENCYPART_ARC
(2,14),-2.32514 # DEPENDENCYPART_ARC
(2,15),-2.39368 # DEPENDENCYPART_ARC
(2,16),-0.674371 # DEPENDENCYPART_ARC
(2,17),-2.35995 # DEPENDENCYPART_ARC
(2,18),-3.10938 # DEPENDENCYPART_ARC
(2,19),-2.55277 # DEPENDENCYPART_ARC
(2,20),-2.14963 # DEPENDENCYPART_ARC
(2,21),2.66792 # DEPENDENCYPART_ARC
(3,1),4.19739 # DEPENDENCYPART_ARC
(3,2),6.09805 # DEPENDENCYPART_ARC
(3,4),0.0366037 # DEPENDENCYPART_ARC
(3,5),-0.353709 # DEPENDENCYPART_ARC
(3,6),2.87653 # DEPENDENCYPART_ARC
(3,7),1.08403 # DEPENDENCYPART_ARC
(3,8),2.35639 # DEPENDENCYPART_ARC
(3,9),0.361777 # DEPENDENCYPART_ARC
(3,10),0.982082 # DEPENDENCYPART_ARC
(3,11),0.365518 # DEPENDENCYPART_ARC
(3,12),0.787021 # DEPENDENCYPART_ARC
(3,13),1.21858 # DEPENDENCYPART_ARC
(3,14),-0.0604117 # DEPENDENCYPART_ARC
(3,15),-0.53468 # DEPENDENCYPART_ARC
(3,16),2.66737 # DEPENDENCYPART_ARC
(3,17),-0.619687 # DEPENDENCYPART_ARC
(3,18),-0.0930561 # DEPENDENCYPART_ARC
(3,19),0.283155 # DEPENDENCYPART_ARC
(3,20),-0.25465 # DEPENDENCYPART_ARC
(3,21),5.93671 # DEPENDENCYPART_ARC
(4,1),-2.71501 # DEPENDENCYPART_ARC
(4,2),-1.55302 # DEPENDENCYPART_ARC
(4,3),-1.64171 # DEPENDENCYPART_ARC
(4,5),3.72565 # DEPENDENCYPART_ARC
(4,6),-0.293589 # DEPENDENCYPART_ARC
(4,7),-0.763345 # DEPENDENCYPART_ARC
(4,8),-1.63447 # DEPENDENCYPART_ARC
(4,9),-1.88424 # DEPENDENCYPART_ARC
(4,10),-1.11772 # DEPENDENCYPART_ARC
(4,11),-2.18205 # DEPENDENCYPART_ARC
(4,12),-3.22482 # DEPENDENCYPART_ARC
(4,13),-1.18938 # DEPENDENCYPART_ARC
(4,14),-2.71537 # DEPENDENCYPART_ARC
(4,15),-1.77717 # DEPENDENCYPART_ARC
(4,16),-2.10013 # DEPENDENCYPART_ARC
(4,17),-2.88743 # DEPENDENCYPART_ARC
(4,18),-3.93582 # DEPENDENCYPART_ARC
(4,19),-5.00007 # DEPENDENCYPART_ARC
(4,20),-2.31045 # DEPENDENCYPART_ARC
(4,21),-1.405 # DEPENDENCYPART_ARC
(5,1),-1.07698 # DEPENDENCYPART_ARC
(5,2),-0.290057 # DEPENDENCYPART_ARC
(5,3),-0.582537 # DEPENDENCYPART_ARC
(5,4),4.78364 # DEPENDENCYPART_ARC
(5,6),0.0734307 # DEPENDENCYPART_ARC
(5,7),-1.27263 # DEPENDENCYPART_ARC
(5,8),-1.93173 # DEPENDENCYPART_ARC
(5,9),-2.34633 # DEPENDENCYPART_ARC
(5,10),-1.37739 # DEPENDENCYPART_ARC
(5,11),-2.51265 # DEPENDENCYPART_ARC
(5,12),-3.41799 # DEPENDENCYPART_ARC
(5,13),-2.44663 # DEPENDENCYPART_ARC
(5,14),-3.11148 # DEPENDENCYPART_ARC
(5,15),-2.35798 # DEPENDENCYPART_ARC
(5,16),-2.6137 # DEPENDENCYPART_ARC
(5,17),-3.3014 # DEPENDENCYPART_ARC
(5,18),-4.16223 # DEPENDENCYPART_ARC
(5,19),-5.5891 # DEPENDENCYPART_ARC
(5,20),-2.98744 # DEPENDENCYPART_ARC
(5,21),-2.90235 # DEPENDENCYPART_ARC
(6,1),0.206934 # DEPENDENCYPART_ARC
(6,2),-0.279023 # DEPENDENCYPART_ARC
(6,3),-0.261966 # DEPENDENCYPART_ARC
(6,4),3.03022 # DEPENDENCYPART_ARC
(6,5),4.49644 # DEPENDENCYPART_ARC
(6,7),0.880024 # DEPENDENCYPART_ARC
(6,8),0.708283 # DEPENDENCYPART_ARC
(6,9),-0.192901 # DEPENDENCYPART_ARC
(6,10),0.0838678 # DEPENDENCYPART_ARC
(6,11),-0.432878 # DEPENDENCYPART_ARC
(6,12),0.400241 # DEPENDENCYPART_ARC
(6,13),-0.50465 # DEPENDENCYPART_ARC
(6,14),-1.46691 # DEPENDENCYPART_ARC
(6,15),-0.887766 # DEPENDENCYPART_ARC
(6,16),1.5118 # DEPENDENCYPART_ARC
(6,17),-1.37976 # DEPENDENCYPART_ARC
(6,18),-1.57429 # DEPENDENCYPART_ARC
(6,19),-1.6085 # DEPENDENCYPART_ARC
(6,20),-1.19059 # DEPENDENCYPART_ARC
(6,21),1.95889 # DEPENDENCYPART_ARC
(7,1),-2.72993 # DEPENDENCYPART_ARC
(7,2),-2.91639 # DEPENDENCYPART_ARC
