# _root_ El Consell_Regulador_de_la_Denominació_d'_Origen_Empordà-Costa_Brava ha concedit el Premi_Tòria_d'_Or , creat per premiar la promoció dels vins d' aquesta denominació d' origen , al Restaurant Ca_la_Maria de Mollet_de_Peralada .
#goldHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,8,4,21,22,22,24,4,
#predictedHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,21,12,21,22,22,24,4,
(0,2),-6.95513 # DEPENDENCYPART_ARC
(0,3),-1.97219 # DEPENDENCYPART_ARC
(0,4),-2.97873 # DEPENDENCYPART_ARC
(0,6),-7.77658 # DEPENDENCYPART_ARC
(0,8),-9.37637 # DEPENDENCYPART_ARC
(0,9),-7.72507 # DEPENDENCYPART_ARC
(0,10),-4.02984 # DEPENDENCYPART_ARC
(0,12),-8.39516 # DEPENDENCYPART_ARC
(0,13),-8.73415 # DEPENDENCYPART_ARC
(0,14),-8.45625 # DEPENDENCYPART_ARC
(0,15),-8.83853 # DEPENDENCYPART_ARC
(0,17),-8.59253 # DEPENDENCYPART_ARC
(0,18),-9.11016 # DEPENDENCYPART_ARC
(0,19),-7.88508 # DEPENDENCYPART_ARC
(0,21),-9.81154 # DEPENDENCYPART_ARC
(0,22),-8.16744 # DEPENDENCYPART_ARC
(0,23),-8.59722 # DEPENDENCYPART_ARC
(0,24),-10.7604 # DEPENDENCYPART_ARC
(0,25),-8.02893 # DEPENDENCYPART_ARC
(1,2),0.238743 # DEPENDENCYPART_ARC
(1,5),-1.67253 # DEPENDENCYPART_ARC
(1,6),-3.37137 # DEPENDENCYPART_ARC
(1,8),-3.97972 # DEPENDENCYPART_ARC
(1,9),-3.94635 # DEPENDENCYPART_ARC
(1,11),-4.65193 # DEPENDENCYPART_ARC
(1,12),-4.11093 # DEPENDENCYPART_ARC
(1,13),-3.44728 # DEPENDENCYPART_ARC
(1,14),-4.94288 # DEPENDENCYPART_ARC
(1,15),-4.35071 # DEPENDENCYPART_ARC
(1,16),-5.99893 # DEPENDENCYPART_ARC
(1,17),-4.69817 # DEPENDENCYPART_ARC
(1,18),-4.1339 # DEPENDENCYPART_ARC
(1,19),-5.45763 # DEPENDENCYPART_ARC
(1,21),-5.56541 # DEPENDENCYPART_ARC
(1,22),-5.6459 # DEPENDENCYPART_ARC
(1,23),-5.4234 # DEPENDENCYPART_ARC
(1,24),-5.19071 # DEPENDENCYPART_ARC
(1,25),-6.2884 # DEPENDENCYPART_ARC
(2,1),3.52679 # DEPENDENCYPART_ARC
(2,3),-0.272229 # DEPENDENCYPART_ARC
(2,4),-0.476853 # DEPENDENCYPART_ARC
(2,5),-2.28804 # DEPENDENCYPART_ARC
(2,6),-0.833557 # DEPENDENCYPART_ARC
(2,7),-1.3118 # DEPENDENCYPART_ARC
(2,8),-0.770452 # DEPENDENCYPART_ARC
(2,9),-1.59144 # DEPENDENCYPART_ARC
(2,10),-2.40662 # DEPENDENCYPART_ARC
(2,11),-3.11396 # DEPENDENCYPART_ARC
(2,12),-1.99819 # DEPENDENCYPART_ARC
(2,13),-2.82512 # DEPENDENCYPART_ARC
(2,14),-2.36816 # DEPENDENCYPART_ARC
(2,15),-3.5417 # DEPENDENCYPART_ARC
(2,16),-3.84897 # DEPENDENCYPART_ARC
(2,17),-2.29302 # DEPENDENCYPART_ARC
(2,18),-4.11003 # DEPENDENCYPART_ARC
(2,19),-2.12647 # DEPENDENCYPART_ARC
(2,20),-2.19988 # DEPENDENCYPART_ARC
(2,21),-3.49098 # DEPENDENCYPART_ARC
(2,22),-2.46682 # DEPENDENCYPART_ARC
(2,23),-2.09364 # DEPENDENCYPART_ARC
(2,24),-5.54133 # DEPENDENCYPART_ARC
(2,25),-2.34649 # DEPENDENCYPART_ARC
(2,26),-1.2668 # DEPENDENCYPART_ARC
(3,1),-1.04879 # DEPENDENCYPART_ARC
(3,2),0.170558 # DEPENDENCYPART_ARC
(3,4),0.734914 # DEPENDENCYPART_ARC
(3,5),-3.42621 # DEPENDENCYPART_ARC
(3,6),0.097421 # DEPENDENCYPART_ARC
(3,7),-0.571448 # DEPENDENCYPART_ARC
(3,8),-0.753457 # DEPENDENCYPART_ARC
(3,9),-0.836079 # DEPENDENCYPART_ARC
(3,10),-1.40714 # DEPENDENCYPART_ARC
(3,11),-5.01099 # DEPENDENCYPART_ARC
(3,12),-1.50879 # DEPENDENCYPART_ARC
(3,13),-3.48652 # DEPENDENCYPART_ARC
(3,14),-2.22428 # DEPENDENCYPART_ARC
(3,15),-3.17255 # DEPENDENCYPART_ARC
(3,17),-1.93567 # DEPENDENCYPART_ARC
(3,18),-3.34877 # DEPENDENCYPART_ARC
