# _root_ La d' aquest any serà la tercera edició del Festival_de_Cinema_Negre_de_Manresa , la cinquena si no es té_en_compte l' especialització , que el converteix en l' únic certamen de l' Estat dedicat a aquest gènere .
#goldHeads=2,5,4,2,0,8,8,5,8,9,5,13,5,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
#predictedHeads=2,5,4,2,0,8,8,5,8,9,17,13,8,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
(0,2),-7.3182 # DEPENDENCYPART_ARC
(0,4),-7.37135 # DEPENDENCYPART_ARC
(0,5),-2.18448 # DEPENDENCYPART_ARC
(0,8),-8.45687 # DEPENDENCYPART_ARC
(0,9),-8.76393 # DEPENDENCYPART_ARC
(0,10),-7.82668 # DEPENDENCYPART_ARC
(0,14),-7.56663 # DEPENDENCYPART_ARC
(0,15),-8.22507 # DEPENDENCYPART_ARC
(0,17),-4.39183 # DEPENDENCYPART_ARC
(0,19),-8.20588 # DEPENDENCYPART_ARC
(0,22),-7.11944 # DEPENDENCYPART_ARC
(0,23),-5.03588 # DEPENDENCYPART_ARC
(0,24),-9.02373 # DEPENDENCYPART_ARC
(0,26),-8.97513 # DEPENDENCYPART_ARC
(0,27),-9.35435 # DEPENDENCYPART_ARC
(0,28),-10.3017 # DEPENDENCYPART_ARC
(0,30),-10.284 # DEPENDENCYPART_ARC
(0,31),-9.50236 # DEPENDENCYPART_ARC
(0,32),-10.7896 # DEPENDENCYPART_ARC
(0,34),-9.23005 # DEPENDENCYPART_ARC
(1,2),0.642511 # DEPENDENCYPART_ARC
(1,3),1.19778 # DEPENDENCYPART_ARC
(1,4),-1.54205 # DEPENDENCYPART_ARC
(1,6),-1.21283 # DEPENDENCYPART_ARC
(1,7),-2.69055 # DEPENDENCYPART_ARC
(1,8),-2.81824 # DEPENDENCYPART_ARC
(1,9),-2.58409 # DEPENDENCYPART_ARC
(1,10),-3.81593 # DEPENDENCYPART_ARC
