# _root_ ' El moviment denuncia l' especulació , els desallotjaments , les polítiques de criminalització i la violència policial exercida contra el moviment okupa .
#goldHeads=4,3,4,0,6,4,6,9,6,6,12,6,12,13,6,17,6,17,17,19,22,20,22,4,
#predictedHeads=4,3,4,0,6,4,6,9,6,6,12,9,12,13,6,17,6,17,17,19,22,20,22,4,
(0,3),-6.17404 # DEPENDENCYPART_ARC
(0,4),-1.86072 # DEPENDENCYPART_ARC
(0,6),-6.56378 # DEPENDENCYPART_ARC
(0,9),-7.0638 # DEPENDENCYPART_ARC
(0,12),-7.53819 # DEPENDENCYPART_ARC
(0,13),-8.26316 # DEPENDENCYPART_ARC
(0,14),-7.49579 # DEPENDENCYPART_ARC
(0,17),-7.79237 # DEPENDENCYPART_ARC
(0,18),-8.17424 # DEPENDENCYPART_ARC
(0,19),-8.71831 # DEPENDENCYPART_ARC
(0,20),-7.60886 # DEPENDENCYPART_ARC
(0,22),-8.0056 # DEPENDENCYPART_ARC
(0,23),-8.26103 # DEPENDENCYPART_ARC
(2,3),-0.0804747 # DEPENDENCYPART_ARC
(2,5),-1.48847 # DEPENDENCYPART_ARC
(2,6),-3.3177 # DEPENDENCYPART_ARC
(2,8),-3.13577 # DEPENDENCYPART_ARC
(2,9),-5.02458 # DEPENDENCYPART_ARC
(2,11),-4.34706 # DEPENDENCYPART_ARC
(2,12),-4.88778 # DEPENDENCYPART_ARC
(2,13),-3.21967 # DEPENDENCYPART_ARC
(2,14),-4.88313 # DEPENDENCYPART_ARC
(2,15),-3.52847 # DEPENDENCYPART_ARC
(2,16),-6.06619 # DEPENDENCYPART_ARC
(2,17),-5.24477 # DEPENDENCYPART_ARC
(2,18),-3.66933 # DEPENDENCYPART_ARC
(2,19),-5.03514 # DEPENDENCYPART_ARC
(2,20),-5.20606 # DEPENDENCYPART_ARC
(2,21),-6.91494 # DEPENDENCYPART_ARC
(2,22),-5.67829 # DEPENDENCYPART_ARC
(2,23),-6.17612 # DEPENDENCYPART_ARC
(3,1),1.26847 # DEPENDENCYPART_ARC
(3,2),4.32698 # DEPENDENCYPART_ARC
(3,4),0.936513 # DEPENDENCYPART_ARC
(3,5),-1.34875 # DEPENDENCYPART_ARC
(3,6),-0.292389 # DEPENDENCYPART_ARC
(3,7),-0.998355 # DEPENDENCYPART_ARC
(3,8),-2.85491 # DEPENDENCYPART_ARC
(3,9),-0.756896 # DEPENDENCYPART_ARC
(3,10),-1.05067 # DEPENDENCYPART_ARC
(3,11),-3.83896 # DEPENDENCYPART_ARC
(3,12),-1.23515 # DEPENDENCYPART_ARC
(3,13),-1.26992 # DEPENDENCYPART_ARC
(3,14),-1.47246 # DEPENDENCYPART_ARC
(3,15),0.384648 # DEPENDENCYPART_ARC
(3,16),-3.67364 # DEPENDENCYPART_ARC
(3,17),-1.05095 # DEPENDENCYPART_ARC
(3,18),-1.07946 # DEPENDENCYPART_ARC
(3,19),-2.17248 # DEPENDENCYPART_ARC
(3,20),-2.50751 # DEPENDENCYPART_ARC
(3,21),-3.27205 # DEPENDENCYPART_ARC
(3,22),-1.29442 # DEPENDENCYPART_ARC
(3,23),-0.578411 # DEPENDENCYPART_ARC
(3,24),-0.988536 # DEPENDENCYPART_ARC
(4,1),3.47514 # DEPENDENCYPART_ARC
(4,2),0.942338 # DEPENDENCYPART_ARC
(4,3),2.95815 # DEPENDENCYPART_ARC
(4,5),-0.590549 # DEPENDENCYPART_ARC
(4,6),2.87636 # DEPENDENCYPART_ARC
(4,7),0.362904 # DEPENDENCYPART_ARC
(4,8),-3.65541 # DEPENDENCYPART_ARC
(4,9),0.636581 # DEPENDENCYPART_ARC
(4,10),-0.110343 # DEPENDENCYPART_ARC
(4,11),-3.97939 # DEPENDENCYPART_ARC
(4,12),-0.357382 # DEPENDENCYPART_ARC
(4,13),-1.22665 # DEPENDENCYPART_ARC
(4,14),-1.06516 # DEPENDENCYPART_ARC
(4,15),0.402857 # DEPENDENCYPART_ARC
(4,16),-3.75546 # DEPENDENCYPART_ARC
(4,17),-1.22069 # DEPENDENCYPART_ARC
(4,18),-0.369431 # DEPENDENCYPART_ARC
(4,19),0.05478 # DEPENDENCYPART_ARC
(4,20),-1.00594 # DEPENDENCYPART_ARC
(4,21),-4.03722 # DEPENDENCYPART_ARC
(4,22),-1.73924 # DEPENDENCYPART_ARC
(4,23),-2.08477 # DEPENDENCYPART_ARC
(4,24),6.06574 # DEPENDENCYPART_ARC
(5,2),-1.33922 # DEPENDENCYPART_ARC
(5,3),-2.00483 # DEPENDENCYPART_ARC
(5,6),0.20145 # DEPENDENCYPART_ARC
(5,8),-1.37322 # DEPENDENCYPART_ARC
(5,9),-3.17794 # DEPENDENCYPART_ARC
(5,11),-2.48211 # DEPENDENCYPART_ARC
(5,12),-3.05489 # DEPENDENCYPART_ARC
(5,13),-2.84708 # DEPENDENCYPART_ARC
(5,14),-3.56361 # DEPENDENCYPART_ARC
(5,15),-2.64474 # DEPENDENCYPART_ARC
(5,16),-4.19349 # DEPENDENCYPART_ARC
(5,17),-3.80129 # DEPENDENCYPART_ARC
(5,18),-3.5108 # DEPENDENCYPART_ARC
(5,19),-4.23857 # DEPENDENCYPART_ARC
(5,20),-4.9322 # DEPENDENCYPART_ARC
(5,21),-5.83433 # DEPENDENCYPART_ARC
(5,22),-4.73575 # DEPENDENCYPART_ARC
(5,23),-4.99159 # DEPENDENCYPART_ARC
(6,1),-0.193948 # DEPENDENCYPART_ARC
(6,2),-0.726058 # DEPENDENCYPART_ARC
(6,3),-1.29403 # DEPENDENCYPART_ARC
(6,4),0.235098 # DEPENDENCYPART_ARC
(6,5),3.6736 # DEPENDENCYPART_ARC
(6,7),1.32804 # DEPENDENCYPART_ARC
(6,8),-1.19384 # DEPENDENCYPART_ARC
(6,9),2.06122 # DEPENDENCYPART_ARC
(6,10),1.4932 # DEPENDENCYPART_ARC
(6,11),-1.44223 # DEPENDENCYPART_ARC
(6,12),1.66478 # DEPENDENCYPART_ARC
(6,13),1.72562 # DEPENDENCYPART_ARC
(6,14),1.45045 # DEPENDENCYPART_ARC
(6,15),3.09642 # DEPENDENCYPART_ARC
(6,16),-1.33774 # DEPENDENCYPART_ARC
(6,17),1.80531 # DEPENDENCYPART_ARC
(6,18),1.34319 # DEPENDENCYPART_ARC
(6,19),1.90663 # DEPENDENCYPART_ARC
(6,20),0.425719 # DEPENDENCYPART_ARC
(6,21),-2.3154 # DEPENDENCYPART_ARC
(6,22),1.21737 # DEPENDENCYPART_ARC
(6,23),1.70328 # DEPENDENCYPART_ARC
(6,24),1.85087 # DEPENDENCYPART_ARC
(7,3),-3.01084 # DEPENDENCYPART_ARC
(7,6),-1.61022 # DEPENDENCYPART_ARC
(7,9),-0.865126 # DEPENDENCYPART_ARC
(7,10),-0.452784 # DEPENDENCYPART_ARC
(7,12),-1.56334 # DEPENDENCYPART_ARC
(7,14),-1.62757 # DEPENDENCYPART_ARC
(7,17),-1.63264 # DEPENDENCYPART_ARC
(7,18),-1.50096 # DEPENDENCYPART_ARC
(7,19),-1.58635 # DEPENDENCYPART_ARC
(7,22),-1.7711 # DEPENDENCYPART_ARC
(7,23),-1.77061 # DEPENDENCYPART_ARC
(8,2),-1.92033 # DEPENDENCYPART_ARC
(8,3),-2.66161 # DEPENDENCYPART_ARC
(8,5),-2.3161 # DEPENDENCYPART_ARC
(8,6),-1.62117 # DEPENDENCYPART_ARC
(8,9),-0.4377 # DEPENDENCYPART_ARC
(8,11),0.0770454 # DEPENDENCYPART_ARC
(8,12),-2.09974 # DEPENDENCYPART_ARC
(8,13),-1.35586 # DEPENDENCYPART_ARC
(8,14),-3.53533 # DEPENDENCYPART_ARC
(8,15),-1.8034 # DEPENDENCYPART_ARC
(8,16),-4.08353 # DEPENDENCYPART_ARC
(8,17),-3.98226 # DEPENDENCYPART_ARC
(8,18),-3.52174 # DEPENDENCYPART_ARC
(8,19),-4.99917 # DEPENDENCYPART_ARC
(8,20),-4.08334 # DEPENDENCYPART_ARC
(8,21),-5.03582 # DEPENDENCYPART_ARC
(8,22),-4.52848 # DEPENDENCYPART_ARC
(8,23),-4.9584 # DEPENDENCYPART_ARC
(9,1),-0.83833 # DEPENDENCYPART_ARC
(9,2),-1.91492 # DEPENDENCYPART_ARC
(9,3),-2.18018 # DEPENDENCYPART_ARC
(9,4),0.4572 # DEPENDENCYPART_ARC
(9,5),0.434288 # DEPENDENCYPART_ARC
(9,6),-1.52187 # DEPENDENCYPART_ARC
(9,7),1.01273 # DEPENDENCYPART_ARC
(9,8),4.79538 # DEPENDENCYPART_ARC
(9,10),1.26001 # DEPENDENCYPART_ARC
(9,11),-0.684683 # DEPENDENCYPART_ARC
(9,12),2.10212 # DEPENDENCYPART_ARC
(9,13),2.12433 # DEPENDENCYPART_ARC
(9,14),1.14258 # DEPENDENCYPART_ARC
(9,15),2.77894 # DEPENDENCYPART_ARC
(9,16),-2.44712 # DEPENDENCYPART_ARC
(9,17),1.39167 # DEPENDENCYPART_ARC
(9,18),0.426456 # DEPENDENCYPART_ARC
(9,19),-0.860835 # DEPENDENCYPART_ARC
(9,20),0.706785 # DEPENDENCYPART_ARC
(9,21),-2.13418 # DEPENDENCYPART_ARC
(9,22),1.06486 # DEPENDENCYPART_ARC
(9,23),1.43442 # DEPENDENCYPART_ARC
(9,24),1.87033 # DEPENDENCYPART_ARC
(10,3),-3.39364 # DEPENDENCYPART_ARC
(10,6),-3.02878 # DEPENDENCYPART_ARC
(10,7),-1.03288 # DEPENDENCYPART_ARC
(10,9),-1.5852 # DEPENDENCYPART_ARC
(10,12),-0.820331 # DEPENDENCYPART_ARC
(10,14),-1.39148 # DEPENDENCYPART_ARC
(10,17),-1.53639 # DEPENDENCYPART_ARC
(10,18),-1.42085 # DEPENDENCYPART_ARC
(10,19),-1.44152 # DEPENDENCYPART_ARC
(10,22),-1.71097 # DEPENDENCYPART_ARC
(10,23),-1.72033 # DEPENDENCYPART_ARC
(11,2),-2.69294 # DEPENDENCYPART_ARC
(11,3),-3.18713 # DEPENDENCYPART_ARC
(11,5),-3.77585 # DEPENDENCYPART_ARC
(11,6),-2.56551 # DEPENDENCYPART_ARC
(11,8),-0.234861 # DEPENDENCYPART_ARC
(11,9),-1.06868 # DEPENDENCYPART_ARC
(11,12),1.29175 # DEPENDENCYPART_ARC
(11,13),0.396657 # DEPENDENCYPART_ARC
(11,14),-1.58985 # DEPENDENCYPART_ARC
(11,15),-0.740915 # DEPENDENCYPART_ARC
(11,16),-1.24868 # DEPENDENCYPART_ARC
(11,17),-2.8026 # DEPENDENCYPART_ARC
(11,18),-3.36885 # DEPENDENCYPART_ARC
(11,19),-3.76397 # DEPENDENCYPART_ARC
(11,20),-3.23675 # DEPENDENCYPART_ARC
(11,21),-4.29011 # DEPENDENCYPART_ARC
(11,22),-4.03389 # DEPENDENCYPART_ARC
(11,23),-4.17089 # DEPENDENCYPART_ARC
(12,1),-1.85168 # DEPENDENCYPART_ARC
(12,2),-4.00217 # DEPENDENCYPART_ARC
(12,3),-2.65971 # DEPENDENCYPART_ARC
(12,4),-0.469932 # DEPENDENCYPART_ARC
(12,5),-2.23361 # DEPENDENCYPART_ARC
(12,6),-2.00737 # DEPENDENCYPART_ARC
(12,7),-0.520576 # DEPENDENCYPART_ARC
(12,8),1.49442 # DEPENDENCYPART_ARC
(12,9),-0.61031 # DEPENDENCYPART_ARC
(12,10),0.658777 # DEPENDENCYPART_ARC
(12,11),4.66384 # DEPENDENCYPART_ARC
(12,13),3.65755 # DEPENDENCYPART_ARC
(12,14),1.18026 # DEPENDENCYPART_ARC
(12,15),2.24227 # DEPENDENCYPART_ARC
(12,16),-1.54576 # DEPENDENCYPART_ARC
(12,17),1.47837 # DEPENDENCYPART_ARC
(12,18),0.310087 # DEPENDENCYPART_ARC
(12,19),1.21979 # DEPENDENCYPART_ARC
(12,20),1.53991 # DEPENDENCYPART_ARC
(12,21),-2.7133 # DEPENDENCYPART_ARC
(12,22),0.612239 # DEPENDENCYPART_ARC
(12,23),1.36066 # DEPENDENCYPART_ARC
(12,24),1.41906 # DEPENDENCYPART_ARC
(13,1),-1.89164 # DEPENDENCYPART_ARC
(13,2),-2.67033 # DEPENDENCYPART_ARC
(13,3),-2.48466 # DEPENDENCYPART_ARC
(13,4),-1.50986 # DEPENDENCYPART_ARC
(13,5),-2.14947 # DEPENDENCYPART_ARC
(13,6),-2.02733 # DEPENDENCYPART_ARC
(13,7),-0.74135 # DEPENDENCYPART_ARC
(13,8),-1.04224 # DEPENDENCYPART_ARC
(13,9),-1.77451 # DEPENDENCYPART_ARC
(13,10),-0.0281928 # DEPENDENCYPART_ARC
(13,11),0.784028 # DEPENDENCYPART_ARC
(13,12),0.408182 # DEPENDENCYPART_ARC
(13,14),4.18945 # DEPENDENCYPART_ARC
(13,15),0.41675 # DEPENDENCYPART_ARC
(13,16),-2.28416 # DEPENDENCYPART_ARC
(13,17),-0.480801 # DEPENDENCYPART_ARC
(13,18),-1.57214 # DEPENDENCYPART_ARC
(13,19),-1.25538 # DEPENDENCYPART_ARC
(13,20),-1.47116 # DEPENDENCYPART_ARC
(13,21),-3.14791 # DEPENDENCYPART_ARC
(13,22),-3.4992 # DEPENDENCYPART_ARC
(13,23),-5.71337 # DEPENDENCYPART_ARC
(13,24),-0.357767 # DEPENDENCYPART_ARC
(14,1),-2.63255 # DEPENDENCYPART_ARC
(14,2),-5.91114 # DEPENDENCYPART_ARC
(14,3),-2.40918 # DEPENDENCYPART_ARC
(14,4),-1.55752 # DEPENDENCYPART_ARC
(14,5),-2.46007 # DEPENDENCYPART_ARC
(14,6),-1.4338 # DEPENDENCYPART_ARC
(14,7),-1.13262 # DEPENDENCYPART_ARC
(14,8),-2.00205 # DEPENDENCYPART_ARC
(14,9),-1.46251 # DEPENDENCYPART_ARC
(14,10),-0.717311 # DEPENDENCYPART_ARC
(14,11),0.839471 # DEPENDENCYPART_ARC
(14,12),0.492256 # DEPENDENCYPART_ARC
(14,13),1.61946 # DEPENDENCYPART_ARC
(14,15),1.49501 # DEPENDENCYPART_ARC
(14,16),-0.322772 # DEPENDENCYPART_ARC
