# _root_ ' Si fa falta un estudi , que no vingui a_canvi_de vendre l' aigua ' perquè ' aquest estudi arribarà tard ' , ha dit Castellà .
#goldHeads=10,3,10,3,6,3,3,10,10,25,10,11,14,12,10,20,20,19,20,10,20,20,10,25,0,25,25,
#predictedHeads=3,3,6,3,6,10,10,10,10,12,20,11,14,12,20,20,20,19,20,25,20,20,20,25,0,25,25,
(0,2),-6.28531 # DEPENDENCYPART_ARC
(0,3),-3.83315 # DEPENDENCYPART_ARC
(0,4),-6.40055 # DEPENDENCYPART_ARC
(0,6),-6.56809 # DEPENDENCYPART_ARC
(0,8),-7.08477 # DEPENDENCYPART_ARC
(0,9),-7.57255 # DEPENDENCYPART_ARC
(0,10),-6.09899 # DEPENDENCYPART_ARC
(0,11),-6.57794 # DEPENDENCYPART_ARC
(0,12),-5.73544 # DEPENDENCYPART_ARC
(0,14),-6.62142 # DEPENDENCYPART_ARC
(0,16),-7.36419 # DEPENDENCYPART_ARC
(0,19),-7.14828 # DEPENDENCYPART_ARC
(0,20),-4.45771 # DEPENDENCYPART_ARC
(0,21),-8.36583 # DEPENDENCYPART_ARC
(0,24),-3.44205 # DEPENDENCYPART_ARC
(0,25),-0.802579 # DEPENDENCYPART_ARC
(0,26),-6.44744 # DEPENDENCYPART_ARC
(2,1),0.69591 # DEPENDENCYPART_ARC
(2,3),1.83759 # DEPENDENCYPART_ARC
(2,4),0.594339 # DEPENDENCYPART_ARC
(2,5),-1.11864 # DEPENDENCYPART_ARC
(2,6),-0.774202 # DEPENDENCYPART_ARC
(2,7),0.571904 # DEPENDENCYPART_ARC
(2,8),0.427282 # DEPENDENCYPART_ARC
(2,9),-1.61547 # DEPENDENCYPART_ARC
(2,10),-0.784725 # DEPENDENCYPART_ARC
(2,11),-0.853151 # DEPENDENCYPART_ARC
(2,12),-1.11834 # DEPENDENCYPART_ARC
(2,14),-2.49074 # DEPENDENCYPART_ARC
(2,15),0.335783 # DEPENDENCYPART_ARC
(2,16),-0.144083 # DEPENDENCYPART_ARC
(2,17),-0.564851 # DEPENDENCYPART_ARC
(2,19),-3.68159 # DEPENDENCYPART_ARC
(2,20),-1.90584 # DEPENDENCYPART_ARC
(2,21),-1.85565 # DEPENDENCYPART_ARC
(2,22),-0.226714 # DEPENDENCYPART_ARC
(2,23),-0.580341 # DEPENDENCYPART_ARC
(2,24),-2.28957 # DEPENDENCYPART_ARC
(2,25),-2.48277 # DEPENDENCYPART_ARC
(2,26),-4.29607 # DEPENDENCYPART_ARC
(2,27),0.77195 # DEPENDENCYPART_ARC
(3,1),2.06054 # DEPENDENCYPART_ARC
